Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,Achim,Achim,PROPN,ROOT,0,Achim
1,von,von,ADP,pg,0,Achim
2,Arnim,Arnim,PROPN,nk,1,von
3,Der,der,DET,nk,5,Invalide
4,tolle,toll,ADJ,nk,5,Invalide
5,Invalide,Invalide,NOUN,ROOT,5,Invalide
6,auf,auf,ADP,mnr,5,Invalide
7,dem,der,DET,nk,8,Fort
8,Fort,Fort,NOUN,nk,6,auf
9,Ratonneau,Ratonneau,PROPN,nk,8,Fort
10,Erzählung,Erzählung,NOUN,ROOT,10,Erzählung
11,(,--,PUNCT,punct,12,1818
12,1818,1818,NUM,par,10,Erzählung
13,),--,PUNCT,punct,12,1818
14,Graf,Graf,PROPN,pnc,15,Dürande
15,Dürande,Dürande,PROPN,sb,24,saß
16,",",--,PUNCT,punct,15,Dürande
17,der,der,DET,nk,20,Kommandant
18,gute,gut,ADJ,nk,20,Kommandant
19,alte,alt,ADJ,nk,20,Kommandant
20,Kommandant,Kommandant,NOUN,app,15,Dürande
21,von,von,ADP,pg,20,Kommandant
22,Marseille,Marseille,PROPN,nk,21,von
23,",",--,PUNCT,punct,24,saß
24,saß,sitzen,VERB,ROOT,24,saß
25,einsam,einsam,ADV,mo,24,saß
26,frierend,frierend,ADV,mo,24,saß
27,an,an,ADP,svp,24,saß
28,einem,ein,DET,nk,31,Oktoberabende
29,kalt,kalt,ADV,mo,30,stürmenden
30,stürmenden,stürmend,ADJ,nk,31,Oktoberabende
31,Oktoberabende,Oktoberabende,NOUN,ROOT,31,Oktoberabende
32,bei,bei,ADP,mnr,31,Oktoberabende
33,dem,der,DET,nk,36,Kamine
34,schlecht,schlecht,ADV,mo,35,eingerichteten
35,eingerichteten,eingerichteten,ADJ,nk,36,Kamine
36,Kamine,Kamin,NOUN,nk,32,bei
37,seiner,sein,DET,nk,39,Kommandantenwohnung
38,prachtvollen,prachtvoll,ADJ,nk,39,Kommandantenwohnung
39,Kommandantenwohnung,Kommandantenwohnung,NOUN,ROOT,39,Kommandantenwohnung
40,und,und,CCONJ,ROOT,40,und
41,rückte,rücken,VERB,cj,40,und
42,immer,immer,ADV,mo,43,näher
43,näher,nah,ADV,mo,41,rückte
44,und,und,CCONJ,cd,43,näher
45,näher,nah,ADV,cj,44,und
46,zum,zu,ADP,svp,41,rückte
47,Feuer,Feuer,NOUN,ROOT,47,Feuer
48,",",--,PUNCT,punct,59,vorüberrollten
49,während,während,SCONJ,cp,59,vorüberrollten
50,die,der,DET,nk,51,Kutschen
51,Kutschen,Kutsch,NOUN,sb,59,vorüberrollten
52,zu,zu,ADP,op,59,vorüberrollten
53,einem,ein,DET,nk,55,Balle
