Token,Lemma,POS
Achim,Achim,PROPN
von,von,ADP
Arnim,Arnim,PROPN
Die,der,DET
Majoratsherren,Majoratsherren,NOUN
Erzählung,Erzählung,NOUN
(,--,PUNCT
1820,1820,NUM
),--,PUNCT
Wir,wir,PRON
durchblätterten,durchblätterten,VERB
eben,eben,ADV
einen,ein,DET
ältern,ältern,ADJ
Kalender,Kalender,NOUN
",",--,PUNCT
dessen,der,DET
Kupferstiche,Kupferstiche,NOUN
manche,mancher,PRON
Torheiten,Torheit,NOUN
seiner,sein,DET
Zeit,Zeit,NOUN
abspiegeln,abspiegeln,VERB
.,--,PUNCT
Liegt,Liegt,VERB
sie,sie,PRON
doch,doch,ADV
jetzt,jetzt,ADV
schon,schon,ADV
wie,wie,ADP
eine,ein,DET
Fabelwelt,Fabelwelt,NOUN
hinter,hinter,ADP
uns,uns,PRON
!,--,PUNCT
Wie,wie,ADV
reich,reich,ADV
erfüllt,erfüllen,VERB
war,sein,AUX
damals,damals,ADV
die,der,DET
Welt,Welt,NOUN
",",--,PUNCT
ehe,ehe,SCONJ
die,der,DET
allgemeine,allgemein,ADJ
Revolution,Revolution,NOUN
",",--,PUNCT
welche,welcher,PRON
von,von,ADP
Frankreich,Frankreich,PROPN
den,der,DET
Namen,Name,NOUN
erhielt,erhalten,VERB
",",--,PUNCT
alle,aller,DET
Formen,Form,NOUN
zusammenstürzte,zusammenstürzen,VERB
;,--,PUNCT
wie,wie,ADV
gleichförmig,gleichförmig,ADV
arm,arm,ADV
ist,sein,AUX
sie,sie,PRON
geworden,werden,AUX
!,--,PUNCT
Jahrhunderte,Jahrhundert,NOUN
scheinen,scheinen,VERB
seit,seit,ADP
jener,jener,DET
Zeit,Zeit,NOUN
vergangen,vergehen,VERB
",",--,PUNCT
und,und,CCONJ
nur,nur,ADV
mit,mit,ADP
Mühe,Mühe,NOUN
erinnern,erinnern,VERB
wir,wir,PRON
uns,sich,PRON
",",--,PUNCT
daß,daß,SCONJ
unsre,unsr,PROPN
früheren,früh,ADJ
Jahre,Jahr,NOUN
ihr,ihr,DET
zugehörten,gehörten,VERB
.,--,PUNCT
Aus,aus,ADP
der,der,DET
Tiefe,Tiefe,NOUN
dieser,dieser,DET
Seltsamkeiten,Seltsamkeiten,NOUN
",",--,PUNCT
die,der,PRON
uns,uns,PRON
Chodowieckis,Chodowiecki,PROPN
Meisterhand,Meisterhand,NOUN
bewahrt,bewahren,VERB
hat,haben,AUX
",",--,PUNCT
läßt,lassen,VERB
sich,sich,PRON
die,der,DET
damalige,damalig,ADJ
Höhe,Höhe,NOUN
geistiger,geistig,ADV
Klarheit,Klarheit,NOUN
erraten,erraten,VERB
;,--,PUNCT
diese,dieser,PRON
ermißt,ermißen,VERB
sich,sich,PRON
sogar,sogar,ADV
am,an,PART
leichtesten,Leichtesten,NOUN
an,an,ADP
den,der,DET
Schattenbildern,Schattenbilder,NOUN
derer,der,PRON
",",--,PUNCT
die,der,PRON
ihr,ihr,PRON
im,in,ADP
Wege,Weg,NOUN
standen,stehen,VERB
und,und,CCONJ
die,der,PRON
sie,sie,PRON
riesenhaft,riesenhaft,NOUN
über,über,ADP
die,der,DET
Erde,Erde,NOUN
