Token,Lemma,POS
Achim,Achim,PROPN
von,von,ADP
Arnim,Arnim,PROPN
Holländische,holländische,ADJ
Liebhabereien,Liebhabereie,NOUN
Erzählung,Erzählung,NOUN
(,--,PUNCT
1826,1826,NUM
),--,PUNCT
Leise,leise,ADV
trat,treten,VERB
der,der,DET
Professor,Professor,NOUN
Hemkengriper,Hemkengriper,PROPN
in,in,ADP
seidnem,seidn,PROPN
japanischem,japanisch,ADJ
Schlafrocke,Schlafrock,NOUN
aus,aus,ADP
der,der,DET
Bibliothek,Bibliothek,NOUN
in,in,ADP
das,der,DET
Eßzimmer,Eßzimmer,NOUN
und,und,CCONJ
schaute,schaut,VERB
verdrießlich,verdrießlich,ADV
einem,ein,DET
jungen,jung,ADJ
Manne,Manne,NOUN
über,über,ADP
die,der,DET
Achsel,Achsel,NOUN
",",--,PUNCT
der,der,PRON
auf,auf,ADP
dem,der,DET
großen,groß,ADJ
Eßtische,Eßtische,NOUN
die,der,DET
Scheiben,Scheibe,NOUN
des,der,DET
eingeworfenen,eingeworfen,ADJ
breiten,breit,ADJ
Straßenfensters,Straßenfenster,PROPN
zusammenlegte,zusammenlegen,VERB
.,--,PUNCT
«,--,PUNCT
Wer,wer,PRON
bist,sein,AUX
du,du,PRON
?,--,PUNCT
»,--,PUNCT
fragte,fragen,VERB
ihn,ihn,PRON
Hemkengriper,Hemkengriper,NOUN
mit,mit,ADP
einer,ein,DET
kalten,kalt,ADJ
Verachtung,Verachtung,NOUN
.,--,PUNCT
–,--,PUNCT
«,--,PUNCT
Jan,Jan,PROPN
Vos,Vos,PROPN
aus,aus,ADP
Amsterdam,Amsterdam,PROPN
»,--,PUNCT
",",--,PUNCT
antwortete,antworten,VERB
der,der,DET
junge,jung,ADJ
Glaser,Glaser,NOUN
",",--,PUNCT
ohne,ohne,ADP
sich,sich,PRON
in,in,ADP
der,der,DET
Arbeit,Arbeit,NOUN
stören,stören,VERB
zu,zu,PART
lassen,lassen,VERB
.,--,PUNCT
–,--,PUNCT
«,--,PUNCT
Warum,warum,ADV
kommt,kommen,VERB
der,der,DET
Glasermeister,Glasermeister,NOUN
Glateis,Glateis,NOUN
nicht,nicht,PART
selbst,selbst,ADV
?,--,PUNCT
»,--,PUNCT
fuhr,fahren,VERB
der,der,DET
gelehrte,gelehrt,ADJ
Herr,Herr,NOUN
fort,fort,ADV
zu,zu,PART
fragen,fragen,VERB
:,--,PUNCT
«,--,PUNCT
Hat,haben,AUX
Bathseba,Bathseba,PROPN
nicht,nicht,PART
bestellt,bestellen,VERB
",",--,PUNCT
daß,daß,SCONJ
es,es,PRON
eine,ein,DET
schwierige,schwierig,ADJ
Arbeit,Arbeit,NOUN
sei,sein,AUX
",",--,PUNCT
die,der,DET
zerbrochenen,zerbrochen,ADJ
Scheiben,Scheibe,NOUN
zusammenzusuchen,zusammenzusuchen,VERB
und,und,CCONJ
in,in,ADP
Blei,Blei,NOUN
zu,zu,PART
setzen,setzen,VERB
?,--,PUNCT
Und,und,CCONJ
warum,warum,ADV
hat,haben,VERB
man,man,PRON
nicht,nicht,PART
gewartet,warten,VERB
",",--,PUNCT
bis,bis,SCONJ
ich,ich,PRON
gekommen,kommen,VERB
