Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,Achim,Achim,PROPN,ROOT,0,Achim
1,von,von,ADP,pg,0,Achim
2,Arnim,Arnim,PROPN,nk,1,von
3,Isabella,Isabella,NOUN,ROOT,3,Isabella
4,von,von,ADP,pg,3,Isabella
5,Ägypten,Ägypten,PROPN,nk,4,von
6,Kaiser,Kaiser,NOUN,ROOT,6,Kaiser
7,Karl,Karl,PROPN,pnc,9,Fünften
8,des,der,DET,nk,9,Fünften
9,Fünften,Fünfter,NOUN,nk,6,Kaiser
10,erste,erster,ADJ,nk,11,Jugendliebe
11,Jugendliebe,Jugendliebe,NOUN,pd,6,Kaiser
12,Erzählung,Erzählung,NOUN,ROOT,12,Erzählung
13,(,--,PUNCT,punct,14,1812
14,1812,1812,NUM,ROOT,14,1812
15,),--,PUNCT,punct,14,1812
16,Braka,Braka,PROPN,sb,26,hatte
17,",",--,PUNCT,punct,16,Braka
18,die,der,DET,nk,20,Zigeunerin
19,alte,alt,ADJ,nk,20,Zigeunerin
20,Zigeunerin,Zigeunerin,NOUN,app,16,Braka
21,im,in,ADP,mnr,20,Zigeunerin
22,zerlumpten,zerlumpt,ADJ,nk,24,Mantel
23,roten,rot,ADJ,nk,24,Mantel
24,Mantel,Mantel,NOUN,nk,21,im
25,",",--,PUNCT,punct,26,hatte
26,hatte,haben,AUX,ROOT,26,hatte
27,kaum,kaum,ADV,mo,29,drittes
28,ihr,ihr,DET,nk,29,drittes
29,drittes,dritter,ADJ,oc,26,hatte
30,Vaterunser,vaterunser,NOUN,mo,31,vor
31,vor,vor,ADP,mo,34,abgeschnurrt
32,dem,der,DET,nk,33,Fenster
33,Fenster,Fenster,NOUN,nk,31,vor
34,abgeschnurrt,abgeschnurrt,VERB,ROOT,34,abgeschnurrt
35,",",--,PUNCT,punct,34,abgeschnurrt
36,wie,wie,SCONJ,mo,41,verabredet
37,sie,sie,PRON,oa,41,verabredet
38,es,es,PRON,oa,41,verabredet
39,zum,zu,ADP,mo,41,verabredet
40,Zeichen,Zeichen,NOUN,nk,39,zum
41,verabredet,verabreden,VERB,oc,34,abgeschnurrt
42,hatte,haben,AUX,ROOT,42,hatte
43,",",--,PUNCT,punct,42,hatte
44,als,als,ADP,mo,50,vollen
45,Bella,Bella,PROPN,nk,44,als
46,schon,schon,ADV,mo,48,lieben
47,den,der,DET,nk,48,lieben
48,lieben,lieb,NOUN,da,50,vollen
49,",",--,PUNCT,punct,48,lieben
50,vollen,voll,NOUN,mo,42,hatte
51,",",--,PUNCT,punct,50,vollen
52,dunkelgelockten,dunkelgelocken,AUX,nk,53,Kopf
53,Kopf,Kopf,NOUN,oa,42,hatte
