Token,Lemma,POS
Adalbert,Adalbert,VERB
Stifter,Stifter,NOUN
Der,der,DET
Kuss,Kuss,PROPN
von,von,ADP
Sentze,Sentze,NOUN
In,in,ADP
einem,ein,DET
Waldwinkel,Waldwinkel,NOUN
liegen,liegen,VERB
drei,drei,NUM
seltsame,seltsam,ADJ
Häuser,Haus,NOUN
oder,oder,CCONJ
Schlösser,Schloß,NOUN
.,--,PUNCT
Das,der,DET
eine,ein,DET
Haus,Haus,NOUN
liegt,liegen,VERB
an,an,ADP
dem,der,DET
Abhange,Abhange,NOUN
eines,ein,DET
Berges,Berg,NOUN
.,--,PUNCT
Es,es,PRON
ist,sein,AUX
aus,aus,ADP
einem,ein,DET
rötlichen,rötlich,ADJ
Steine,Stein,NOUN
erbaut,erbauen,VERB
",",--,PUNCT
der,der,PRON
hier,hier,ADV
und,und,CCONJ
da,da,ADV
eine,ein,DET
sanfte,sanft,ADJ
Rosenfarbe,Rosenfarbe,NOUN
hat,haben,VERB
",",--,PUNCT
an,an,ADP
dessen,der,DET
Ecken,Ecke,NOUN
stehen,stehen,VERB
große,groß,ADJ
",",--,PUNCT
runde,rund,ADJ
Türme,Turm,NOUN
",",--,PUNCT
und,und,CCONJ
die,der,DET
Fenster,Fenster,NOUN
und,und,CCONJ
Tore,Tor,NOUN
haben,haben,AUX
den,der,DET
Rundbogen,Rundbog,NOUN
und,und,CCONJ
sind,sein,AUX
mit,mit,ADP
einem,ein,DET
schneeweißen,schneeweiß,ADJ
Steine,Stein,NOUN
eingefaßt,einfassen,VERB
.,--,PUNCT
Von,von,ADP
dem,der,DET
Hause,Haus,NOUN
geht,gehen,VERB
ein,ein,DET
Garten,Garten,NOUN
nieder,nieder,ADV
",",--,PUNCT
der,der,PRON
allerlei,allerlei,DET
Bauwerk,Bauwerk,NOUN
hat,haben,VERB
und,und,CCONJ
in,in,ADP
einer,ein,DET
Art,Art,NOUN
Verwüstung,Verwüstung,NOUN
ist,sein,AUX
.,--,PUNCT
Unterhalb,unterhalb,ADP
des,der,DET
Gartens,Garten,PROPN
spaltet,spalten,VERB
sich,sich,PRON
der,der,DET
Hauptberg,Hauptberg,PROPN
in,in,ADP
zwei,zwei,NUM
Nebenberge,Nebenberg,NOUN
",",--,PUNCT
gleichsam,gleichsam,ADV
zwei,zwei,NUM
grüne,grün,ADJ
Kissen,Kissen,NOUN
",",--,PUNCT
die,der,PRON
gegen,gegen,ADP
das,der,DET
Tal,Tal,NOUN
hinabgehen,hinabgehen,VERB
.,--,PUNCT
Und,und,CCONJ
auf,auf,ADP
der,der,DET
Wölbung,Wölbung,NOUN
dieser,dieser,DET
Kissen,Kissen,NOUN
liegen,liegen,VERB
die,der,DET
zwei,zwei,NUM
ändern,ändern,ADJ
Häuser,Haus,NOUN
.,--,PUNCT
Sie,sie,PRON
sind,sein,AUX
genau,genau,ADV
wie,wie,ADP
das,der,DET
obere,oberer,ADJ
gebaut,bauen,VERB
",",--,PUNCT
nur,nur,ADV
kleiner,klein,ADV
",",--,PUNCT
und,und,CCONJ
das,der,PRON
eine,einer,PRON
ist,sein,AUX
ganz,ganz,ADV
aus,aus,ADP
dem,der,DET
weißen,weiß,ADJ
Steine,Stein,NOUN
",",--,PUNCT
das,der,DET
andere,anderer,PRON
ganz,ganz,ADV
aus,aus,ADP
dem,der,DET
roten,rote,NOUN
.,--,PUNCT
Diese,dieser,DET
drei,drei,NUM
Häuser,Haus,NOUN
heißen,heißen,VERB
die,der,DET
Sentze,Sentze,NOUN
.,--,PUNCT
Das,der,DET
weiße,weiße,ADJ
heißt,heißen,VERB
die,der,DET
weiße,weiß,ADJ
Sentze,Sentze,NOUN
",",--,PUNCT
das,der,DET
rote,rot,ADJ
die,der,DET
rote,rot,ADJ
Sentze,Sentze,NOUN
und,und,CCONJ
das,der,DET
