Token,Lemma,POS
Adalbert,Adalbert,VERB
Stifter,Stifter,NOUN
Der,der,DET
Waldsteig,Waldsteig,NOUN
1844,1844,NUM
Ich,ich,PRON
habe,haben,VERB
einen,ein,DET
Freund,Freund,NOUN
",",--,PUNCT
der,der,PRON
",",--,PUNCT
obwohl,obwohl,SCONJ
er,er,PRON
noch,noch,ADV
am,an,ADP
Leben,Leben,NOUN
ist,sein,AUX
",",--,PUNCT
und,und,CCONJ
bei,bei,ADP
uns,uns,PRON
von,von,ADP
lebenden,lebend,ADJ
Leuten,Leute,NOUN
nicht,nicht,PART
leicht,leicht,ADV
Geschichten,Geschichte,NOUN
erzählt,erzählen,VERB
zu,zu,PART
werden,werden,AUX
pflegen,pflegen,VERB
",",--,PUNCT
mir,mir,PRON
doch,doch,ADV
erlaubt,erlauben,VERB
hat,haben,AUX
",",--,PUNCT
eine,ein,DET
Begebenheit,Begebenheit,NOUN
",",--,PUNCT
die,der,PRON
sich,sich,PRON
mit,mit,ADP
ihm,ihm,PRON
zugetragen,zugetragen,VERB
hat,haben,AUX
",",--,PUNCT
zum,zu,ADP
Nuzen,Nuz,NOUN
und,und,CCONJ
zum,zu,ADP
Frommen,Fromme,NOUN
aller,aller,DET
derer,der,NOUN
zu,zu,PART
erzählen,erzählen,VERB
",",--,PUNCT
die,der,PRON
große,groß,ADJ
Narren,Narr,NOUN
sind,sein,AUX
;,--,PUNCT
vielleicht,vielleicht,ADV
schöpfen,schöpfen,VERB
sie,sie,PRON
einen,ein,DET
ähnlichen,ähnlich,ADJ
Vortheil,Vortheil,NOUN
daraus,daraus,ADV
",",--,PUNCT
wie,wie,SCONJ
er,er,PRON
.,--,PUNCT
Mein,mein,DET
Freund,Freund,NOUN
",",--,PUNCT
den,der,PRON
wir,wir,PRON
Tiburius,Tiburius,PROPN
Kneigt,Kneigt,VERB
hießen,hießen,VERB
",",--,PUNCT
hat,haben,AUX
jezt,jezt,VERB
das,der,DET
niedlichste,niedlich,ADJ
Landhaus,Landhaus,NOUN
",",--,PUNCT
das,der,PRON
man,man,PRON
sich,sich,PRON
in,in,ADP
unserem,unser,DET
Welttheile,Welttheil,NOUN
zu,zu,PART
denken,denken,VERB
vermag,vermögen,VERB
",",--,PUNCT
er,er,PRON
hat,haben,VERB
die,der,DET
vortrefflichsten,vortrefflichst,VERB
Blumen,Blume,NOUN
und,und,CCONJ
Obstbäume,Obstbaum,NOUN
um,um,ADP
das,der,DET
Haus,Haus,NOUN
herum,herum,ADV
",",--,PUNCT
er,er,PRON
hat,haben,AUX
ein,ein,DET
schöneres,schöneres,ADJ
Weib,weib,NOUN
",",--,PUNCT
als,als,ADP
je,je,ADV
auf,auf,ADP
der,der,DET
Erde,Erde,NOUN
gewesen,sein,AUX
sein,sein,AUX
kann,können,AUX
",",--,PUNCT
er,er,PRON
lebt,leben,VERB
Jahr,Jahr,NOUN
aus,aus,ADP
Jahr,Jahr,NOUN
ein,ein,ADV
mit,mit,ADP
diesem,dieser,DET
Weibe,Weibe,NOUN
auf,auf,ADP
seinem,sein,DET
Landhause,Landhause,NOUN
",",--,PUNCT
er,er,PRON
trägt,tragen,VERB
heitere,heitere,ADJ
Mienen,Mien,NOUN
",",--,PUNCT
alle,aller,DET
Menschen,Mensch,NOUN
lieben,lieben,VERB
ihn,ihn,PRON
",",--,PUNCT
und,und,CCONJ
er,er,PRON
ist,sein,AUX
jezt,jezt,NOUN
wieder,wieder,ADV
sechs,sechs,NUM
und,und,CCONJ
zwanzig,zwanzig,NUM
Jahre,Jahr,NOUN
alt,alt,ADV
",",--,PUNCT
da,da,SCONJ
er,er,PRON
doch,doch,ADV
noch,noch,ADV
vor,vor,ADP
Kurzem,Kurzem,NOUN
über,über,ADV
vierzig,vierzig,NUM
gewesen,sein,AUX
ist,sein,AUX
