Token,Lemma,POS
Adalbert,Adalbert,VERB
Stifter,Stifter,NOUN
Die,der,DET
Mappe,Mappe,NOUN
meines,mein,DET
Urgroßvaters,Urgroßvater,NOUN
1841,1841,NUM
Dulce,Dulce,X
est,est,X
",",--,PUNCT
inter,int,ADJ
majorum,Majorum,NOUN
versari,versari,VERB
habitacula,Habitacula,PROPN
et,et,X
veterum,veterum,X
dicta,dicta,X
factaque,factaque,X
recensere,recensere,X
memoria,Memoria,PROPN
.,--,PUNCT
Egesippus,Egesippus,NOUN
.,--,PUNCT
1.,1.,ADV
Die,der,DET
Alterthümer,Alterthümer,NOUN
Mit,mit,ADP
dem,der,DET
an,an,ADP
der,der,DET
Spitze,Spitze,NOUN
dieses,dieser,DET
Buches,Buch,NOUN
stehenden,stehend,ADJ
lateinischen,lateinisch,ADJ
Spruche,spruch,NOUN
des,der,DET
seligen,selig,ADJ
",",--,PUNCT
nunmehr,nunmehr,ADV
längst,längst,ADV
vergessenen,vergessen,ADJ
Egesippus,Egesippus,NOUN
führe,führen,VERB
ich,ich,PRON
die,der,DET
Leser,Leser,NOUN
in,in,ADP
das,der,DET
Buch,Buch,NOUN
und,und,CCONJ
mit,mit,ADP
dem,der,DET
Buche,Buch,NOUN
in,in,ADP
mein,mein,DET
altes,Alt,ADJ
fern,fern,NOUN
von,von,ADP
hier,hier,ADV
stehendes,stehend,ADJ
Vaterhaus,Vaterhaus,NOUN
ein,ein,ADV
.,--,PUNCT
Der,der,DET
Spruch,Spruch,NOUN
spielte,spielen,VERB
einmal,einmal,ADV
eine,ein,DET
Rolle,Rolle,NOUN
in,in,ADP
einer,ein,PRON
meiner,mein,DET
Auszeichnungen,Auszeichnung,NOUN
in,in,ADP
der,der,DET
Schule,Schule,NOUN
",",--,PUNCT
und,und,CCONJ
schon,schon,ADV
deßhalb,deßhalb,ADV
hätte,haben,AUX
ich,ich,PRON
ihn,ihn,PRON
mir,mir,PRON
für,für,ADP
alle,aller,PRON
meine,mein,DET
Zukunft,Zukunft,NOUN
gemerkt,merken,VERB
;,--,PUNCT
allein,allein,ADV
er,er,PRON
fiel,fallen,VERB
mir,mir,PRON
nachher,nachher,ADV
immer,immer,ADV
wieder,wieder,ADV
ein,ein,ADV
",",--,PUNCT
wenn,wenn,SCONJ
ich,ich,PRON
so,so,ADV
in,in,ADP
den,der,DET
Räumen,Raum,NOUN
meines,mein,DET
Vaterhauses,Vaterhau,NOUN
herum,herum,ADV
ging,gehen,VERB
;,--,PUNCT
denn,denn,CCONJ
das,der,DET
Haus,Haus,NOUN
stak,stak,ADV
voll,voll,ADV
von,von,ADP
verschiedenen,verschieden,ADJ
Dingen,Ding,NOUN
unserer,unser,DET
Vorfahren,Vorfahr,NOUN
",",--,PUNCT
und,und,CCONJ
ich,ich,PRON
empfand,empfinden,VERB
wirklich,wirklich,ADV
",",--,PUNCT
in,in,ADP
den,der,DET
Dingen,Ding,NOUN
herum,herum,ADV
gehend,gehend,ADV
",",--,PUNCT
die,der,DET
seltsamliche,seltsamlich,ADJ
Freude,Freude,NOUN
und,und,CCONJ
das,der,DET
Vergnügen,Vergnügen,NOUN
",",--,PUNCT
von,von,ADP
denen,der,PRON
Egesippus,Egesippus,NOUN
in,in,ADP
seinem,sein,DET
Spruche,spruch,NOUN
sagt,sagen,VERB
.,--,PUNCT
Dieses,dieser,DET
Vergnügen,Vergnügen,NOUN
haftete,haften,VERB
aber,aber,ADV
nicht,nicht,PART
etwa,etwa,ADV
blos,blos,ADV
in,in,ADP
dem,der,DET
Geiste,Geist,NOUN
des,der,DET
Kindes,Kind,NOUN
",",--,PUNCT
sondern,sondern,CCONJ
es,es,PRON
wuchs,wachsen,VERB
mit,mit,ADP
mir,mir,PRON
auf,auf,ADP
",",--,PUNCT
der,der,PRON
ich,ich,PRON
