Token,Lemma,POS
Die,der,DET
vier,vier,NUM
Töchter,Tochter,NOUN
des,der,DET
Rittmeister,Rittmeister,NOUN
Schimmelmann,Schimmelmann,PROPN
Komischer,Komischer,NOUN
Soldatenroman,Soldatenroman,PROPN
aus,aus,ADP
der,der,DET
guten,gut,ADJ
alten,alt,ADJ
Zeit,Zeit,NOUN
Adolf,Adolf,PROPN
von,von,PROPN
Winterfeld,Winterfeld,PROPN
Volksausgabe,Volksausgabe,NOUN
1.,1.,ADV
Hasenbalg,Hasenbalg,PROPN
in,in,ADP
der,der,DET
guten,gut,ADJ
alten,alt,ADJ
Zeit,Zeit,NOUN
Obgleich,obgleich,SCONJ
Hasenbalg,Hasenbalg,PROPN
erst,erst,ADV
im,in,ADP
Jahre,Jahr,NOUN
1702,1702,NUM
funkelnagelneu,funkelnagelneu,ADV
aufgebaut,aufbauen,VERB
war,sein,AUX
",",--,PUNCT
so,so,ADV
hatte,haben,AUX
es,es,PRON
in,in,ADP
der,der,DET
Zeit,Zeit,NOUN
",",--,PUNCT
in,in,ADP
welcher,welcher,PRON
unsere,unser,DET
Geschichte,Geschichte,NOUN
nun,nun,ADV
bald,bald,ADV
beginnen,beginnen,VERB
wird,werden,AUX
",",--,PUNCT
doch,doch,CCONJ
schon,schon,ADV
wieder,wieder,ADV
ein,ein,DET
altes,alt,ADJ
Gesicht,Gesicht,NOUN
.,--,PUNCT
Jedes,jeder,DET
einzelne,einzeln,ADJ
Gebäude,Gebäude,NOUN
sah,sehen,VERB
aus,aus,ADP
",",--,PUNCT
als,als,SCONJ
säße,säßen,VERB
es,es,PRON
schmerzvoll,schmerzvoll,ADV
zusammengesunken,zusammengesunken,VERB
und,und,CCONJ
mit,mit,ADP
trübgeweinten,Trübgeweint,ADJ
",",--,PUNCT
glasigen,glasig,ADJ
Augen,Auge,NOUN
auf,auf,ADP
dem,der,DET
Grabe,Grab,NOUN
seines,sein,DET
Vorgängers,Vorgänger,NOUN
",",--,PUNCT
den,der,PRON
es,es,PRON
nimmer,nimmer,ADV
und,und,CCONJ
nimmer,nimmer,ADV
vergessen,vergessen,VERB
könne,können,AUX
.,--,PUNCT
Während,während,ADP
eines,ein,DET
so,so,ADV
langjährigen,langjährig,ADJ
Seelenkummers,Seelenkummer,NOUN
geht,gehen,VERB
natürlich,natürlich,ADV
die,der,DET
straffe,straff,ADJ
Haltung,Haltung,NOUN
des,der,DET
Körpers,Körper,NOUN
verloren,verlieren,VERB
",",--,PUNCT
und,und,CCONJ
so,so,ADV
kam,kommen,VERB
es,es,PRON
denn,denn,ADV
auch,auch,ADV
",",--,PUNCT
daß,daß,SCONJ
sämtliche,sämtlicher,DET
Häuser,Haus,NOUN
von,von,ADP
Hasenbalg,Hasenbalg,PROPN
sich,sich,PRON
müde,müde,ADV
eines,ein,DET
auf,auf,ADP
das,der,DET
andere,anderer,PRON
lehnten,lehnen,VERB
",",--,PUNCT
wie,wie,SCONJ
eine,ein,DET
Reihe,Reihe,NOUN
eingeschlafener,eingeschlafen,ADJ
Menschen,Mensch,NOUN
",",--,PUNCT
die,der,PRON
ihre,ihr,DET
Köpfe,Kopf,NOUN
auf,auf,ADP
des,der,DET
Nachbars,Nachbar,PROPN
Schulter,Schulter,NOUN
sinken,sinken,VERB
lassen,lassen,VERB
.,--,PUNCT
Bloß,bloß,ADV
an,an,ADP
dem,der,DET
großen,groß,ADJ
viereckigen,viereckig,ADJ
Markt,Markt,NOUN
trat,treten,VERB
diese,dieser,DET
Erscheinung,Erscheinung,NOUN
weniger,weniger,ADV
auffallend,auffallend,ADV
zutage,zutage,ADV
",",--,PUNCT
als,als,SCONJ
in,in,ADP
den,der,DET
langen,lang,ADJ
",",--,PUNCT
leicht,leicht,ADV
gekrümmten,gekrümmt,ADJ
Straßen,Straße,NOUN
mit,mit,ADP
den,der,DET
verbindenden,verbindend,ADJ
Nebengäßchen,Nebengäßche,NOUN
.,--,PUNCT
Die,der,DET
Häuser,Haus,NOUN
hatten,haben,AUX
hier,hier,ADV
vielleicht,vielleicht,ADV
mehr,mehr,DET
Selbstbewußtsein,Selbstbewußtsein,NOUN
und,und,CCONJ
setzten,setzen,VERB
einen,ein,DET
gerechten,gerecht,ADJ
Stolz,Stolz,NOUN
darein,darein,ADV
",",--,PUNCT
das,der,DET
Herz,Herz,NOUN
der,der,DET
Stadt,Stadt,NOUN
zu,zu,PART
bilden,bilden,VERB
und,und,CCONJ
den,der,DET
berühmten,berühmt,ADJ
Marktplatz,Marktplatz,NOUN
zu,zu,PART
garnieren,garnieren,VERB
",",--,PUNCT
der,der,PRON
nicht,nicht,PART
allein,allein,ADV
durch,durch,ADP
Cannabich,Cannabich,NOUN
verewigt,verewigen,VERB
worden,werden,AUX
ist,sein,AUX
.,--,PUNCT
Außerdem,außerdem,ADV
konnten,können,AUX
sie,sie,PRON
sich,sich,PRON
nicht,nicht,PART
so,so,ADV
ungestört,ungestört,ADV
dem,der,DET
träumerischen,träumerisch,NOUN
Brüten,Brüte,NOUN
überlassen,überlassen,VERB
",",--,PUNCT
wie,wie,ADP
die,der,DET
anderen,anderer,ADJ
Gebäude,Gebäude,NOUN
",",--,PUNCT
denn,denn,CCONJ
die,der,DET
Rekrutenunteroffiziere,Rekrutenunteroffiziere,NOUN
der,der,DET
vier,vier,NUM
Eskadrons,Eskadron,NOUN
mit,mit,ADP
den,der,DET
dazugehörigen,dazugehörig,ADJ
Gefreiten,Gefreite,NOUN
machten,machen,VERB
hier,hier,ADV
den,der,DET
ganzen,ganz,ADJ
Tag,Tag,NOUN
über,über,ADP
einen,ein,DET
solchen,solcher,DET
Höllenspektakel,Höllenspektakel,NOUN
",",--,PUNCT
daß,daß,SCONJ
Schwermut,Schwermut,NOUN
und,und,CCONJ
Melancholie,Melancholie,NOUN
nicht,nicht,PART
dagegen,dagegen,ADV
aufkommen,aufkommen,VERB
konnten,können,AUX
.,--,PUNCT
Die,der,DET
Umgegend,Umgegend,NOUN
der,der,DET
Stadt,Stadt,NOUN
bot,bieten,VERB
auch,auch,ADV
durchaus,durchaus,ADV
keine,kein,DET
landschaftlichen,landschaftlich,ADJ
Reize,Reiz,NOUN
.,--,PUNCT
Sonst,sonst,ADV
sieht,sehen,VERB
man,man,PRON
doch,doch,ADV
bei,bei,ADP
anderen,anderer,ADJ
Orten,Ort,NOUN
ein,ein,DET
Wäldchen,Wäldchen,NOUN
",",--,PUNCT
das,der,PRON
sich,sich,PRON
schweigsam,schweigsam,ADV
ausdehnt,ausdehnen,VERB
",",--,PUNCT
eine,ein,DET
stille,still,ADJ
",",--,PUNCT
blumige,blumig,ADJ
Wiese,Wiese,NOUN
",",--,PUNCT
über,über,ADP
die,der,DET
morgens,morgens,ADV
und,und,CCONJ
abends,abends,ADV
geheimnisvoll,geheimnisvoll,VERB
die,der,DET
Nebel,Nebel,NOUN
wallen,wallen,VERB
;,--,PUNCT
einen,ein,DET
Hügel,Hügel,NOUN
",",--,PUNCT
von,von,ADP
dem,der,PRON
man,man,PRON
in,in,ADP
die,der,DET
weite,weit,ADJ
Welt,Welt,NOUN
schauen,schauen,VERB
kann,können,AUX
",",--,PUNCT
einen,ein,DET
Bach,Bach,PROPN
",",--,PUNCT
der,der,DET
schwatzend,schwatzend,ADV
durch,durch,ADP
die,der,DET
Ebene,Ebene,NOUN
läuft,laufen,VERB
;,--,PUNCT
von,von,ADP
dem,der,DET
allen,alle,PRON
hatte,haben,AUX
Hasenbalgs,Hasenbalgs,PROPN
Feldmark,Feldmark,PROPN
nichts,nichts,PRON
aufzuweisen,aufzuweisen,VERB
;,--,PUNCT
nicht,nicht,PART
einmal,einmal,ADV
des,der,DET
Kornes,Korn,NOUN
bewegte,bewegt,ADJ
