Token,Lemma,POS
Alexander,Alexander,PROPN
von,von,ADP
Ungern-Sternberg,Ungern-Sternberg,PROPN
Die,der,DET
Zerrissenen,Zerrissen,NOUN
(,--,PUNCT
1832,1832,NUM
zuerst,zuerst,ADV
veröffentlicht,veröffentlichen,VERB
),--,PUNCT
Dem,der,DET
Freiherrn,Freiherrn,NOUN
Otto,Otto,PROPN
Magnus,Magnus,PROPN
von,von,ADP
Stackelberg,Stackelberg,PROPN
gewidmet,widmen,VERB
vom,von,ADP
Verfasser,Verfasser,NOUN
Verehrter,Verehrter,NOUN
Landsmann,Landsmann,NOUN
und,und,CCONJ
Freund,Freund,NOUN
!,--,PUNCT
Nicht,nicht,PART
als,als,ADP
eine,ein,DET
Gabe,Gabe,NOUN
",",--,PUNCT
deren,der,DET
Gehalt,Gehalt,NOUN
Ihrem,ihr,DET
Geiste,Geist,NOUN
und,und,CCONJ
Ihren,ihr,DET
Vorzügen,Vorzug,NOUN
schmeichelt,schmeicheln,VERB
",",--,PUNCT
vielmehr,vielmehr,ADV
als,als,ADP
ein,ein,DET
geringes,gering,ADJ
Zeichen,Zeichen,NOUN
meiner,mein,DET
hohen,hoch,ADJ
Achtung,Achtung,NOUN
und,und,CCONJ
Liebe,Liebe,NOUN
für,für,ADP
Ihre,ihr,DET
Person,Person,NOUN
empfangen,empfangen,VERB
Sie,sie,PRON
dieses,dieser,DET
Buch,Buch,NOUN
",",--,PUNCT
das,der,PRON
sich,sich,PRON
mit,mit,ADP
Ihrem,ihr,DET
Namen,Name,NOUN
schmückt,schmücken,VERB
.,--,PUNCT
Stets,stets,ADV
unvergeßlich,unvergeßlich,ADV
wird,werden,AUX
mir,mir,PRON
der,der,DET
Winter,Winter,NOUN
bleiben,bleiben,VERB
",",--,PUNCT
wo,wo,SCONJ
es,es,PRON
mir,mir,PRON
vergönnt,vergönnen,VERB
war,sein,AUX
",",--,PUNCT
in,in,ADP
Ihrer,ihr,DET
Nähe,Nähe,NOUN
zu,zu,PART
leben,leben,VERB
",",--,PUNCT
und,und,CCONJ
der,der,DET
Schätze,Schatz,NOUN
teilhaftig,teilhaftig,ADV
zu,zu,PART
werden,werden,AUX
",",--,PUNCT
die,der,PRON
Sie,sie,PRON
in,in,ADP
erleuchteter,erleuchtet,ADJ
Wissenschaft,Wissenschaft,NOUN
und,und,CCONJ
Kunst,Kunst,NOUN
während,während,ADP
eines,ein,DET
so,so,ADV
reichen,reich,ADJ
Lebens,Leben,NOUN
gesammelt,sammeln,VERB
haben,haben,AUX
;,--,PUNCT
möchte,möchten,AUX
ich,ich,PRON
mich,sich,PRON
auch,auch,ADV
fernerhin,fernerhin,ADV
Ihres,ihr,DET
Andenkens,Andenken,NOUN
freuen,freuen,VERB
dürfen,dürfen,AUX
",",--,PUNCT
und,und,CCONJ
ein,ein,DET
Wohlwollen,Wohlwollen,NOUN
mich,sich,PRON
beglücken,beglücken,VERB
",",--,PUNCT
das,der,PRON
ich,ich,PRON
stets,stets,ADV
als,als,ADP
den,der,DET
schönsten,schön,ADJ
Erfolg,Erfolg,NOUN
meiner,mein,DET
Bestrebungen,Bestrebung,NOUN
ansehen,ansehen,VERB
werde,werden,AUX
.,--,PUNCT
Mannheim,Mannheim,PROPN
",",--,PUNCT
im,in,ADP
Frühling,Frühling,NOUN
1831.,1831.,PUNCT
A.,a.,PROPN
Baron,Baron,PROPN
Sternberg,Sternberg,PROPN
.,--,PUNCT
Es,es,PRON
war,sein,AUX
ein,ein,DET
kühler,kühl,ADJ
Herbstabend,Herbstabend,NOUN
",",--,PUNCT
als,als,SCONJ
der,der,DET
Herzog,Herzog,NOUN
Lothar,Lothar,PROPN
seine,sein,DET
Geliebte,Geliebte,NOUN
",",--,PUNCT
die,der,PRON
in,in,ADP
der,der,DET
Vorstadt,Vorstadt,NOUN
ein,ein,DET
kleines,klein,ADJ
Häuschen,Häuschen,NOUN
besaß,besitzen,VERB
",",--,PUNCT
zu,zu,PART
besuchen,besuchen,VERB
ging,gehen,VERB
.,--,PUNCT
Er,er,PRON
schritt,schreiden,VERB
stillschweigend,stillschweigend,ADV
durch,durch,ADP
die,der,DET
öden,öd,ADJ
Gassen,Gasse,NOUN
in,in,ADP
Gesellschaft,Gesellschaft,NOUN
eines,ein,DET
Mannes,Mann,NOUN
",",--,PUNCT
der,der,PRON
unter,unter,ADP
dem,der,DET
Mantel,Mantel,NOUN
eine,ein,DET
