Token,Lemma,POS
Anna,Anna,PROPN
Rothpletz,Rothpletz,PROPN
Geb,Geb,PROPN
.,--,PUNCT
v.,v.,ADP
Meiß,Meiß,NOUN
(,--,PUNCT
Rosalia,Rosalia,PROPN
Müller,Müller,PROPN
),--,PUNCT
Der,der,DET
Vorabend,Vorabend,NOUN
des,der,DET
Weihnachtsfestes,Weihnachtsfest,NOUN
Was,was,PRON
ist's,ist's,VERB
",",--,PUNCT
das,der,PRON
in,in,ADP
den,der,DET
Tagen,Tag,NOUN
des,der,DET
Advents,Advent,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
die,der,DET
Stürme,Stürm,NOUN
des,der,DET
Dezembers,Dezember,NOUN
unfreundlich,unfreundlich,ADV
wüthen,wüthen,VERB
",",--,PUNCT
und,und,CCONJ
schaurig,schaurig,ADV
dunkle,dunkel,ADJ
Wolken,Wolke,NOUN
keinem,kein,DET
Sonnenblicke,Sonnenblick,NOUN
den,der,DET
Durchgang,durchgang,NOUN
verstatten,verstatten,VERB
",",--,PUNCT
dennoch,dennoch,ADV
die,der,DET
Gemüther,Gemüther,NOUN
der,der,DET
Menschen,Mensch,NOUN
heiter,heit,ADV
stimmt,stimmen,VERB
und,und,CCONJ
alle,aller,PRON
häuslichen,häuslich,ADJ
Interessen,Interesse,NOUN
in,in,ADP
regerem,regerem,ADJ
Leben,Leben,NOUN
durch,durch,ADP
einander,einander,NOUN
treibt,treiben,VERB
?,--,PUNCT
Wo,wo,ADV
liegt,liegen,VERB
der,der,DET
Grund,Grund,NOUN
der,der,DET
frohen,froh,ADJ
Erwartung,Erwartung,NOUN
",",--,PUNCT
die,der,PRON
man,man,PRON
nicht,nicht,PART
nur,nur,ADV
in,in,ADP
den,der,DET
holdseligen,holdselig,ADJ
Gesichtern,Gesicht,NOUN
der,der,DET
muntern,muntern,VERB
Kinderschaar,Kinderschaar,NOUN
abgezeichnet,abzeichnen,VERB
sieht,sehen,VERB
",",--,PUNCT
die,der,PRON
sich,sich,PRON
auch,auch,ADV
in,in,ADP
den,der,DET
Zügen,Zug,NOUN
älterer,ält,ADJ
Personen,Person,NOUN
",",--,PUNCT
oft,oft,ADV
mit,mit,ADP
einer,ein,DET
sanften,sanft,ADJ
Wehmuth,Wehmuth,NOUN
vermischt,vermischen,VERB
",",--,PUNCT
so,so,ADV
sichtbar,sichtbar,ADV
zeigt,zeigen,VERB
?,--,PUNCT
Und,und,CCONJ
warum,warum,ADV
werfen,werfen,VERB
die,der,DET
Lichter,Licht,NOUN
des,der,DET
Weihnachtsfestes,Weihnachtsfest,NOUN
einen,ein,DET
so,so,ADV
wohlthätigen,wohlthätig,ADJ
Schimmer,Schimmer,NOUN
