Token,Lemma,POS
Friedrich,Friedrich,PROPN
Strubberg,Strubberg,PROPN
Armand,Armand,NOUN
Saat,Saat,NOUN
und,und,CCONJ
Ernte,Ernte,NOUN
Roman,Roman,NOUN
Erster,erst,ADJ
Band,Band,NOUN
.,--,PUNCT
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Es,es,PRON
war,sein,AUX
eine,ein,DET
stille,still,ADJ
",",--,PUNCT
sternüberfunkelte,sternüberfunkelen,VERB
",",--,PUNCT
aber,aber,CCONJ
sehr,sehr,ADV
finstere,finster,ADJ
Nacht,Nacht,NOUN
",",--,PUNCT
als,als,ADP
drei,drei,NUM
Reiter,Reiter,PROPN
durch,durch,ADP
einen,einer,PRON
der,der,DET
riesigen,riesig,ADJ
Urwälder,Urwälder,NOUN
Kentuckys,Kentuckys,NOUN
auf,auf,ADP
einer,ein,DET
rohen,roh,ADJ
",",--,PUNCT
ausgefahrenen,ausgefahren,ADJ
Straße,Straße,NOUN
hintrabten,hintraben,VERB
",",--,PUNCT
um,um,SCONJ
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
schien,scheinen,VERB
",",--,PUNCT
baldigst,baldigsen,VERB
ihr,ihr,DET
Ziel,Ziel,NOUN
zu,zu,ADP
erreichen,erreichen,VERB
.,--,PUNCT
Einer,einer,PRON
derselben,derselbe,DET
",",--,PUNCT
ein,ein,DET
herkulisch,herkulisch,ADV
gebauter,gebaut,ADJ
Neger,Neger,NOUN
",",--,PUNCT
ritt,riten,VERB
in,in,ADP
kurzer,Kurzer,ADJ
Entfernung,Entfernung,NOUN
voran,voran,ADV
und,und,CCONJ
trug,tragen,VERB
eine,ein,DET
Fackel,Fackel,NOUN
von,von,ADP
Kienspänen,Kienspän,NOUN
",",--,PUNCT
die,der,PRON
er,er,PRON
in,in,ADP
der,der,DET
großen,groß,ADJ
Faust,Faust,NOUN
emporhielt,emporhieln,VERB
",",--,PUNCT
um,um,SCONJ
für,für,ADP
die,der,DET
beiden,beide,DET
Nachfolgenden,nachfolgend,NOUN
den,der,DET
Weg,Weg,NOUN
zu,zu,PART
erhellen,erhellen,VERB
.,--,PUNCT
Der,der,DET
eine,einer,PRON
von,von,ADP
diesen,dieser,PRON
war,sein,AUX
ein,ein,DET
hoher,hoch,ADJ
",",--,PUNCT
stattlicher,stattlich,ADJ
Mann,Mann,NOUN
von,von,ADP
vornehmem,vornehmem,ADJ
Aeußern,Aeußer,NOUN
und,und,CCONJ
dem,der,DET
Anschein,Anschein,PROPN
nach,nach,ADP
in,in,ADP
einem,ein,DET
Alter,Alter,NOUN
von,von,ADP
einigen,einiger,DET
vierzig,vierzig,NUM
Jahren,Jahr,NOUN
.,--,PUNCT
Er,er,PRON
trug,tragen,VERB
einen,ein,DET
feinen,fein,ADJ
Strohhut,Strohhut,PROPN
mit,mit,ADP
sehr,sehr,ADV
breitem,breit,ADJ
Rande,Rand,NOUN
",",--,PUNCT
Rock,Rock,NOUN
und,und,CCONJ
Beinkleider,Beinkleid,NOUN
von,von,ADP
grau,grau,ADV
und,und,CCONJ
weiß,wissen,VERB
gestreiftem,gestreift,ADJ
Leinen,Leinen,NOUN
",",--,PUNCT
und,und,CCONJ
gelbe,gelb,ADJ
wildlederne,wildledern,ADJ
Schuhe,Schuh,NOUN
ohne,ohne,ADP
Sporen,Spor,NOUN
",",--,PUNCT
woraus,woraus,SCONJ
man,man,PRON
schließen,schließen,VERB
konnte,können,AUX
",",--,PUNCT
daß,daß,SCONJ
der,der,DET
Ritt,Ritt,NOUN
kein,kein,DET
sehr,sehr,ADV
weiter,weiter,ADV
sein,sein,AUX
würde,werden,AUX
.,--,PUNCT
Der,der,DET
dritte,dritter,ADJ
der,der,DET
Reiter,Reiter,NOUN
war,sein,AUX
ein,ein,DET
Knabe,Knabe,NOUN
von,von,ADP
etwa,etwa,ADV
fünfzehn,fünfzehn,NUM
Jahren,Jahr,NOUN
",",--,PUNCT
ein,ein,DET
Bild,Bild,NOUN
jugendlicher,jugendlicher,ADJ
Schönheit,Schönheit,NOUN
.,--,PUNCT
Seine,sein,DET
feinen,fein,VERB
",",--,PUNCT
edel,Edel,ADV
geschnittenen,geschnitten,ADJ
Gesichtszüge,Gesichtszug,NOUN
mit,mit,ADP
griechischem,griechisch,ADJ
Profil,Profil,NOUN
waren,sein,AUX
von,von,ADP
einer,ein,DET
reichen,reich,ADJ
Fülle,Fülle,NOUN
dunkelblonder,dunkelblond,ADJ
Locken,Locke,NOUN
umrahmt,umrahmen,VERB
und,und,CCONJ
von,von,ADP
blauen,blauen,VERB
",",--,PUNCT
geistvollen,geistvoll,ADJ
Augen,Auge,NOUN
belebt,beleben,VERB
.,--,PUNCT
Auch,auch,ADV
er,er,PRON
trug,tragen,VERB
leichte,leicht,ADJ
Schuhe,Schuh,NOUN
",",--,PUNCT
Beinkleider,Beinkleid,NOUN
von,von,ADP
weißem,weiß,ADJ
Leinen,Leinen,NOUN
",",--,PUNCT
eine,ein,DET
kurze,kurz,ADJ
",",--,PUNCT
zierlich,zierlich,ADV
geschnittene,geschnitten,ADJ
Jacke,Jack,NOUN
vom,von,ADP
gleichen,gleich,ADJ
Stoff,Stoff,NOUN
und,und,CCONJ
einen,ein,DET
Strohhut,Strohhut,NOUN
.,--,PUNCT
»,--,PUNCT
Reite,Reite,NOUN
hier,hier,ADV
rechts,rechts,ADV
ab,ab,ADP
durch,durch,ADP
das,der,DET
Holz,Holz,NOUN
",",--,PUNCT
Jack,Jack,NOUN
;,--,PUNCT
vor,vor,ADP
uns,uns,PRON
in,in,ADP
der,der,DET
Straße,Straße,NOUN
ist,sein,AUX
ein,ein,DET
grundloser,grundlos,ADJ
Sumpfplatz,Sumpfplatz,NOUN
«,--,PUNCT
",",--,PUNCT
rief,rufen,VERB
der,der,DET
ältere,alt,ADJ
Herr,Herr,NOUN
dem,der,DET
Neger,Neger,NOUN
zu,zu,ADP
",",--,PUNCT
indem,indem,SCONJ
er,er,PRON
seinen,sein,DET
prächtigen,prächtig,ADJ
Rappen,Rappe,NOUN
zum,zu,ADP
Schritt,Schritt,NOUN
anhielt,anhielt,VERB
und,und,CCONJ
noch,noch,ADV
halblaut,halblaut,ADV
vor,vor,ADP
sich,sich,PRON
hin,hin,ADV
sagte,sagen,VERB
:,--,PUNCT
»,--,PUNCT
Man,man,PRON
wird,werden,AUX
es,es,PRON
gleich,gleich,ADV
gewahr,gewahr,ADV
",",--,PUNCT
wenn,wenn,SCONJ
man,man,PRON
in,in,ADP
die,der,DET
Nähe,Nähe,NOUN
eines,einer,PRON
dieser,dieser,DET
Demokraten,Demokrat,NOUN
kommt,kommen,VERB
;,--,PUNCT
für,für,ADP
das,der,DET
wahre,wahr,ADJ
öffentliche,öffentlich,ADJ
Wohl,Wohl,NOUN
rührt,rühren,VERB
keiner,keiner,PRON
die,der,DET
Hand,Hand,NOUN
.,--,PUNCT
«,--,PUNCT
Der,der,DET
Schwarze,schwarze,NOUN
bog,bogn,VERB
von,von,ADP
dem,der,DET
Fahrweg,Fahrweg,NOUN
ab,ab,ADP
und,und,CCONJ
folgte,folgen,VERB
der,der,DET
Spur,Spur,NOUN
eines,ein,DET
schweren,schwer,ADJ
Wagens,Wagen,NOUN
",",--,PUNCT
in,in,ADP
welcher,welcher,PRON
das,der,DET
hohe,hoch,ADJ
Buschwerk,Buschwerk,NOUN
unter,unter,ADP
Ochsentritten,Ochsentritt,NOUN
und,und,CCONJ
Rädern,Räder,NOUN
niedergebrochen,niedergebrochen,VERB
war,sein,AUX
und,und,CCONJ
welche,welcher,PRON
nach,nach,ADP
einigen,einiger,DET
Schritten,Schritt,NOUN
im,in,ADP
Bogen,Bogen,NOUN
wieder,wieder,ADV
in,in,ADP
die,der,DET
Straße,Straße,NOUN
einlenkte,einlenken,VERB
.,--,PUNCT
Abermals,Abermal,ADV
fielen,fallen,VERB
die,der,DET
Pferde,Pferd,NOUN
in,in,ADP
raschen,rasch,ADJ
Trab,Trab,NOUN
",",--,PUNCT
der,der,DET
Wald,Wald,NOUN
wurde,werden,AUX
lichter,licht,ADV
",",--,PUNCT
und,und,CCONJ
die,der,DET
Reiter,Reiter,PROPN
erreichten,erreichen,VERB
ein,ein,DET
Feld,Feld,NOUN
",",--,PUNCT
an,an,ADP
dessen,der,DET
Einzäunung,Einzäunung,NOUN
hin,hin,ADV
sie,sie,PRON
einem,ein,DET
Seitenwege,Seitenwege,NOUN
folgten,folgen,VERB
.,--,PUNCT
Aus,aus,ADP
der,der,DET
Ferne,Ferne,NOUN
schimmerte,schimmeren,VERB
ihnen,ihnen,PRON
jetzt,jetzt,ADV
ein,ein,DET
Licht,Licht,NOUN
entgegen,entgegen,ADP
;,--,PUNCT
sie,sie,PRON
näherten,nähern,VERB
sich,sich,PRON
demselben,derselbe,PRON
schnell,schnell,ADV
",",--,PUNCT
und,und,CCONJ
bald,bald,ADV
darauf,darauf,ADV
hielten,halten,VERB
sie,sie,PRON
unter,unter,ADP
dem,der,DET
dichten,dicht,ADJ
Laubdach,Laubdach,NOUN
uralter,uralt,ADJ
Bäume,Baum,NOUN
vor,vor,ADP
einem,ein,DET
Blockhause,Blockhause,NOUN
ihre,ihr,DET
Pferde,Pferd,NOUN
an,an,ADP
",",--,PUNCT
aus,aus,ADP
dessen,der,PRON
offener,offen,ADJ
Thür,Thür,NOUN
das,der,DET
grelle,grell,ADJ
Licht,Licht,NOUN
eines,ein,DET
Kaminfeuers,Kaminfeuer,NOUN
hervorströmte,hervorströmen,VERB
.,--,PUNCT
In,in,ADP
demselben,derselbe,DET
Augenblick,Augenblick,NOUN
trat,treten,VERB
eine,ein,DET
Mannsgestalt,Mannsgestalt,NOUN
in,in,ADP
den,der,DET
hellerleuchteten,hellerleuchtet,ADJ
Eingang,Eingang,NOUN
und,und,CCONJ
fragte,fragen,VERB
",",--,PUNCT
die,der,DET
Hand,Hand,NOUN
über,über,ADP
die,der,DET
Augen,Auge,NOUN
haltend,haltend,ADV
:,--,PUNCT
»,--,PUNCT
Wer,wer,PRON
ist,sein,AUX
da,da,ADV
?,--,PUNCT
«,--,PUNCT
Die,der,DET
Reiter,Reiter,NOUN
waren,sein,AUX
abgestiegen,Abgestieg,VERB
",",--,PUNCT
und,und,CCONJ
während,während,SCONJ
der,der,DET
Neger,Neger,NOUN
die,der,DET
Pferde,Pferd,NOUN
mit,mit,ADP
den,der,DET
Zügeln,Zügel,NOUN
an,an,ADP
die,der,DET
Bäume,Baum,NOUN
befestigte,befestigen,VERB
",",--,PUNCT
trat,treten,VERB
der,der,DET
ältere,alt,ADJ
Herr,Herr,NOUN
",",--,PUNCT
ohne,ohne,SCONJ
auf,auf,ADP
die,der,DET
Frage,Frage,NOUN
des,der,DET
Mannes,Mann,NOUN
in,in,ADP
dem,der,DET
Blockhause,Blockhause,NOUN
Antwort,Antwort,NOUN
zu,zu,PART
geben,geben,VERB
",",--,PUNCT
bis,bis,SCONJ
in,in,ADP
den,der,DET
Lichtschein,Lichtschein,NOUN
vor,vor,ADP
denselben,derselbe,PRON
und,und,CCONJ
sagte,sagen,VERB
dann,dann,ADV
mit,mit,ADP
nicht,nicht,PART
freundlichem,freundlich,ADJ
Tone,Tone,NOUN
:,--,PUNCT
»,--,PUNCT
Ich,ich,PRON
bin,sein,AUX
es,es,PRON
",",--,PUNCT
Herr,Herr,NOUN
Randolph,Randolph,PROPN
!,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Sie,sie,PRON
",",--,PUNCT
Herr,Herr,NOUN
Williams,Williams,PROPN
",",--,PUNCT
und,und,CCONJ
noch,noch,ADV
so,so,ADV
spät,spät,ADV
?,--,PUNCT
«,--,PUNCT
erwiderte,erwidern,VERB
der,der,DET
Angeredete,Angeredeter,NOUN
und,und,CCONJ
ging,gehen,VERB
dann,dann,ADV
mit,mit,ADP
den,der,DET
Worten,Wort,NOUN
:,--,PUNCT
»,--,PUNCT
Seien,Sein,AUX
Sie,sie,PRON
willkommen,willkommen,ADV
und,und,CCONJ
treten,treten,VERB
Sie,sie,PRON
ein,ein,ADV
«,--,PUNCT
",",--,PUNCT
aus,aus,ADP
der,der,PRON
Thür,Thür,NOUN
dem,der,DET
Angekommenen,Angekommen,NOUN
entgegen,entgegen,ADP
.,--,PUNCT
»,--,PUNCT
Das,der,DET
Geschäft,Geschäft,NOUN
",",--,PUNCT
welches,welcher,PRON
mich,mich,PRON
zu,zu,ADP
Ihnen,ihnen,PRON
führt,führen,VERB
",",--,PUNCT
Herr,Herr,NOUN
Randolph,Randolph,PROPN
",",--,PUNCT
werden,werden,AUX
wir,wir,PRON
wohl,wohl,ADV
außerhalb,außerhalb,ADP
des,der,DET
Hauses,Haus,NOUN
abzumachen,abzumachen,VERB
haben,haben,AUX
«,--,PUNCT
",",--,PUNCT
versetzte,versetzen,VERB
Williams,Williams,PROPN
und,und,CCONJ
winkte,winken,VERB
seinem,sein,DET
Begleiter,Begleiter,PROPN
",",--,PUNCT
welcher,welcher,SCONJ
sein,sein,DET
Sohn,Sohn,NOUN
Harry,Harry,PROPN
war,sein,AUX
",",--,PUNCT
näher,nah,ADV
heranzutreten,heranzutreten,VERB
.,--,PUNCT
»,--,PUNCT
Sie,sie,PRON
haben,haben,VERB
einen,ein,DET
Mulatten,Mulatt,ADJ
Jeremias,Jeremia,PROPN
",",--,PUNCT
der,der,PRON
sich,sich,PRON
heute,heute,ADV
Nachmittag,Nachmittag,NOUN
erfrecht,erfrecht,VERB
hat,haben,AUX
",",--,PUNCT
auf,auf,ADP
meinem,mein,DET
eigenen,eigen,ADJ
Grund,Grund,NOUN
und,und,CCONJ
Boden,Boden,NOUN
diesen,dieser,DET
meinen,mein,DET
Sohn,Sohn,NOUN
Harry,Harry,PROPN
zu,zu,PART
schimpfen,schimpfen,VERB
und,und,CCONJ
ihm,ihm,PRON
schließlich,schließlich,ADV
damit,damit,ADV
zu,zu,PART
drohen,drohen,VERB
",",--,PUNCT
Hand,Hand,NOUN
an,an,ADP
ihn,ihn,PRON
legen,legen,VERB
zu,zu,PART
wollen,wollen,AUX
.,--,PUNCT
Sie,sie,PRON
wissen,wissen,VERB
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
gesetzliche,gesetzlich,ADJ
Strafe,Strafe,NOUN
dafür,dafür,ADV
hart,hart,ADV
an,an,ADP
sein,sein,DET
Leben,Leben,NOUN
treten,treten,VERB
würde,werden,AUX
.,--,PUNCT
Ich,ich,PRON
will,wollen,AUX
Ihnen,ihnen,PRON
nun,nun,ADV
das,der,DET
Kapital,Kapital,NOUN
nicht,nicht,PART
in,in,ADP
Gefahr,Gefahr,NOUN
bringen,bringen,VERB
",",--,PUNCT
welches,welcher,PRON
Sie,sie,PRON
in,in,ADP
dem,der,DET
Sklaven,Sklave,NOUN
besitzen,besitzen,VERB
",",--,PUNCT
da,da,SCONJ
ich,ich,PRON
weiß,wissen,VERB
",",--,PUNCT
daß,daß,SCONJ
Sie,sie,PRON
es,es,PRON
nicht,nicht,PART
gut,gut,ADV
entbehren,entbehren,VERB
können,können,AUX
",",--,PUNCT
ich,ich,PRON
verlange,verlangen,VERB
aber,aber,ADV
die,der,DET
sofortige,sofortig,ADJ
Züchtigung,Züchtigung,NOUN
des,der,DET
Mulatten,Mulatt,NOUN
und,und,CCONJ
ersuche,ersuch,ADJ
Sie,sie,PRON
",",--,PUNCT
ihn,ihn,PRON
zu,zu,ADP
diesem,dieser,DET
Zweck,Zweck,NOUN
herbei,herbei,ADP
zu,zu,PART
rufen,rufen,VERB
.,--,PUNCT
«,--,PUNCT
Randolph,Randolph,PROPN
war,sein,AUX
sichtbarlich,sichtbarlich,ADV
durch,durch,ADP
die,der,DET
Worte,Wort,NOUN
seines,sein,DET
vornehmen,vornehm,ADJ
Nachbars,Nachbar,NOUN
",",--,PUNCT
des,der,DET
Herrn,Herr,NOUN
Williams,Williams,PROPN
",",--,PUNCT
sehr,sehr,ADV
unangenehm,unangenehm,ADV
berührt,berühren,VERB
",",--,PUNCT
und,und,CCONJ
für,für,ADP
einige,einiger,DET
Augenblicke,Augenblick,NOUN
fehlte,fehlen,VERB
ihm,ihm,PRON
die,der,DET
Antwort,Antwort,NOUN
darauf,darauf,ADV
",",--,PUNCT
dann,dann,ADV
aber,aber,ADV
sagte,sagen,VERB
er,er,PRON
mit,mit,ADP
erzwungener,erzwungen,ADJ
Ruhe,Ruhe,NOUN
:,--,PUNCT
»,--,PUNCT
Die,der,DET
Sache,Sache,NOUN
ist,sein,AUX
mir,mir,PRON
ebenso,ebenso,ADV
unbekannt,unbekannt,ADV
als,als,ADP
leid,Leid,NOUN
",",--,PUNCT
Herr,Herr,NOUN
Williams,Williams,PROPN
",",--,PUNCT
und,und,CCONJ
Sie,sie,PRON
dürfen,dürfen,AUX
sich,sich,PRON
darauf,darauf,ADV
verlassen,verlassen,VERB
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
sie,sie,PRON
streng,streng,ADV
untersuchen,untersuchen,VERB
und,und,CCONJ
dem,der,DET
Manne,Manne,NOUN
die,der,DET
verdiente,verdient,ADJ
Strafe,Strafe,NOUN
geben,geben,VERB
werde,werden,AUX
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Es,es,PRON
scheint,scheinen,VERB
",",--,PUNCT
Herr,Herr,NOUN
",",--,PUNCT
daß,daß,SCONJ
Sie,sie,PRON
die,der,DET
Aussage,Aussage,NOUN
meines,mein,DET
Sohnes,Sohn,NOUN
der,der,DET
des,der,DET
Mulatten,Mulatt,NOUN
unterordnen,unterordnen,NOUN
und,und,CCONJ
nach,nach,ADP
dem,der,DET
Wort,Wort,NOUN
Ihres,Ihr,DET
Sklaven,Sklave,NOUN
einen,ein,DET
Rechtsspruch,Rechtsspruch,NOUN
fällen,fällen,VERB
wollen,wollen,AUX
;,--,PUNCT
Sie,sie,PRON
vergessen,vergessen,VERB
aber,aber,ADV
",",--,PUNCT
daß,daß,SCONJ
Sie,sie,PRON
kein,kein,DET
Richter,Richter,NOUN
sind,sein,AUX
",",--,PUNCT
und,und,CCONJ
wissen,wissen,VERB
vielleicht,vielleicht,ADV
noch,noch,ADV
nicht,nicht,PART
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
Aussage,Aussage,NOUN
eines,ein,DET
Farbigen,Farbig,NOUN
einem,ein,DET
Weißen,weiß,NOUN
gegenüber,gegenüber,ADP
vollständig,vollständig,ADV
nichts,nichts,PRON
ist,sein,AUX
.,--,PUNCT
Ich,ich,PRON
ersuche,ersuchen,VERB
Sie,sie,PRON
um,um,ADP
kurze,kurz,ADJ
einfache,einfach,ADJ
Erklärung,Erklärung,NOUN
",",--,PUNCT
ob,ob,SCONJ
Sie,sie,PRON
den,der,DET
Mulatten,Mulatt,NOUN
augenblicklich,augenblicklich,ADV
stellen,stellen,VERB
wollen,wollen,AUX
",",--,PUNCT
damit,damit,SCONJ
ihm,ihm,PRON
mein,mein,DET
Neger,Neger,NOUN
Jack,Jack,NOUN
fünfzig,fünfzig,NUM
Peitschenhiebe,Peitschenhieb,NOUN
gibt,geben,VERB
",",--,PUNCT
oder,oder,CCONJ
ob,ob,SCONJ
ich,ich,PRON
die,der,DET
Sache,Sache,NOUN
morgen,morgen,ADV
früh,früh,ADV
dem,der,DET
Gericht,Gericht,NOUN
überweisen,überweisen,VERB
soll,sollen,AUX
;,--,PUNCT
geniren,geniren,VERB
Sie,sie,PRON
sich,sich,PRON
nicht,nicht,PART
und,und,CCONJ
thun,thunn,VERB
Sie,sie,PRON
",",--,PUNCT
was,was,PRON
Sie,sie,PRON
für,für,ADP
Ihr,ihr,DET
Interesse,Interesse,NOUN
am,am,PART
besten,gut,ADV
halten,halten,VERB
.,--,PUNCT
«,--,PUNCT
Bei,bei,ADP
diesen,dieser,DET
Worten,Wort,NOUN
hatte,haben,AUX
Williams,Williams,PROPN
die,der,DET
linke,linker,ADJ
Hand,Hand,NOUN
in,in,ADP
seinen,sein,DET
Busen,Busen,NOUN
geschoben,schieben,VERB
",",--,PUNCT
schlug,schlagen,VERB
mit,mit,ADP
seiner,sein,DET
Rechten,rechte,NOUN
die,der,DET
Reitpeitsche,Reitpeitsche,NOUN
spielend,spielend,ADV
gegen,gegen,ADP
sein,sein,DET
Beinkleid,Beinkleid,NOUN
und,und,CCONJ
blickte,blicken,VERB
stolz,stolz,ADV
auf,auf,ADP
den,der,DET
Farmer,Farmer,ADJ
Randolph,Randolph,NOUN
.,--,PUNCT
»,--,PUNCT
Aber,aber,CCONJ
",",--,PUNCT
Herr,Herr,NOUN
Williams,Williams,PROPN
«,--,PUNCT
",",--,PUNCT
sagte,sagen,VERB
dieser,dieser,PRON
heftiger,Heftiger,NOUN
bewegt,bewegen,VERB
",",--,PUNCT
»,--,PUNCT
ohne,ohne,SCONJ
alles,alle,DET
Verhör,Verhör,NOUN
einen,ein,DET
Menschen,Mensch,NOUN
auszupeitschen,auszupeitschen,VERB
–,--,PUNCT
Jerry,Jerry,PROPN
ist,sein,AUX
mir,mir,PRON
immer,immer,ADV
ein,ein,DET
treuer,treu,ADJ
",",--,PUNCT
zuverlässiger,zuverlässig,ADJ
Diener,Diener,NOUN
gewesen,sein,AUX
!,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Warum,warum,ADV
sind,sein,AUX
Sie,sie,PRON
nicht,nicht,PART
in,in,ADP
Ihrem,ihr,DET
Staate,Staate,NOUN
Neuyork,Neuyork,PROPN
geblieben,bleiben,VERB
?,--,PUNCT
«,--,PUNCT
fiel,fallen,VERB
Williams,Williams,PROPN
stolz,stolz,ADV
und,und,CCONJ
geringschätzend,geringschätzend,ADV
ein,ein,ADV
.,--,PUNCT
»,--,PUNCT
Dort,dort,ADV
konnten,können,AUX
Sie,sie,PRON
nach,nach,ADP
Belieben,Belieben,NOUN
Ihre,ihr,DET
Neger,Neger,NOUN
mit,mit,ADP
sich,sich,PRON
auf,auf,ADP
gleiche,gleich,ADJ
Stufe,Stufe,NOUN
stellen,stellen,VERB
und,und,CCONJ
deren,der,DET
Rechte,Recht,NOUN
Ihren,ihr,DET
Nachbarn,Nachbar,NOUN
gegenüber,gegenüber,ADP
in,in,ADP
Schutz,Schutz,NOUN
nehmen,nehmen,VERB
.,--,PUNCT
So,so,ADV
sind,sein,AUX
aber,aber,ADV
diese,dieser,DET
nordischen,nordisch,ADJ
Krämerseelen,Krämerseele,NOUN
;,--,PUNCT
sie,sie,PRON
drängen,dringen,VERB
sich,sich,PRON
zwischen,zwischen,ADP
uns,uns,PRON
",",--,PUNCT
um,um,SCONJ
unter,unter,ADP
dem,der,DET
Schutze,Schutze,NOUN
unserer,unser,DET
Rechte,Recht,NOUN
Geld,Geld,NOUN
zu,zu,PART
verdienen,verdienen,VERB
",",--,PUNCT
und,und,CCONJ
wollen,wollen,AUX
doch,doch,ADV
zugleich,zugleich,ADV
uns,uns,PRON
diese,dieser,DET
Rechte,Recht,NOUN
schmälern,schmälern,VERB
und,und,CCONJ
uns,uns,PRON
womöglich,womöglich,ADV
Gesetze,Gesetz,NOUN
vorschreiben,vorschreiben,VERB
.,--,PUNCT
Merken,Merke,NOUN
Sie,sie,PRON
