Token,Lemma,POS
Arthur,Arthur,PROPN
Schnitzler,Schnitzler,PROPN
Amerika,Amerika,PROPN
Das,der,DET
Schiff,Schiff,NOUN
landet,landen,VERB
;,--,PUNCT
ich,ich,PRON
setze,setzen,VERB
meinen,meinen,DET
Fuß,Fuß,NOUN
auf,auf,ADP
den,der,DET
neuen,neu,ADJ
Weltteil,Weltteil,NOUN
...,--,PUNCT
Der,der,DET
graue,grau,ADJ
Herbstmorgen,Herbstmorg,NOUN
überschattet,überschatten,VERB
Meer,Meer,NOUN
und,und,CCONJ
Land,Land,NOUN
;,--,PUNCT
noch,noch,ADV
schwankt,schwanken,VERB
alles,alle,PRON
unter,unter,ADP
mir,mir,PRON
;,--,PUNCT
noch,noch,ADV
immer,immer,ADV
fühle,fühlen,VERB
ich,ich,PRON
den,der,DET
unruhigen,unruhig,ADJ
Gang,Gang,NOUN
der,der,DET
Wogen,Woge,NOUN
...,--,PUNCT
Aus,aus,ADP
dem,der,DET
Nebel,Nebel,NOUN
erhebt,erheben,VERB
sich,sich,PRON
die,der,DET
Stadt,Stadt,NOUN
...,--,PUNCT
Neben,neben,ADP
mir,mir,PRON
",",--,PUNCT
mit,mit,ADP
offenen,offen,ADJ
Augen,Auge,NOUN
",",--,PUNCT
lebendig,lebendig,ADV
",",--,PUNCT
hastet,hasten,VERB
die,der,DET
Menge,Menge,NOUN
.,--,PUNCT
Nicht,nicht,PART
das,der,DET
Fremde,Fremde,NOUN
empfinden,empfinden,VERB
sie,sie,PRON
;,--,PUNCT
nur,nur,ADV
das,der,DET
Neue,neue,NOUN
.,--,PUNCT
Ich,ich,PRON
höre,hören,VERB
",",--,PUNCT
wie,wie,SCONJ
der,der,PRON
oder,oder,CCONJ
jener,jener,PRON
vor,vor,ADP
sich,sich,PRON
hinflüstert,hinflüsteren,VERB
:,--,PUNCT
Amerika,Amerika,PROPN
–,--,PUNCT
als,als,SCONJ
wenn,wenn,SCONJ
er,er,PRON
sich's,sich's,X
nur,nur,ADV
recht,recht,NOUN
einprägen,einprägen,VERB
wollte,wollen,AUX
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
jetzt,jetzt,ADV
wirklich,wirklich,ADV
hier,hier,ADV
sei,sein,AUX
",",--,PUNCT
so,so,ADV
weit,weit,ADV
!,--,PUNCT
...,--,PUNCT
Ich,ich,PRON
stehe,stehen,VERB
allein,allein,ADV
am,an,ADP
Ufer,Ufer,NOUN
.,--,PUNCT
Nicht,nicht,PART
an,an,ADP
das,der,DET
neue,neu,ADJ
Amerika,Amerika,PROPN
denk,denk,ADV
',--,PUNCT
ich,ich,PRON
",",--,PUNCT
von,von,ADP
dem,der,PRON
ich,ich,PRON
das,der,PRON
Glück,Glück,NOUN
zu,zu,PART
fordern,fordern,VERB
habe,haben,AUX
",",--,PUNCT
das,der,PRON
mir,mir,PRON
die,der,DET
Heimat,Heimat,NOUN
schuldig,schuldig,ADV
geblieben,bleiben,VERB
–,--,PUNCT
ich,ich,PRON
denke,denken,VERB
an,an,ADP
ein,ein,DET
anderes,anderer,PRON
.,--,PUNCT
Ich,ich,PRON
sehe,sehen,VERB
jenes,jener,DET
kleine,klein,ADJ
Zimmer,Zimmer,NOUN
",",--,PUNCT
so,so,ADV
deutlich,deutlich,ADV
sehe,sehen,VERB
ich,ich,PRON
es,es,PRON
",",--,PUNCT
als,als,SCONJ
hätt,Hätt,NOUN
',--,PUNCT
ich,ich,PRON
es,es,PRON
gestern,gestern,ADV
verlassen,verlassen,VERB
",",--,PUNCT
nicht,nicht,PART
vor,vor,ADP
so,so,ADV
vielen,vieler,DET
Jahren,Jahr,NOUN
.,--,PUNCT
Auf,auf,ADP
dem,der,DET
Tisch,Tisch,NOUN
die,der,DET
Lampe,Lampe,NOUN
mit,mit,ADP
dem,der,DET
grünen,grüne,ADJ
Schirm,Schirm,NOUN
",",--,PUNCT
der,der,DET
gestickte,gestickt,ADJ
Lehnsessel,Lehnsessel,NOUN
in,in,ADP
der,der,DET
Ecke,Ecke,NOUN
.,--,PUNCT
Kupferstiche,Kupferstiche,NOUN
hängen,hängen,VERB
an,an,ADP
der,der,DET
Wand,Wand,NOUN
;,--,PUNCT
die,der,DET
Bilder,Bild,NOUN
verschwimmen,verschwimmen,VERB
im,in,ADP
Schatten,Schatten,NOUN
.,--,PUNCT
Anna,Anna,PROPN
ist,sein,AUX
bei,bei,ADP
mir,mir,PRON
.,--,PUNCT
Sie,sie,PRON
liegt,liegen,VERB
mir,mir,PRON
zu,zu,ADP
Füßen,Fuß,NOUN
",",--,PUNCT
den,der,DET
Lockenkopf,Lockenkopf,NOUN
an,an,ADP
mein,mein,DET
Knie,Knie,NOUN
gelehnt,gelehnen,VERB
;,--,PUNCT
ich,ich,PRON
muß,müssen,AUX
mich,sich,PRON
niederbeugen,niederbeugen,VERB
",",--,PUNCT
um,um,SCONJ
in,in,ADP
ihre,ihr,DET
Augen,Auge,NOUN
zu,zu,PART
sehen,sehen,VERB
.,--,PUNCT
Wir,wir,PRON
haben,haben,AUX
aufgehört,aufhören,VERB
zu,zu,PART
plaudern,plaudern,VERB
;,--,PUNCT
der,der,DET
Abend,Abend,NOUN
schreitet,schreiten,VERB
weiter,weiter,ADV
",",--,PUNCT
und,und,CCONJ
stille,still,ADJ
ist's,ist's,NOUN
im,in,ADP
Gemach,Gemach,NOUN
.,--,PUNCT
Draußen,draußen,ADV
beginnt,beginnen,VERB
es,es,PRON
zu,zu,PART
regnen,regnen,VERB
",",--,PUNCT
wir,wir,PRON
hören,hören,VERB
die,der,DET
Tropfen,Tropfen,NOUN
an,an,ADP
die,der,DET
Fensterscheibe,Fensterscheib,NOUN
