Token,Lemma,POS
Arthur,Arthur,PROPN
Schnitzler,Schnitzler,PROPN
Die,der,DET
Braut,Braut,NOUN
Studie,Studie,NOUN
Auf,auf,ADP
einem,ein,DET
Maskenball,Maskenball,NOUN
lernte,lernen,VERB
ich,ich,PRON
sie,sie,PRON
kennen,kennen,VERB
",",--,PUNCT
nach,nach,ADP
Mitternacht,Mitternacht,NOUN
.,--,PUNCT
Ihre,ihr,DET
klugen,klug,ADJ
und,und,CCONJ
ruhigen,ruhig,ADJ
Augen,Auge,NOUN
hatten,haben,AUX
mir,mir,PRON
gefallen,fallen,VERB
und,und,CCONJ
das,der,DET
dunkelblaue,dunkelblau,ADJ
Kleid,Kleid,NOUN
",",--,PUNCT
das,der,PRON
sie,sie,PRON
trug,tragen,VERB
.,--,PUNCT
Sie,sie,PRON
war,sein,AUX
nicht,nicht,PART
maskiert,maskiern,VERB
und,und,CCONJ
machte,machen,VERB
durchaus,durchaus,ADV
kein,kein,DET
Hehl,Hehl,NOUN
aus,aus,ADP
ihrer,ihr,DET
wahren,wahr,ADJ
Person,Person,NOUN
.,--,PUNCT
Sie,sie,PRON
gehörte,gehören,VERB
zur,zu,ADP
Kategorie,Kategorie,NOUN
der,der,DET
aufrichtigen,aufrichtig,ADJ
Dirnen,Dirn,NOUN
und,und,CCONJ
hatte,haben,AUX
selbst,selbst,ADV
in,in,ADP
dem,der,DET
Maskentrubel,Maskentrubel,PROPN
",",--,PUNCT
der,der,PRON
alle,aller,DET
Frauen,Frau,NOUN
so,so,ADV
sehr,sehr,ADV
dazu,dazu,ADV
reizt,reizen,VERB
",",--,PUNCT
durchaus,durchaus,ADV
kein,kein,DET
Bedürfnis,Bedürfnis,NOUN
",",--,PUNCT
Komödie,Komödie,NOUN
zu,zu,PART
spielen,spielen,VERB
.,--,PUNCT
Das,der,PRON
erfrischte,erfrischten,VERB
mich,mich,PRON
",",--,PUNCT
da,da,SCONJ
ich,ich,PRON
mich,sich,PRON
von,von,ADP
all,all,DET
den,der,DET
trivialen,trivial,NOUN
Faschingslügen,Faschingslüg,NOUN
",",--,PUNCT
die,der,PRON
mich,mich,PRON
umschwirrten,umschwirren,VERB
.,--,PUNCT
recht,recht,ADV
ermüdet,ermüden,VERB
und,und,CCONJ
angewidert,anwidern,VERB
fühlte,fühlen,VERB
.,--,PUNCT
Sie,sie,PRON
war,sein,AUX
ungewöhnlich,ungewöhnlich,ADV
intelligent,intelligent,ADV
",",--,PUNCT
man,man,PRON
hörte,hören,VERB
es,es,PRON
ihren,ihr,DET
Reden,Rede,NOUN
und,und,CCONJ
sah,sehen,VERB
es,es,PRON
ihren,ihr,DET
Bewegungen,Bewegung,NOUN
an,an,ADP
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
aus,aus,ADP
besseren,gut,ADJ
Kreisen,Kreis,NOUN
herkam,herkommen,VERB
.,--,PUNCT
Bei,bei,ADP
ihr,ihr,PRON
lag,liegen,VERB
die,der,DET
Frage,Frage,NOUN
besonders,besonders,ADV
nahe,nahe,ADV
",",--,PUNCT
die,der,PRON
man,man,PRON
so,so,ADV
oft,oft,ADV
an,an,ADP
Weiber,Weiber,NOUN
ihrer,ihr,DET
Art,Art,NOUN
stellt,stellen,VERB
",",--,PUNCT
um,um,SCONJ
schließlich,schließlich,ADV
immer,immer,ADV
dieselbe,derselbe,DET
abgedroschene,abgedroschen,ADJ
Geschichte,Geschichte,NOUN
zu,zu,PART
hören,hören,VERB
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
denn,denn,ADV
eigentlich,eigentlich,ADV
dahin,dahin,ADV
mit,mit,ADP
ihnen,ihnen,PRON
gekommen,kommen,VERB
.,--,PUNCT
Von,von,ADP
dieser,dieser,DET
aber,aber,ADV
mit,mit,ADP
den,der,DET
klugen,klug,ADJ
Augen,Auge,NOUN
vermutete,vermuten,VERB
ich,ich,PRON
etwas,etwas,PRON
anderes,anderer,PRON
zu,zu,PART
vernehmen,vernehmen,VERB
",",--,PUNCT
und,und,CCONJ
darum,darum,ADV
blieb,bleiben,VERB
ich,ich,PRON
mit,mit,ADP
ihr,ihr,PRON
zusammen,zusammen,ADV
.,--,PUNCT
Es,es,PRON
ging,gehen,VERB
gegen,gegen,ADP
Morgen,Morgen,NOUN
zu,zu,ADP
",",--,PUNCT
als,als,SCONJ
wir,wir,PRON
",",--,PUNCT
vom,von,ADP
Champagner,Champagner,NOUN
ein,ein,DET
wenig,wenig,PRON
angeduselt,angeduseln,VERB
",",--,PUNCT
einen,ein,DET
Wagen,Wagen,NOUN
nahmen,nehmen,VERB
und,und,CCONJ
in,in,ADP
den,der,DET
Prater,Prater,NOUN
fuhren,fahren,VERB
.,--,PUNCT
Es,es,PRON
war,sein,AUX
im,in,ADP
März,März,NOUN
",",--,PUNCT
eine,ein,DET
merkwürdig,merkwürdig,ADV
linde,lind,ADJ
Nacht,Nacht,NOUN
.,--,PUNCT
Momente,Moment,NOUN
lang,lang,ADV
hatte,haben,VERB
ich,ich,PRON
das,der,DET
Gefühl,Gefühl,NOUN
",",--,PUNCT
als,als,SCONJ
wenn,wenn,SCONJ
da,da,ADV
ein,ein,DET
Wesen,Wesen,NOUN
an,an,ADP
meiner,mein,DET
Seite,Seite,NOUN
lehnte,lehnen,VERB
",",--,PUNCT
das,der,PRON
ich,ich,PRON
schon,schon,ADV
lange,lange,ADV
",",--,PUNCT
lange,lange,ADV
kannte,kennen,VERB
und,und,CCONJ
sehr,sehr,ADV
lieb,leiben,NOUN
hätte,haben,AUX
.,--,PUNCT
Mir,mir,PRON
war,sein,AUX
sehr,sehr,ADV
wohl,wohl,ADV
neben,neben,ADP
