Token,Lemma,POS
Arthur,Arthur,PROPN
Schnitzler,Schnitzler,PROPN
Gespräch,Gespräch,NOUN
in,in,ADP
der,der,DET
Kaffeehausecke,Kaffeehausecke,NOUN
»,--,PUNCT
Hier,hier,ADV
wollen,wollen,AUX
wir,wir,PRON
bleiben,bleiben,VERB
«,--,PUNCT
",",--,PUNCT
sagte,sagen,VERB
Anatol,Anatol,PROPN
und,und,CCONJ
ließ,lassen,VERB
sich,sich,PRON
auf,auf,ADP
dem,der,DET
roten,rot,ADJ
Samtfauteuil,Samtfauteuil,PROPN
nieder,nieder,ADV
.,--,PUNCT
Fred,Fred,PROPN
setzte,setzen,VERB
sich,sich,PRON
ihm,ihm,PRON
gegenüber,gegenüber,ADP
und,und,CCONJ
zog,ziehen,VERB
die,der,DET
gelben,gelb,ADJ
Fenstervorhänge,Fenstervorhang,NOUN
fester,fest,ADV
zu,zu,ADP
.,--,PUNCT
Es,es,PRON
war,sein,AUX
spät,spät,ADV
am,an,ADP
Abend,Abend,NOUN
und,und,CCONJ
das,der,DET
Kaffeehaus,Kaffeehaus,NOUN
wenig,wenig,PRON
besucht,besuchen,VERB
.,--,PUNCT
Über,über,ADP
den,der,DET
Billardtischen,Billardtische,NOUN
waren,sein,AUX
die,der,DET
Gasflammen,Gasflamme,NOUN
ausgedreht,ausgedrehen,VERB
",",--,PUNCT
die,der,DET
Kassierin,Kassierin,NOUN
rechnete,rechnen,VERB
weiter,weiter,ADV
",",--,PUNCT
nachdem,nachdem,SCONJ
sie,sie,PRON
einen,ein,DET
flüchtigen,flüchtig,ADJ
Blick,Blick,NOUN
auf,auf,ADP
die,der,DET
Neueingetretenen,Neueingetreten,NOUN
geworfen,werfen,VERB
.,--,PUNCT
»,--,PUNCT
Da,da,ADV
gefällt,fällen,VERB
es,es,PRON
mir,mir,PRON
«,--,PUNCT
",",--,PUNCT
fuhr,fahren,VERB
Anatol,Anatol,PROPN
fort,fort,ADV
",",--,PUNCT
nachdem,nachdem,SCONJ
er,er,PRON
sich,sich,PRON
eine,ein,DET
neue,neu,ADJ
Zigarre,Zigarre,NOUN
angezündet,anzünden,VERB
.,--,PUNCT
»,--,PUNCT
Kein,kein,DET
Lärm,Lärm,NOUN
",",--,PUNCT
sehr,sehr,ADV
angenehm,angenehm,ADV
zu,zu,PART
sitzen,sitzen,VERB
",",--,PUNCT
der,der,DET
Tisch,Tisch,NOUN
wackelt,wackeln,VERB
nicht,nicht,PART
–,--,PUNCT
ja,ja,PART
",",--,PUNCT
da,da,ADV
bleiben,bleiben,VERB
wir,wir,PRON
.,--,PUNCT
«,--,PUNCT
 , ,SPACE
»,--,PUNCT
Aber,aber,CCONJ
kein,kein,DET
Kellner,Kellner,NOUN
zu,zu,PART
sehen,sehen,VERB
«,--,PUNCT
",",--,PUNCT
warf,werfen,VERB
Fred,Fred,PROPN
ein,ein,ADV
",",--,PUNCT
obwohl,obwohl,SCONJ
ihn,ihn,PRON
bereits,bereits,ADV
zwei,zwei,NUM
derselben,derselbe,DET
gefragt,fragen,VERB
hatten,haben,AUX
",",--,PUNCT
was,was,PRON
er,er,PRON
befehle,befehlen,VERB
.,--,PUNCT
In,in,ADP
diesem,dieser,DET
Augenblick,Augenblick,NOUN
standen,stehen,VERB
auch,auch,ADV
schon,schon,ADV
die,der,DET
zwei,zwei,NUM
Tassen,Tasse,NOUN
schwarzen,schwarz,ADJ
Kaffees,Kaffee,NOUN
",",--,PUNCT
die,der,PRON
Anatol,Anatol,PROPN
bestellt,bestellen,VERB
hatte,haben,AUX
",",--,PUNCT
vor,vor,ADP
den,der,DET
beiden,beide,DET
Freunden,Freund,NOUN
.,--,PUNCT
»,--,PUNCT
Ach,ach,INTJ
so,so,ADV
«,--,PUNCT
",",--,PUNCT
sagte,sagen,VERB
Fred,Fred,PROPN
und,und,CCONJ
warf,werfen,VERB
zwei,zwei,NUM
Stück,Stück,NOUN
Zucker,Zucker,NOUN
in,in,ADP
seine,sein,DET
Tasse,Taß,NOUN
.,--,PUNCT
»,--,PUNCT
Findest,Findest,PROPN
du,du,PRON
nicht,nicht,PART
auch,auch,ADV
",",--,PUNCT
daß,daß,SCONJ
wir,wir,PRON
hier,hier,ADV
bleiben,bleiben,VERB
könnten,können,AUX
?,--,PUNCT
«,--,PUNCT
fragte,fragen,VERB
Anatol,Anatol,PROPN
.,--,PUNCT
»,--,PUNCT
Das,der,DET
Lokal,Lokal,NOUN
hat,haben,VERB
etwas,etwas,PRON
Alt-Wienerisches,Alt-Wienerische,ADJ
",",--,PUNCT
was,wer,PRON
mir,mir,PRON
sehr,sehr,ADV
sympathisch,sympathisch,ADV
ist,sein,AUX
.,--,PUNCT
Die,der,DET
Billards,Billard,NOUN
sind,sein,AUX
viel,viel,ADV
zu,zu,PART
lang,lang,ADV
",",--,PUNCT
die,der,DET
Kassierin,Kassierin,NOUN
ist,sein,AUX
viel,viel,ADV
zu,zu,PART
häßlich,häßlich,ADV
",",--,PUNCT
die,der,DET
Decke,Decke,NOUN
ist,sein,AUX
viel,viel,ADV
zu,zu,PART
grau,grau,ADV
",",--,PUNCT
die,der,DET
Beleuchtung,Beleuchtung,NOUN
viel,viel,ADV
zu,zu,PART
schlecht,schlecht,ADV
–,--,PUNCT
lauter,lauter,DET
Dinge,Ding,NOUN
",",--,PUNCT
die,der,PRON
ich,ich,PRON
sehr,sehr,ADV
hübsch,hübsch,ADV
finde,finden,VERB
.,--,PUNCT
Und,und,CCONJ
dabei,dabei,ADV
",",--,PUNCT
wie,wie,ADV
gesagt,sagen,VERB
",",--,PUNCT
sitzt,sitzen,VERB
man,man,PRON
sehr,sehr,ADV
angenehm,angenehm,ADV
