Token,Lemma,POS
August,August,PROPN
Becker,Becker,PROPN
Die,der,DET
Nonnensusel,Nonnensusel,NOUN
Ein,ein,DET
Bauernroman,Bauernroman,NOUN
aus,aus,ADP
dem,der,DET
Pfälzischen,Pfälzischen,ADJ
Wasgau,Wasgau,PROPN
Einleitung,Einleitung,NOUN
Das,der,DET
stille,still,ADJ
Dorf,Dorf,NOUN
Weniger,weniger,PRON
bekannt,bekannt,ADV
als,als,ADP
das,der,DET
goldene,golden,ADJ
Weinland,Weinland,NOUN
an,an,ADP
der,der,DET
Haardt,Haardt,PROPN
ist,sein,AUX
dessen,der,PRON
südliche,südlich,NOUN
Fortsetzung,Fortsetzung,NOUN
gegen,gegen,ADP
das,der,DET
Elsaß,Elsaß,PROPN
hin,hin,ADV
",",--,PUNCT
die,der,DET
Landschaft,Landschaft,NOUN
an,an,ADP
der,der,DET
Grenze,Grenze,NOUN
von,von,ADP
Landau,Landau,PROPN
bis,bis,ADP
Weißenburg,Weißenburg,PROPN
.,--,PUNCT
In,in,ADP
den,der,DET
Chroniken,Chronik,NOUN
des,der,DET
späten,spät,ADJ
Mittelalters,Mittelalter,NOUN
wird,werden,AUX
sie,sie,PRON
als,als,ADP
»,--,PUNCT
Niederer,Niederer,NOUN
Wasgau,Wasgau,PROPN
«,--,PUNCT
bezeichnet,bezeichnen,VERB
:,--,PUNCT
Den,der,DET
Pfälzern,Pfälzern,NOUN
gilt,gelten,VERB
sie,sie,PRON
als,als,ADP
das,der,DET
Oberland,Oberland,PROPN
",",--,PUNCT
die,der,DET
»,--,PUNCT
Alte,alt,ADJ
Welt,Welt,NOUN
«,--,PUNCT
",",--,PUNCT
wo,wo,SCONJ
sich,sich,PRON
noch,noch,ADV
viel,viel,DET
ursprüngliches,ursprünglich,ADJ
Volkstum,Volkstum,NOUN
bewahrt,bewahren,VERB
hat,haben,AUX
.,--,PUNCT
Aus,aus,ADP
der,der,DET
Rheinebene,Rheinebene,PROPN
zwischen,zwischen,ADP
Queich,Queich,ADV
und,und,CCONJ
Lauter,Lauter,NOUN
zum,zu,ADP
Wasgenwald,Wasgenwald,NOUN
hinansteigend,hinansteigend,ADV
",",--,PUNCT
schloß,schließen,VERB
die,der,DET
Landschaft,Landschaft,NOUN
das,der,PRON
frühere,früh,ADJ
Gebiet,Gebiet,NOUN
der,der,DET
am,an,ADP
Fuß,Fuß,NOUN
der,der,DET
Vogesen,Vogesen,NOUN
vom,von,ADP
fränkisch-austrasischen,fränkisch-austrasisch,ADJ
König,König,NOUN
Dagobert,Dagobert,PROPN
gestifteten,gestiftet,ADJ
Abteien,Abtei,NOUN
Klingenmünster,Klingenmünster,PROPN
und,und,CCONJ
Weißenburg,Weißenburg,PROPN
ein,ein,ADV
.,--,PUNCT
Es,es,PRON
ist,sein,AUX
eine,ein,DET
schöne,schön,ADJ
Landschaft,Landschaft,NOUN
",",--,PUNCT
reich,reich,ADV
gesegnet,segnen,VERB
vom,von,ADP
Rheinstrom,Rheinstrom,NOUN
bis,bis,ADP
zum,zu,ADP
Saum,Saum,NOUN
des,der,DET
Gebirges,Gebirges,NOUN
",",--,PUNCT
dessen,der,DET
vorderer,vorder,ADJ
Kamm,Kamm,NOUN
die,der,DET
tiefen,tief,ADJ
Forsten,Forst,NOUN
der,der,DET
Weißenburger,Weißenburger,ADJ
Mundat,Mundat,NOUN
und,und,CCONJ
des,der,DET
Abtswaldes,Abtswald,NOUN
von,von,ADP
Klingenmünster,Klingenmünster,PROPN
trägt,tragen,VERB
.,--,PUNCT
Von,von,ADP
Kastanienbäumen,Kastanienbäum,NOUN
umrauscht,umrauschen,VERB
",",--,PUNCT
von,von,ADP
Reben,Reb,NOUN
umsponnen,umsponnen,VERB
",",--,PUNCT
rückt,rücken,VERB
der,der,DET
alte,alt,ADJ
Vogesus,Vogesus,NOUN
etwas,etwas,ADV
weiter,weiter,ADV
in,in,ADP
die,der,DET
Rheinebene,Rheinebene,PROPN
vor,vor,ADP
.,--,PUNCT
Hohe,hoch,ADJ
angebaute,angebaut,ADJ
