Token,Lemma,POS
August,August,PROPN
Kopisch,Kopisch,PROPN
Ein,ein,DET
Carnevalsfest,Carnevalsfest,NOUN
auf,auf,ADP
Ischia,Ischia,PROPN
Novelle,Novelle,NOUN
Auf,auf,ADP
der,der,DET
glückseligen,glückselig,ADJ
Insel,Insel,NOUN
Ischia,Ischia,PROPN
",",--,PUNCT
die,der,PRON
mit,mit,ADP
allem,alle,PRON
Segen,Segen,NOUN
Gottes,Gott,NOUN
reichlich,reichlich,ADV
überschüttet,überschütten,VERB
ist,sein,AUX
",",--,PUNCT
lebte,leben,VERB
zu,zu,ADP
einer,ein,DET
Zeit,Zeit,NOUN
ein,ein,DET
vornehmer,vornehm,ADJ
Mann,Mann,NOUN
",",--,PUNCT
von,von,ADP
den,der,DET
Leuten,Leute,NOUN
schlechthin,schlechthin,ADV
Don,Don,PROPN
Antonio,Antonio,PROPN
genannt,nennen,VERB
",",--,PUNCT
welcher,welcher,PRON
in,in,ADP
seiner,sein,DET
Lebensweise,Lebensweise,NOUN
von,von,ADP
den,der,DET
meisten,meister,PRON
seinesgleichen,seinesgleichen,VERB
das,der,DET
Widerspiel,Widerspiel,NOUN
war,sein,AUX
.,--,PUNCT
Er,er,PRON
verprahlte,verprahlten,VERB
sein,sein,DET
Geld,Geld,NOUN
nicht,nicht,PART
in,in,ADP
der,der,DET
Residenz,Residenz,NOUN
",",--,PUNCT
weder,weder,CCONJ
mit,mit,ADP
schönen,schön,ADJ
Tänzerinnen,Tänzerinn,NOUN
noch,noch,ADV
Sängerinnen,sängerinnen,NOUN
",",--,PUNCT
auch,auch,ADV
ward,werden,VERB
es,es,PRON
weder,weder,CCONJ
verbankettiert,verbankettiert,VERB
",",--,PUNCT
noch,noch,CCONJ
vertändelt,vertändeln,VERB
",",--,PUNCT
noch,noch,ADV
verspielt,verspielen,VERB
",",--,PUNCT
noch,noch,ADV
auf,auf,ADP
schönen,schön,ADJ
Pferden,Pferd,NOUN
vergaloppiert,vergaloppiern,VERB
.,--,PUNCT
Er,er,PRON
überließ,überlassen,VERB
die,der,DET
Verwaltung,Verwaltung,NOUN
seiner,sein,DET
Güter,Gut,NOUN
auch,auch,ADV
nicht,nicht,PART
",",--,PUNCT
wie,wie,ADV
viele,vieler,PRON
Herren,Herr,NOUN
",",--,PUNCT
den,der,DET
Händen,Hand,NOUN
habgieriger,habgierig,ADV
oder,oder,CCONJ
fahrlässiger,fahrlässig,ADJ
Schaffner,Schaffner,NOUN
",",--,PUNCT
hielt,halten,VERB
es,es,PRON
auch,auch,ADV
nicht,nicht,PART
für,für,ADP
wohlgetan,Wohlgetan,ADV
",",--,PUNCT
alles,alle,PRON
in,in,ADP
Bausch,Bausch,NOUN
und,und,CCONJ
Bogen,Bogen,NOUN
zu,zu,PART
verpachten,verpachten,VERB
",",--,PUNCT
um,um,SCONJ
in,in,ADP
Gemächlichkeit,Gemächlichkeit,NOUN
gleichsam,gleichsam,ADV
den,der,DET
Rahm,Rahm,NOUN
von,von,ADP
der,der,DET
Milch,Milch,NOUN
zu,zu,PART
essen,essen,VERB
",",--,PUNCT
während,während,SCONJ
andre,Andre,PROPN
sich,sich,PRON
mühten,mühten,VERB
und,und,CCONJ
plagten,plagten,VERB
.,--,PUNCT
Nein,nein,PART
",",--,PUNCT
er,er,PRON
hielt,halten,VERB
es,es,PRON
für,für,ADP
sehr,sehr,ADV
anständig,anständig,ADV
und,und,CCONJ
vornehm,vornehm,ADV
",",--,PUNCT
wirklich,wirklich,ADV
Herr,Herr,NOUN
der,der,DET
Scholle,Scholle,NOUN
zu,zu,PART
sein,sein,AUX
",",--,PUNCT
womit,womit,SCONJ
Gott,Gott,NOUN
ihm,ihm,PRON
ein,ein,DET
Geschenk,Geschenk,NOUN
gemacht,machen,VERB
",",--,PUNCT
und,und,CCONJ
zwar,zwar,ADV
ein,ein,DET
ziemlich,ziemlich,ADV
ansehnliches,ansehnliches,NOUN
:,--,PUNCT
denn,denn,CCONJ
er,er,PRON
besaß,besitzen,VERB
manches,mancher,DET
Obst,Obst,NOUN
und,und,CCONJ
Ackerland,Ackerland,NOUN
in,in,ADP
den,der,DET
Niederungen,Niederung,NOUN
am,an,ADP
Meere,Meer,NOUN
",",--,PUNCT
manche,mancher,DET
schöne,schön,ADJ
Lehne,Lehn,NOUN
mit,mit,ADP
guten,gut,ADJ
Reben,Reb,NOUN
",",--,PUNCT
dazu,dazu,ADV
wohlgebaute,wohlgebaute,ADV
Landhäuser,Landhaus,NOUN
mit,mit,ADP
mancherlei,mancherlei,DET
zierlichen,zierlich,ADJ
Kunstwerken,Kunstwerke,NOUN
ausgeschmückt,ausgeschmücken,VERB
",",--,PUNCT
alles,alle,PRON
sehr,sehr,ADV
fröhlich,fröhlich,ADV
und,und,CCONJ
wohlgelegen,wohlgelegen,VERB
.,--,PUNCT
Seine,sein,DET
gewaltigen,gewaltig,ADJ
Thunfischnetze,Thunfischnetze,NOUN
ließ,lassen,VERB
er,er,PRON
weit,weit,ADV
ins,in,ADP
Meer,Meer,NOUN
hinbreiten,hinbreiten,VERB
",",--,PUNCT
seine,sein,DET
Wachtelnetze,Wachtelnetz,NOUN
hing,hehen,VERB
er,er,PRON
wie,wie,ADP
