Token,Lemma,POS
Brausejahre,Brausejahr,NOUN
Bilder,Bild,NOUN
aus,aus,ADP
Weimars,Weimar,PROPN
Blütezeit,Blütezeit,NOUN
A.,a.,NOUN
v.,V.,ADP
d.,d.,DET
Elbe,Elbe,PROPN
(,--,PUNCT
A.,a.,NOUN
v.,V.,ADP
d.,d.,ADJ
Decken,Decke,NOUN
),--,PUNCT
Vorliegendes,Vorliegend,ADJ
Buch,Buch,NOUN
ist,sein,AUX
kein,kein,DET
literarhistorisches,literarhistorisch,ADJ
Essay,Essay,NOUN
",",--,PUNCT
sondern,sondern,CCONJ
ein,ein,DET
Roman,Roman,NOUN
.,--,PUNCT
Die,der,DET
nochmalige,nochmalig,ADJ
Erwähnung,Erwähnung,NOUN
dieser,dieser,DET
unter,unter,ADP
dem,der,DET
Titel,Titel,NOUN
stehenden,stehend,ADJ
Tatsache,Tatsache,NOUN
erscheint,erscheinen,VERB
vielleicht,vielleicht,ADV
befremdlich,befremdlich,ADV
–,--,PUNCT
es,es,PRON
geschieht,geschehen,VERB
",",--,PUNCT
um,um,SCONJ
jene,jener,PRON
vor,vor,ADP
dem,der,DET
Buche,Buch,NOUN
zu,zu,PART
warnen,warnen,VERB
",",--,PUNCT
welche,welcher,PRON
im,in,ADP
Zeitbilde,Zeitbilde,PROPN
die,der,DET
historische,historisch,ADJ
Treue,Treue,NOUN
",",--,PUNCT
alles,aller,DET
Schmuckes,Schmuck,NOUN
bar,bar,ADV
",",--,PUNCT
allein,allein,ADV
gelten,gelten,VERB
lassen,lassen,VERB
;,--,PUNCT
–,--,PUNCT
da,da,ADV
",",--,PUNCT
wo,wo,SCONJ
»,--,PUNCT
die,der,DET
alte,alt,ADJ
Schwiegermutter,Schwiegermutter,ADJ
Weisheit,Weisheit,NOUN
«,--,PUNCT
ungestraft,ungestraft,ADV
»,--,PUNCT
das,der,DET
zarte,zart,ADJ
Seelchen,Seelchen,NOUN
Phantasie,Phantasie,NOUN
«,--,PUNCT
beleidigen,beleidigen,VERB
darf,dürfen,AUX
–,--,PUNCT
wird,werden,AUX
diese,dieser,DET
Erzählung,Erzählung,NOUN
keine,kein,DET
heimatliche,heimatlich,ADJ
Stätte,Stätte,NOUN
finden,finden,VERB
",",--,PUNCT
mißtrauische,mißtrauisch,ADJ
Blicke,Blick,NOUN
werden,werden,AUX
sie,sie,PRON
empfangen,empfangen,VERB
und,und,CCONJ
unzufrieden,unzufrieden,VERB
sie,sie,PRON
entlassen,entlassen,VERB
.,--,PUNCT
Allen,alle,PRON
denen,der,PRON
aber,aber,ADV
",",--,PUNCT
welche,welcher,PRON
der,der,DET
Phantasie,Phantasie,NOUN
einige,einiger,DET
Rechte,Recht,NOUN
zugestehen,zugestehen,VERB
",",--,PUNCT
welche,welcher,PRON
mit,mit,ADP
den,der,DET
Gestalten,Gestalt,NOUN
des,der,DET
Weimarer,Weimarer,ADJ
Goethe-Kreises,Goethe-Kreis,NOUN
in,in,ADP
zwanglosem,zwangloser,DET
Verkehr,Verkehr,NOUN
vertraut,vertraut,ADV
werden,werden,AUX
und,und,CCONJ
etwas,etwas,PRON
von,von,ADP
dem,der,DET
bunten,bunt,ADJ
Treiben,treiben,NOUN
einer,ein,DET
denkwürdigen,denkwürdig,ADJ
Zeit,Zeit,NOUN
miterleben,miterleben,VERB
möchten,möchten,AUX
",",--,PUNCT
biete,bieten,VERB
ich,ich,PRON
die,der,DET
»,--,PUNCT
Brausejahre,Brausejahr,NOUN
«,--,PUNCT
getrost,getrost,ADV
an,an,ADP
.,--,PUNCT
Daß,daß,SCONJ
die,der,DET
Bedeutung,Bedeutung,NOUN
des,der,DET
Gegenstandes,Gegenstand,NOUN
ein,ein,DET
gewissenhaftes,gewissenhaft,ADJ
Studium,Studium,NOUN
des,der,DET
bisher,bisher,ADV
zugänglichen,zugänglich,ADJ
literarhistorischen,literarhistorisch,ADJ
Materials,Material,NOUN
erforderte,erfordert,VERB
",",--,PUNCT
bedarf,bedürfen,VERB
kaum,kaum,ADV
der,der,DET
Erwähnung,Erwähnung,NOUN
",",--,PUNCT
denn,denn,CCONJ
nur,nur,ADV
auf,auf,ADP
dieser,dieser,DET
Grundlage,Grundlage,NOUN
konnte,können,AUX
ein,ein,DET
lebendiges,lebendig,ADJ
Bild,Bild,NOUN
von,von,ADP
Zeit,Zeit,NOUN
und,und,CCONJ
Menschen,Mensch,NOUN
entstehen,entstehen,VERB
.,--,PUNCT
Möchten,Möchten,AUX
viele,vieler,PRON
durch,durch,ADP
den,der,DET
Roman,Roman,NOUN
zur,zu,ADP
eingehenden,eingehend,ADJ
Beschäftigung,Beschäftigung,NOUN
mit,mit,ADP
jener,jener,PRON
interessanten,interessant,ADJ
Epoche,Epoche,NOUN
unserer,unser,DET
Literatur,Literatur,NOUN
angeregt,anregen,VERB
werden,werden,AUX
!,--,PUNCT
Diesem,dieser,DET
höheren,hoch,ADJ
Zwecke,Zweck,NOUN
sollen,sollen,AUX
die,der,DET
»,--,PUNCT
Brausejahre,Brausejahr,NOUN
«,--,PUNCT
gern,gern,ADV
dienen,dienen,VERB
.,--,PUNCT
A.,a.,PROPN
v.,v.,ADP
d.,d.,DET
Elbe,Elbe,PROPN
(,--,PUNCT
A.,A.,NOUN
v.,V.,ADP
d.,d.,ADJ
Decken,Decke,NOUN
),--,PUNCT
.,--,PUNCT
Die,der,DET
Stätte,Stätte,NOUN
",",--,PUNCT
die,der,PRON
ein,ein,DET
guter,gut,ADJ
Mensch,Mensch,NOUN
betrat,betreten,VERB
",",--,PUNCT
Ist,sein,AUX
eingeweiht,einweihen,VERB
;,--,PUNCT
nach,nach,ADP
hundert,hundert,NUM
Jahren,Jahr,NOUN
klingt,klingen,VERB
Sein,sein,DET
Wort,Wort,NOUN
und,und,CCONJ
seine,sein,DET
