Token,Lemma,POS
Balduin,Balduin,PROPN
Möllhausen,Möllhausen,NOUN
Das,der,DET
Mormonenmädchen,Mormonenmädchen,NOUN
.,--,PUNCT
Band,Band,NOUN
II,II,NUM
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
1.,1.,ADV
Der,der,DET
Schwarze,schwarz,ADJ
Biber,Biber,NOUN
2.,2.,ADV
Im,in,ADP
Wahsatchgebirge,Wahsatchgebirge,NOUN
.,--,PUNCT
3.,3.,ADV
In,in,ADP
der,der,DET
Gefangenschaft,Gefangenschaft,NOUN
4.,4.,ADV
Der,der,DET
Vertrag,Vertrag,NOUN
5.,5.,ADV
Die,der,DET
Nacht,Nacht,NOUN
in,in,ADP
der,der,DET
Salzsee-Stadt,Salzsee-Stadt,NOUN
.,--,PUNCT
6.,6.,NUM
Das,der,DET
Wiedersehen,Wiedersehen,NOUN
7.,7.,ADJ
Onkel,Onkel,NOUN
und,und,CCONJ
Nichte,Nicht,NOUN
8.,8.,ADV
Die,der,DET
dargebotene,dargeboten,ADJ
Hand,Hand,NOUN
9.,9.,ADV
Der,der,DET
Schutzengel,Schutzengel,NOUN
10.,10.,ADJ
Die,der,DET
Taufe,Taufe,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Die,der,DET
Gefangene,gefangener,NOUN
1.,1.,ADV
Der,der,DET
Schwarze,schwarz,ADJ
Biber,Biber,NOUN
Hertha,Hertha,PROPN
Jansen,Jansen,PROPN
",",--,PUNCT
welcher,welcher,SCONJ
sich,sich,PRON
Demoiselle,Demoiselle,NOUN
Corbillon,Corbillon,PROPN
",",--,PUNCT
noch,noch,ADV
immer,immer,ADV
zitternd,zitternd,ADV
vor,vor,ADP
Angst,Angst,NOUN
",",--,PUNCT
wieder,wieder,ADV
zugesellte,zugesellen,VERB
",",--,PUNCT
hatte,haben,AUX
vom,von,ADP
Innern,innere,NOUN
der,der,DET
Hütte,Hütte,NOUN
aus,aus,ADP
alle,aller,DET
Vorgänge,Vorgang,NOUN
",",--,PUNCT
die,der,PRON
draußen,draußen,ADV
stattfanden,stattfinden,VERB
",",--,PUNCT
mit,mit,ADP
regster,regst,ADJ
Teilnahme,Teilnahme,NOUN
verfolgt,verfolgen,VERB
.,--,PUNCT
Es,es,PRON
war,sein,AUX
ihr,ihr,PRON
nicht,nicht,PART
entgangen,entgehen,VERB
",",--,PUNCT
daß,daß,SCONJ
mit,mit,ADP
Elliot's,Elliot's,PROPN
Erscheinen,Erschein,NOUN
das,der,DET
Vertrauen,vertrauen,NOUN
der,der,DET
ganzen,ganz,ADJ
Karawane,Karawane,NOUN
sich,sich,PRON
wieder,wieder,ADV
befestigte,befestigen,VERB
",",--,PUNCT
und,und,CCONJ
sprach,sprechen,VERB
sein,sein,DET
Äußeres,Äußeres,NOUN
sie,sie,PRON
auch,auch,ADV
wenig,wenig,PRON
an,an,ADP
",",--,PUNCT
so,so,ADV
konnte,können,AUX
sie,sie,PRON
doch,doch,ADV
nicht,nicht,PART
umhin,umhin,ADV
",",--,PUNCT
einen,ein,DET
hohen,hoch,ADJ
Grad,Grad,NOUN
von,von,ADP
Achtung,Achtung,NOUN
vor,vor,ADP
ihm,ihm,PRON
zu,zu,ADP
empfinden,empfinden,VERB
",",--,PUNCT
für,für,ADP
die,der,DET
verständige,verständig,ADJ
und,und,CCONJ
menschenfreundliche,menschenfreundlich,ADJ
Art,Art,NOUN
",",--,PUNCT
in,in,ADP
welcher,welcher,PRON
er,er,PRON
die,der,DET
Indianer,Indianer,NOUN
behandelte,behandeln,VERB
und,und,CCONJ
das,der,DET
drohende,drohend,ADJ
Ungewitter,Ungewitter,NOUN
verscheuchte,verscheuchen,VERB
.,--,PUNCT
Ihr,ihr,DET
zweiter,zweiter,ADJ
Gedanke,Gedanke,NOUN
war,sein,AUX
",",--,PUNCT
daß,daß,SCONJ
der,der,DET
Abgesandte,Abgesandte,NOUN
",",--,PUNCT
dessen,der,DET
Namen,Name,NOUN
sie,sie,PRON
nicht,nicht,PART
einmal,einmal,ADV
kannte,kennen,VERB
",",--,PUNCT
geraden,gerade,ADJ
Weges,Weg,NOUN
vom,von,ADP
Salzsee,Salzsee,PROPN
komme,kommen,VERB
",",--,PUNCT
und,und,CCONJ
ihr,ihr,PRON
also,also,ADV
Nachrichten,Nachricht,NOUN
von,von,ADP
ihrer,ihr,DET
Schwester,Schwester,NOUN
überbringe,überbringen,VERB
.,--,PUNCT
Eine,ein,DET
bange,bang,ADJ
und,und,CCONJ
zugleich,zugleich,ADV
freudige,freudig,ADJ
Hoffnung,Hoffnung,NOUN
beseelte,beseeln,VERB
sie,sie,PRON
infolgedessen,infolgedessen,NOUN
",",--,PUNCT
und,und,CCONJ
natürlicherweise,natürlicherweise,ADV
spiegelten,spiegelen,VERB
sich,sich,PRON
derartige,derartig,ADJ
Gefühle,Gefühl,NOUN
auf,auf,ADP
ihrem,ihr,DET
vor,vor,ADP
innerer,inner,ADJ
Aufregung,Aufregung,NOUN
geröteten,gerötet,ADJ
Antlitz,Antlitz,PROPN
",",--,PUNCT
als,als,SCONJ
sie,sie,PRON
dem,der,DET
sie,sie,PRON
begrüßenden,begrüßend,ADJ
Elliot,Elliot,NOUN
entgegentrat,entgegentreten,VERB
und,und,CCONJ
ihm,ihm,PRON
mit,mit,ADP
ihrem,ihr,DET
holdesten,holdest,ADJ
Lächeln,lächeln,NOUN
die,der,DET
kleine,klein,ADJ
Hand,Hand,NOUN
reichte,reichen,VERB
.,--,PUNCT
Mochte,Mochte,PROPN
Elliot,Elliot,PROPN
",",--,PUNCT
dieser,dieser,DET
finstere,finster,ADJ
Fanatiker,Fanatiker,NOUN
",",--,PUNCT
alle,aller,DET
Gebräuche,Gebräuch,NOUN
und,und,CCONJ
Sitten,Sitte,NOUN
",",--,PUNCT
welche,welcher,PRON
der,der,DET
Mormonismus,Mormonismus,NOUN
Vorschrieb,Vorschrieb,NOUN
",",--,PUNCT
nur,nur,ADV
als,als,ADP
Mittel,Mittel,NOUN
und,und,CCONJ
Wege,Weg,NOUN
zur,zu,ADP
ewigen,ewig,ADJ
Seligkeit,Seligkeit,NOUN
betrachten,betrachten,VERB
",",--,PUNCT
welche,welcher,PRON
",",--,PUNCT
ob,ob,SCONJ
nun,nun,ADV
mit,mit,ADP
Freude,Freude,NOUN
",",--,PUNCT
oder,oder,CCONJ
mit,mit,ADP
Abneigung,Abneigung,NOUN
",",--,PUNCT
pünktlich,pünktlich,ADV
zu,zu,ADP
beobachten,beobachten,VERB
seien,sein,AUX
;,--,PUNCT
mochte,mögen,VERB
er,er,PRON
seinen,sein,DET
Ehrgeiz,Ehrgeiz,NOUN
auch,auch,ADV
dahin,dahin,ADV
deuten,deuten,VERB
",",--,PUNCT
daß,daß,SCONJ
ein,ein,DET
Erreichen,erreichen,NOUN
höherer,hoch,ADJ
kirchlicher,kirchlich,ADJ
Ämter,Amt,NOUN
ebenfalls,ebenfalls,ADV
zu,zu,ADP
erhöhter,erhöht,ADJ
Heiligkeit,Heiligkeit,NOUN
im,in,ADP
Jenseits,Jenseits,NOUN
berechtige,berechtig,NOUN
;,--,PUNCT
als,als,SCONJ
er,er,PRON
Hertha,Hertha,PROPN
Jansen,Jansen,PROPN
",",--,PUNCT
dieses,dieser,DET
reine,rein,ADJ
",",--,PUNCT
unschuldvolle,unschuldvoll,ADJ
Wesen,Wesen,NOUN
",",--,PUNCT
in,in,ADP
ihrer,ihr,DET
ganzen,ganz,ADJ
Anmut,Anmut,NOUN
vor,vor,ADP
sich,sich,PRON
sah,sehen,VERB
",",--,PUNCT
da,da,ADV
waren,sein,AUX
vergessen,vergessen,ADJ
die,der,DET
Lehren,Lehre,NOUN
",",--,PUNCT
denen,der,PRON
er,er,PRON
mit,mit,ADP
unerbittlicher,unerbittlich,ADJ
Strenge,Strenge,NOUN
huldigte,huldigen,VERB
",",--,PUNCT
vergessen,vergessen,VERB
der,der,DET
durch,durch,ADP
seine,sein,DET
Vereinigung,Vereinigung,NOUN
mit,mit,ADP
Hertha,Hertha,PROPN
ihm,ihm,PRON
zufallende,zufallend,ADJ
Reichtum,Reichtum,NOUN
",",--,PUNCT
