Token,Lemma,POS
Balduin,Balduin,PROPN
Möllhausen,Möllhausen,NOUN
Der,der,DET
Schatz,Schatz,NOUN
von,von,ADP
Quivira,Quivira,PROPN
Der,der,DET
Roman,Roman,NOUN
wurde,werden,AUX
erstmals,erstmals,ADV
als,als,ADP
Zeitschriftenvorabdruck,Zeitschriftenvorabdruck,NOUN
ab,ab,ADP
Oktober,Oktober,NOUN
1879,1879,NUM
im,in,ADP
17.,17.,ADJ
Jahrgang,Jahrgang,NOUN
der,der,DET
Deutschen,deutsch,ADJ
Roman-Zeitung,Roman-Zeitung,NOUN
",",--,PUNCT
Verlag,Verlag,NOUN
Otto,Otto,PROPN
Janke,Janke,PROPN
",",--,PUNCT
Berlin,Berlin,PROPN
",",--,PUNCT
veröffentlicht,veröffentlichen,VERB
.,--,PUNCT
Der,der,DET
hier,hier,ADV
vorliegende,vorliegend,ADJ
Band,Band,NOUN
enthält,enthalten,VERB
den,der,DET
ungekürzten,ungekürzt,ADJ
Text,Text,NOUN
dieses,dieser,DET
Erstdrucks,Erstdruck,NOUN
.,--,PUNCT
Erstes,erster,ADJ
Buch,Buch,NOUN
.,--,PUNCT
Der,der,DET
Irrwisch,Irrwisch,NOUN
.,--,PUNCT
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Auf,auf,ADP
dem,der,DET
Rheinufer,Rheinufer,NOUN
.,--,PUNCT
»,--,PUNCT
Grüß,Grüß,X
Dich,dich,PRON
Gott,Gott,NOUN
",",--,PUNCT
Du,du,PRON
schöner,schön,ADV
",",--,PUNCT
Du,du,PRON
stolzer,stolz,ADJ
Strom,Strom,NOUN
!,--,PUNCT
Wie,wie,SCONJ
Deine,Dein,DET
Fluthen,Fluth,NOUN
so,so,ADV
eilfertig,eilfertig,ADV
ihren,ihr,DET
Weg,Weg,NOUN
nordwärts,nordwärts,ADV
verfolgen,verfolgen,VERB
",",--,PUNCT
um,um,SCONJ
sich,sich,PRON
dem,der,DET
ewig,ewig,ADV
regsamen,regsam,ADJ
Ocean,Ocean,NOUN
zuzugesellen,zuzugesellen,VERB
!,--,PUNCT
Du,du,PRON
lieber,lieber,ADV
",",--,PUNCT
Du,du,PRON
unermüdlicher,unermüdlich,ADJ
Strom,Strom,NOUN
!,--,PUNCT
Von,von,ADP
Dir,dir,PRON
mag,mögen,AUX
ich,ich,PRON
's,'s,PRON
gelernt,lernen,VERB
haben,haben,AUX
",",--,PUNCT
daß,daß,SCONJ
es,es,PRON
mich,mich,PRON
forttreibt,forttreiben,VERB
rastlos,rastlos,ADV
von,von,ADP
Ort,Ort,NOUN
zu,zu,ADP
Ort,Ort,NOUN
",",--,PUNCT
um,um,SCONJ
vielleicht,vielleicht,ADV
nach,nach,ADP
vielen,vieler,DET
langen,lang,ADJ
Jahren,Jahr,NOUN
erst,erst,ADV
zur,zu,ADP
Ruhe,Ruhe,NOUN
zu,zu,PART
gelangen,gelangen,VERB
.,--,PUNCT
Dir,dir,PRON
ist,sein,AUX
Ruhe,Ruhe,NOUN
fremd,fremd,ADV
.,--,PUNCT
Wie,wie,ADV
vor,vor,ADP
tausend,tausend,NUM
Jahren,Jahr,NOUN
wandelst,wandelst,VERB
Du,du,PRON
immer,immer,ADV
noch,noch,ADV
jugendkräftig,jugendkräftig,ADV
Deine,Dein,DET
gewundene,gewunden,ADJ
Bahn,Bahn,NOUN
",",--,PUNCT
unbekümmert,unbekümmert,VERB
",",--,PUNCT
ob,ob,SCONJ
glühender,glühend,NOUN
Sonnenschein,Sonnenschein,NOUN
sich,sich,PRON
in,in,ADP
Dir,dir,PRON
badet,baden,VERB
",",--,PUNCT
ob,ob,SCONJ
unermeßliche,unermeßlich,ADJ
Eislasten,Eislast,NOUN
Deinen,dein,DET
Rücken,Rücken,NOUN
beschweren,beschweren,VERB
;,--,PUNCT
heute,heute,ADV
",",--,PUNCT
wie,wie,SCONJ
vor,vor,ADP
dreiundzwanzig,dreiundzwanzig,NUM
Jahren,Jahr,NOUN
",",--,PUNCT
als,als,SCONJ
ich,ich,PRON
zum,zu,ADP
letztenmal,letztenmal,NOUN
sorglos,sorglos,ADV
über,über,ADP
Dich,dich,PRON
hinschaute,hinschauten,VERB
",",--,PUNCT
als,als,ADP
Kind,Kind,NOUN
Dir,dir,PRON
geringschätzig,geringschätzig,ADV
den,der,DET
Rücken,Rücken,NOUN
kehrte,kehren,VERB
",",--,PUNCT
ahnungslos,ahnungslos,ADV
",",--,PUNCT
wie,wie,ADV
oft,oft,ADV
in,in,ADP
späteren,spät,ADJ
Jahren,Jahr,NOUN
die,der,DET
Sehnsucht,Sehnsucht,NOUN
nach,nach,ADP
Dir,dir,PRON
mich,mich,PRON
verzehren,verzehren,VERB
würde,werden,AUX
.,--,PUNCT
«,--,PUNCT
Solche,solcher,DET
Betrachtungen,Betrachtung,NOUN
erfüllten,erfüllen,VERB
einen,ein,DET
jungen,jung,ADJ
Mann,Mann,NOUN
",",--,PUNCT
der,der,PRON
an,an,ADP
einem,ein,DET
sonnigen,sonnig,ADJ
Septembertage,Septembertage,NOUN
von,von,ADP
der,der,DET
Stadt,Stadt,NOUN
aus,aus,ADP
auf,auf,ADP
dem,der,DET
Rheinufer,Rheinufer,NOUN
stromabwärts,stromabwärts,ADV
wandelte,wandelen,VERB
und,und,CCONJ
endlich,endlich,ADV
auf,auf,ADP
einem,ein,DET
hervorragenderen,hervorragenderen,ADJ
Punkte,Punkt,NOUN
stehen,stehen,VERB
blieb,bleiben,VERB
.,--,PUNCT
Die,der,DET
Ruhe,Ruhe,NOUN
und,und,CCONJ
Einsamkeit,Einsamkeit,NOUN
ringsum,Ringsum,PROPN
mochten,mochten,AUX
ihn,ihn,PRON
anheimeln,anheimeln,VERB
;,--,PUNCT
denn,denn,CCONJ
er,er,PRON
stieg,steigen,VERB
von,von,ADP
dem,der,DET
Leinpfad,Leinpfad,NOUN
auf,auf,ADP
einen,ein,DET
massiv,massiv,ADV
errichteten,errichten,VERB
Eisbrecher,Eisbrecher,NOUN
nieder,nieder,ADV
",",--,PUNCT
der,der,PRON
gegen,gegen,ADP
dreißig,dreißig,NUM
Fuß,Fuß,NOUN
weit,weit,ADV
in,in,ADP
das,der,DET
Strombett,Strombett,NOUN
hineinragte,hineinragen,VERB
.,--,PUNCT
Fast,fast,ADV
am,an,ADP
äußersten,äußerer,ADJ
Rande,Rand,NOUN
desselben,derselbe,VERB
warf,werfen,VERB
er,er,PRON
sich,sich,PRON
im,in,ADP
Schatten,Schatten,NOUN
eines,ein,DET
Schlehdornbusches,schlehdornbusches,NOUN
auf,auf,ADP
den,der,DET
Rasen,Rasen,NOUN
.,--,PUNCT
Seine,sein,DET
erste,erster,ADJ
Kindheit,Kindheit,NOUN
hatte,haben,AUX
er,er,PRON
in,in,ADP
dieser,dieser,DET
Gegend,Gegend,NOUN
verlebt,verleben,VERB
",",--,PUNCT
und,und,CCONJ
so,so,ADV
fand,finden,VERB
er,er,PRON
leicht,leicht,ADV
Anknüpfungspunkte,Anknüpfungspunkt,NOUN
für,für,ADP
seine,sein,DET
Gedanken,Gedanke,NOUN
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
das,der,PRON
Enteilen,Enteil,NOUN
der,der,DET
Zeit,Zeit,NOUN
nicht,nicht,PART
merkte,merken,VERB
.,--,PUNCT
Sein,sein,DET
Antlitz,Antlitz,NOUN
",",--,PUNCT
und,und,CCONJ
ein,ein,DET
wohlgebildetes,wohlgebildet,ADJ
männliches,männlich,ADJ
Antlitz,Antlitz,PROPN
war,sein,AUX
es,es,PRON
",",--,PUNCT
nahm,nehmen,VERB
allmälig,allmälig,ADV
einen,ein,DET
schwermüthigen,schwermüthig,ADJ
Ausdruck,Ausdruck,NOUN
an,an,ADP
.,--,PUNCT
Diese,dieser,DET
Weichheit,Weichheit,NOUN
der,der,DET
Züge,Zug,NOUN
stand,stehen,VERB
fast,fast,ADV
im,in,ADP
Widerspruch,Widerspruch,NOUN
zu,zu,ADP
seinen,sein,DET
breiten,breit,ADJ
",",--,PUNCT
kräftigen,kräftig,ADJ
Schultern,Schulter,NOUN
und,und,CCONJ
der,der,DET
selbstbewußten,selbstbewußt,ADJ
Haltung,Haltung,NOUN
.,--,PUNCT
Mehrfach,Mehrfach,ADV
strich,streichen,VERB
er,er,PRON
mit,mit,ADP
der,der,DET
Hand,Hand,NOUN
über,über,ADP
seinen,sein,DET
krausen,krausen,VERB
",",--,PUNCT
blonden,blond,ADJ
Vollbart,Vollbart,NOUN
und,und,CCONJ
die,der,DET
ruhigen,ruhig,ADJ
blauen,blau,ADJ
Augen,Auge,NOUN
",",--,PUNCT
um,um,SCONJ
wieder,wieder,ADV
träumerisch,träumerisch,ADV
über,über,ADP
den,der,DET
breiten,breit,ADJ
Wasserspiegel,Wasserspiegel,NOUN
hinzuspähen,hinzuspähen,VERB
.,--,PUNCT
Von,von,ADP
der,der,DET
Stadt,Stadt,NOUN
tönte,tönen,VERB
das,der,DET
Läuten,Läuten,NOUN
der,der,DET
Münsterglocken,Münsterglocke,NOUN
herüber,herüber,ADV
.,--,PUNCT
Durch,durch,ADP
die,der,DET
feierlichen,feierlich,ADJ
Klänge,Klang,NOUN
beeinflußt,beeinflussen,VERB
",",--,PUNCT
schwankten,schwanken,VERB
seine,sein,DET
Betrachtungen,Betrachtung,NOUN
noch,noch,CCONJ
unstät,Unstät,NOUN
",",--,PUNCT
als,als,SCONJ
das,der,DET
leise,leis,ADJ
Knirschen,Knirsch,NOUN
heraufdrang,heraufdrang,ADV
",",--,PUNCT
mit,mit,ADP
welchem,welcher,DET
langsame,langsam,ADJ
Schritte,Schritt,NOUN
sich,sich,PRON
auf,auf,ADP
dem,der,DET
Kiesstreifen,Kiesstreife,NOUN
zwischen,zwischen,ADP
Uferabhang,Uferabhang,NOUN
und,und,CCONJ
Strom,Strom,NOUN
ebenfalls,ebenfalls,ADV
von,von,ADP
der,der,DET
Stadt,Stadt,NOUN
her,her,ADV
näherten,nähern,VERB
.,--,PUNCT
Die,der,DET
Aussicht,Aussicht,NOUN
auf,auf,ADP
die,der,DET
Nahenden,Nahenden,NOUN
entging,Entging,NOUN
ihm,ihm,PRON
durch,durch,ADP
die,der,DET
den,der,DET
Abhang,Abhang,NOUN
bedeckende,bedeckend,ADJ
