Token,Lemma,POS
Bertha,Bertha,NOUN
von,von,ADP
Suttner,Suttner,NOUN
Eva,Eva,PROPN
Siebeck,Siebeck,PROPN
1892,1892,NUM
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
I.,I.,NOUN
»,--,PUNCT
Sie,sie,PRON
kommen,kommen,VERB
schon,schon,ADV
–,--,PUNCT
sie,sie,PRON
kommen,kommen,VERB
schon,schon,ADV
",",--,PUNCT
«,--,PUNCT
rief,rufen,VERB
die,der,DET
alte,alt,ADJ
Gräfin,Gräfin,NOUN
und,und,CCONJ
trat,treten,VERB
von,von,ADP
dem,der,DET
Balkon,Balkon,NOUN
",",--,PUNCT
wo,wo,SCONJ
sie,sie,PRON
wartend,wartend,ADV
ausgeschaut,ausgeschaut,VERB
",",--,PUNCT
in,in,ADP
das,der,DET
Zimmer,Zimmer,NOUN
zurück,zurück,ADV
.,--,PUNCT
Ralph,ralph,PROPN
legte,legen,VERB
eine,ein,DET
Zeitung,Zeitung,NOUN
",",--,PUNCT
in,in,ADP
der,der,PRON
er,er,PRON
gelesen,lesen,VERB
",",--,PUNCT
aus,aus,ADP
der,der,DET
Hand,Hand,NOUN
:,--,PUNCT
»,--,PUNCT
So,so,ADV
wollen,wollen,AUX
wir,wir,PRON
ihnen,ihnen,PRON
entgegengehen,entgegengehen,VERB
und,und,CCONJ
sie,sie,PRON
am,an,ADP
Fuße,Fuß,NOUN
der,der,DET
Treppe,Treppe,NOUN
empfangen,empfangen,VERB
.,--,PUNCT
Hier,hier,ADV
ist,sein,AUX
mein,mein,DET
Arm,Arm,NOUN
",",--,PUNCT
Mutter,Mutter,NOUN
«,--,PUNCT
.,--,PUNCT
Eine,ein,DET
Minute,Minute,NOUN
später,spät,ADV
standen,stehen,VERB
die,der,DET
Beiden,Beide,NOUN
unter,unter,ADP
der,der,DET
Einfahrt,Einfahrt,NOUN
",",--,PUNCT
wo,wo,SCONJ
schon,schon,ADV
mehrere,mehrere,DET
andere,anderer,ADJ
Hausgenossen,Hausgenosse,NOUN
–,--,PUNCT
Familienglieder,Familienglieder,NOUN
und,und,CCONJ
Dienerschaft,Dienerschaft,NOUN
–,--,PUNCT
der,der,DET
Ankommenden,Ankommende,NOUN
harrten,harren,VERB
.,--,PUNCT
Noch,noch,ADV
eine,ein,DET
Minute,Minute,NOUN
",",--,PUNCT
und,und,CCONJ
der,der,DET
Wagen,Wagen,NOUN
",",--,PUNCT
der,der,PRON
die,der,DET
Erwarteten,Erwartet,NOUN
brachte,bringen,VERB
",",--,PUNCT
hielt,halten,VERB
vor,vor,ADP
dem,der,DET
Schloßthor,Schloßthor,NOUN
an,an,ADP
.,--,PUNCT
Ein,ein,DET
zweiter,zweiter,ADJ
Wagen,Wagen,NOUN
hinterdrein,hinterdrein,VERB
.,--,PUNCT
Leichtfüßig,Leichtfüßig,PROPN
",",--,PUNCT
ohne,ohne,SCONJ
die,der,DET
Stütze,Stütze,NOUN
der,der,DET
herbeigeeilten,herbeigeeilt,ADJ
Diener,Diener,NOUN
zu,zu,PART
benutzen,benutzen,VERB
",",--,PUNCT
sprangen,springen,VERB
die,der,DET
Insassen,Insasse,NOUN
des,der,DET
ersten,erster,ADJ
Wagens,Wagen,NOUN
–,--,PUNCT
Heimkehrende,Heimkehrend,NOUN
von,von,ADP
der,der,DET
Hochzeitsreise,Hochzeitsreise,NOUN
–,--,PUNCT
über,über,ADP
das,der,PRON
Trittbrett,Trittbrett,NOUN
herab,herab,ADV
.,--,PUNCT
Aus,aus,ADP
dem,der,DET
zweiten,zweiter,ADJ
",",--,PUNCT
mit,mit,ADP
Koffern,Koffer,NOUN
",",--,PUNCT
Taschen,Tasche,NOUN
und,und,CCONJ
Schachteln,Schachteln,NOUN
beladenen,beladen,ADJ
Gefährt,Gefährt,NOUN
stiegen,steigen,VERB
Kammerdiener,Kammerdiener,NOUN
und,und,CCONJ
Kammerjungfer,Kammerjungfer,NOUN
des,der,DET
jungen,jung,ADJ
Paares,Paar,NOUN
aus,aus,ADP
.,--,PUNCT
Nun,nun,ADV
folgten,folgen,VERB
die,der,DET
üblichen,üblich,ADJ
Begrüßungen,Begrüßung,NOUN
",",--,PUNCT
Umarmungen,Umarmung,NOUN
und,und,CCONJ
Anordnungen,Anordnung,NOUN
:,--,PUNCT
–,--,PUNCT
»,--,PUNCT
Willkommen,Willkomme,NOUN
!,--,PUNCT
–,--,PUNCT
Grüß,Grüß,NOUN
Gott,Gott,NOUN
–,--,PUNCT
Du,du,PRON
siehst,siehst,VERB
aber,aber,ADV
vortrefflich,vortrefflich,ADV
aus,aus,ADP
!,--,PUNCT
–,--,PUNCT
Das,der,DET
Gepäck,Gepäck,NOUN
hierher,hierher,ADV
«,--,PUNCT
–,--,PUNCT
und,und,CCONJ
dergleichen,dergleichen,PRON
.,--,PUNCT
–,--,PUNCT
Der,der,DET
Gräfin-Mutter,Gräfin-Mutter,NOUN
küßte,küssen,VERB
die,der,DET
junge,jung,ADJ
Frau,Frau,NOUN
die,der,DET
Hand,Hand,NOUN
",",--,PUNCT
doch,doch,CCONJ
als,als,SCONJ
sie,sie,PRON
des,der,DET
nebenstehenden,nebenstehend,ADJ
Herrn,Herr,NOUN
ansichtig,ansichtig,ADV
wurde,werden,AUX
",",--,PUNCT
der,der,PRON
ihr,ihr,PRON
die,der,DET
Arme,Arm,NOUN
öffnete,öffnen,VERB
",",--,PUNCT
blickte,blicken,VERB
sie,sie,PRON
unschlüssig,unschlüssig,ADV
und,und,CCONJ
fragend,fragend,ADV
zu,zu,ADP
der,der,DET
alten,alt,ADJ
Frau,Frau,NOUN
auf,auf,ADP
.,--,PUNCT
»,--,PUNCT
Ah,Ah,X
so,so,ADV
",",--,PUNCT
«,--,PUNCT
lächelte,lächelen,VERB
diese,dieser,PRON
",",--,PUNCT
»,--,PUNCT
Dich,dich,PRON
