Token,Lemma,POS
Berthold,Berthold,PROPN
Auerbach,Auerbach,PROPN
Auf,auf,ADP
der,der,DET
Höhe,Höhe,NOUN
Erster,erst,ADJ
Band,Band,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Buch,Buch,NOUN
.,--,PUNCT
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
In,in,ADP
der,der,DET
Schloßkapelle,Schloßkapelle,NOUN
der,der,DET
königlichen,königlich,ADJ
Sommerburg,Sommerburg,PROPN
wurde,werden,AUX
Frühmesse,Frühmeß,NOUN
gelesen,lesen,VERB
.,--,PUNCT
Das,der,DET
Schloß,Schloß,NOUN
",",--,PUNCT
nicht,nicht,PART
weit,weit,ADV
von,von,ADP
der,der,DET
Residenz,Residenz,NOUN
",",--,PUNCT
lag,liegen,VERB
an,an,ADP
einem,ein,DET
mäßigen,mäßig,ADJ
Berghang,Berghang,NOUN
mitten,mitten,ADV
im,in,ADP
Park,Park,NOUN
.,--,PUNCT
Nach,nach,ADP
der,der,DET
Morgenseite,Morgenseite,NOUN
war,sein,AUX
der,der,DET
Berg,Berg,NOUN
weit,weit,ADV
hinauf,hinauf,ADV
mit,mit,ADP
Reben,Reb,NOUN
bepflanzt,bepflanzen,VERB
und,und,CCONJ
dann,dann,ADV
bis,bis,ADP
zur,zu,ADP
Spitze,Spitze,NOUN
mit,mit,ADP
mächtigen,mächtig,ADJ
Buchen,Buche,NOUN
bestanden,bestehen,VERB
.,--,PUNCT
Im,in,ADP
Parke,Park,NOUN
gediehen,gedieh,ADJ
Ahorn,Ahorn,NOUN
",",--,PUNCT
Platane,Platane,PROPN
und,und,CCONJ
Rüster,Rüster,NOUN
und,und,CCONJ
breiteten,breiten,VERB
ihr,ihr,DET
Laub,Laub,NOUN
aus,aus,ADP
neben,neben,ADP
Tannen,Tan,NOUN
und,und,CCONJ
Weimutskiefern,Weimutskiefer,NOUN
;,--,PUNCT
selbst,selbst,ADV
die,der,DET
Arve,Arve,NOUN
war,sein,AUX
vom,von,ADP
Hochlande,Hochland,NOUN
hieher,hieh,ADV
verpflanzt,verpflanzen,VERB
und,und,CCONJ
zeigte,zeigen,VERB
in,in,ADP
dichten,dicht,NOUN
Nadelbüscheln,Nadelbüschel,NOUN
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
heimisch,heimisch,ADV
geworden,werden,AUX
.,--,PUNCT
Auf,auf,ADP
Wiesenplanen,Wiesenpla,NOUN
standen,stehen,VERB
einzelne,einzeln,ADJ
hohe,hoch,ADJ
Fichten,Fichte,NOUN
",",--,PUNCT
die,der,PRON
von,von,ADP
unten,unten,ADV
auf,auf,ADP
ihr,ihr,DET
volles,voll,ADJ
Gezweige,gezweige,NOUN
behalten,behalten,VERB
.,--,PUNCT
Gebüschgruppen,Gebüschgruppe,NOUN
von,von,ADP
mannigfaltiger,mannigfaltig,ADJ
Blüten-,Blüte,X
und,und,CCONJ
Blätterart,Blätterart,NOUN
boten,boten,VERB
erfrischende,erfrischend,ADJ
Blicke,Blick,NOUN
.,--,PUNCT
Das,der,DET
Auge,Auge,NOUN
eines,ein,DET
wohlordnenden,wohlordnend,ADJ
Künstlers,Künstler,NOUN
schaute,schaut,VERB
aus,aus,ADP
der,der,DET
ganzen,ganz,ADJ
Anlage,Anlage,NOUN
.,--,PUNCT
Die,der,DET
Wege,Weg,NOUN
waren,sein,AUX
sauber,sauber,ADV
",",--,PUNCT
die,der,DET
Blumen,Blume,NOUN
trieften,triefen,VERB
im,in,ADP
Morgentau,Morgentau,PROPN
",",--,PUNCT
die,der,DET
Vögel,Vogel,NOUN
sangen,singen,VERB
",",--,PUNCT
das,der,PRON
frischgemähte,frischgemäht,ADJ
Gras,Gras,NOUN
duftete,duften,VERB
",",--,PUNCT
auf,auf,ADP
dem,der,DET
großen,groß,ADJ
Teiche,Teiche,NOUN
schwammen,schwamme,VERB
Schwäne,Schwan,NOUN
und,und,CCONJ
fremdländische,fremdländisch,ADJ
Enten,Ent,NOUN
und,und,CCONJ
wateten,wateten,VERB
bunte,bunt,ADJ
Flamingos,Flamingo,NOUN
;,--,PUNCT
mitten,mitten,ADV
im,in,ADP
Teiche,Teiche,NOUN
schnellte,schnellen,VERB
ein,ein,DET
Springbrunnen,Springbrunnen,NOUN
seinen,sein,DET
Wasserstrahl,Wasserstrahl,NOUN
hoch,hoch,ADV
empor,empor,ADV
und,und,CCONJ
plätscherte,plätscheren,VERB
in,in,ADP
Wolkenflocken,wolkenflocken,NOUN
und,und,CCONJ
Wasserstaub,Wasserstaub,NOUN
wiederum,wiederum,ADV
herab,herab,ADV
.,--,PUNCT
Ein,ein,DET
klarer,klar,ADJ
",",--,PUNCT
von,von,ADP
Erlen,Erle,NOUN
und,und,CCONJ
Hängeweiden,Hängeweiden,NOUN
eingehegter,eingehegt,ADV
",",--,PUNCT
vielfach,vielfach,ADV
überbrücktet,überbrückten,VERB
Waldbach,Waldbach,PROPN
rauschte,rauschen,VERB
vom,von,ADP
Berge,Berg,NOUN
nieder,nieder,ADV
",",--,PUNCT
strömte,strömen,VERB
in,in,ADP
den,der,DET
Teich,Teich,NOUN
und,und,CCONJ
floß,fließen,VERB
aus,aus,ADP
ihm,ihm,PRON
wieder,wieder,ADV
ab,ab,ADP
ins,in,ADP
Thal,Thal,NOUN
nach,nach,ADP
dem,der,DET
Strome,Strome,NOUN
",",--,PUNCT
von,von,ADP
welchem,welcher,PRON
da,da,ADV
und,und,CCONJ
dort,dort,ADV
durch,durch,ADP
das,der,DET
Gebüsch,Gebüsch,NOUN
eine,ein,DET
blinkende,blinkend,ADJ
Fläche,Fläche,NOUN
aufblitzte,aufblitzen,VERB
.,--,PUNCT
An,an,ADP
gelegenen,gelegen,ADJ
Fernsichten,Fernsicht,NOUN
und,und,CCONJ
unter,unter,ADP
Bäumen,Baum,NOUN
standen,stehen,VERB
zierliche,zierlich,ADJ
eiserne,eisern,ADJ
Tische,Tisch,NOUN
",",--,PUNCT
Stühle,Stuhl,NOUN
und,und,CCONJ
Bänke,Bank,NOUN
.,--,PUNCT
Nicht,nicht,PART
weit,weit,ADV
von,von,ADP
der,der,DET
Kapelle,Kapelle,NOUN
saß,sitzen,VERB
ein,ein,DET
sorgfältig,sorgfältig,ADV
gekleideter,gekleidet,ADJ
stattlicher,stattlich,ADJ
Mann,Mann,NOUN
;,--,PUNCT
die,der,PRON
vollen,voll,ADJ
Haare,Haar,NOUN
auf,auf,ADP
seinem,sein,DET
Haupte,Haupt,NOUN
waren,sein,AUX
so,so,ADV
weiß,weiß,ADV
wie,wie,ADP
die,der,DET
Binde,Binde,NOUN
",",--,PUNCT
die,der,PRON
er,er,PRON
um,um,ADP
den,der,DET
Hals,Hals,NOUN
trug,tragen,VERB
.,--,PUNCT
Mit,mit,ADP
jugendlich,jugendlich,ADV
