Token,Lemma,POS
Berthold,Berthold,PROPN
Auerbach,Auerbach,PROPN
Auf,auf,ADP
der,der,DET
Höhe,Höhe,NOUN
Dritter,dritter,ADJ
Band,Band,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Fünftes,Fünftes,ADJ
Buch,Buch,NOUN
.,--,PUNCT
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Es,es,PRON
war,sein,AUX
im,in,ADP
Spätsommer,Spätsommer,NOUN
",",--,PUNCT
als,als,SCONJ
der,der,DET
Hof,Hof,NOUN
aus,aus,ADP
dem,der,DET
Seebad,Seebad,NOUN
zurückkehrte,zurückkehren,VERB
.,--,PUNCT
Als,als,ADP
erste,erster,ADJ
Regierungshandlung,Regierungshandlung,NOUN
mußte,müssen,AUX
der,der,DET
König,König,NOUN
jetzt,jetzt,ADV
den,der,DET
Erlaß,Erlaß,NOUN
unterzeichnen,unterzeichnen,VERB
",",--,PUNCT
mit,mit,ADP
welchem,welcher,PRON
das,der,DET
Ministerium,Ministerium,NOUN
Schnabelsdorf,Schnabelsdorf,PROPN
das,der,DET
widerspenstige,widerspenstig,ADJ
Abgeordnetenhaus,Abgeordnetenhaus,NOUN
auflöste,auflöste,ADJ
und,und,CCONJ
Neuwahlen,Neuwahl,NOUN
anordnete,anordnen,VERB
.,--,PUNCT
Der,der,DET
König,König,NOUN
war,sein,AUX
mißmutig,mißmutig,ADV
",",--,PUNCT
denn,denn,CCONJ
er,er,PRON
mußte,müssen,AUX
eine,ein,DET
Folgehandlung,Folgehandlung,NOUN
vollziehen,vollziehen,VERB
",",--,PUNCT
die,der,PRON
ihn,ihn,PRON
jetzt,jetzt,ADV
überraschte,überraschen,VERB
.,--,PUNCT
Er,er,PRON
war,sein,AUX
so,so,ADV
froh,froh,ADV
belebt,beleben,VERB
aus,aus,ADP
dem,der,DET
Bade,Bade,NOUN
zurückgekehrt,zurückkehren,VERB
und,und,CCONJ
nun,nun,ADV
kam,kommen,VERB
der,der,DET
Staat,Staat,NOUN
mit,mit,ADP
seinen,sein,DET
Ansprüchen,Anspruch,NOUN
",",--,PUNCT
wie,wie,ADP
ein,ein,DET
unbefriedigter,unbefriedigt,ADJ
Gläubiger,Gläubiger,NOUN
.,--,PUNCT
Der,der,DET
König,König,NOUN
freute,freuen,VERB
sich,sich,PRON
der,der,DET
Zufriedenheit,Zufriedenheit,NOUN
und,und,CCONJ
allgemeinen,allgemein,ADJ
Zustimmung,Zustimmung,NOUN
seines,sein,DET
Volkes,Volk,NOUN
",",--,PUNCT
aber,aber,CCONJ
diese,dieser,DET
Zustimmung,Zustimmung,NOUN
sollte,sollen,AUX
eine,ein,DET
selbstverständliche,selbstverständlich,ADJ
sein,sein,AUX
;,--,PUNCT
jetzt,jetzt,ADV
wurde,werden,AUX
eine,ein,DET
große,groß,ADJ
Frage,Frage,NOUN
an,an,ADP
das,der,DET
Land,Land,NOUN
gerichtet,richten,VERB
und,und,CCONJ
es,es,PRON
war,sein,AUX
zweifelhaft,zweifelhaft,ADV
",",--,PUNCT
wie,wie,ADP
die,der,DET
Antwort,Antwort,NOUN
lauten,lauten,VERB
würde,werden,AUX
.,--,PUNCT
Die,der,DET
ausgiebige,ausgiebig,ADJ
Unterhaltungskunst,Unterhaltungskunst,NOUN
Schnabelsdorfs,Schnabelsdorf,PROPN
",",--,PUNCT
ja,ja,ADV
die,der,DET
geschickte,geschickt,ADJ
Betonung,Betonung,NOUN
des,der,DET
Heroischen,Heroische,NOUN
im,in,ADP
Grundcharakter,Grundcharakter,NOUN
des,der,DET
Königs,König,NOUN
begegnete,begegnen,VERB
nur,nur,ADV
hoher,hoch,ADJ
Mißlaune,Mißlaune,NOUN
.,--,PUNCT
Im,in,ADP
ganzen,ganz,ADJ
Lande,Land,NOUN
war,sein,AUX
große,groß,ADJ
Bewegung,Bewegung,NOUN
.,--,PUNCT
Man,man,PRON
merkte,merken,VERB
indes,indes,ADV
am,an,ADP
Hofe,Hof,NOUN
wenig,wenig,PRON
davon,davon,ADV
;,--,PUNCT
die,der,PRON
Herbstmanöver,Herbstmanöver,PROPN
hatten,haben,AUX
begonnen,beginnen,VERB
und,und,CCONJ
auf,auf,ADP
die,der,DET
nächsten,nächster,ADJ
Tage,Tag,NOUN
",",--,PUNCT
nachdem,nachdem,SCONJ
der,der,DET
Hof,Hof,NOUN
noch,noch,ADV
einmal,einmal,ADV
auf,auf,ADP
die,der,DET
Sommerburg,Sommerburg,PROPN
übergesiedelt,übergesiedeln,VERB
",",--,PUNCT
war,sein,AUX
die,der,DET
Jagd,Jagd,NOUN
im,in,ADP
Hochgebirge,Hochgebirge,NOUN
angesetzt,ansetzen,VERB
.,--,PUNCT
Der,der,DET
König,König,NOUN
bethätigte,bethätigen,VERB
eine,ein,DET
ungewöhnlich,ungewöhnlich,ADV
lebhafte,lebhaft,ADJ
Teilnahme,Teilnahme,NOUN
an,an,ADP
den,der,DET
Manövern,Manöver,NOUN
.,--,PUNCT
Die,der,DET
Fügsamkeit,Fügsamkeit,NOUN
der,der,DET
geschlossenen,geschlossen,ADJ
Massen,Masse,NOUN
und,und,CCONJ
ihre,ihr,DET
exakte,exakt,ADJ
Lenkung,Lenkung,NOUN
bildete,bilden,VERB
einen,ein,DET
haltvollen,haltvoll,ADJ
Gegensatz,Gegensatz,NOUN
zu,zu,ADP
einer,ein,DET
gewissen,gewiß,ADJ
Zerfahrenheit,Zerfahrenheit,NOUN
und,und,CCONJ
Auflösung,Auflösung,NOUN
im,in,ADP
Lande,Land,NOUN
.,--,PUNCT
Man,man,PRON
war,sein,AUX
aber,aber,ADV
natürlich,natürlich,ADV
weit,weit,ADV
entfernt,entfernt,ADV
",",--,PUNCT
nur,nur,ADV
an,an,ADP
die,der,DET
Möglichkeit,Möglichkeit,NOUN
zu,zu,PART
denken,denken,VERB
",",--,PUNCT
diese,dieser,PRON
Gegensätze,Gegensatz,NOUN
thatsächlich,thatsächlich,ADV
einander,einander,PRON
gegenüberzustellen,gegenüberzustellen,VERB
.,--,PUNCT
In,in,ADP
den,der,DET
Hofgesellschaften,Hofgesellschaft,NOUN
zeigte,zeigen,VERB
der,der,DET
König,König,NOUN
stets,stets,ADV
eine,ein,DET
ausnehmend,ausnehmend,ADV
gute,gut,ADJ
Laune,Laune,NOUN
;,--,PUNCT
er,er,PRON
hielt,halten,VERB
es,es,PRON
für,für,ADP
Pflicht,Pflicht,NOUN
",",--,PUNCT
gerade,gerade,ADV
bei,bei,ADP
innerem,inner,DET
Mißmut,Mißmut,NOUN
äußerlich,äußerlich,ADV
um,um,ADP
so,so,ADV
zuversichtlicher,zuversichtlich,ADJ
und,und,CCONJ
heiterer,Heiterer,NOUN
sich,sich,PRON
darzugeben,darzugeben,ADV
und,und,CCONJ
den,der,DET
gefälligen,gefällig,ADJ
Schein,Schein,NOUN
