Token,Lemma,POS
Berthold,Berthold,PROPN
Auerbach,Auerbach,PROPN
Landolin,Landolin,PROPN
von,von,ADP
Reutershöfen,Reutershöf,NOUN
Berthold,Berthold,PROPN
Auerbach,Auerbach,PROPN
:,--,PUNCT
Landolin,Landolin,PROPN
von,von,ADP
Reutershöfen,Reutershöf,NOUN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Der,der,DET
Frühling,Frühling,NOUN
ist,sein,AUX
wieder,wieder,ADV
gekommen,kommen,VERB
über,über,ADP
Berg,Berg,PROPN
und,und,CCONJ
Thal,Thal,PROPN
unserer,unser,DET
Heimat,Heimat,NOUN
.,--,PUNCT
Der,der,DET
Tag,Tag,NOUN
erwacht,erwachen,VERB
",",--,PUNCT
ein,ein,DET
Luftstrom,Luftstrom,NOUN
zieht,ziehen,VERB
herbkräftig,herbkräftig,ADV
über,über,ADP
die,der,DET
Wälder,Wald,NOUN
",",--,PUNCT
als,als,SCONJ
müßte,müssen,AUX
er,er,PRON
die,der,DET
widerwillige,widerwillig,ADJ
Nacht,Nacht,NOUN
mit,mit,ADP
fortnehmen,fortnehmen,VERB
;,--,PUNCT
die,der,DET
Vögel,Vogel,NOUN
beginnen,beginnen,VERB
zu,zu,PART
zwitschern,zwitschern,VERB
",",--,PUNCT
und,und,CCONJ
da,da,ADV
und,und,CCONJ
dort,dort,ADV
wagt,wagen,VERB
ein,ein,DET
Buchfink,Buchfink,NOUN
bereits,bereits,ADV
seinen,sein,DET
vollen,voll,ADJ
Schlag,Schlag,NOUN
.,--,PUNCT
Durch,durch,ADP
die,der,DET
Tannen,Tanne,NOUN
mit,mit,ADP
ihren,ihr,DET
frischgrünen,frischgrün,ADJ
Jahresschossen,Jahresschosse,NOUN
säuselt,säuseln,VERB
und,und,CCONJ
flüstert,flüstern,VERB
es,es,PRON
.,--,PUNCT
Der,der,DET
Sonnenball,Sonnenball,NOUN
ist,sein,AUX
über,über,ADP
den,der,DET
Bergeskamm,Bergeskamm,NOUN
heraufgekommen,heraufgekommen,VERB
und,und,CCONJ
leuchtet,leuchten,VERB
in,in,ADP
das,der,DET
Thal,Thal,NOUN
;,--,PUNCT
die,der,DET
Wiesen,Wiese,NOUN
und,und,CCONJ
Saatfelder,Saatfeld,NOUN
glitzern,glitzern,VERB
im,in,ADP
Thau,Thau,PROPN
",",--,PUNCT
die,der,DET
Kirschbäume,Kirschbaum,NOUN
strömen,strömen,VERB
ihren,ihr,DET
Duft,Duft,NOUN
aus,aus,ADP
und,und,CCONJ
Schwarzdornhecken,Schwarzdornhecke,NOUN
",",--,PUNCT
die,der,PRON
in,in,ADP
der,der,DET
Nacht,Nacht,NOUN
aufgebrochen,aufbrechen,VERB
sind,sein,AUX
",",--,PUNCT
freuen,freuen,VERB
sich,sich,PRON
des,der,DET
ersten,erster,PRON
Sonnenstrahls,Sonnenstrahls,PROPN
",",--,PUNCT
der,der,PRON
bis,bis,ADP
in,in,ADP
den,der,DET
Grund,Grund,NOUN
der,der,DET
Blüthenkelche,Blüthenkelche,NOUN
dringt,dringen,VERB
.,--,PUNCT
Drunten,drunter,NOUN
im,in,ADP
Thal,Thal,NOUN
",",--,PUNCT
wo,wo,SCONJ
die,der,DET
Flöße,Flöße,NOUN
aus,aus,ADP
geschälten,geschält,ADJ
Stämmen,Stämme,NOUN
und,und,CCONJ
gesägten,gesägt,ADJ
Brettern,Brett,NOUN
rasch,rasch,ADV
dahingleiten,dahingleit,ADJ
",",--,PUNCT
dort,dort,ADV
bei,bei,ADP
der,der,DET
Sägemühle,Sägemühle,NOUN
",",--,PUNCT
wo,wo,SCONJ
das,der,DET
Wehr,Wehr,NOUN
braust,brausen,VERB
",",--,PUNCT
das,der,DET
Wasser,Wasser,NOUN
über,über,ADP
das,der,DET
Rad,Rad,NOUN
spritzt,spritzen,VERB
und,und,CCONJ
die,der,DET
Säge,Sag,NOUN
schrill,schrill,ADV
tönt,tönen,VERB
",",--,PUNCT
steht,stehen,VERB
ein,ein,DET
junger,jung,ADJ
Mann,Mann,NOUN
mit,mit,ADP
weißer,weiß,ADJ
Stirn,Stirn,NOUN
und,und,CCONJ
braunen,braun,ADJ
Wangen,Wang,NOUN
an,an,ADP
dem,der,DET
oben,oben,ADV
geöffneten,geöffnet,ADJ
Kammerfenster,Kammerfenster,NOUN
und,und,CCONJ
schaut,schauen,VERB
hinaus,hinaus,ADV
und,und,CCONJ
nickt,nickt,ADV
froh,froh,ADV
",",--,PUNCT
als,als,SCONJ
grüßte,grüßen,VERB
er,er,PRON
den,der,DET
erwachenden,erwachend,ADJ
Tag,Tag,NOUN
.,--,PUNCT
Bald,bald,ADV
tritt,treten,VERB
der,der,DET
junge,jung,ADJ
Mann,Mann,NOUN
ins,in,ADP
Freie,freie,NOUN
",",--,PUNCT
er,er,PRON
breitet,breiten,VERB
die,der,DET
Arme,Arm,NOUN
aus,aus,ADP
",",--,PUNCT
als,als,SCONJ
müßte,müssen,AUX
er,er,PRON
etwas,etwas,PRON
umfangen,umfangen,VERB
;,--,PUNCT
er,er,PRON
lächelt,lächeln,VERB
",",--,PUNCT
als,als,SCONJ
schaute,schaut,ADJ
er,er,PRON
in,in,ADP
ein,ein,DET
freudiges,freudig,ADJ
liebendes,liebend,ADJ
Antlitz,Antlitz,NOUN
.,--,PUNCT
Er,er,PRON
nimmt,nehmen,VERB
die,der,DET
Soldatenmütze,Soldatenmütze,NOUN
vom,von,ADP
Kopf,Kopf,NOUN
und,und,CCONJ
hält,halten,VERB
sie,sie,PRON
weiter,weiter,ADV
schreitend,schreitend,ADV
in,in,ADP
der,der,DET
Hand,Hand,NOUN
;,--,PUNCT
sein,sein,DET
Gang,Gang,NOUN
ist,sein,AUX
fest,fest,ADV
",",--,PUNCT
seine,sein,DET
Haltung,Haltung,NOUN
stramm,stramm,ADV
",",--,PUNCT
und,und,CCONJ
die,der,DET
lautere,lautere,ADJ
Redlichkeit,Redlichkeit,NOUN
und,und,CCONJ
Gradheit,Gradheit,NOUN
schaut,schauen,VERB
aus,aus,ADP
seinem,sein,DET
Gesichte,Gesicht,NOUN
.,--,PUNCT
Er,er,PRON
geht,gehen,VERB
durch,durch,ADP
die,der,DET
Wiesen,Wiese,NOUN
bergauf,bergauf,ADV
die,der,DET
Waldeshöhe,Waldeshöhe,NOUN
hinan,hinan,ADV
",",--,PUNCT
erst,erst,ADV
hoch,hoch,ADV
oben,oben,ADV
am,an,ADP
Bergeskamm,Bergeskamm,NOUN
steht,stehen,VERB
er,er,PRON
still,still,ADV
und,und,CCONJ
schaut,schauen,VERB
weit,weit,ADV
hinaus,hinaus,ADV
;,--,PUNCT
sein,sein,DET
Blick,Blick,NOUN
haftet,haften,VERB
an,an,ADP
einer,ein,DET
Rauchsäule,Rauchsäule,NOUN
",",--,PUNCT
die,der,PRON
in,in,ADP
weiter,weit,ADV
Ferne,Ferne,NOUN
gradauf,gradauf,ADV
zum,zu,ADP
wolkenlosen,wolkenlos,ADJ
Himmel,Himmel,NOUN
aufsteigt,aufsteigt,VERB
.,--,PUNCT
»,--,PUNCT
Guten,gut,ADJ
Morgen,Morgen,NOUN
",",--,PUNCT
Thoma,Thoma,PROPN
!,--,PUNCT
Du,du,PRON
schläfst,schläfen,VERB
wohl,wohl,ADV
noch,noch,ADV
?,--,PUNCT
Wach,Wach,PROPN
auf,auf,ADP
!,--,PUNCT
Unser,unser,DET
Tag,Tag,NOUN
ist,sein,AUX
da,da,ADV
!,--,PUNCT
«,--,PUNCT
sagte,sagen,VERB
er,er,PRON
laut,laut,ADV
vor,vor,ADP
sich,sich,PRON
hin,hin,ADV
",",--,PUNCT
er,er,PRON
hatte,haben,AUX
eine,ein,DET
tief,tief,ADV
anmuthende,anmuthend,ADJ
",",--,PUNCT
männlich,männlich,ADV
volle,voll,ADJ
Stimme,Stimme,NOUN
.,--,PUNCT
Jetzt,jetzt,ADV
sprang,springen,VERB
