Token,Lemma,POS
Brigitte,Brigitte,PROPN
Augusti,Augusti,PROPN
Mädchenlose,Mädchenlose,NOUN
Bilder,Bild,NOUN
aus,aus,ADP
des,der,DET
Lebens,Leben,NOUN
Mai,Mai,NOUN
Widmung,Widmung,NOUN
.,--,PUNCT
Einst,einst,ADV
war,sein,AUX
ich,ich,PRON
jung,jung,ADV
",",--,PUNCT
wie,wie,ADV
ihr,ihr,PRON
–,--,PUNCT
's,es,PRON
ist,sein,AUX
lange,lange,ADV
her,her,ADV
",",--,PUNCT
Doch,doch,CCONJ
froh,froh,ADV
gedenk,gedenk,ADV
',--,PUNCT
ich,ich,PRON
stets,stets,ADV
der,der,DET
goldnen,goldn,ADJ
Tage,Tag,NOUN
",",--,PUNCT
Da,da,SCONJ
nur,nur,ADV
noch,noch,ADV
nicht,nicht,PART
das,der,DET
Herz,Herz,NOUN
von,von,ADP
Sorgen,Sorge,NOUN
schwer,schwer,ADV
",",--,PUNCT
Und,und,CCONJ
da,da,ADP
des,der,DET
Lebens,Leben,NOUN
vielgestalt'ge,vielgestalt'ge,PUNCT
Plage,Plage,NOUN
",",--,PUNCT
Von,von,ADP
einem,ein,DET
Schleier,Schleier,NOUN
huldvoll,huldvoll,ADV
zugedeckt,zudecken,VERB
",",--,PUNCT
Den,der,DET
frischen,frisch,ADJ
Jugendmut,Jugendmut,NOUN
noch,noch,ADV
nicht,nicht,PART
geschreckt,schrecken,VERB
.,--,PUNCT
Die,der,DET
schöne,schön,ADJ
Erde,Erde,NOUN
schien,scheinen,VERB
ein,ein,DET
Paradies,Paradies,NOUN
",",--,PUNCT
Das,der,DET
taufend,taufend,ADV
duft'ge,duft'ge,PUNCT
Blüten,Blüte,NOUN
lieblich,lieblich,ADV
schmücken,schmücken,VERB
",",--,PUNCT
Viel,viel,DET
Freuden,Freude,NOUN
bot,bieten,VERB
es,es,PRON
täglich,täglich,ADV
und,und,CCONJ
verhieß,verhassen,VERB
Noch,noch,ADV
immer,immer,ADV
herrlicher,herrlich,ADV
uns,uns,PRON
zu,zu,PART
beglücken,beglücken,VERB
",",--,PUNCT
Denn,denn,CCONJ
war,sein,AUX
das,der,DET
heut'ge,heut'ge,PUNCT
Glück,Glück,NOUN
auch,auch,ADV
noch,noch,ADV
so,so,ADV
groß,groß,ADV
",",--,PUNCT
Noch,noch,ADV
höh'res,höh'res,NOUN
barg,bergen,VERB
gewiß,gewiß,ADV
der,der,DET
Zukunft,Zukunft,NOUN
Schoß,Schoß,PROPN
.,--,PUNCT
Vorbei,vorbei,ADV
",",--,PUNCT
vorbei,vorbei,ADV
!,--,PUNCT
die,der,DET
goldne,Goldne,ADJ
Zeit,Zeit,NOUN
entschwand,entschwehen,VERB
",",--,PUNCT
Von,von,ADP
meinem,mein,DET
Lebensbaum,Lebensbaum,NOUN
fiel,fallen,VERB
Blüt,Blüt,PROPN
',--,PUNCT
auf,auf,ADP
Blüte,Blüte,NOUN
",",--,PUNCT
Auf,auf,ADP
dunklen,dunkel,ADJ
Wegen,Weg,NOUN
oft,oft,ADV
führt,führen,VERB
Gottes,Gott,NOUN
Hand,Hand,NOUN
Zum,zu,ADP
Ziel,Ziel,NOUN
