Token,Lemma,POS
C.,C.,PROPN
Spindler,Spindler,PROPN
.,--,PUNCT
Der,der,DET
Jesuit,Jesuit,NOUN
.,--,PUNCT
Charaktergemälde,Charaktergemälde,PROPN
aus,aus,ADP
dem,der,DET
ersten,erster,ADJ
Viertel,Viertel,NOUN
des,der,DET
achtzehnten,achtzehnt,ADJ
Jahrhunderts,Jahrhundert,NOUN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erster,erst,ADJ
Abschnitt,Abschnitt,NOUN
.,--,PUNCT
1720.,1720.,ADV
Des,der,DET
Senators,Senator,NOUN
Familienleben,Familienlebe,NOUN
.,--,PUNCT
–,--,PUNCT
Sein,sein,DET
Kontor,Kontor,NOUN
und,und,CCONJ
dessen,der,PRON
Diener,Diener,NOUN
.,--,PUNCT
–,--,PUNCT
James,James,PROPN
.,--,PUNCT
–,--,PUNCT
Fortunas,Fortuna,PROPN
Launen,Laun,NOUN
.,--,PUNCT
–,--,PUNCT
Der,der,DET
Geschäftsfreund,Geschäftsfreund,NOUN
aus,aus,ADP
Holland,Holland,PROPN
.,--,PUNCT
–,--,PUNCT
Das,der,DET
Gespräch,Gespräch,NOUN
unter,unter,ADP
den,der,DET
Kastanienbäumen,Kastanienbäum,VERB
.,--,PUNCT
–,--,PUNCT
Der,der,DET
