Token,Lemma,POS
Carl,Carl,PROPN
Spindler,Spindler,PROPN
Herbstviolen,Herbstviol,NOUN
Erzählungen,Erzählung,NOUN
und,und,CCONJ
Novellen,Novelle,NOUN
von,von,ADP
C.,C.,PROPN
Spindler,Spindler,PROPN
.,--,PUNCT
Zweiter,zweiter,ADJ
Band,Band,NOUN
Stuttgart,Stuttgart,PROPN
",",--,PUNCT
Hallberger'sche,Hallberger'sch,ADJ
Verlagsbuchhandlung,Verlagsbuchhandlung,NOUN
1834,1834,NUM
Das,der,DET
Modell,Modell,NOUN
und,und,CCONJ
das,der,DET
Ave,Ave,NOUN
Maria,Maria,PROPN
Ballade,Ballade,NOUN
eines,ein,DET
römischen,römisch,ADJ
Bänkelsängers,Bänkelsänger,NOUN
»,--,PUNCT
Ehre,Ehre,NOUN
sey,sey,PROPN
der,der,DET
hochwürdigsten,hochwürdigst,ADJ
Jungfrau,Jungfrau,NOUN
Maria,Maria,PROPN
",",--,PUNCT
der,der,DET
heiligsten,heilig,ADJ
Mutter,Mutter,NOUN
des,der,DET
Kindleins,Kindleins,PROPN
Jesus,Jesus,PROPN
!,--,PUNCT
Unter,unter,ADP
ihrem,ihr,DET
Schutze,Schutz,NOUN
wollen,wollen,AUX
wir,wir,PRON
heute,heute,ADV
andächtiglich,andächtiglich,ADV
vernehmen,vernehmen,VERB
",",--,PUNCT
was,was,PRON
ich,ich,PRON
in,in,ADP
alten,alt,ADJ
glaubwürdigen,glaubwürdig,ADJ
Büchern,Buch,NOUN
gelesen,lesen,VERB
",",--,PUNCT
und,und,CCONJ
von,von,ADP
einem,ein,DET
sehr,sehr,ADV
gelehrten,gelehrt,ADJ
Abbate,Abbat,NOUN
bestätigt,bestätigen,VERB
erhalten,erhalten,VERB
habe,haben,AUX
.,--,PUNCT
Ihr,ihr,DET
möget,möget,ADV
wissen,wissen,VERB
",",--,PUNCT
Freunde,Freund,NOUN
und,und,CCONJ
Zuhörer,Zuhörer,NOUN
",",--,PUNCT
denen,der,PRON
ich,ich,PRON
um,um,ADP
den,der,DET
geringen,gering,ADJ
Preis,Preis,NOUN
einiger,einiger,DET
Kupfermünzen,Kupfermünze,NOUN
eine,ein,DET
wunderbarliche,wunderbarlich,ADJ
Historie,Historie,NOUN
zur,zu,ADP
Befestigung,Befestigung,NOUN
der,der,DET
Andacht,Andacht,NOUN
und,und,CCONJ
des,der,DET
Glaubens,Glauben,PROPN
verkündige,verkündige,VERB
",",--,PUNCT
daß,daß,SCONJ
es,es,PRON
im,in,ADP
rauhen,rauh,ADJ
Norden,Norden,NOUN
Länder,Land,NOUN
giebt,giebt,VERB
",",--,PUNCT
wo,wo,SCONJ
der,der,DET
Olivenbaum,Olivenbaum,NOUN
nicht,nicht,PART
wächst,wachsen,VERB
",",--,PUNCT
und,und,CCONJ
der,der,DET
Lorbeer,Lorbeer,NOUN
nicht,nicht,PART
gedeiht,gedeihen,VERB
",",--,PUNCT
sondern,sondern,CCONJ
Oede,Oed,NOUN
und,und,CCONJ
Unfruchtbarkeit,Unfruchtbarkeit,NOUN
herrscht,herrschen,VERB
.,--,PUNCT
Eines,einer,PRON
dieser,dieser,DET
Länder,Land,NOUN
ist,sein,AUX
Deutschland,Deutschland,PROPN
",",--,PUNCT
woher,woher,SCONJ
die,der,DET
Ketzerei,Ketzerei,NOUN
stammt,stammen,VERB
",",--,PUNCT
die,der,PRON
wie,wie,ADP
eine,ein,DET
fressende,fressend,ADJ
Schlange,Schlange,NOUN
allenthalben,allenthalben,ADV
hinkroch,hinkroch,ADV
",",--,PUNCT
und,und,CCONJ
nur,nur,ADV
unser,unser,DET
Vaterland,Vaterland,NOUN
",",--,PUNCT
das,der,PRON
gesegnete,gesegnen,ADJ
Italien,Italien,PROPN
verschonen,verschonen,VERB
mußte,müssen,AUX
",",--,PUNCT
weil,weil,SCONJ
es,es,PRON
unmittelbar,unmittelbar,ADV
unter,unter,ADP
dem,der,DET
Schutze,Schutz,NOUN
des,der,DET
heiligsten,heiligsen,VERB
Statthalters,Statthalter,PROPN
Gottes,Gott,NOUN
steht,stehen,VERB
.,--,PUNCT
Wünschet,Wünschet,NOUN
Euch,euch,PRON
darum,darum,ADV
nicht,nicht,PART
",",--,PUNCT
fremde,fremd,ADJ
Länder,Land,NOUN
zu,zu,PART
besuchen,besuchen,VERB
",",--,PUNCT
weil,weil,SCONJ
der,der,DET
Italiener,Italiener,NOUN
stirbt,sterben,VERB
",",--,PUNCT
wo,wo,SCONJ
er,er,PRON
seinen,sein,DET
Wein,Wein,NOUN
",",--,PUNCT
seine,sein,DET
Gesänge,Gesäng,NOUN
und,und,CCONJ
seinen,sein,DET
Gott,Gott,NOUN
nicht,nicht,PART
findet,finden,VERB
.,--,PUNCT
Aber,aber,CCONJ
es,es,PRON
ist,sein,AUX
den,der,DET
verlorenen,verloren,ADJ
Schafen,Schaf,NOUN
der,der,DET
Kirche,Kirche,NOUN
gegeben,geben,VERB
",",--,PUNCT
den,der,DET
Weg,Weg,NOUN
über,über,ADP
die,der,DET
Alpen,Alpen,NOUN
zu,zu,PART
suchen,suchen,VERB
",",--,PUNCT
und,und,CCONJ
sogar,sogar,ADV
in,in,ADP
die,der,DET
Nähe,Nähe,NOUN
des,der,DET
heiligsten,heilig,ADJ
Stuhls,Stuhl,NOUN
Petri,Petri,NOUN
zu,zu,PART
dringen,dringen,VERB
",",--,PUNCT
und,und,CCONJ
sie,sie,PRON
geben,geben,VERB
vor,vor,ADP
",",--,PUNCT
entweder,entweder,CCONJ
zu,zu,ADP
ihrer,ihr,DET
Belehrung,Belehrung,NOUN
zu,zu,PART
reisen,reisen,VERB
",",--,PUNCT
oder,oder,CCONJ
die,der,DET
Künste,Kunst,NOUN
zu,zu,ADP
studiren,studiren,VERB
",",--,PUNCT
deren,der,DET
Wiege,Wiege,NOUN
und,und,CCONJ
Triumph,Triumph,NOUN
bei,bei,ADP
uns,uns,PRON
zu,zu,PART
schauen,schauen,VERB
ist,sein,AUX
.,--,PUNCT
Falsche,falsch,NOUN
Vorspiegelungen,Vorspiegelung,NOUN
jedoch,jedoch,ADV
!,--,PUNCT
Braucht,brauchen,VERB
man,man,PRON
zu,zu,PART
reisen,reisen,VERB
",",--,PUNCT
um,um,SCONJ
glücklich,glücklich,ADV
zu,zu,PART
seyn,seyn,VERB
?,--,PUNCT
Nützt,Nützt,VERB
diesen,dieser,DET
Künstlern,Künstler,NOUN
ihre,ihr,DET
Geschicklichkeit,Geschicklichkeit,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
sie,sie,PRON
in,in,ADP
ihre,ihr,DET
Heimath,Heimath,NOUN
zurückkehren,zurückkehren,VERB
",",--,PUNCT
wo,wo,SCONJ
es,es,PRON
kalt,kalt,ADV
ist,sein,AUX
",",--,PUNCT
und,und,CCONJ
wo,wo,SCONJ
man,man,PRON
sich,sich,PRON
in,in,ADP
die,der,DET
Häuser,Haus,NOUN
verkriechen,verkriechen,VERB
muß,müssen,AUX
",",--,PUNCT
wo,wo,SCONJ
man,man,PRON
die,der,DET
Bilder,Bild,NOUN
aus,aus,ADP
den,der,DET
Kirchen,Kirche,NOUN
verdrängt,verdrängen,VERB
",",--,PUNCT
und,und,CCONJ
das,der,DET
Volk,Volk,NOUN
wenig,wenig,PRON
den,der,DET
unvernünftigen,unvernünftig,ADJ
Thieren,Thier,NOUN
nachsteht,nachstehen,VERB
?,--,PUNCT
Ich,ich,PRON
will,wollen,AUX
Euch,euch,PRON
sagen,sagen,VERB
",",--,PUNCT
warum,warum,SCONJ
diese,dieser,DET
Leute,Leute,NOUN
zu,zu,ADP
uns,uns,PRON
kommen,kommen,VERB
:,--,PUNCT
entweder,entweder,CCONJ
",",--,PUNCT
um,um,SCONJ
reuevoll,reuevoll,ADV
Buße,Buße,NOUN
zu,zu,PART
