Token,Lemma,POS
Charles,Charles,PROPN
Sealsfield,Sealsfield,PROPN
In,in,ADP
der,der,DET
Prärie,Prärie,NOUN
verirrt,verirren,VERB
Es,es,PRON
war,sein,AUX
im,in,ADP
Jahre,Jahr,NOUN
1832.,1832.,PUNCT
Texas,Texas,PROPN
war,sein,AUX
damals,damals,ADV
noch,noch,ADV
fast,fast,ADV
gar,gar,ADV
nicht,nicht,PART
besiedelt,besiedeln,VERB
.,--,PUNCT
Weite,weite,NOUN
",",--,PUNCT
fruchtbare,fruchtbar,ADJ
Landstrecken,Landstreck,NOUN
lagen,liegen,VERB
unbebaut,unbebaut,ADV
da,da,ADV
.,--,PUNCT
Die,der,DET
Regierung,Regierung,NOUN
wünschte,wünschen,VERB
sehr,sehr,ADV
",",--,PUNCT
daß,daß,SCONJ
Texas,Texas,PROPN
kolonisiert,kolonisiern,VERB
werde,werden,AUX
;,--,PUNCT
daher,daher,ADV
begünstigte,begünstigen,VERB
sie,sie,PRON
die,der,DET
Einwanderung,Einwanderung,NOUN
auf,auf,ADP
jede,jeder,DET
Weise,Weise,NOUN
.,--,PUNCT
Für,für,ADP
ein,ein,DET
Spottgeld,Spottgeld,NOUN
konnte,können,AUX
man,man,PRON
große,groß,ADJ
Güter,Gut,NOUN
erwerben,erwerben,VERB
.,--,PUNCT
Da,da,ADV
beschloß,beschließen,VERB
ich,ich,PRON
",",--,PUNCT
nach,nach,ADP
Texas,Texas,PROPN
zu,zu,PART
gehen,gehen,VERB
und,und,CCONJ
mich,mich,PRON
dort,dort,ADV
niederzulassen,niederlassen,VERB
.,--,PUNCT
Von,von,ADP
der,der,DET
New,New,PROPN
Yorker,Yorker,ADJ
Texas-Landkompanie,Texas-Landkompanie,NOUN
erwarb,erwerben,VERB
ich,ich,PRON
für,für,ADP
tausend,tausend,NUM
Dollar,Dollar,NOUN
einen,ein,DET
sogenannten,sogenannter,ADJ
Texas-Landstrip,Texas-Landstrip,NOUN
",",--,PUNCT
wonach,wonach,ADV
ich,ich,PRON
berechtigt,berechtigen,VERB
sein,sein,AUX
sollte,sollen,AUX
",",--,PUNCT
mir,mir,PRON
innerhalb,innerhalb,ADP
des,der,DET
Gebietes,Gebiet,NOUN
der,der,DET
Texas-Landkompanie,Texas-Landkompanie,NOUN
eine,ein,DET
Strecke,Strecke,NOUN
von,von,ADP
nicht,nicht,PART
mehr,mehr,ADV
noch,noch,ADV
weniger,weniger,ADV
denn,denn,ADV
zehntausend,zehntausend,NUM
Acker,Acker,NOUN
Landes,Land,NOUN
auszusuchen,auszusuchen,VERB
",",--,PUNCT
sie,sie,PRON
eigentümlich,eigentümlich,ADV
in,in,ADP
Besitz,Besitz,NOUN
zu,zu,PART
nehmen,nehmen,VERB
",",--,PUNCT
mich,sich,PRON
darauf,darauf,ADV
niederzulassen,niederlassen,VERB
",",--,PUNCT
kurz,kurz,ADV
",",--,PUNCT
alle,alle,PRON
und,und,CCONJ
jede,jeder,DET
Befugnis,Befugnis,NOUN
eines,ein,DET
Eigentümers,Eigentümer,NOUN
auszuüben,ausüben,VERB
",",--,PUNCT
bloß,bloß,ADV
unter,unter,ADP
der,der,DET
einzigen,einzig,ADJ
Bedingung,Bedingung,NOUN
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
bei,bei,ADP
der,der,DET
Auswahl,Auswahl,NOUN
meiner,mein,DET
zehntausend,zehntausend,NUM
Acker,Acker,NOUN
nicht,nicht,PART
früheren,früh,VERB
Rechten,rechte,NOUN
in,in,ADP
den,der,DET
Weg,Weg,NOUN
trete,tren,VERB
.,--,PUNCT
Mit,mit,ADP
einem,ein,DET
Freunde,Freund,NOUN
",",--,PUNCT
der,der,PRON
eine,ein,DET
gleiche,gleich,ADJ
Anzahl,Anzahl,NOUN
Acker,Acker,NOUN
auf,auf,ADP
dem,der,DET
Papier,Papier,NOUN
besaß,besitzen,VERB
",",--,PUNCT
schiffte,schiffen,VERB
ich,ich,PRON
mich,sich,PRON
nach,nach,ADP
dem,der,DET
vielbelobten,vielbelobt,ADJ
Lande,Land,NOUN
ein,ein,ADV
.,--,PUNCT
Wir,wir,PRON
gingen,gehen,VERB
in,in,ADP
Baltimore,Baltimore,PROPN
an,an,ADP
Bord,Bord,NOUN
des,der,DET
schnellsegelnden,schnellsegelnd,ADJ
Schoners,Schoner,NOUN
The,The,PROPN
Catcher,Catcher,PROPN
und,und,CCONJ
kamen,kommen,VERB
nach,nach,ADP
einer,ein,DET
dreiwöchigen,dreiwöchig,ADJ
Fahrt,Fahrt,NOUN
glücklich,glücklich,ADV
in,in,ADP
Galvestonbai,Galvestonbai,NOUN
an,an,ADP
.,--,PUNCT
Eine,ein,DET
unübersehbare,unübersehbar,ADJ
",",--,PUNCT
hundert,hundert,NUM
oder,oder,CCONJ
mehr,mehr,DET
Meilen,Meile,NOUN
hinlaufende,hinlaufend,ADJ
Ebene,Ebene,NOUN
lag,liegen,VERB
vor,vor,ADP
unsern,unsern,NOUN
Augen,Auge,NOUN
;,--,PUNCT
diese,dieser,DET
Ebene,Ebene,NOUN
hatte,haben,AUX
auch,auch,ADV
nicht,nicht,PART
die,der,DET
mindeste,minde,ADJ
Erhöhung,Erhöhung,NOUN
oder,oder,CCONJ
Senkung,Senkung,NOUN
;,--,PUNCT
sie,sie,PRON
war,sein,AUX
mit,mit,ADP
den,der,DET
zartesten,zartest,ADJ
",",--,PUNCT
feinsten,fein,ADJ
Gräsern,Gräser,NOUN
überwachsen,überwachsen,VERB
",",--,PUNCT
von,von,ADP
jedem,jeder,DET
Hauch,Hauch,NOUN
der,der,DET
Seebrise,Seebris,NOUN
gefächelt,fächeln,VERB
",",--,PUNCT
in,in,ADP
Wellen,Welle,NOUN
rollend,rollend,ADV
",",--,PUNCT
durch,durch,ADP
nichts,nichts,PRON
unterbrechen,unterbrechen,VERB
",",--,PUNCT
weder,weder,CCONJ
durch,durch,ADP
Baum,Baum,NOUN
noch,noch,ADV
Hügel,Hügel,NOUN
",",--,PUNCT
weder,weder,CCONJ
durch,durch,ADP
Haus,Haus,NOUN
noch,noch,CCONJ
Hof,Hof,PROPN
.,--,PUNCT
Etwa,etwa,ADV
zehn,zehn,NUM
bis,bis,CCONJ
zwölf,zwölf,NUM
Meilen,Meile,NOUN
gegen,gegen,ADP
Norden,Norden,NOUN
und,und,CCONJ
Nordwesten,Nordweste,NOUN
tauchten,tauchen,VERB
freilich,freilich,ADV
einige,einiger,DET
dunkle,dunkel,ADJ
Massen,Masse,NOUN
auf,auf,ADP
",",--,PUNCT
die,der,PRON
",",--,PUNCT
wie,wie,SCONJ
wir,wir,PRON
später,spät,ADV
erfuhren,erfahren,VERB
",",--,PUNCT
Baumgruppen,Baumgruppe,NOUN
waren,sein,AUX
;,--,PUNCT
aber,aber,CCONJ
unsern,unsern,ADV
Augen,Auge,NOUN
erschienen,erscheinen,VERB
sie,sie,PRON
als,als,ADP
Inseln,Insel,NOUN
.,--,PUNCT
Diese,dieser,PRON
Baumgruppen,Baumgruppe,NOUN
",",--,PUNCT
deren,die,DET
es,es,PRON
unzählige,unzähligen,VERB
in,in,ADP
den,der,DET
Prärien,Prärie,NOUN
von,von,ADP
Texas,Texas,PROPN
gibt,geben,VERB
",",--,PUNCT
heißen,heißen,VERB
auch,auch,ADV
wirklich,wirklich,ADV
Inseln,Insel,NOUN
",",--,PUNCT
und,und,CCONJ
sie,sie,PRON
gleichen,gleich,VERB
diesen,dieser,DET
auf,auf,ADP
ein,ein,DET
Haar,Haar,NOUN
.,--,PUNCT
In,in,ADP
den,der,DET
Golf,Golf,NOUN
mündet,münden,VERB
der,der,DET
Rio,Rio,PROPN
de,de,PROPN
Brazos,Brazos,PROPN
.,--,PUNCT
Drei,drei,NUM
Tage,Tag,NOUN
fuhren,fahren,VERB
wir,wir,PRON
ihn,ihn,PRON
hinauf,hinauf,ADV
bis,bis,ADP
nach,nach,ADP
Brazoria,Brazoria,PROPN
.,--,PUNCT
Brazoria,Brazoria,PROPN
war,sein,AUX
zur,zu,ADP
Zeit,Zeit,NOUN
unserer,unser,DET
Ankunft,Ankunft,NOUN
eine,ein,DET
bedeutende,bedeutend,ADJ
Stadt,Stadt,NOUN
",",--,PUNCT
für,für,ADP
Texas,Texas,PROPN
nämlich,nämlich,ADV
–,--,PUNCT
indem,indem,SCONJ
sie,sie,PRON
über,über,ADP
dreißig,dreißig,NUM
Häuser,Haus,NOUN
enthielt,enthalten,VERB
",",--,PUNCT
darunter,darunter,ADV
drei,drei,NUM
backsteinerne,backsteinernen,VERB
;,--,PUNCT
die,der,PRON
andern,anderer,VERB
waren,sein,AUX
Blockhäuser,Blockhäuser,NOUN
.,--,PUNCT
Dort,dort,ADV
sagte,sagen,VERB
man,man,PRON
uns,uns,PRON
",",--,PUNCT
das,der,DET
Notwendigste,Notwendigste,NOUN
wäre,sein,AUX
zunächst,zunächst,ADV
Mustangs,Mustang,ADV
zu,zu,PART
kaufen,kaufen,VERB
",",--,PUNCT
deren,die,DET
die,der,DET
schönsten,schön,ADJ
zu,zu,ADP
Spottpreisen,Spottpreise,NOUN
zu,zu,PART
haben,haben,VERB
wären,sein,AUX
",",--,PUNCT
und,und,CCONJ
uns,uns,PRON
dann,dann,ADV
im,in,ADP
Lande,Land,NOUN
umzusehen,umzusehen,VERB
.,--,PUNCT
Wir,wir,PRON
befolgten,befolgten,VERB
den,der,DET
guten,gut,ADJ
Rat,Rat,NOUN
und,und,CCONJ
erwarben,erwerben,VERB
