Token,Lemma,POS
Christoph,Christoph,PROPN
von,von,PROPN
Schmid,Schmid,PROPN
Das,der,DET
Rotkehlchen,rotkehlchen,NOUN
.,--,PUNCT
Es,es,PRON
war,sein,AUX
Martin,Martin,PROPN
Frank,Frank,PROPN
ein,ein,DET
tapferer,tapfeer,ADJ
Kriegsmann,Kriegsmann,NOUN
",",--,PUNCT
der,der,PRON
viele,vieler,DET
Jahre,Jahr,NOUN
gedient,dienen,VERB
",",--,PUNCT
mehrere,mehrere,PRON
Feldzüge,Feldzug,NOUN
mitgemacht,mitmachen,VERB
und,und,CCONJ
für,für,ADP
sein,sein,DET
Vaterland,Vaterland,NOUN
rühmlich,rühmlich,ADV
gekämpft,kämpfen,VERB
hatte,haben,AUX
.,--,PUNCT
Als,als,SCONJ
er,er,PRON
aus,aus,ADP
dem,der,DET
Feld,Feld,NOUN
zurückkam,zurückkommen,VERB
",",--,PUNCT
waren,sein,AUX
seine,sein,DET
dürftigen,dürftig,ADJ
Eltern,Eltern,NOUN
bereits,bereits,ADV
gestorben,sterben,VERB
.,--,PUNCT
Sie,sie,PRON
hatten,haben,AUX
ihm,ihm,PRON
nichts,nichts,PRON
hinterlassen,hinterlassen,VERB
als,als,ADP
ein,ein,DET
baufälliges,baufällig,ADJ
Wohnhäuschen,Wohnhäuschen,NOUN
und,und,CCONJ
einen,ein,DET
kleinen,klein,ADJ
Baumgarten,Baumgart,NOUN
dabei,dabei,ADV
.,--,PUNCT
Der,der,DET
brave,brav,ADJ
Mann,Mann,NOUN
befand,befinden,VERB
sich,sich,PRON
nun,nun,ADV
in,in,ADP
einer,ein,DET
sehr,sehr,ADV
traurigen,traurig,ADJ
Lage,Lage,NOUN
.,--,PUNCT
Seine,sein,DET
Wunden,Wunde,NOUN
hatten,haben,AUX
ihn,ihn,PRON
zu,zu,ADP
schweren,schwer,ADJ
Arbeiten,Arbeit,NOUN
untauglich,untauglich,ADV
gemacht,machen,VERB
.,--,PUNCT
Er,er,PRON
war,sein,AUX
sehr,sehr,ADV
bekümmert,bekümmeren,VERB
und,und,CCONJ
sann,sann,ADJ
Tag,Tag,NOUN
und,und,CCONJ
Nacht,Nacht,NOUN
ernstlich,ernstlich,ADV
nach,nach,ADP
",",--,PUNCT
wie,wie,SCONJ
er,er,PRON
sich,sich,PRON
ehrlich,ehrlich,ADV
ernähren,ernähren,VERB
wolle,wollen,AUX
.,--,PUNCT
Da,da,ADV
bemerkte,bemerken,VERB
er,er,PRON
eines,ein,DET
Tages,Tag,NOUN
in,in,ADP
dem,der,DET
nahen,nah,ADJ
Wald,Wald,NOUN
",",--,PUNCT
dass,dass,SCONJ
die,der,DET
vielen,vieler,DET
Stöcke,Stöck,NOUN
und,und,CCONJ
Wurzeln,Wurzel,NOUN
der,der,DET
abgehauenen,abgehauen,ADJ
Wacholderbäume,Wacholderbaum,NOUN
sehr,sehr,ADV
schönes,schön,ADJ
Maserholz,Maserholz,NOUN
lieferten,liefern,VERB
",",--,PUNCT
aber,aber,CCONJ
wenig,wenig,PRON
geachtet,achten,VERB
wurden,werden,AUX
und,und,CCONJ
unbenützt,unbenützen,ADV
im,in,ADP
Wald,Wald,NOUN
verfaulten,verfaulten,VERB
.,--,PUNCT
Er,er,PRON
versuchte,versuchen,VERB
sogleich,sogleich,ADV
",",--,PUNCT
aus,aus,ADP
diesem,dieser,DET
Holz,Holz,NOUN
Tabaksdosen,Tabaksdos,NOUN
und,und,CCONJ
Pfeifenköpfe,Pfeifenköpfe,NOUN
zu,zu,PART
verfertigen,verfertigen,VERB
",",--,PUNCT
und,und,CCONJ
brachte,bringen,VERB
es,es,PRON
zu,zu,ADP
einer,ein,DET
ungemeinen,ungemein,ADJ
Geschicklichkeit,Geschicklichkeit,NOUN
;,--,PUNCT
besonders,besonders,ADV
fanden,finden,VERB
die,der,DET
Pfeifenköpfe,Pfeifenköpfe,NOUN
",",--,PUNCT
die,der,PRON
aus,aus,ADP
dem,der,DET
schönsten,schön,ADJ
Maser,Maser,NOUN
zierlich,zierlich,ADV
geschnitzt,schnitzen,VERB
und,und,CCONJ
glänzend,glänzend,ADV
poliert,polieren,VERB
waren,sein,AUX
",",--,PUNCT
grossen,grossen,VERB
Beifall,Beifall,NOUN
und,und,CCONJ
reissenden,reissend,ADJ
Abgang,Abgang,NOUN
.,--,PUNCT
Mancher,mancher,DET
vornehme,vornehm,ADJ
Herr,Herr,NOUN
zog,ziehen,VERB
einen,ein,DET
solchen,solcher,DET
",",--,PUNCT
schön,schön,ADV
mit,mit,ADP
Silber,Silber,NOUN
beschlagenen,beschlagen,ADJ
Pfeifenkopf,Pfeifenkopf,NOUN
sogar,sogar,ADV
einem,ein,DET
solchen,solcher,DET
von,von,ADP
Meerschaum,Meerschaum,NOUN
vor,vor,ADP
.,--,PUNCT
Der,der,DET
fleissige,fleissig,ADJ
Mann,Mann,NOUN
arbeitete,arbeiten,VERB
die,der,DET
ganze,ganz,ADJ
Woche,Woche,NOUN
hindurch,hindurch,ADV
unermüdet,unermüdet,ADV
in,in,ADP
seiner,sein,DET
Werkstätte,Werkstätte,NOUN
oder,oder,CCONJ
holte,holen,VERB
sich,sich,PRON
Maserholz,Maserholz,NOUN
aus,aus,ADP
dem,der,DET
Wald,Wald,NOUN
",",--,PUNCT
und,und,CCONJ
war,sein,AUX
dabei,dabei,ADV
nicht,nicht,PART
viel,viel,ADV
besser,gut,ADV
gekleidet,kleiden,VERB
als,als,ADP
ein,ein,DET
Tagwerker,Tagwerker,NOUN
.,--,PUNCT
Allein,allein,ADV
des,der,DET
Sonntags,Sonntag,PROPN
erschien,erscheinen,VERB
er,er,PRON
in,in,ADP
seiner,sein,DET
grünen,grün,ADJ
Uniform,Uniform,NOUN
mit,mit,ADP
roten,rot,ADJ
Aufschlägen,Aufschläg,NOUN
und,und,CCONJ
mit,mit,ADP
seiner,sein,DET
silbernen,silbern,ADJ
Ehrenmünze,Ehrenmünze,NOUN
an,an,ADP
der,der,DET
Brust,Brust,NOUN
",",--,PUNCT
ging,gehen,VERB
morgens,morgens,ADV
",",--,PUNCT
indem,indem,SCONJ
er,er,PRON
sich,sich,PRON
wegen,wegen,ADP
seines,sein,DET
etwas,etwas,ADV
gelähmten,gelähmt,ADJ
Fusses,Fuß,NOUN
auf,auf,ADP
seinen,sein,DET
Korporalstock,Korporalstock,NOUN
stützte,stützen,VERB
",",--,PUNCT
in,in,ADP
gemessenem,gemessen,ADJ
Schritt,Schritt,NOUN
zur,zu,ADP
Kirche,Kirche,NOUN
",",--,PUNCT
und,und,CCONJ
abends,abends,ADV
auf,auf,ADP
eine,ein,DET
oder,oder,CCONJ
längstens,längstens,ADV
zwei,zwei,NUM
Stunden,Stunde,NOUN
in,in,ADP
den,der,DET
Gasthof,Gasthof,NOUN
.,--,PUNCT
Er,er,PRON
hatte,haben,AUX
noch,noch,ADV
immer,immer,ADV
in,in,ADP
Gang,Gang,NOUN
und,und,CCONJ
Gebärde,Gebärde,NOUN
etwas,etwas,DET
Kriegerisches,Kriegerisches,NOUN
und,und,CCONJ
trug,tragen,VERB
auch,auch,ADV
seinen,sein,DET
Schnurrbart,Schnurrbart,NOUN
noch,noch,ADV
.,--,PUNCT
Wegen,wegen,ADP
seiner,sein,DET
Rechtschaffenheit,Rechtschaffenheit,NOUN
",",--,PUNCT
Erfahrung,Erfahrung,NOUN
und,und,CCONJ
Ordnungsliebe,Ordnungsliebe,NOUN
wurde,werden,AUX
er,er,PRON
allgemein,allgemein,ADV
geachtet,achten,VERB
.,--,PUNCT
Er,er,PRON
gelangte,gelangen,VERB
durch,durch,ADP
seinen,sein,DET
Fleiss,Fleiss,NOUN
und,und,CCONJ
seine,sein,DET
kluge,klug,ADJ
Sparsamkeit,Sparsamkeit,NOUN
zu,zu,ADP
einem,ein,DET
nicht,nicht,PART
unbedeutenden,unbedeutend,ADJ
Vermögen,Vermögen,NOUN
.,--,PUNCT
Denn,denn,CCONJ
er,er,PRON
war,sein,AUX
keiner,keiner,PRON
von,von,ADP
denjenigen,derjenige,PRON
",",--,PUNCT
die,der,PRON
sogleich,sogleich,ADV
grossen,gross,ADJ
Aufwand,Aufwand,NOUN
machen,machen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
sie,sie,PRON
gute,gut,ADJ
Geschäfte,Geschäft,NOUN
gemacht,machen,VERB
haben,haben,AUX
",",--,PUNCT
und,und,CCONJ
da,da,ADV
meinen,meinen,VERB
",",--,PUNCT
es,es,PRON
werde,werden,AUX
immer,immer,ADV
so,so,ADV
gehen,gehen,VERB
.,--,PUNCT
Unter,unter,ADP
