Token,Lemma,POS
Christoph,Christoph,PROPN
von,von,PROPN
Schmid,Schmid,PROPN
Das,der,DET
hölzerne,hölzern,ADJ
Kreuz,Kreuz,NOUN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Das,der,DET
Münster,Münster,NOUN
.,--,PUNCT
Die,der,DET
Frau,Frau,NOUN
von,von,ADP
Linden,Linden,PROPN
",",--,PUNCT
eine,ein,DET
reiche,reich,ADJ
",",--,PUNCT
adelige,adelig,ADJ
Witwe,Witwe,NOUN
",",--,PUNCT
lebte,leben,VERB
seit,seit,ADP
dem,der,DET
Tod,Tod,NOUN
ihres,ihr,DET
Gemahls,Gemahl,PROPN
auf,auf,ADP
ihrem,ihr,DET
Schloss,Schloss,NOUN
in,in,ADP
ländlicher,ländlich,ADJ
Stille,Stille,NOUN
und,und,CCONJ
ward,werden,VERB
wegen,wegen,ADP
ihres,ihr,DET
Verstandes,Verstand,NOUN
",",--,PUNCT
ihrer,ihr,DET
ungeheuchelten,ungeheuchelt,ADJ
Frömmigkeit,Frömmigkeit,NOUN
und,und,CCONJ
ihrer,ihr,DET
Wohltätigkeit,Wohltätigkeit,NOUN
gegen,gegen,ADP
die,der,DET
Armen,arme,NOUN
von,von,ADP
der,der,DET
ganzen,ganz,ADJ
Nachbarschaft,Nachbarschaft,NOUN
allgemein,allgemein,ADV
verehrt,verehren,VERB
und,und,CCONJ
geliebt,lieben,VERB
.,--,PUNCT
Einst,einst,ADV
musste,mussen,VERB
sie,sie,PRON
wegen,wegen,ADP
wichtiger,wichtig,ADJ
Angelegenheiten,Angelegenheit,NOUN
sich,sich,PRON
in,in,ADP
die,der,DET
Hauptstadt,Hauptstadt,NOUN
begeben,begeben,VERB
und,und,CCONJ
brachte,bringen,VERB
dort,dort,ADV
gegen,gegen,ADP
drei,drei,NUM
Wochen,Woche,NOUN
sehr,sehr,ADV
beschäftigt,beschäftigen,VERB
zu,zu,ADP
.,--,PUNCT
Am,an,ADP
Tag,Tag,NOUN
vor,vor,ADP
ihrer,ihr,DET
Rückreise,Rückreise,PROPN
wollte,wollen,AUX
sie,sie,PRON
gegen,gegen,ADP
Abend,Abend,NOUN
noch,noch,ADV
einen,ein,DET
Spaziergang,Spaziergang,NOUN
um,um,ADP
die,der,DET
Stadt,Stadt,NOUN
machen,machen,VERB
.,--,PUNCT
Es,es,PRON
war,sein,AUX
Sonntag,Sonntag,NOUN
und,und,CCONJ
nach,nach,ADP
langem,lang,ADJ
Regen,Regen,NOUN
ein,ein,DET
unvergleichlich,unvergleichlich,ADV
schöner,schön,ADJ
Frühlingstag,Frühlingstag,NOUN
.,--,PUNCT
Die,der,DET
Einwohner,Einwohner,NOUN
der,der,DET
Stadt,Stadt,NOUN
strömten,strömen,VERB
",",--,PUNCT
festlich,festlich,ADV
gekleidet,kleiden,VERB
und,und,CCONJ
frohen,frohen,ADJ
Sinnes,Sinn,NOUN
",",--,PUNCT
den,der,DET
Toren,Tor,NOUN
zu,zu,ADP
",",--,PUNCT
den,der,DET
herrlichen,herrlich,ADJ
Abend,Abend,NOUN
im,in,ADP
Freien,freie,NOUN
zu,zu,PART
geniessen,geniessen,VERB
.,--,PUNCT
Frau,Frau,NOUN
von,von,ADP
Linden,Linden,PROPN
war,sein,AUX
bereits,bereits,ADV
auf,auf,ADP
dem,der,DET
Weg,Weg,NOUN
zum,zu,ADP
Tor,Tor,NOUN
und,und,CCONJ
wollte,wollen,AUX
zu,zu,ADP
ihrer,ihr,DET
Begleitung,Begleitung,NOUN
nur,nur,ADV
noch,noch,ADV
eine,ein,DET
Freundin,Freundin,NOUN
abholen,abholen,VERB
.,--,PUNCT
Da,da,ADV
kam,kommen,VERB
es,es,PRON
ihr,ihr,PRON
auf,auf,ADP
einmal,einmal,ADV
in,in,ADP
den,der,DET
Sinn,Sinn,NOUN
",",--,PUNCT
die,der,DET
Hauptkirche,Hauptkirche,NOUN
der,der,DET
Stadt,Stadt,NOUN
",",--,PUNCT
das,der,PRON
Münster,Münster,PROPN
",",--,PUNCT
an,an,ADP
dem,der,PRON
sie,sie,PRON
eben,eben,ADV
vorbeiging,vorbeiging,X
",",--,PUNCT
noch,noch,ADV
einmal,einmal,ADV
zu,zu,PART
besehen,besehen,VERB
.,--,PUNCT
Zu,zu,ADP
dieser,dieser,DET
Stunde,Stunde,NOUN
",",--,PUNCT
dachte,denken,VERB
sie,sie,PRON
",",--,PUNCT
würde,werden,AUX
sie,sie,PRON
dieses,dieser,DET
Wunder,Wunder,NOUN
alter,alt,ADJ
Baukunst,Baukunst,NOUN
am,am,PART
bequemsten,bequemst,ADJ
betrachten,betrachten,VERB
können,können,AUX
",",--,PUNCT
ohne,ohne,SCONJ
jemand,jemand,PRON
in,in,ADP
seiner,sein,DET
Andacht,Andacht,NOUN
zu,zu,PART
stören,stören,VERB
oder,oder,CCONJ
von,von,ADP
jemand,jemand,PRON
in,in,ADP
ihren,ihr,DET
Betrachtungen,Betrachtung,NOUN
gestört,stören,VERB
zu,zu,PART
werden,werden,AUX
.,--,PUNCT
Mit,mit,ADP
frommer,fromm,ADJ
Ehrfurcht,Ehrfurcht,NOUN
trat,treten,VERB
sie,sie,PRON
durch,durch,ADP
die,der,DET
Hauptpforte,Hauptpfort,NOUN
in,in,ADP
den,der,DET
ehrwürdigen,ehrwürdig,ADJ
Tempel,Tempel,NOUN
.,--,PUNCT
Das,der,DET
hohe,hoch,ADJ
",",--,PUNCT
erhabene,erhaben,ADJ
Gewölbe,Gewölbe,NOUN
",",--,PUNCT
die,der,DET
langen,lang,ADJ
Reihen,Reihe,NOUN
prächtiger,prächtig,ADJ
Säulen,Säule,NOUN
",",--,PUNCT
die,der,PRON
Farbenpracht,Farbenpracht,NOUN
der,der,DET
bemalten,bemalt,ADJ
Fenster,Fenster,NOUN
",",--,PUNCT
der,der,DET
Hochaltar,Hochaltar,NOUN
in,in,ADP
der,der,DET
tiefen,tief,ADJ
Entfernung,Entfernung,NOUN
des,der,DET
Chors,Chor,PROPN
",",--,PUNCT
die,der,DET
Dämmerung,Dämmerung,NOUN
und,und,CCONJ
Stille,Stille,NOUN
an,an,ADP
diesem,dieser,DET
gottgeweihten,gottgeweiht,ADJ
Ort,Ort,NOUN
",",--,PUNCT
das,der,DET
Majestätsvolle,Majestätsvoll,NOUN
des,der,DET
ganzen,ganz,ADJ
Baues,Baue,NOUN
erfüllte,erfüllen,VERB
sie,sie,PRON
mit,mit,ADP
Bewunderung,Bewunderung,NOUN
",",--,PUNCT
und,und,CCONJ
in,in,ADP
ihrem,ihr,DET
Herzen,Herz,NOUN
regten,regen,VERB
sich,sich,PRON
die,der,DET
Gefühle,Gefühl,NOUN
der,der,DET
Anbetung,Anbetung,NOUN
und,und,CCONJ
leise,leise,ADJ
Ahnungen,Ahnung,NOUN
von,von,ADP
der,der,DET
Nähe,Nähe,NOUN
Gottes,Gott,NOUN
.,--,PUNCT
Sie,sie,PRON
kniete,knien,VERB
sogleich,sogleich,ADV
in,in,ADP
dem,der,DET
nächsten,nächster,ADJ
Stuhl,Stuhl,NOUN
nieder,nieder,ADV
und,und,CCONJ
blieb,bleiben,VERB
da,da,ADV
einige,einiger,DET
Zeit,Zeit,NOUN
in,in,ADP
sich,sich,PRON
versunken,versunken,VERB
und,und,CCONJ
still,still,ADV
anbetend,anbetend,ADV
knien,knien,VERB
.,--,PUNCT
Hierauf,Hierauf,ADV
ging,gehen,VERB
