Token,Lemma,POS
Christoph,Christoph,PROPN
von,von,PROPN
Schmid,Schmid,PROPN
Der,der,DET
Weihnachtsabend,Weihnachtsabend,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
:,--,PUNCT
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
:,--,PUNCT
   ,   ,SPACE
Das,der,DET
Weihnachtslied,Weihnachtslied,NOUN
Zweites,Zweites,ADJ
Kapitel,Kapitel,NOUN
:,--,PUNCT
  ,  ,SPACE
Geschichte,Geschichte,NOUN
des,der,DET
armen,arm,ADJ
Anton,Anton,PROPN
Drittes,dritter,ADJ
Kapitel,Kapitel,NOUN
:,--,PUNCT
  ,  ,SPACE
Die,der,DET
edle,edl,ADJ
Försterfamilie,Försterfamilie,NOUN
Viertes,Viertes,ADJ
Kapitel,Kapitel,NOUN
:,--,PUNCT
  ,  ,SPACE
Antons,Anton,PROPN
fernere,fern,ADJ
Geschichte,Geschichte,NOUN
Fünftes,Fünftes,ADJ
Kapitel,Kapitel,NOUN
:,--,PUNCT
  ,  ,SPACE
Ein,ein,DET
Weihnachtsgeschenk,Weihnachtsgeschenk,NOUN
Sechstes,Sechstes,ADJ
Kapitel,Kapitel,NOUN
:,--,PUNCT
 , ,SPACE
Das,der,DET
schöne,schön,ADJ
Gemälde,Gemälde,NOUN
des,der,DET
Kindes,Kind,NOUN
Jesu,Jesu,NOUN
in,in,ADP
der,der,DET
Krippe,Krippe,NOUN
Siebentes,Siebent,ADJ
Kapitel,Kapitel,NOUN
:,--,PUNCT
Widerwärtige,widerwärtig,ADJ
Schicksale,Schicksal,NOUN
des,der,DET
Försters,Förster,NOUN
Achtes,acht,ADJ
Kapitel,Kapitel,NOUN
:,--,PUNCT
   ,   ,SPACE
Wie,wie,SCONJ
es,es,PRON
dem,der,DET
Förster,Förster,NOUN
weiter,weiter,ADV
ergangen,ergehen,VERB
Neuntes,Neuntes,ADJ
Kapitel,Kapitel,NOUN
:,--,PUNCT
  ,  ,SPACE
Ein,ein,DET
unerwarteter,unerwartet,ADJ
Besuch,Besuch,NOUN
Zehntes,Zehntes,ADJ
Kapitel,Kapitel,NOUN
:,--,PUNCT
  ,  ,SPACE
Der,der,DET
Weihnachtsbaum,Weihnachtsbaum,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Das,der,DET
Weihnachtslied,Weihnachtslied,NOUN
.,--,PUNCT
An,an,ADP
dem,der,DET
heiligen,heilig,ADJ
Abende,Abend,NOUN
vor,vor,ADP
dem,der,DET
Weihnachtsfeste,Weihnachtsfeste,NOUN
wanderte,wanderen,VERB
der,der,DET
arme,arm,ADJ
Anton,Anton,PROPN
",",--,PUNCT
ein,ein,DET
holder,holder,ADV
Knabe,Knabe,NOUN
von,von,ADP
acht,acht,NUM
Jahren,Jahr,NOUN
noch,noch,CCONJ
durch,durch,ADP
die,der,DET
schneebedeckte,schneebedeckt,ADJ
Gegend,Gegend,NOUN
hin,hin,ADV
.,--,PUNCT
Der,der,DET
arme,arm,NOUN
Kleine,klein,NOUN
hatte,haben,AUX
seine,sein,DET
blonden,blond,ADJ
Locken,Lock,NOUN
",",--,PUNCT
die,der,PRON
von,von,ADP
der,der,DET
Kälte,Kälte,NOUN
angeduftet,angeduftet,VERB
waren,sein,AUX
",",--,PUNCT
noch,noch,ADV
mit,mit,ADP
dem,der,DET
leichten,leicht,ADJ
schwarzen,schwarz,ADJ
Strohhute,Strohhute,NOUN
vom,von,ADP
letzten,letzter,ADJ
Sommer,Sommer,NOUN
her,her,ADV
bedeckt,bedeckt,ADV
",",--,PUNCT
und,und,CCONJ
seine,sein,DET
beiden,beide,DET
Wangen,Wang,NOUN
glühten,glühen,VERB
hochrot,Hochrot,PROPN
von,von,ADP
Frost,Frost,NOUN
.,--,PUNCT
Er,er,PRON
war,sein,AUX
nach,nach,ADP
Soldatenart,Soldatenart,NOUN
gekleidet,kleiden,VERB
",",--,PUNCT
und,und,CCONJ
hatte,haben,AUX
eine,ein,DET
niedliche,niedlich,ADJ
scharlachrote,scharlachrot,ADJ
Husarenjacke,Husarenjack,NOUN
an,an,ADP
.,--,PUNCT
In,in,ADP
der,der,DET
Rechten,rechte,NOUN
führte,führen,VERB
er,er,PRON
einen,ein,DET
dicken,dick,ADJ
Stecken,Stecken,NOUN
von,von,ADP
Schlehdorn,Schlehdorn,PROPN
",",--,PUNCT
und,und,CCONJ
auf,auf,ADP
dem,der,DET
Rücken,Rücken,NOUN
trug,tragen,VERB
er,er,PRON
ein,ein,DET
kleines,klein,ADJ
Reisebündelein,Reisebündelein,NOUN
",",--,PUNCT
in,in,ADP
dem,der,PRON
sich,sich,PRON
all,all,DET
sein,sein,DET
Hab,Hab,NOUN
und,und,CCONJ
Gut,Gut,NOUN
befand,befinden,VERB
.,--,PUNCT
Er,er,PRON
war,sein,AUX
aber,aber,ADV
fröhlich,fröhlich,ADV
und,und,CCONJ
guter,gut,ADJ
Dinge,Ding,NOUN
",",--,PUNCT
und,und,CCONJ
hatte,haben,AUX
an,an,ADP
der,der,DET
schönen,schön,ADJ
",",--,PUNCT
weißen,weiß,ADJ
Winterlandschaft,Winterlandschaft,NOUN
umher,umher,ADV
und,und,CCONJ
an,an,ADV
den,der,DET
bereiften,bereift,ADJ
Hecken,Hecke,NOUN
und,und,CCONJ
Gesträuchen,Gesträuchen,NOUN
am,an,ADP
Wege,Weg,NOUN
seine,sein,DET
herzliche,herzlich,ADJ
Freude,Freude,NOUN
.,--,PUNCT
Indes,indes,ADV
ging,gehen,VERB
die,der,DET
Sonne,Sonne,NOUN
glutrot,Glutrot,PROPN
unter,unter,ADP
.,--,PUNCT
Die,der,DET
angedufteten,angeduftet,ADJ
Halme,Halm,NOUN
und,und,CCONJ
Zweige,Zweig,NOUN
umher,umh,ADJ
flimmerten,Flimmert,VERB
wie,wie,ADP
mit,mit,ADP
rötlichen,rötlich,ADJ
Fünklein,Fünklein,NOUN
bestreut,bestreuen,VERB
und,und,CCONJ
die,der,DET
Gipfel,Gipfel,NOUN
des,der,DET
nahen,nah,ADJ
Tannenwaldes,Tannenwald,NOUN
strahlten,strahlen,VERB
im,in,ADP
Abendgolde,Abendgolde,PROPN
.,--,PUNCT
Anton,Anton,PROPN
dachte,dachen,VERB
das,der,DET
nächste,nächster,ADJ
Dorf,Dorf,NOUN
",",--,PUNCT
