Token,Lemma,POS
Christoph,Christoph,PROPN
von,von,PROPN
Schmid,Schmid,PROPN
Gottfried,Gottfried,NOUN
",",--,PUNCT
der,der,DET
junge,jung,ADJ
Einsiedler,Einsiedler,NOUN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Die,der,DET
grüne,grün,ADJ
Insel,Insel,NOUN
.,--,PUNCT
Gottfried,Gottfried,NOUN
wurde,werden,AUX
in,in,ADP
einem,ein,DET
Alter,Alter,NOUN
von,von,ADP
zwölf,zwölf,NUM
Jahren,Jahr,NOUN
in,in,ADP
eine,ein,DET
schauerliche,schauerlich,ADJ
Wüste,Wüste,NOUN
versetzt,versetzen,VERB
und,und,CCONJ
lebte,leben,VERB
da,da,ADV
als,als,ADP
Einsiedler,Einsiedler,NOUN
.,--,PUNCT
Das,der,PRON
scheint,scheinen,VERB
allerdings,allerdings,ADV
wunderlich,wunderlich,ADV
und,und,CCONJ
seltsam,seltsam,ADV
.,--,PUNCT
Allein,allein,ADV
es,es,PRON
ist,sein,AUX
der,der,DET
Mühe,Mühe,NOUN
wert,wert,ADV
",",--,PUNCT
die,der,DET
merkwürdige,merkwürdig,ADJ
Geschichte,Geschichte,NOUN
",",--,PUNCT
die,der,PRON
sich,sich,PRON
schon,schon,ADV
vor,vor,ADP
mehreren,mehrere,DET
hundert,hundert,NUM
Jahren,Jahr,NOUN
zugetragen,zugetragen,VERB
hat,haben,AUX
",",--,PUNCT
ausführlich,ausführlich,ADV
zu,zu,PART
hören,hören,VERB
.,--,PUNCT
Die,der,DET
Eltern,Eltern,NOUN
Gottfrieds,Gottfried,NOUN
waren,sein,AUX
sehr,sehr,ADV
gottselige,gottselig,ADJ
und,und,CCONJ
tugendhafte,tugendhaft,ADJ
Leute,Leute,NOUN
und,und,CCONJ
wohnten,wohnen,VERB
in,in,ADP
einem,ein,DET
kleinen,klein,ADJ
Dorf,Dorf,NOUN
am,an,ADP
Meer,Meer,NOUN
.,--,PUNCT
Sie,sie,PRON
hatten,haben,AUX
sieben,sieben,NUM
Kinder,Kind,NOUN
",",--,PUNCT
unter,unter,ADP
denen,der,PRON
Gottfried,Gottfried,NOUN
das,der,DET
älteste,alt,ADJ
war,sein,AUX
.,--,PUNCT
Beide,beide,DET
Eltern,Eltern,NOUN
vereinigten,vereinigen,VERB
ihre,ihr,DET
Kräfte,Kraft,NOUN
",",--,PUNCT
die,der,PRON
vielen,vieler,DET
Kinder,Kind,NOUN
ordentlich,ordentlich,ADV
zu,zu,PART
ernähren,ernähren,VERB
und,und,CCONJ
zu,zu,PART
kleiden,kleiden,VERB
.,--,PUNCT
Der,der,DET
Vater,Vater,NOUN
namens,namens,ADP
Philipp,Philipp,PROPN
bestellte,bestellen,VERB
sein,sein,AUX
kleines,klein,ADJ
Ackerfeld,Ackerfeld,NOUN
",",--,PUNCT
seine,sein,DET
Wiese,Wiese,NOUN
und,und,CCONJ
den,der,DET
Baumgarten,Baumgart,NOUN
am,an,ADP
Haus,Haus,NOUN
mit,mit,ADP
so,so,ADV
grossem,grossem,ADJ
Fleiss,Fleiss,PROPN
",",--,PUNCT
dass,dass,SCONJ
die,der,DET
Haushaltung,Haushaltung,NOUN
stets,stets,ADV
reichlich,reichlich,ADV
mit,mit,ADP
Brot,Brot,NOUN
",",--,PUNCT
Milch,Milch,NOUN
und,und,CCONJ
Obst,Obst,NOUN
versehen,versehen,VERB
war,sein,AUX
.,--,PUNCT
Auch,auch,ADV
die,der,DET
Bienenzucht,Bienenzucht,NOUN
betrieb,betreiben,VERB
er,er,PRON
mit,mit,ADP
Einsicht,Einsicht,NOUN
und,und,CCONJ
vielem,viel,ADJ
Glück,Glück,NOUN
.,--,PUNCT
Er,er,PRON
war,sein,AUX
ein,ein,DET
sehr,sehr,ADV
geschickter,geschickt,ADV
",",--,PUNCT
fleissiger,fleissig,ADJ
Korbmacher,Korbmacher,NOUN
",",--,PUNCT
und,und,CCONJ
seine,sein,DET
Knaben,Knabe,NOUN
mussten,mussn,VERB
ihm,ihm,PRON
mit,mit,ADP
Abschälen,Abschäle,NOUN
der,der,DET
Weiden,Weide,NOUN
und,und,CCONJ
dergleichen,dergleich,ADJ
kleinen,klein,ADJ
Geschäften,Geschäft,NOUN
in,in,ADP
die,der,DET
Hand,Hand,NOUN
arbeiten,arbeiten,VERB
.,--,PUNCT
Nebenbei,nebenbei,ADV
half,helfen,VERB
er,er,PRON
den,der,DET
Fischern,Fischer,NOUN
im,in,ADP
Dorf,Dorf,NOUN
beim,bei,ADP
Fischen,fische,NOUN
und,und,CCONJ
bekam,bekommen,VERB
immer,immer,ADV
seinen,sein,DET
redlichen,redlich,ADJ
Anteil,Anteil,NOUN
am,an,ADP
Fang,Fang,NOUN
.,--,PUNCT
Die,der,DET
Mutter,Mutter,NOUN
namens,namens,ADP
Margareta,Margareta,PROPN
besorgte,besorgen,VERB
die,der,DET
Hauswirtschaft,Hauswirtschaft,NOUN
auf,auf,ADP
das,der,DET
beste,gut,ADJ
und,und,CCONJ
strickte,stricken,VERB
fleissig,fleissig,ADV
Fischnetze,Fischnetz,NOUN
",",--,PUNCT
wozu,wozu,SCONJ
die,der,DET
Mädchen,Mädchen,NOUN
den,der,DET
Hanf,Hanf,NOUN
spinnen,spinnen,VERB
mussten,mussten,VERB
.,--,PUNCT
So,so,ADV
fehlte,fehlen,VERB
es,es,PRON
den,der,DET
Kindern,Kind,NOUN
nie,nie,ADV
an,an,ADP
dem,der,DET
nötigen,nötig,ADJ
Lebensunterhalt,Lebensunterhalt,PROPN
.,--,PUNCT
Zur,zu,ADP
wichtigsten,wichtig,ADJ
Angelegenheit,Angelegenheit,NOUN
aber,aber,ADV
machten,machen,VERB
es,es,PRON
sich,sich,PRON
die,der,DET
Eltern,Eltern,NOUN
",",--,PUNCT
ihre,ihr,DET
Kinder,Kind,NOUN
fromm,fromm,ADV
und,und,CCONJ
gut,gut,ADV
zu,zu,PART
erziehen,erziehen,VERB
.,--,PUNCT
»,--,PUNCT
Eine,ein,DET
gute,gut,ADJ
Erziehung,Erziehung,NOUN
«,--,PUNCT
",",--,PUNCT
sagten,sagen,VERB
sie,sie,PRON
öfters,öfter,PROPN
",",--,PUNCT
»,--,PUNCT
ist,sein,AUX
das,der,DET
beste,gut,ADJ
Erbteil,Erbteil,NOUN
",",--,PUNCT
das,der,DET
Eltern,Eltern,NOUN
ihren,ihr,DET
Kindern,Kind,NOUN
hinterlassen,hinterlassen,VERB
können,können,AUX
.,--,PUNCT
«,--,PUNCT
Gottfried,Gottfried,NOUN
",",--,PUNCT
der,der,DET
älteste,alt,ADJ
Knabe,Knabe,NOUN
",",--,PUNCT
war,sein,AUX
der,der,DET
Liebling,Liebling,NOUN
seiner,sein,DET
Eltern,Eltern,NOUN
.,--,PUNCT
Er,er,PRON
hatte,haben,VERB
einen,ein,DET
aufgeweckten,aufgeweckt,ADJ
Verstand,Verstand,NOUN
",",--,PUNCT
war,sein,AUX
in,in,ADP
allem,alle,PRON
",",--,PUNCT
was,was,PRON
er,er,PRON
anfing,anfing,VERB
",",--,PUNCT
flink,flink,ADV
und,und,CCONJ
geschickt,geschickt,ADV
",",--,PUNCT
bei,bei,ADP
der,der,DET
Arbeit,Arbeit,NOUN
ganz,ganz,ADV
ungemein,ungemein,ADV
fleissig,fleissig,ADV
und,und,CCONJ
gegen,gegen,ADP
alle,aller,DET
Menschen,Mensch,NOUN
überaus,überaus,ADV
