Token,Lemma,POS
Christoph,Christoph,PROPN
von,von,PROPN
Schmid,Schmid,PROPN
Ludwig,Ludwig,PROPN
",",--,PUNCT
der,der,DET
kleine,klein,ADJ
Auswanderer,Auswanderer,NOUN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Das,der,DET
verirrte,verirrt,ADJ
Kind,Kind,NOUN
im,in,ADP
Wald,Wald,NOUN
.,--,PUNCT
Lorenz,Lorenz,PROPN
Linder,Linder,PROPN
",",--,PUNCT
der,der,DET
Pächter,Pächter,NOUN
eines,ein,DET
kleinen,klein,ADJ
Landgütchens,Landgütchen,NOUN
zu,zu,ADP
Ellersee,Ellersee,PROPN
",",--,PUNCT
war,sein,AUX
mit,mit,ADP
Anbruch,Anbruch,NOUN
der,der,DET
Morgenröte,Morgenröte,NOUN
in,in,ADP
den,der,DET
Wald,Wald,NOUN
gegangen,gehen,VERB
und,und,CCONJ
hatte,haben,AUX
den,der,DET
ganzen,ganz,ADJ
Tag,Tag,NOUN
hindurch,hindurch,ADV
Holz,Holz,NOUN
gefällt,fällen,VERB
.,--,PUNCT
Als,als,SCONJ
die,der,DET
Sonne,Sonne,NOUN
sich,sich,PRON
zum,zu,ADP
Untergang,Untergang,NOUN
neigte,neigen,VERB
",",--,PUNCT
machte,machen,VERB
er,er,PRON
sich,sich,PRON
",",--,PUNCT
mit,mit,ADP
einem,ein,DET
grossen,gross,ADJ
Büschel,Büschel,PROPN
Reisholz,Reisholz,PROPN
auf,auf,ADP
dem,der,DET
Rücken,Rücken,NOUN
und,und,CCONJ
mit,mit,ADP
seiner,sein,DET
Axt,Axt,NOUN
über,über,ADP
der,der,DET
Schulter,Schulter,NOUN
",",--,PUNCT
auf,auf,ADP
den,der,DET
Weg,Weg,NOUN
nach,nach,ADP
Hause,Haus,NOUN
.,--,PUNCT
Da,da,ADV
hörte,hören,VERB
er,er,PRON
aus,aus,ADP
einem,ein,DET
Dickicht,Dickicht,NOUN
des,der,DET
Waldes,Wald,NOUN
eine,ein,DET
kläglich,kläglich,ADV
jammernde,jammernd,ADJ
Stimme,Stimme,NOUN
.,--,PUNCT
»,--,PUNCT
Ach,ach,INTJ
«,--,PUNCT
",",--,PUNCT
sagte,sagen,VERB
Lorenz,Lorenz,PROPN
voll,voll,ADP
Mitleids,Mitleids,PROPN
",",--,PUNCT
»,--,PUNCT
das,der,PRON
ist,sein,AUX
ein,ein,DET
Kind,Kind,NOUN
",",--,PUNCT
das,der,PRON
sich,sich,PRON
in,in,ADP
dem,der,DET
Wald,Wald,NOUN
verirrt,verirren,VERB
hat,haben,AUX
.,--,PUNCT
Ich,ich,PRON
will,wollen,AUX
es,es,PRON
aufsuchen,aufsuchen,VERB
und,und,CCONJ
auf,auf,ADP
den,der,DET
rechten,rechter,ADJ
Weg,Weg,NOUN
führen,führen,VERB
.,--,PUNCT
«,--,PUNCT
Er,er,PRON
drang,drang,NOUN
mit,mit,ADP
Mühe,Mühe,NOUN
durch,durch,ADP
das,der,DET
verwachsene,verwachsen,ADJ
Gesträuch,Gesträuch,NOUN
und,und,CCONJ
kam,kommen,VERB
auf,auf,ADP
einen,ein,DET
grünen,grün,ADJ
Platz,Platz,NOUN
",",--,PUNCT
der,der,PRON
rings,rings,NOUN
von,von,ADP
Schlehendornen,Schlehendorn,NOUN
und,und,CCONJ
Haselstauden,Haselstauden,NOUN
umgeben,umgeben,VERB
war,sein,AUX
und,und,CCONJ
in,in,ADP
dessen,der,PRON
Mitte,Mitte,NOUN
ein,ein,DET
grosser,gross,ADJ
Eichbaum,Eichbaum,NOUN
stand,stehen,VERB
.,--,PUNCT
Unter,unter,ADP
dem,der,DET
Baum,Baum,NOUN
kniete,knien,VERB
ein,ein,DET
holder,holder,ADV
",",--,PUNCT
lieblicher,lieblich,ADJ
Knabe,Knabe,NOUN
von,von,ADP
etwa,etwa,ADV
sechs,sechs,NUM
bis,bis,CCONJ
sieben,sieben,NUM
Jahren,Jahr,NOUN
.,--,PUNCT
Der,der,DET
Knabe,Knabe,NOUN
blickte,blicken,VERB
mit,mit,ADP
seinen,sein,DET
schönen,schön,NOUN
",",--,PUNCT
schwarzen,schwarz,ADJ
Augen,Auge,NOUN
andächtig,andächtig,ADV
zum,zu,ADP
Himmel,Himmel,NOUN
;,--,PUNCT
die,der,DET
hellen,hell,ADJ
Tränen,Träne,NOUN
flossen,fließen,VERB
ihm,ihm,PRON
über,über,ADP
die,der,DET
rötlichen,rötlich,ADJ
Wangen,Wang,NOUN
",",--,PUNCT
und,und,CCONJ
seine,sein,DET
emporgehobenen,emporgehoben,ADJ
Hände,Hand,NOUN
waren,sein,AUX
fest,fest,ADV
gefaltet,falten,VERB
.,--,PUNCT
Er,er,PRON
war,sein,AUX
sehr,sehr,ADV
gut,gut,ADV
und,und,CCONJ
zierlich,zierlich,ADV
gekleidet,kleiden,VERB
.,--,PUNCT
Sein,sein,DET
dunkelblauer,dunkelblau,ADJ
Frack,Frack,NOUN
war,sein,AUX
von,von,ADP
sehr,sehr,ADV
feinem,fein,ADJ
Tuch,Tuch,NOUN
;,--,PUNCT
alle,aller,DET
übrigen,übrig,ADJ
Kleidungsstücke,Kleidungsstücke,NOUN
waren,sein,AUX
weiss,weiss,PROPN
wie,wie,ADP
Schnee,Schnee,NOUN
.,--,PUNCT
Reichliche,reichliche,ADJ
schwarze,schwarz,ADJ
Locken,Locke,NOUN
hingen,hingen,VERB
ihm,ihm,PRON
auf,auf,ADP
die,der,DET
Schultern,Schulter,NOUN
herab,herab,ADV
;,--,PUNCT
den,der,DET
Hals,Hals,NOUN
trug,tragen,VERB
er,er,PRON
bloss,bloss,ADV
",",--,PUNCT
und,und,CCONJ
ein,ein,DET
schön,schön,ADV
gestickter,gestickt,ADJ
Halskragen,Halskrag,NOUN
vom,von,ADP
feinsten,fein,ADJ
Nesseltuch,Nesseltuch,NOUN
war,sein,AUX
über,über,ADP
das,der,DET
dunkelblaue,dunkelblau,ADJ
Kleid,Kleid,NOUN
ausgebreitet,ausbreiten,VERB
.,--,PUNCT
Der,der,DET
bekümmerte,bekümmert,ADJ
Kleine,Kleine,NOUN
hatte,haben,AUX
übrigens,übrigens,ADV
weder,weder,CCONJ
Hut,Hut,NOUN
noch,noch,CCONJ
Mütze,Mütz,NOUN
bei,bei,ADP
sich,sich,PRON
.,--,PUNCT
Er,er,PRON
wiederholte,wiederholen,VERB
jetzt,jetzt,ADV
die,der,DET
Worte,Wort,NOUN
",",--,PUNCT
die,der,PRON
er,er,PRON
schon,schon,ADV
mehrere,mehrere,DET
Male,Mal,NOUN
laut,laut,ADV
ausgerufen,ausrufen,VERB
hatte,haben,AUX
",",--,PUNCT
noch,noch,ADV
einmal,einmal,ADV
.,--,PUNCT
»,--,PUNCT
Oh,Oh,PROPN
mein,mein,DET
Gott,Gott,NOUN
",",--,PUNCT
mein,mein,DET
Gott,Gott,NOUN
«,--,PUNCT
",",--,PUNCT
rief,rufen,VERB
er,er,PRON
in,in,ADP
französischer,französisch,ADJ
Sprache,Sprache,NOUN
",",--,PUNCT
»,--,PUNCT
erbarme,erbarmen,VERB
dich,dich,PRON
meiner,mein,DET
!,--,PUNCT
«,--,PUNCT
Lorenz,Lorenz,NOUN
verstand,verstehen,VERB
kein,kein,DET
Französisch,Französisch,NOUN
.,--,PUNCT
Allein,allein,ADV
der,der,DET
gute,gut,ADJ
Knabe,Knabe,NOUN
hatte,haben,AUX
die,der,DET
