Token,Lemma,POS
Claire,Claire,PROPN
von,von,ADP
Glümer,Glümer,NOUN
Gesühnt,Gesühnt,VERB
Novelle,Novelle,NOUN
Der,der,DET
Kurierzug,Kurierzug,NOUN
war,sein,AUX
angekommen,ankommen,VERB
;,--,PUNCT
Omnibusse,Omnibusse,NOUN
standen,stehen,VERB
bereit,bereit,ADV
",",--,PUNCT
die,der,DET
Aussteigenden,aussteigenden,NOUN
nach,nach,ADP
den,der,DET
Gasthöfen,Gasthof,NOUN
der,der,DET
kleinen,klein,ADJ
Hafenstadt,Hafenstadt,NOUN
zu,zu,PART
bringen,bringen,VERB
;,--,PUNCT
aber,aber,CCONJ
es,es,PRON
war,sein,AUX
erst,erst,ADV
Mitte,Mitte,NOUN
Mai,Mai,NOUN
",",--,PUNCT
der,der,DET
Zuzug,Zuzug,NOUN
nach,nach,ADP
dem,der,DET
nahegelegenen,nahegelegen,ADJ
",",--,PUNCT
vielbesuchten,vielbesucht,ADJ
Ostseebade,Ostseebade,NOUN
hatte,haben,AUX
noch,noch,ADV
nicht,nicht,PART
begonnen,beginnen,VERB
und,und,CCONJ
beinahe,beinahe,ADV
leer,leer,ADV
rasselten,rasselen,VERB
die,der,DET
Wagen,Wagen,NOUN
nach,nach,ADP
der,der,DET
Stadt,Stadt,NOUN
zurück,zurück,ADV
.,--,PUNCT
In,in,ADP
einem,ein,DET
derselben,derselbe,PRON
",",--,PUNCT
der,der,PRON
die,der,DET
Aufschrift,Aufschrift,NOUN
»,--,PUNCT
Zum,zu,ADP
goldenen,golden,ADJ
Anker,Anker,NOUN
«,--,PUNCT
trug,tragen,VERB
",",--,PUNCT
saßen,sitzen,VERB
nur,nur,ADV
zwei,zwei,NUM
Damen,Dame,NOUN
in,in,ADP
Trauer,Trauer,NOUN
.,--,PUNCT
Die,der,DET
ältere,alt,ADJ
",",--,PUNCT
eine,ein,DET
zarte,zart,ADJ
Gestalt,Gestalt,NOUN
mit,mit,ADP
feinem,fein,ADJ
",",--,PUNCT
blassem,blassem,ADJ
Gesicht,Gesicht,NOUN
",",--,PUNCT
lehnte,lehnen,VERB
sichtlich,sichtlich,ADV
erschöpft,erschöpfen,VERB
zwischen,zwischen,ADP
Plaidbündeln,Plaidbündel,NOUN
und,und,CCONJ
Reisetaschen,Reisetasch,NOUN
",",--,PUNCT
während,während,SCONJ
die,der,DET
jüngere,jung,ADJ
",",--,PUNCT
ein,ein,DET
schönes,schön,ADJ
",",--,PUNCT
blondes,blond,ADJ
Mädchen,Mädchen,NOUN
",",--,PUNCT
bald,bald,ADV
rechts,rechts,ADV
",",--,PUNCT
bald,bald,ADV
links,links,ADV
aus,aus,ADP
dem,der,DET
Fenster,Fenster,NOUN
sah,sehen,VERB
.,--,PUNCT
Endlich,endlich,ADV
wendete,wenden,VERB
sie,sie,PRON
sich,sich,PRON
zu,zu,ADP
ihrer,ihr,DET
Gefährtin,Gefährtin,NOUN
und,und,CCONJ
sagte,sagen,VERB
:,--,PUNCT
»,--,PUNCT
Mütterchen,Mütterche,NOUN
",",--,PUNCT
sieh,Sieh,VERB
nur,nur,ADV
",",--,PUNCT
wie,wie,ADV
hübsch,hübsch,ADV
es,es,PRON
hier,hier,ADV
ist,sein,AUX
–,--,PUNCT
wie,wie,ADV
still,still,ADV
und,und,CCONJ
freundlich,freundlich,ADV
:,--,PUNCT
so,so,ADV
recht,recht,ADV
zum,zu,ADP
Gesundwerden,Gesundwerden,NOUN
.,--,PUNCT
Ganz,ganz,ADV
heimisch,heimisch,ADV
mußt,mußen,VERB
du,du,PRON
dich,dich,PRON
hier,hier,ADV
fühlen,fühlen,VERB
.,--,PUNCT
«,--,PUNCT
Die,der,DET
blasse,blaß,ADJ
Frau,Frau,NOUN
fuhr,fahren,VERB
auf,auf,ADP
.,--,PUNCT
»,--,PUNCT
Heimisch,heimisch,ADV
fühlen,fühlen,VERB
!,--,PUNCT
«,--,PUNCT
wiederholte,wiederholen,VERB
sie,sie,PRON
",",--,PUNCT
und,und,CCONJ
in,in,ADP
die,der,DET
mattblauen,mattblau,ADJ
Augen,Auge,NOUN
kam,kommen,VERB
ein,ein,DET
Ausdruck,Ausdruck,NOUN
der,der,DET
Angst,Angst,NOUN
;,--,PUNCT
»,--,PUNCT
was,was,PRON
willst,willst,VERB
du,du,PRON
damit,damit,ADV
sagen,sagen,VERB
?,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Mein,mein,DET
armes,arm,ADJ
Mütterchen,Mütterchen,NOUN
",",--,PUNCT
wie,wie,SCONJ
nervös,nervös,ADV
du,du,PRON
noch,noch,ADV
immer,immer,ADV
bist,sein,AUX
!,--,PUNCT
«,--,PUNCT
antwortete,antworten,VERB
das,der,DET
junge,jung,ADJ
Mädchen,Mädchen,NOUN
",",--,PUNCT
indem,indem,SCONJ
sie,sie,PRON
sich,sich,PRON
vorbeugte,vorbeugen,VERB
und,und,CCONJ
die,der,DET
Hand,Hand,NOUN
der,der,DET
Mutter,Mutter,NOUN
liebkosend,liebkosend,ADV
zwischen,zwischen,ADP
ihre,ihr,DET
beiden,beide,DET
Hände,Hand,NOUN
nahm,nehmen,VERB
.,--,PUNCT
»,--,PUNCT
Ich,ich,PRON
meinte,meinen,VERB
nur,nur,ADV
",",--,PUNCT
die,der,DET
breiten,breit,ADJ
Straßen,Straße,NOUN
mit,mit,ADP
den,der,DET
kleinen,klein,ADJ
",",--,PUNCT
weißen,weiß,ADJ
Häusern,Haus,NOUN
",",--,PUNCT
vor,vor,ADP
denen,der,PRON
hin,hin,ADV
und,und,CCONJ
wieder,wieder,ADV
Bäume,Baum,NOUN
stehen,stehen,VERB
",",--,PUNCT
müßten,müssen,AUX
dich,dich,PRON
an,an,ADP
unsere,unser,DET
Wohnung,Wohnung,NOUN
in,in,ADP
Hoboken,Hoboke,PROPN
erinnern,erinnern,VERB
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Ja,ja,PART
",",--,PUNCT
es,es,PRON
ist,sein,AUX
möglich,möglich,ADV
...,--,PUNCT
du,du,PRON
kannst,kannstn,VERB
recht,Recht,NOUN
haben,haben,VERB
",",--,PUNCT
liebe,lieb,PROPN
Käthe,Käth,NOUN
",",--,PUNCT
«,--,PUNCT
sagte,sagen,VERB
die,der,DET
Mutter,Mutter,NOUN
und,und,CCONJ
warf,werfen,VERB
einen,ein,DET
zerstreuten,zerstreut,ADJ
Blick,Blick,NOUN
aus,aus,ADP
dem,der,DET
Wagenfenster,Wagenfenster,NOUN
;,--,PUNCT
dann,dann,ADV
zog,ziehen,VERB
sie,sie,PRON
den,der,DET
Schleier,Schleier,NOUN
herunter,herunter,ADV
und,und,CCONJ
sank,sinken,VERB
mit,mit,ADP
einem,ein,DET
Seufzer,Seufzer,NOUN
in,in,ADP
ihre,ihr,DET
frühere,früh,ADJ
Stellung,Stellung,NOUN
zurück,zurück,ADV
.,--,PUNCT
Die,der,DET
Tochter,Tochter,NOUN
sah,sehen,VERB
sie,sie,PRON
bekümmert,bekümmeren,VERB
an,an,ADP
;,--,PUNCT
aber,aber,CCONJ
jetzt,jetzt,ADV
bog,bog,VERB
der,der,DET
Wagen,Wagen,NOUN
um,um,ADP
die,der,DET
Straßenecke,Straßenecke,NOUN
auf,auf,ADP
einen,ein,DET
Platz,Platz,NOUN
",",--,PUNCT
der,der,PRON
",",--,PUNCT
an,an,ADP
drei,drei,NUM
Seiten,Seite,NOUN
von,von,ADP
Häusern,Haus,NOUN
umschlossen,umschlossen,VERB
",",--,PUNCT
an,an,ADP
der,der,DET
vierten,vierter,ADJ
vom,von,ADP
Hafen,Hafen,NOUN
begrenzt,begrenzen,VERB
war,sein,AUX
.,--,PUNCT
Ein,ein,DET
Gewirr,Gewirr,NOUN
von,von,ADP
Masten,Mast,NOUN
zeichnete,zeichnen,VERB
sich,sich,PRON
auf,auf,ADP
dem,der,DET
Goldgrunde,Goldgrunde,NOUN
des,der,DET
Abendhimmels,Abendhimmel,NOUN
ab,ab,ADP
.,--,PUNCT
Käthe,Käthe,PROPN
brach,brechen,VERB
in,in,ADP
einen,ein,DET
Freudenruf,Freudenruf,NOUN
aus,aus,ADP
:,--,PUNCT
»,--,PUNCT
Das,der,DET
Meer,Meer,NOUN
!,--,PUNCT
dort,dort,ADV
drüben,drüben,ADV
ist,sein,AUX
das,der,DET
Meer,Meer,NOUN
!,--,PUNCT
«,--,PUNCT
sagte,sagen,VERB
sie,sie,PRON
.,--,PUNCT
»,--,PUNCT
Wie,wie,ADV
lange,lange,ADV
haben,haben,AUX
wir,wir,PRON
es,es,PRON
entbehren,entbehren,VERB
müssen,müssen,AUX
!,--,PUNCT
...,--,PUNCT
Sieh,Sieh,NOUN
",",--,PUNCT
dort,dort,ADV
kommen,kommen,VERB
Fischerboote,Fischerboote,NOUN
nach,nach,ADP
Haus,Haus,NOUN
...,--,PUNCT
und,und,CCONJ
das,der,DET
Schiff,Schiff,NOUN
da,da,ADV
drüben,drüben,ADV
macht,machen,VERB
sich,sich,PRON
bereit,bereit,ADV
",",--,PUNCT
in,in,ADP
See,See,NOUN
zu,zu,PART
stechen,stechen,VERB
–,--,PUNCT
hörst,Hörst,VERB
du,du,PRON
",",--,PUNCT
wie,wie,SCONJ
die,der,DET
Matrosen,Matrose,NOUN
singen,singen,VERB
?,--,PUNCT
–,--,PUNCT
Und,und,CCONJ
hier,hier,ADV
steht,stehen,VERB
ein,ein,DET
ganzer,ganz,ADJ
Trupp,Trupp,PROPN
Teerjacken,Teerjacke,NOUN
beisammen,beisammen,ADV
.,--,PUNCT
Mütterchen,Mütterche,NOUN
",",--,PUNCT
wie,wie,ADV
glücklich,glücklich,ADV
bin,sein,AUX
ich,ich,PRON
",",--,PUNCT
dich,dich,PRON
hier,hier,ADV
zu,zu,ADP
haben,haben,AUX
und,und,CCONJ
dem,der,DET
düstern,düstern,ADJ
