Token,Lemma,POS
Clemens,Clemen,PROPN
Brentano,Brentano,PROPN
Geschichte,Geschichte,NOUN
vom,von,ADP
braven,brav,ADJ
Kasperl,Kasperl,NOUN
und,und,CCONJ
dem,der,DET
schönen,schön,ADJ
Annerl,Annerl,NOUN
Es,es,PRON
war,sein,AUX
Sommersfrühe,Sommersfrühe,PROPN
",",--,PUNCT
die,der,DET
Nachtigallen,Nachtigalle,NOUN
sangen,singen,VERB
erst,erst,ADV
seit,seit,ADP
einigen,einiger,DET
Tagen,Tag,NOUN
durch,durch,ADP
die,der,DET
Straßen,Straße,NOUN
und,und,CCONJ
verstummten,verstummten,VERB
heut,heuen,ADV
in,in,ADP
einer,ein,DET
kühlen,kühl,ADJ
Nacht,Nacht,NOUN
",",--,PUNCT
welche,welcher,PRON
von,von,ADP
fernen,fern,ADJ
Gewittern,Gewittern,NOUN
zu,zu,ADP
uns,uns,PRON
herwehte,herwehen,VERB
;,--,PUNCT
der,der,DET
Nachtwächter,Nachtwächter,NOUN
rief,rufen,VERB
die,der,DET
elfte,elft,ADJ
Stunde,Stunde,NOUN
an,an,ADP
",",--,PUNCT
da,da,ADV
sah,sehen,VERB
ich,ich,PRON
",",--,PUNCT
nach,nach,ADP
Hause,Haus,NOUN
gehend,gehend,ADV
",",--,PUNCT
vor,vor,ADP
der,der,DET
Tür,Tür,NOUN
eines,ein,DET
großen,groß,ADJ
Gebäudes,Gebäude,NOUN
einen,ein,DET
Trupp,Trupp,NOUN
von,von,ADP
allerlei,allerlei,DET
Gesellen,Geselle,NOUN
",",--,PUNCT
die,der,PRON
vom,von,ADP
Biere,Bier,NOUN
kamen,kommen,VERB
",",--,PUNCT
um,um,SCONJ
jemand,jemand,PRON
",",--,PUNCT
der,der,PRON
auf,auf,ADP
den,der,DET
Türstufen,Türstufe,NOUN
saß,sitzen,VERB
",",--,PUNCT
versammelt,versammeln,VERB
.,--,PUNCT
Ihr,ihr,DET
Anteil,Anteil,NOUN
schien,scheinen,VERB
mir,mir,PRON
so,so,ADV
lebhaft,lebhaft,ADV
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
irgendein,irgendein,DET
Unglück,Unglück,NOUN
besorgte,besorgen,ADJ
und,und,CCONJ
mich,mich,PRON
näherte,nähern,VERB
.,--,PUNCT
Eine,ein,DET
alte,alt,ADJ
Bäuerin,Bäuerin,NOUN
saß,sitzen,VERB
auf,auf,ADP
der,der,DET
Treppe,Treppe,NOUN
",",--,PUNCT
und,und,CCONJ
so,so,ADV
