Token,Lemma,POS
Cäsar,Cäsar,PROPN
Flaischlen,Flaischlen,PROPN
Schattenspiel,Schattenspiel,NOUN
Eine,ein,DET
Morgenwanderung,Morgenwanderung,NOUN
Und,und,CCONJ
sie,sie,PRON
zogen,ziehen,VERB
aus,aus,ADP
",",--,PUNCT
als,als,SCONJ
zu,zu,ADP
einem,ein,DET
Mörder,Mörder,NOUN
",",--,PUNCT
mit,mit,ADP
Stangen,Stang,NOUN
und,und,CCONJ
Schwertern,Schwerter,NOUN
",",--,PUNCT
ihn,ihn,PRON
zu,zu,ADP
fahen,fahen,VERB
;,--,PUNCT
Hohepriester,Hohepriester,NOUN
",",--,PUNCT
Schriftgelehrte,Schriftgelehrte,NOUN
und,und,CCONJ
Pharisäer,Pharisäer,NOUN
;,--,PUNCT
...,--,PUNCT
(,--,PUNCT
Und,und,CCONJ
er,er,PRON
saß,sitzen,VERB
täglich,täglich,ADV
im,in,ADP
Tempel,Tempel,NOUN
bei,bei,ADP
ihnen,ihnen,PRON
und,und,CCONJ
lehrete,lehren,VERB
sie,sie,PRON
.,--,PUNCT
),--,PUNCT
Nach,nach,ADP
Matthäi,Matthäi,PROPN
26,26,NUM
",",--,PUNCT
45.,45.,ADJ
...,--,PUNCT
mich,mich,PRON
dünkt,dünken,VERB
:,--,PUNCT
es,es,PRON
war,sein,AUX
immer,immer,ADV
so,so,ADV
!,--,PUNCT
zu,zu,ADP
Zeiten,Zeit,NOUN
Sokrates,Sokrate,NOUN
',--,PUNCT
wie,wie,ADP
zu,zu,ADP
Zeiten,Zeit,NOUN
Jesu,Jesu,PROPN
",",--,PUNCT
zu,zu,ADP
Zeiten,Zeit,NOUN
Galilei's,Galilei's,PROPN
wie,wie,ADP
zu,zu,ADP
Zeiten,Zeit,NOUN
Luthers,Luther,PROPN
!,--,PUNCT
...,--,PUNCT
Jost,Jost,NOUN
Seyfried,Seyfried,NOUN
.,--,PUNCT
Dämmerige,dämmeriger,ADJ
Nacht,Nacht,NOUN
lag,liegen,VERB
über,über,ADP
dem,der,DET
Land,Land,NOUN
.,--,PUNCT
Es,es,PRON
war,sein,AUX
mild,mild,ADV
",",--,PUNCT
fast,fast,ADV
