Token,Lemma,POS
Detlev,Detlev,PROPN
von,von,PROPN
Liliencron,Liliencron,PROPN
Der,der,DET
letzte,letzter,ADJ
Gruß,Gruß,NOUN
Lieber,lieb,ADJ
Doktor,Doktor,NOUN
!,--,PUNCT
Meine,mein,DET
Frau,Frau,NOUN
ist,sein,AUX
so,so,ADV
abscheulich,abscheulich,ADV
gewesen,sein,AUX
",",--,PUNCT
auf,auf,ADP
acht,acht,NUM
Tage,Tag,NOUN
meine,mein,DET
Schwiegermutter,Schwiegermutter,NOUN
mir,mir,PRON
vorzuziehen,vorziehen,VERB
;,--,PUNCT
ich,ich,PRON
bin,sein,AUX
Strohwitwer,Strohwitwer,PROPN
.,--,PUNCT
Kommen,kommen,VERB
Sie,sie,PRON
",",--,PUNCT
wenn,wenn,SCONJ
irgend,irgend,ADV
möglich,möglich,ADV
",",--,PUNCT
heute,heute,ADV
abend,abend,ADV
zu,zu,ADP
mir,mir,PRON
zum,zu,ADP
Essen,essen,NOUN
.,--,PUNCT
Keine,kein,DET
Widerrede,Widerrede,NOUN
.,--,PUNCT
Ich,ich,PRON
muß,müssen,AUX
außerdem,außerdem,ADV
mir,mir,PRON
eine,ein,DET
Geschichte,Geschichte,NOUN
vom,von,ADP
Herzen,Herz,NOUN
wälzen,wälzen,VERB
",",--,PUNCT
an,an,ADP
die,der,PRON
ich,ich,PRON
seit,seit,ADP
Jahren,Jahr,NOUN
nicht,nicht,PART
dachte,denken,VERB
",",--,PUNCT
und,und,CCONJ
die,der,PRON
heute,heute,ADV
durch,durch,ADP
ein,ein,DET
paar,paar,DET
Hebbelsche,Hebbelsch,ADJ
Strophen,Strophe,NOUN
mir,mir,PRON
dermaßen,dermaßen,ADV
wieder,wieder,ADV
vor,vor,ADP
die,der,DET
Seele,Seele,NOUN
gerückt,rücken,VERB
ist,sein,AUX
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
mich,mich,PRON
durch,durch,ADP
ihre,ihr,DET
Erzählung,Erzählung,NOUN
frei,frei,ADV
machen,machen,VERB
muß,müssen,AUX
.,--,PUNCT
Sie,sie,PRON
kennen,kennen,VERB
mich,mich,PRON
ja,ja,ADV
.,--,PUNCT
Übrigens,übrigens,ADV
sind,sein,AUX
auch,auch,ADV
die,der,DET
ersten,erster,ADJ
Metzer,Metzer,NOUN
Spargel,Spargel,NOUN
angekommen,ankommen,VERB
.,--,PUNCT
Ihr,ihr,DET
ergebenster,ergebenst,ADV
Fehrs,Fehr,NOUN
.,--,PUNCT
War,sein,AUX
das,der,PRON
wieder,wieder,ADV
ein,ein,DET
Schlußunsinn,Schlußunsinn,NOUN
.,--,PUNCT
Hebbel,Hebbel,PROPN
und,und,CCONJ
Spargel,Spargel,NOUN
.,--,PUNCT
Trotz,trotz,ADP
unserer,unser,DET
jahrelangen,jahrelang,NOUN
Bekanntschaft,Bekanntschaft,ADV
blieb,bleiben,VERB
mir,mir,PRON
mein,mein,DET
Freund,Freund,NOUN
",",--,PUNCT
der,der,DET
Kommerzienrat,Kommerzienrat,NOUN
Fehrs,Fehr,PROPN
",",--,PUNCT
ein,ein,DET
Rätsel,Rätsel,NOUN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Das,der,DET
Diner,Diner,NOUN
war,sein,AUX
",",--,PUNCT
wie,wie,ADP
immer,immer,ADV
",",--,PUNCT
vortrefflich,vortrefflich,ADV
gewesen,sein,AUX
.,--,PUNCT
Bald,bald,ADV
hatten,haben,AUX
wir,wir,PRON
uns,sich,PRON
ins,in,ADP
Rauchzimmer,Rauchzimmer,NOUN
zurückgezogen,zurückziehen,VERB
.,--,PUNCT
Kennen,kennen,VERB
Sie,sie,PRON
von,von,ADP
Hebbel,Hebbel,PROPN
ein,ein,DET
Gedicht,Gedicht,NOUN
",",--,PUNCT
begann,beginnen,VERB
der,der,DET
Kommerzienrat,Kommerzienrat,NOUN
:,--,PUNCT
Letzter,Letzter,ADJ
Gruß,Gruß,NOUN
?,--,PUNCT
Ich,ich,PRON
hatte,haben,AUX
es,es,PRON
bisher,bisher,ADV
nicht,nicht,PART
beachtet,beachten,VERB
.,--,PUNCT
Die,der,DET
beiden,beide,DET
letzten,letzter,ADJ
Strophen,Strophe,NOUN
lauten,lauten,VERB
:,--,PUNCT
Immer,immer,ADV
lächelnd,lächelnd,ADV
",",--,PUNCT
immer,immer,ADV
freundlich,freundlich,ADV
",",--,PUNCT
Und,und,CCONJ
erst,erst,ADV
in,in,ADP
dem,der,DET
letzten,letzter,ADJ
Schmerz,Schmerz,NOUN
Preßte,Preßte,NOUN
sie,sie,PRON
",",--,PUNCT
zusammensinkend,zusammensinkend,ADV
",",--,PUNCT
Ihre,ihr,DET
Hand,Hand,NOUN
aufs,auf,ADP
arme,arm,ADJ
Herz,Herz,NOUN
.,--,PUNCT
Ach,ach,INTJ
",",--,PUNCT
ihr,ihr,DET
Herz,Herz,NOUN
war,sein,AUX
wie,wie,ADP
ein,ein,DET
Siegel,Siegel,NOUN
:,--,PUNCT
Erst,erst,ADV
",",--,PUNCT
als,als,SCONJ
es,es,PRON
gebrochen,brechen,VERB
war,sein,AUX
",",--,PUNCT
Wurde,werden,AUX
mir,mir,PRON
sein,sein,DET
schaurig-süßes,schaurig-süßes,ADJ
",",--,PUNCT
Himmlisches,Himmlisch,ADJ
Geheimnis,Geheimnis,NOUN
klar,klar,ADV
.,--,PUNCT
Sie,sie,PRON
erschütterten,erschütteren,VERB
mich,mich,PRON
so,so,ADV
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
das,der,DET
Buch,Buch,NOUN
