Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,E.,E.,PROPN,pnc,3,Hoffmann
1,T.,T.,PROPN,pnc,3,Hoffmann
2,A.,A.,PROPN,pnc,3,Hoffmann
3,Hoffmann,Hoffmann,PROPN,ROOT,3,Hoffmann
4,Das,der,DET,nk,5,Fräulein
5,Fräulein,Fräulein,NOUN,ROOT,5,Fräulein
6,von,von,ADP,pg,5,Fräulein
7,Scuderi,Scuderi,PROPN,nk,6,von
8,Eine,ein,DET,nk,9,Erzählung
9,Erzählung,Erzählung,NOUN,ROOT,9,Erzählung
10,aus,aus,ADP,mnr,9,Erzählung
11,dem,der,DET,nk,12,Zeitalter
12,Zeitalter,Zeitalter,NOUN,nk,10,aus
13,Ludwigs,Ludwigs,PROPN,pnc,14,XIV
14,XIV,XIV,PROPN,nk,12,Zeitalter
15,.,--,PUNCT,punct,9,Erzählung
16,In,in,ADP,mo,21,war
17,der,der,DET,nk,18,Straße
18,Straße,Straße,NOUN,nk,16,In
19,St.,St.,PROPN,pnc,20,Honoré
20,Honoré,Honoré,PROPN,nk,18,Straße
21,war,sein,AUX,ROOT,21,war
22,das,der,DET,nk,24,Haus
23,kleine,klein,ADJ,nk,24,Haus
24,Haus,Haus,NOUN,sb,21,war
25,gelegen,liegen,VERB,pd,21,war
26,",",--,PUNCT,punct,21,war
27,welches,welcher,PRON,nk,28,Magdaleine
28,Magdaleine,Magdaleine,PROPN,app,24,Haus
29,von,von,ADP,pg,28,Magdaleine
30,Scuderi,Scuderi,PROPN,ROOT,30,Scuderi
31,",",--,PUNCT,punct,30,Scuderi
32,bekannt,bekannt,VERB,par,30,Scuderi
33,durch,durch,ADP,mo,32,bekannt
34,ihre,ihr,DET,nk,36,Verse
35,anmutigen,anmutig,ADJ,nk,36,Verse
36,Verse,Vers,NOUN,nk,33,durch
37,",",--,PUNCT,punct,30,Scuderi
38,durch,durch,ADP,mo,30,Scuderi
39,die,der,DET,nk,40,Gunst
40,Gunst,Gunst,NOUN,nk,38,durch
41,Ludwigs,Ludwigs,PROPN,pnc,42,XIV
42,XIV,XIV,NUM,nk,40,Gunst
43,.,--,PUNCT,punct,30,Scuderi
44,und,und,CCONJ,ROOT,44,und
45,der,der,DET,nk,46,Maintenon
46,Maintenon,Maintenon,PROPN,sb,48,bewohnte
47,",",--,PUNCT,punct,48,bewohnte
48,bewohnte,bewohnen,VERB,ROOT,48,bewohnte
49,.,--,PUNCT,punct,48,bewohnte
50,Spät,Spät,PROPN,sb,60,wurde
51,um,um,ADP,mnr,50,Spät
52,Mitternacht,Mitternacht,NOUN,nk,51,um
53,–,--,PUNCT,punct,50,Spät
54,im,in,ADP,mnr,50,Spät
55,Herbste,Herbst,NOUN,nk,54,im
56,des,der,DET,nk,57,Jahres
57,Jahres,Jahr,NOUN,ag,55,Herbste
58,1680,1680,NUM,nk,57,Jahres
59,–,--,PUNCT,punct,60,wurde
60,wurde,werden,AUX,ROOT,60,wurde
61,an,an,ADP,mo,60,wurde
62,dieses,dieser,DET,nk,63,Haus
63,Haus,Haus,NOUN,nk,61,an
64,hart,hart,ADV,pd,60,wurde
65,und,und,CCONJ,ROOT,65,und
66,heftig,heftig,ADV,mo,67,angeschlagen
67,angeschlagen,angeschlagen,VERB,cj,65,und
68,",",--,PUNCT,punct,67,angeschlagen
69,daß,daß,SCONJ,cp,75,widerhallte
70,es,es,PRON,ep,75,widerhallte
71,im,in,ADP,mo,75,widerhallte
72,ganzen,ganz,ADJ,nk,73,Flur
73,Flur,Flur,NOUN,nk,71,im
74,laut,laut,ADV,mo,75,widerhallte
75,widerhallte,widerhalln,VERB,oc,67,angeschlagen
76,.,--,PUNCT,punct,65,und
77,–,--,PUNCT,punct,78,Baptiste
78,Baptiste,Baptist,NOUN,ROOT,78,Baptiste
79,",",--,PUNCT,punct,78,Baptiste
80,der,der,DET,nk,85,Haushalt
81,in,in,ADP,mo,84,kleinem
82,des,der,DET,nk,83,Fräuleins
83,Fräuleins,Fräulein,NOUN,nk,81,in
84,kleinem,klein,DET,nk,85,Haushalt
85,Haushalt,Haushalt,NOUN,ROOT,85,Haushalt
86,Koch,Koch,PROPN,nk,85,Haushalt
87,",",--,PUNCT,punct,86,Koch
88,Bedienten,Bedienten,NOUN,cj,86,Koch
89,und,und,CCONJ,cd,88,Bedienten
90,Türsteher,Türsteher,NOUN,cj,89,und
91,zugleich,zugleich,ADV,mo,85,Haushalt
92,vorstellte,vorstellen,VERB,sb,94,war
93,",",--,PUNCT,punct,94,war
94,war,sein,AUX,ROOT,94,war
95,mit,mit,ADP,mo,101,gegangen
96,Erlaubnis,Erlaubnis,NOUN,nk,95,mit
97,seiner,sein,DET,nk,98,Herrschaft
98,Herrschaft,Herrschaft,NOUN,ag,96,Erlaubnis
99,über,über,ADP,mnr,96,Erlaubnis
100,Land,Land,NOUN,nk,99,über
101,gegangen,gehen,VERB,oc,94,war
102,zur,zu,ADP,mo,101,gegangen
103,Hochzeit,Hochzeit,NOUN,nk,102,zur
104,seiner,sein,DET,nk,105,Schwester
105,Schwester,Schwester,NOUN,cj,109,kam
106,",",--,PUNCT,punct,105,Schwester
107,und,und,CCONJ,ju,109,kam
108,so,so,ADV,mo,109,kam
109,kam,kommen,VERB,ROOT,109,kam
110,es,es,PRON,ep,109,kam
111,",",--,PUNCT,punct,109,kam
112,daß,daß,SCONJ,cp,114,Martiniere
113,die,der,DET,nk,114,Martiniere
114,Martiniere,Martiniere,PROPN,cc,108,so
115,",",--,PUNCT,punct,114,Martiniere
116,des,der,DET,nk,117,Fräuleins
117,Fräuleins,Fräulein,NOUN,app,114,Martiniere
118,Kammerfrau,Kammerfrau,PROPN,nk,117,Fräuleins
119,",",--,PUNCT,punct,109,kam
120,allein,allein,ADV,mo,121,im
121,im,in,ADP,mo,124,wachte
122,Hause,Haus,NOUN,nk,121,im
123,noch,noch,ADV,mo,124,wachte
124,wachte,wachen,VERB,ROOT,124,wachte
125,.,--,PUNCT,punct,124,wachte
126,Sie,sie,PRON,sb,127,hörte
127,hörte,hören,VERB,ROOT,127,hörte
128,die,der,DET,nk,130,Schläge
129,wiederholten,wiederholt,ADJ,nk,130,Schläge
130,Schläge,Schlag,NOUN,oa,127,hörte
131,",",--,PUNCT,punct,127,hörte
132,es,es,PRON,sb,133,fiel
133,fiel,fallen,VERB,cj,127,hörte
134,ihr,ihr,PRON,da,133,fiel
135,ein,ein,ADV,ROOT,135,ein
136,",",--,PUNCT,punct,135,ein
137,daß,daß,SCONJ,cp,139,fortgegangen
138,Baptiste,Baptist,NOUN,sb,139,fortgegangen
139,fortgegangen,fortgegangen,VERB,re,135,ein
140,und,und,CCONJ,cd,139,fortgegangen
141,sie,sie,PRON,cj,140,und
142,mit,mit,ADP,mo,139,fortgegangen
143,dem,der,DET,nk,144,Fräulein
144,Fräulein,Fräulein,NOUN,nk,142,mit
145,ohne,ohne,ADP,mo,142,mit
146,weitern,weitern,ADJ,nk,145,ohne
147,Schutz,Schutz,NOUN,nk,142,mit
148,im,in,ADP,mnr,147,Schutz
149,Hause,Haus,NOUN,pd,150,geblieben
150,geblieben,bleiben,VERB,oc,151,sei
151,sei,sein,AUX,ROOT,151,sei
152,;,--,PUNCT,punct,151,sei
153,aller,aller,DET,nk,154,Frevel
154,Frevel,Frevel,NOUN,ROOT,154,Frevel
155,von,von,ADP,pg,154,Frevel
156,Einbruch,Einbruch,NOUN,nk,155,von
157,",",--,PUNCT,punct,156,Einbruch
158,Diebstahl,Diebstahl,NOUN,cj,156,Einbruch
159,und,und,CCONJ,cd,158,Diebstahl
160,Mord,Mord,NOUN,cj,159,und
161,wie,wie,ADP,cm,162,er
162,er,er,PRON,cc,156,Einbruch
163,jemals,jemals,ADV,mo,166,verübt
164,in,in,ADP,mo,166,verübt
165,Paris,Paris,PROPN,nk,164,in
166,verübt,verüben,VERB,oc,167,worden
167,worden,werden,AUX,mo,169,kam
168,",",--,PUNCT,punct,169,kam
169,kam,kommen,VERB,ROOT,169,kam
170,ihr,ihr,PRON,da,169,kam
171,in,in,ADP,mo,169,kam
172,den,der,DET,nk,173,Sinn
173,Sinn,Sinn,NOUN,nk,171,in
174,",",--,PUNCT,punct,169,kam
175,es,es,PRON,sb,176,wurde
176,wurde,werden,AUX,cj,169,kam
177,ihr,ihr,PRON,da,176,wurde
178,gewiß,gewiß,ADV,mo,176,wurde
179,",",--,PUNCT,punct,176,wurde
180,daß,daß,SCONJ,dep,169,kam
181,irgend,irgend,ADV,mo,183,Haufen
182,ein,ein,DET,nk,183,Haufen
183,Haufen,Haufen,NOUN,ROOT,183,Haufen
184,Meuterer,Meuterer,NOUN,nk,183,Haufen
185,",",--,PUNCT,punct,183,Haufen
186,von,von,ADP,sbp,191,unterrichtet
187,der,der,DET,nk,188,Einsamkeit
188,Einsamkeit,Einsamkeit,NOUN,nk,186,von
189,des,der,DET,nk,190,Hauses
190,Hauses,Haus,NOUN,ag,188,Einsamkeit
191,unterrichtet,unterrichten,VERB,par,183,Haufen
192,",",--,PUNCT,punct,191,unterrichtet
193,da,da,SCONJ,ROOT,193,da
194,draußen,draußen,ADV,mo,195,tobe
195,tobe,tobe,ADV,ROOT,195,tobe
196,",",--,PUNCT,punct,195,tobe
197,und,und,CCONJ,cd,195,tobe
198,eingelassen,eingelassen,VERB,cj,197,und
199,ein,ein,DET,nk,201,Vorhaben
200,böses,bös,ADJ,nk,201,Vorhaben
201,Vorhaben,Vorhaben,NOUN,oa,205,ausführen
202,gegen,gegen,ADP,mnr,201,Vorhaben
203,die,der,DET,nk,204,Herrschaft
204,Herrschaft,Herrschaft,NOUN,nk,202,gegen
205,ausführen,ausführen,VERB,oc,198,eingelassen
206,wolle,wollen,AUX,dep,210,blieb
207,",",--,PUNCT,punct,206,wolle
208,und,und,CCONJ,ju,210,blieb
209,so,so,ADV,mo,210,blieb
210,blieb,bleiben,VERB,ROOT,210,blieb
211,sie,sie,PRON,sb,210,blieb
212,in,in,ADP,mo,210,blieb
213,ihrem,ihr,DET,nk,214,Zimmer
214,Zimmer,Zimmer,NOUN,nk,212,in
215,zitternd,zitternd,ADV,pd,210,blieb
216,und,und,CCONJ,cd,215,zitternd
217,zagend,zagend,ADV,cj,216,und
218,und,und,CCONJ,cd,217,zagend
219,den,der,DET,nk,220,Baptiste
220,Baptiste,Baptist,NOUN,cj,218,und
221,verwünschend,verwünschend,ADV,ROOT,221,verwünschend
222,samt,samt,ADP,mo,221,verwünschend
223,seiner,sein,DET,nk,224,Schwester
224,Schwester,Schwester,NOUN,nk,222,samt
225,Hochzeit,Hochzeit,NOUN,nk,224,Schwester
226,.,--,PUNCT,punct,221,verwünschend
227,Unterdessen,unterdessen,ADV,mo,228,donnerten
228,donnerten,donnerten,VERB,ROOT,228,donnerten
229,die,der,DET,nk,230,Schläge
230,Schläge,Schlag,NOUN,sb,228,donnerten
231,immer,immer,ADV,mo,232,fort
232,fort,fort,ADV,ROOT,232,fort
233,",",--,PUNCT,punct,232,fort
234,und,und,CCONJ,cd,232,fort
235,es,es,PRON,sb,236,war
236,war,sein,AUX,cj,234,und
237,ihr,ihr,PRON,pd,236,war
238,",",--,PUNCT,punct,236,war
239,als,als,SCONJ,mo,243,dazwischen
240,rufe,rufen,NOUN,nk,239,als
241,eine,ein,DET,nk,242,Stimme
242,Stimme,Stimme,NOUN,oa,243,dazwischen
243,dazwischen,dazwischen,VERB,mo,236,war
244,:,--,PUNCT,punct,232,fort
245,So,so,ADV,mo,246,macht
246,macht,machen,VERB,ROOT,246,macht
247,doch,doch,ADV,mo,246,macht
248,nur,nur,ADV,mo,246,macht
249,auf,auf,ADP,ac,250,um
250,um,um,ADP,mo,255,macht
251,Christus,Christus,NOUN,nk,250,um
252,willen,willen,ADP,ac,250,um
253,",",--,PUNCT,punct,254,so
254,so,so,ADV,mo,255,macht
255,macht,machen,VERB,ROOT,255,macht
256,doch,doch,ADV,mo,255,macht
257,nur,nur,ADV,mo,255,macht
258,auf,auf,ADP,svp,255,macht
259,!,--,PUNCT,punct,255,macht
260,Endlich,endlich,ADV,mo,261,in
261,in,in,ADP,ROOT,261,in
262,steigender,steigend,ADJ,nk,263,Angst
263,Angst,Angst,NOUN,nk,261,in
264,ergriff,ergreifen,VERB,ROOT,264,ergriff
265,die,der,DET,nk,266,Martiniere
266,Martiniere,Martiniere,NOUN,sb,264,ergriff
267,schnell,schnell,ADV,mo,264,ergriff
268,den,der,DET,nk,269,Leuchter
269,Leuchter,Leuchter,NOUN,oa,264,ergriff
270,mit,mit,ADP,mnr,269,Leuchter
271,der,der,DET,nk,273,Kerze
272,brennenden,brennend,ADJ,nk,273,Kerze
273,Kerze,Kerze,NOUN,nk,270,mit
274,und,und,CCONJ,cd,264,ergriff
275,rannte,rannen,VERB,cj,274,und
276,hinaus,hinaus,ADP,ROOT,276,hinaus
277,auf,auf,ADP,ROOT,277,auf
278,den,der,DET,nk,279,Flur
279,Flur,Flur,NOUN,nk,277,auf
280,;,--,PUNCT,punct,277,auf
281,da,da,ADV,mo,282,vernahm
282,vernahm,vernehmen,VERB,ROOT,282,vernahm
283,sie,sie,PRON,sb,282,vernahm
284,ganz,ganz,ADV,mo,285,deutlich
285,deutlich,deutlich,ADV,mo,282,vernahm
286,die,der,DET,nk,287,Stimme
287,Stimme,Stimme,NOUN,oa,282,vernahm
288,des,der,DET,nk,289,Anpochenden
289,Anpochenden,Anpochend,NOUN,ag,287,Stimme
290,:,--,PUNCT,punct,282,vernahm
291,Um,um,SCONJ,mo,296,macht
292,Christus,Christus,NOUN,nk,291,Um
293,willen,willen,ADP,ac,291,Um
294,",",--,PUNCT,punct,295,so
295,so,so,ADV,mo,296,macht
296,macht,machen,VERB,ROOT,296,macht
297,doch,doch,ADV,mo,296,macht
298,nur,nur,ADV,mo,296,macht
299,auf,auf,ADP,svp,296,macht
300,!,--,PUNCT,punct,296,macht
301,In,in,ADP,mo,305,dachte
302,der,der,DET,nk,303,Tat
