Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,E.T.A.,E.T.A.,PROPN,ROOT,0,E.T.A.
1,Hoffmann,Hoffmann,PROPN,ROOT,1,Hoffmann
2,Das,der,DET,nk,4,Haus
3,öde,öde,ADJ,nk,4,Haus
4,Haus,Haus,NOUN,ROOT,4,Haus
5,(,--,PUNCT,punct,6,Erstdruck
6,Erstdruck,Erstdruck,NOUN,ROOT,6,Erstdruck
7,1817,1817,NUM,nk,6,Erstdruck
8,),--,PUNCT,punct,6,Erstdruck
9,Man,man,PRON,sb,10,war
10,war,sein,AUX,ROOT,10,war
11,darüber,darüber,ADV,op,12,einig
12,einig,einig,ADV,pd,10,war
13,",",--,PUNCT,punct,12,einig
14,daß,daß,SCONJ,cp,17,Erscheinungen
15,die,der,DET,nk,17,Erscheinungen
16,wirklichen,wirklich,ADJ,nk,17,Erscheinungen
17,Erscheinungen,Erscheinung,NOUN,re,11,darüber
18,im,in,ADP,mnr,17,Erscheinungen
19,Leben,Leben,NOUN,nk,18,im
20,oft,oft,ADV,mo,17,Erscheinungen
21,viel,viel,ADV,mo,17,Erscheinungen
22,wunderbarer,Wunderbarer,PROPN,sb,24,gestalten
23,sich,sich,PRON,oa,24,gestalten
24,gestalten,gestalten,VERB,ROOT,24,gestalten
25,",",--,PUNCT,punct,24,gestalten
26,als,als,ADP,cm,27,alles
27,alles,alle,PRON,oa,24,gestalten
28,",",--,PUNCT,punct,27,alles
29,was,wer,PRON,oa,34,erfinden
30,die,der,DET,nk,32,Fantasie
31,regste,reg,ADJ,nk,32,Fantasie
32,Fantasie,Fantasie,NOUN,oa,34,erfinden
33,zu,zu,PART,pm,34,erfinden
34,erfinden,erfinden,VERB,oc,27,alles
35,trachte,trachen,VERB,ROOT,35,trachte
36,.,--,PUNCT,punct,35,trachte
37,»,--,PUNCT,punct,39,meine
38,Ich,ich,PRON,sb,39,meine
39,meine,meinen,VERB,oc,42,sprach
40,«,--,PUNCT,punct,39,meine
41,",",--,PUNCT,punct,42,sprach
42,sprach,sprechen,VERB,ROOT,42,sprach
43,Lelio,Lelio,PROPN,sb,42,sprach
44,",",--,PUNCT,punct,42,sprach
45,»,--,PUNCT,punct,50,hinlänglichen
46,daß,daß,SCONJ,cp,50,hinlänglichen
47,die,der,DET,nk,48,Geschichte
48,Geschichte,Geschichte,NOUN,sb,50,hinlänglichen
