Token,Lemma,POS
E.,E.,PROPN
T.,T.,PROPN
A.,A.,PROPN
Hoffmann,Hoffmann,PROPN
Des,der,DET
Vetters,Vetter,NOUN
Eckfenster,Eckfenster,PROPN
Erzählung,Erzählung,NOUN
Meinen,meinen,DET
armen,arm,ADJ
Vetter,Vetter,NOUN
trifft,treffen,VERB
gleiches,gleich,ADJ
Schicksal,Schicksal,NOUN
mit,mit,ADP
dem,der,DET
bekannten,bekannt,ADJ
Scarron,Scarron,PROPN
.,--,PUNCT
So,so,ADV
wie,wie,SCONJ
dieser,dieser,PRON
hat,haben,AUX
mein,mein,DET
Vetter,Vetter,NOUN
durch,durch,ADP
eine,ein,DET
hartnäckige,hartnäckig,ADJ
Krankheit,Krankheit,NOUN
den,der,DET
Gebrauch,Gebrauch,NOUN
seiner,sein,DET
Füße,Fuß,NOUN
gänzlich,gänzlich,ADV
verloren,verlieren,VERB
",",--,PUNCT
und,und,CCONJ
es,es,PRON
tut,tun,VERB
not,not,ADV
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
sich,sich,PRON
",",--,PUNCT
mit,mit,ADP
Hilfe,Hilfe,NOUN
standhafter,standhaft,VERB
Krücken,Krück,NOUN
und,und,CCONJ
des,der,DET
nervichten,nervicht,ADJ
Arms,Arm,NOUN
eines,ein,DET
grämlichen,grämlich,ADJ
Invaliden,Invalide,NOUN
",",--,PUNCT
der,der,PRON
nach,nach,ADP
Belieben,Belieben,NOUN
den,der,DET
Krankenwärter,Krankenwärter,NOUN
macht,machen,VERB
",",--,PUNCT
aus,aus,ADP
dem,der,PRON
Bette,Bett,NOUN
in,in,ADP
den,der,DET
mit,mit,ADP
Kissen,Kissen,NOUN
bepackten,bepackt,ADJ
Lehnstuhl,Lehnstuhl,PROPN
",",--,PUNCT
und,und,CCONJ
aus,aus,ADP
dem,der,DET
Lehnstuhl,Lehnstuhl,NOUN
in,in,ADP
das,der,DET
Bette,Bette,NOUN
schrotet,schroten,VERB
.,--,PUNCT
Aber,aber,CCONJ
noch,noch,ADV
eine,ein,DET
Ähnlichkeit,Ähnlichkeit,NOUN
trägt,tragen,VERB
mein,mein,DET
Vetter,Vetter,NOUN
mit,mit,ADP
jenem,jener,DET
Franzosen,Franzose,NOUN
",",--,PUNCT
den,der,PRON
eine,ein,DET
besondere,besonderer,ADJ
",",--,PUNCT
aus,aus,ADP
dem,der,DET
gewöhnlichen,gewöhnlich,ADJ
Gleise,Gleis,NOUN
des,der,DET
französischen,französisch,ADJ
Witzes,Witz,NOUN
ausweichende,ausweichend,ADJ
Art,Art,NOUN
des,der,DET
Humors,Humor,NOUN
trotz,trotz,ADP
der,der,DET
Sparsamkeit,Sparsamkeit,NOUN
seiner,sein,DET
Erzeugnisse,Erzeugnis,NOUN
in,in,ADP
der,der,DET
französischen,französisch,ADJ
Literatur,Literatur,NOUN
feststellte,feststellen,VERB
.,--,PUNCT
So,so,ADV
wie,wie,SCONJ
Scarron,Scarron,PROPN
schriftstellert,schriftstelleren,VERB
mein,mein,DET
Vetter,Vetter,NOUN
;,--,PUNCT
so,so,ADV
wie,wie,ADP
Scarron,Scarron,PROPN
ist,sein,AUX
er,er,PRON
mit,mit,ADP
besonderer,Besonderer,ADJ
lebendiger,lebendig,ADJ
Laune,Laune,NOUN
begabt,begabt,ADV
und,und,CCONJ
treibt,treiben,VERB
wunderlichen,wunderlich,ADJ
humoristischen,humoristisch,ADJ
Scherz,Scherz,NOUN
auf,auf,ADP
seine,sein,DET
eigne,eign,ADJ
Weise,Weise,NOUN
.,--,PUNCT
Doch,doch,CCONJ
zum,zu,ADP
Ruhme,Ruhm,NOUN
des,der,DET
deutschen,deutsch,ADJ
Schriftstellers,Schriftsteller,NOUN
sei,sein,AUX
es,es,PRON
bemerkt,bemerken,VERB
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
niemals,niemals,ADV
für,für,ADP
nötig,nötig,ADV
achtete,achten,VERB
",",--,PUNCT
seine,sein,DET
kleinen,klein,ADJ
pikanten,pikant,ADJ
Schüsseln,Schüssel,NOUN
mit,mit,ADP
Asa,Asa,PROPN
fötida,Fötida,PROPN
zu,zu,PART
würzen,würzen,VERB
",",--,PUNCT
um,um,SCONJ
die,der,DET
Gaumen,Gaumen,NOUN
seiner,sein,DET
deutschen,deutsch,ADJ
Leser,Leser,NOUN
",",--,PUNCT
die,der,PRON
dergleichen,dergleichen,PRON
nicht,nicht,PART
wohl,wohl,ADV
vertragen,vertragen,VERB
",",--,PUNCT
zu,zu,PART
kitzeln,kitzeln,VERB
.,--,PUNCT
Es,es,PRON
genügt,genügen,VERB
ihm,ihm,PRON
das,der,DET
edle,edel,ADJ
Gewürz,Gewürz,NOUN
",",--,PUNCT
welches,welcher,PRON
",",--,PUNCT
indem,indem,SCONJ
es,es,PRON
reizt,reizen,VERB
",",--,PUNCT
auch,auch,ADV
stärkt,stärken,VERB
.,--,PUNCT
Die,der,DET
Leute,Leute,NOUN
lesen,lesen,VERB
gerne,gerne,ADV
",",--,PUNCT
was,was,PRON
er,er,PRON
schreibt,schreiben,VERB
;,--,PUNCT
es,es,PRON
soll,sollen,AUX
gut,gut,ADV
sein,sein,AUX
und,und,CCONJ
ergötzlich,ergötzlich,ADV
;,--,PUNCT
ich,ich,PRON
verstehe,verstehen,VERB
mich,mich,PRON
nicht,nicht,PART
darauf,darauf,ADV
.,--,PUNCT
Mich,mich,PRON
erlabte,erlaben,VERB
sonst,sonst,ADV
des,der,DET
Vetters,Vetter,NOUN
Unterhaltung,Unterhaltung,NOUN
",",--,PUNCT
und,und,CCONJ
es,es,PRON
schien,scheinen,VERB
mir,mir,PRON
gemütlicher,gemütlich,ADV
",",--,PUNCT
ihn,ihn,PRON
zu,zu,PART
hören,hören,VERB
",",--,PUNCT
als,als,SCONJ
ihn,ihn,PRON
zu,zu,PART
lesen,lesen,VERB
.,--,PUNCT
Doch,doch,CCONJ
eben,eben,ADV
dieser,dieser,DET
unbesiegbare,unbesiegbar,ADJ
Hang,Hang,NOUN
zur,zu,ADP
Schriftstellerei,Schriftstellerei,NOUN
hat,haben,VERB
schwarzes,schwarz,ADJ
Unheil,Unheil,NOUN
über,über,ADP
meinen,mein,DET
armen,arm,ADJ
Vetter,Vetter,NOUN
gebracht,bringen,VERB
;,--,PUNCT
die,der,DET
schwerste,schwer,ADJ
Krankheit,Krankheit,NOUN
vermochte,vermochen,VERB
nicht,nicht,PART
den,der,DET
raschen,rasch,ADJ
Rädergang,Rädergang,NOUN
der,der,DET
Phantasie,Phantasie,NOUN
zu,zu,PART
hemmen,hemmen,VERB
",",--,PUNCT
der,der,PRON
in,in,ADP
seinem,sein,DET
Innern,innere,NOUN
fortarbeitete,fortarbeiten,VERB
",",--,PUNCT
stets,stets,ADV
Neues,neue,NOUN
und,und,CCONJ
Neues,neue,NOUN
erzeugend,erzeugend,ADV
.,--,PUNCT
So,so,ADV
kam,kommen,VERB
es,es,PRON
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
mir,mir,PRON
allerlei,allerlei,DET
anmutige,anmutig,ADJ
Geschichten,Geschichte,NOUN
erzählte,erzählen,VERB
",",--,PUNCT
die,der,PRON
er,er,PRON
",",--,PUNCT
des,der,DET
mannigfachen,mannigfach,ADJ
Wehs,Wehs,NOUN
",",--,PUNCT
das,der,PRON
er,er,PRON
duldete,dulden,VERB
",",--,PUNCT
unerachtet,unerachten,VERB
",",--,PUNCT
ersonnen,ersonnen,VERB
.,--,PUNCT
Aber,aber,CCONJ
den,der,DET
Weg,Weg,NOUN
",",--,PUNCT
den,der,PRON
der,der,DET
Gedanke,Gedanke,NOUN
verfolgen,verfolgen,VERB
mußte,müssen,AUX
",",--,PUNCT
