Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,E.,E.,PROPN,pnc,3,Hoffmann
1,T.,T.,PROPN,pnc,3,Hoffmann
2,A.,A.,PROPN,pnc,3,Hoffmann
3,Hoffmann,Hoffmann,PROPN,ROOT,3,Hoffmann
4,Meister,Meister,NOUN,ROOT,4,Meister
5,Martin,Martin,PROPN,pnc,7,Küfner
6,der,der,DET,nk,7,Küfner
7,Küfner,Küfner,NOUN,nk,4,Meister
8,und,und,CCONJ,cd,7,Küfner
9,seine,sein,DET,nk,10,Gesellen
10,Gesellen,Geselle,NOUN,cj,8,und
11,Wohl,wohl,ADV,mo,12,mag
12,mag,mögen,AUX,ROOT,12,mag
13,dir,dir,PRON,sb,12,mag
14,auch,auch,ADV,mo,12,mag
15,",",--,PUNCT,punct,12,mag
16,geliebter,geliebt,ADJ,nk,17,Leser
17,Leser,Leser,NOUN,app,12,mag
18,",",--,PUNCT,punct,12,mag
19,das,der,DET,nk,20,Herz
20,Herz,Herz,NOUN,oa,21,aufgehen
21,aufgehen,aufgehen,VERB,cj,12,mag
22,in,in,ADP,mo,21,aufgehen
23,ahnungsvoller,ahnungsvoll,ADJ,nk,24,Wehmut
24,Wehmut,Wehmut,NOUN,nk,22,in
25,",",--,PUNCT,punct,12,mag
26,wenn,wenn,SCONJ,cp,31,wandelst
27,du,du,PRON,sb,31,wandelst
28,über,über,ADP,op,31,wandelst
29,eine,ein,DET,nk,30,Stätte
30,Stätte,Stätte,NOUN,nk,28,über
31,wandelst,wandelst,VERB,ROOT,31,wandelst
32,",",--,PUNCT,punct,31,wandelst
33,wo,wo,SCONJ,mo,36,Denkmäler
34,die,der,DET,nk,36,Denkmäler
35,herrlichen,herrlich,ADJ,nk,36,Denkmäler
36,Denkmäler,Denkmäler,NOUN,ROOT,36,Denkmäler
37,altdeutscher,altdeutsch,ADV,pd,36,Denkmäler
38,Kunst,Kunst,NOUN,ROOT,38,Kunst
39,wie,wie,ADP,cd,38,Kunst
40,beredte,beredt,ADJ,nk,41,Zeugen
41,Zeugen,Zeuge,NOUN,cj,39,wie
42,den,der,DET,nk,43,Glanz
43,Glanz,Glanz,NOUN,oa,38,Kunst
44,",",--,PUNCT,punct,43,Glanz
45,den,der,DET,nk,47,Fleiß
46,frommen,fromm,ADJ,nk,47,Fleiß
47,Fleiß,Fleiß,NOUN,app,43,Glanz
48,",",--,PUNCT,punct,47,Fleiß
49,die,der,DET,nk,50,Wahrhaftigkeit
50,Wahrhaftigkeit,Wahrhaftigkeit,NOUN,cj,47,Fleiß
51,einer,ein,DET,sb,38,Kunst
52,schönen,schön,ADJ,nk,54,Zeit
53,vergangenen,vergangen,ADJ,nk,54,Zeit
54,Zeit,Zeit,NOUN,da,55,verkünden
55,verkünden,verkünden,VERB,ROOT,55,verkünden
56,.,--,PUNCT,punct,55,verkünden
57,Ist,sein,AUX,ROOT,57,Ist
58,es,es,PRON,sb,57,Ist
59,nicht,nicht,PART,ng,57,Ist
60,so,so,ADV,mo,57,Ist
61,",",--,PUNCT,punct,60,so
62,als,als,SCONJ,cm,64,du
63,trätest,Trätest,VERB,mo,64,du
64,du,du,PRON,cc,60,so
65,in,in,ADP,mnr,64,du
66,ein,ein,ADV,nk,65,in
67,verlassenes,verlassen,ADJ,nk,68,Haus
68,Haus,Haus,NOUN,ROOT,68,Haus
69,?,--,PUNCT,punct,68,Haus
70,–,--,PUNCT,punct,72,liegt
71,Noch,noch,ADV,mo,72,liegt
72,liegt,liegen,VERB,ROOT,72,liegt
73,aufgeschlagen,aufgeschlagen,VERB,mo,72,liegt
74,auf,auf,ADP,mo,73,aufgeschlagen
75,dem,der,DET,nk,76,Tische
76,Tische,Tisch,NOUN,nk,74,auf
77,das,der,DET,nk,79,Buch
78,fromme,fromm,ADJ,nk,79,Buch
79,Buch,Buch,NOUN,sb,72,liegt
80,",",--,PUNCT,punct,79,Buch
81,in,in,ADP,mo,72,liegt
82,dem,der,PRON,da,85,gelesen
83,der,der,DET,nk,84,Hausvater
84,Hausvater,Hausvater,NOUN,ag,82,dem
85,gelesen,lesen,VERB,ROOT,85,gelesen
86,",",--,PUNCT,punct,85,gelesen
87,noch,noch,CCONJ,mo,88,ist
88,ist,sein,AUX,cj,85,gelesen
89,das,der,DET,nk,92,Gewebe
90,reiche,reich,ADJ,nk,92,Gewebe
91,bunte,bunt,ADJ,nk,92,Gewebe
92,Gewebe,Geweb,NOUN,sb,88,ist
93,aufgehängt,aufhängen,VERB,oc,88,ist
94,",",--,PUNCT,punct,88,ist
95,das,der,PRON,oa,85,gelesen
96,die,der,PRON,nk,95,das
97,Hausfrau,Hausfrau,NOUN,ROOT,97,Hausfrau
98,gefertigt,fertigen,VERB,pd,97,Hausfrau
99,;,--,PUNCT,punct,97,Hausfrau
100,allerlei,allerlei,DET,nk,102,Gaben
101,köstliche,köstlich,ADJ,nk,102,Gaben
102,Gaben,Gabe,NOUN,ROOT,102,Gaben
103,des,der,DET,nk,104,Kunstfleißes
104,Kunstfleißes,Kunstfleiß,NOUN,ag,102,Gaben
105,",",--,PUNCT,punct,102,Gaben
106,ab,ab,ADP,par,102,Gaben
107,Ehrentagen,Ehrentag,NOUN,nk,106,ab
108,beschert,bescheren,VERB,mo,110,stehen
109,",",--,PUNCT,punct,110,stehen
110,stehen,stehen,VERB,ROOT,110,stehen
111,umher,umher,ADV,svp,110,stehen
112,in,in,ADP,mo,110,stehen
113,saubern,Sauber,ADJ,nk,114,Schränken
114,Schränken,Schränk,NOUN,nk,112,in
115,.,--,PUNCT,punct,110,stehen
116,Es,es,PRON,sb,117,ist
117,ist,sein,AUX,ROOT,117,ist
118,",",--,PUNCT,punct,117,ist
119,als,als,SCONJ,cm,120,werde
120,werde,werden,AUX,mo,117,ist
121,nun,nun,ADV,mo,120,werde
122,gleich,gleich,ADV,mo,120,werde
123,einer,ein,PRON,sb,120,werde
124,von,von,ADP,op,127,eintreten
125,den,der,DET,nk,126,Hausgenossen
126,Hausgenossen,Hausgenos,NOUN,nk,124,von
127,eintreten,eintreten,VERB,ROOT,127,eintreten
128,und,und,CCONJ,cd,127,eintreten
129,mit,mit,ADP,cj,128,und
130,treuherziger,treuherzig,ADJ,nk,131,Gastlichkeit
131,Gastlichkeit,Gastlichkeit,NOUN,nk,129,mit
132,dich,dich,PRON,oa,127,eintreten
133,empfangen,empfangen,VERB,ROOT,133,empfangen
134,.,--,PUNCT,punct,133,empfangen
135,Aber,aber,CCONJ,ju,137,wartest
136,vergebens,vergebens,ADV,mo,137,wartest
137,wartest,wartest,ADV,ROOT,137,wartest
138,du,du,PRON,sb,137,wartest
139,auf,auf,ADP,mo,137,wartest
140,die,der,PRON,nk,139,auf
141,",",--,PUNCT,punct,140,die
142,welche,welcher,PRON,app,140,die
143,das,der,DET,nk,146,Rad
144,ewig,ewig,ADV,mo,145,rollende
145,rollende,rollend,ADJ,nk,146,Rad
146,Rad,Rad,NOUN,app,142,welche
147,der,der,DET,oc,140,die
148,Zeit,Zeit,NOUN,mo,149,fortriss
149,fortriss,fortriss,VERB,ROOT,149,fortriss
150,",",--,PUNCT,punct,149,fortriss
151,du,du,PRON,sb,155,überlassen
152,magst,magst,ADV,mo,155,überlassen
153,dich,dich,PRON,oa,155,überlassen
154,denn,denn,ADV,mo,155,überlassen
155,überlassen,überlassen,ADV,cj,149,fortriss
156,dem,der,DET,nk,158,Traum
157,süßen,süß,ADJ,nk,158,Traum
158,Traum,Traum,NOUN,da,155,überlassen
159,",",--,PUNCT,punct,158,Traum
160,der,der,PRON,oa,163,alten
161,dir,dir,PRON,oa,163,alten
162,die,der,DET,nk,163,alten
163,alten,alt,ADJ,rc,153,dich
164,Meister,Meister,NOUN,sb,165,zuführt
165,zuführt,zuführen,VERB,ROOT,165,zuführt
166,",",--,PUNCT,punct,165,zuführt
167,die,der,PRON,sb,170,reden
168,zu,zu,ADP,op,170,reden
169,dir,dir,PRON,nk,168,zu
170,reden,reden,VERB,rc,177,dir
171,fromm,fromm,ADV,mo,170,reden
172,und,und,CCONJ,cd,171,fromm
173,kräftig,kräftig,ADV,cj,172,und
174,",",--,PUNCT,punct,170,reden
175,dass,dass,SCONJ,cp,179,durch
176,es,es,PRON,ep,179,durch
177,dir,dir,PRON,nk,179,durch
178,recht,Recht,NOUN,mo,179,durch
179,durch,durch,ADP,mo,165,zuführt
180,Mark,Mark,NOUN,sb,183,dringt
181,und,und,CCONJ,cd,180,Mark
182,Bein,Bein,NOUN,cj,181,und
183,dringt,dringen,VERB,ROOT,183,dringt
184,.,--,PUNCT,punct,183,dringt
185,Und,und,CCONJ,ju,187,verstehst
186,nun,nun,ADV,mo,187,verstehst
187,verstehst,verstehsn,VERB,ROOT,187,verstehst
188,du,du,PRON,sb,187,verstehst
189,erst,erst,ADV,mo,187,verstehst
190,den,der,DET,nk,192,Sinn
191,tiefen,tief,ADJ,nk,192,Sinn
192,Sinn,Sinn,NOUN,oa,187,verstehst
193,ihrer,ihr,DET,nk,194,Werke
194,Werke,Werk,NOUN,ag,192,Sinn
195,",",--,PUNCT,punct,187,verstehst
196,denn,denn,CCONJ,ROOT,196,denn
197,du,du,PRON,ROOT,197,du
198,lebst,lebst,ADV,mo,199,in
199,in,in,ADP,mnr,197,du
200,ihrer,ihr,DET,nk,201,Zeit
201,Zeit,Zeit,NOUN,nk,199,in
202,und,und,CCONJ,cd,197,du
203,hast,haben,AUX,cj,202,und
204,die,der,DET,nk,205,Zeit
205,Zeit,Zeit,NOUN,oa,206,begriffen
206,begriffen,begreifen,VERB,oc,203,hast
207,",",--,PUNCT,punct,206,begriffen
208,welche,welcher,DET,nk,209,Meister
209,Meister,Meister,NOUN,cj,203,hast
210,und,und,CCONJ,cd,209,Meister
211,Werk,Werk,NOUN,oa,212,erzeugen
212,erzeugen,erzeugen,VERB,oc,213,konnte
213,konnte,können,AUX,ROOT,213,konnte
214,.,--,PUNCT,punct,213,konnte
215,Doch,doch,CCONJ,ju,216,ach
216,ach,ach,INTJ,ROOT,216,ach
217,!,--,PUNCT,punct,216,ach
218,Geschieht,Geschieht,VERB,ROOT,218,Geschieht
219,es,es,PRON,sb,218,Geschieht
220,nicht,nicht,PART,ng,218,Geschieht
221,",",--,PUNCT,punct,218,Geschieht
222,dass,dass,SCONJ,cp,224,holde
223,die,der,DET,nk,224,holde
224,holde,Holde,NOUN,re,219,es
225,Traumgestallt,Traumgestallt,NOUN,ROOT,225,Traumgestallt
226,",",--,PUNCT,punct,225,Traumgestallt
227,eben,eben,ADV,mo,225,Traumgestallt
228,als,als,SCONJ,cm,229,du
229,du,du,PRON,cc,227,eben
230,sie,sie,PRON,oa,238,auf
231,zu,zu,ADP,pm,232,umfangen
232,umfangen,umfangen,ADV,nk,233,gedachtest
233,gedachtest,Gedachtest,ADV,ag,230,sie
234,mit,mit,ADP,mnr,230,sie
235,lebenden,lebend,ADJ,nk,236,Armen
236,Armen,arme,NOUN,nk,234,mit
237,",",--,PUNCT,punct,234,mit
238,auf,auf,ADP,cj,225,Traumgestallt
239,lichten,licht,ADJ,nk,240,Morgenwolken
240,Morgenwolken,Morgenwolk,NOUN,da,242,entflieht
241,scheu,scheu,ADV,mo,242,entflieht
242,entflieht,entfliehen,VERB,ROOT,242,entflieht
243,vor,vor,ADP,mo,242,entflieht
244,dem,der,DET,nk,246,Treiben
245,polternden,polternd,ADJ,nk,246,Treiben
246,Treiben,treiben,NOUN,nk,243,vor
247,des,der,DET,nk,248,Tages
248,Tages,Tag,NOUN,ag,246,Treiben
249,und,und,CCONJ,cd,242,entflieht
250,du,du,PRON,sb,255,berührt
251,auch,auch,ADV,mo,252,plötzlich
252,plötzlich,plötzlich,ADV,mo,255,berührt
253,",",--,PUNCT,punct,255,berührt
254,hart,hart,ADV,mo,255,berührt
255,berührt,berühren,VERB,ROOT,255,berührt
256,von,von,ADP,mo,255,berührt
257,dem,der,DET,nk,261,Leben
258,um,um,ADP,mo,260,wogenden
259,dich,dich,PRON,nk,258,um
260,wogenden,wogend,ADJ,nk,261,Leben
261,Leben,Leben,NOUN,nk,256,von
262,",",--,PUNCT,punct,261,Leben
263,aus,aus,ADP,mo,255,berührt
264,dem,der,DET,nk,265,schönen
265,schönen,schön,ADJ,nk,263,aus
266,Traum,Traum,NOUN,ROOT,266,Traum
267,",",--,PUNCT,punct,266,Traum
268,und,und,CCONJ,cd,266,Traum
269,nichts,nichts,PRON,sb,270,bleibt
270,bleibt,bleiben,VERB,cj,268,und
271,dir,dir,PRON,sb,270,bleibt
272,zurück,zurück,ADV,svp,270,bleibt
273,als,als,ADP,cm,276,Sehnsucht
274,die,der,DET,nk,276,Sehnsucht
275,tiefe,tief,ADJ,nk,276,Sehnsucht
276,Sehnsucht,Sehnsucht,NOUN,cc,270,bleibt
277,",",--,PUNCT,punct,276,Sehnsucht
278,welche,welcher,PRON,ROOT,278,welche
279,mit,mit,ADP,mnr,278,welche
280,süßen,Süß,NOUN,nk,279,mit
281,Schauern,Schauer,NOUN,sb,284,durchbebt
282,deine,dein,ADJ,nk,283,Brust
283,Brust,Brust,NOUN,oa,284,durchbebt
284,durchbebt,durchbeben,VERB,ROOT,284,durchbebt
285,.,--,PUNCT,punct,284,durchbebt
286,Solche,solcher,DET,nk,287,Empfindungen
287,Empfindungen,Empfindung,NOUN,sb,288,erfüllten
288,erfüllten,erfüllen,VERB,ROOT,288,erfüllten
289,den,der,DET,oa,288,erfüllten
290,",",--,PUNCT,punct,289,den
291,der,der,PRON,dep,288,erfüllten
292,für,für,ADP,mnr,291,der
293,dich,dich,PRON,nk,292,für
294,",",--,PUNCT,punct,293,dich
295,geliebter,geliebt,ADJ,nk,296,Leser
296,Leser,Leser,NOUN,app,293,dich
297,",",--,PUNCT,punct,293,dich
298,diese,dieser,DET,nk,299,Blätter
299,Blätter,Blatt,NOUN,nk,292,für
300,schreibt,schreiben,VERB,ROOT,300,schreibt
301,",",--,PUNCT,punct,300,schreibt
