Token,Lemma,POS
Elisabeth,Elisabeth,PROPN
Werner,Werner,PROPN
Glück,Glück,NOUN
auf,auf,ADP
!,--,PUNCT
Die,der,DET
Hauptkirche,Hauptkirche,NOUN
war,sein,AUX
trotz,trotz,ADP
der,der,DET
späten,spät,ADJ
Nachmittagsstunde,Nachmittagsstund,NOUN
noch,noch,ADV
dicht,dicht,ADV
gefüllt,füllen,VERB
.,--,PUNCT
Die,der,DET
Menge,Menge,NOUN
der,der,DET
Anwesenden,anwesende,NOUN
und,und,CCONJ
der,der,DET
reiche,reich,ADJ
Blumenschmuck,Blumenschmuck,NOUN
des,der,DET
Altars,Altar,NOUN
drinnen,drinnen,ADV
",",--,PUNCT
sowie,sowie,CCONJ
die,der,DET
lange,lang,ADJ
Reihe,Reihe,NOUN
wartender,wartend,ADJ
eleganter,elegant,ADJ
Equipagen,Equipag,NOUN
draußen,draußen,ADV
ließen,lassen,VERB
darauf,darauf,ADV
schließen,schließen,VERB
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
Trauung,Trauung,NOUN
",",--,PUNCT
welche,welcher,PRON
hier,hier,ADV
vollzogen,vollziehen,VERB
werden,werden,AUX
sollte,sollen,AUX
",",--,PUNCT
auch,auch,ADV
in,in,ADP
weiteren,weit,ADJ
Kreisen,Kreis,NOUN
Interesse,Interesse,NOUN
und,und,CCONJ
Teilnahme,Teilnahme,NOUN
erregte,erregen,VERB
.,--,PUNCT
Die,der,DET
Haltung,Haltung,NOUN
der,der,DET
Zuhörer,Zuhörer,NOUN
war,sein,AUX
die,der,DET
gewöhnliche,gewöhnlich,ADJ
bei,bei,ADP
solchem,solcher,DET
Anlaß,Anlaß,NOUN
",",--,PUNCT
wo,wo,SCONJ
die,der,DET
Heiligkeit,Heiligkeit,NOUN
des,der,DET
Ortes,Ort,NOUN
jede,jeder,DET
lautere,laut,ADJ
Aeußerung,Aeußerung,NOUN
der,der,DET
Neugierde,Neugierd,NOUN
oder,oder,CCONJ
Teilnahme,Teilnahme,NOUN
verbietet,verbieten,VERB
",",--,PUNCT
eine,ein,DET
erwartungsvolle,erwartungsvoll,ADJ
Unruhe,Unruhe,NOUN
",",--,PUNCT
ein,ein,DET
Flüstern,Flüstern,NOUN
und,und,CCONJ
Zusammenstecken,Zusammensteck,NOUN
der,der,DET
Köpfe,Kopf,NOUN
in,in,ADP
einzelnen,einzeln,ADJ
Gruppen,Gruppe,NOUN
",",--,PUNCT
und,und,CCONJ
eine,ein,DET
gespannte,gespannt,NOUN
Aufmerksamkeit,Aufmerksamkeit,NOUN
für,für,ADP
alles,alle,PRON
",",--,PUNCT
was,wer,PRON
in,in,ADP
der,der,DET
Nähe,Nähe,NOUN
der,der,DET
Sakristei,Sakristei,NOUN
vorging,vorging,VERB
",",--,PUNCT
endlich,endlich,ADV
ein,ein,DET
allgemeines,allgemein,ADJ
Ah,Ah,NOUN
!,--,PUNCT
der,der,DET
Befriedigung,Befriedigung,NOUN
",",--,PUNCT
als,als,SCONJ
die,der,DET
Thüren,Thür,NOUN
derselben,derselbe,DET
geöffnet,öffnen,VERB
wurden,werden,AUX
und,und,CCONJ
mit,mit,ADP
den,der,DET
ersten,erster,ADJ
Tönen,Tön,NOUN
der,der,DET
Orgel,Orgel,NOUN
",",--,PUNCT
die,der,PRON
jetzt,jetzt,ADV
einfielen,einfiel,VERB
",",--,PUNCT
der,der,DET
Brautzug,Brautzug,NOUN
erschien,erscheinen,VERB
