Token,Lemma,POS
Edmund,Edmund,PROPN
Hoefer,Hoefer,PROPN
Auf,auf,ADP
der,der,DET
Universität,Universität,NOUN
1846,1846,NUM
Für,für,ADP
den,der,DET
größten,groß,ADJ
Theil,Theil,NOUN
der,der,DET
jungen,jung,ADJ
Leute,Leute,NOUN
",",--,PUNCT
welche,welcher,PRON
sich,sich,PRON
drei,drei,NUM
oder,oder,CCONJ
vier,vier,NUM
Jahre,Jahr,NOUN
auf,auf,ADP
der,der,DET
Universität,Universität,NOUN
mit,mit,ADP
ihren,ihr,DET
Studien,Studie,NOUN
beschäftigen,beschäftigen,VERB
",",--,PUNCT
geht,gehen,VERB
diese,dieser,DET
Zeit,Zeit,NOUN
gemeiniglich,gemeiniglich,ADV
so,so,ADV
schnell,schnell,ADV
",",--,PUNCT
und,und,CCONJ
",",--,PUNCT
was,was,PRON
das,der,DET
Leben,Leben,NOUN
der,der,DET
Gefühle,Gefühl,NOUN
und,und,CCONJ
Empfindungen,Empfindung,NOUN
betrifft,betreffen,VERB
",",--,PUNCT
auch,auch,ADV
so,so,ADV
flach,flach,ADV
und,und,CCONJ
inhaltslos,inhaltslos,ADV
vorüber,vorüber,ADV
",",--,PUNCT
daß,daß,SCONJ
sich,sich,PRON
nur,nur,ADV
wenige,weniger,PRON
von,von,ADP
ihnen,ihnen,PRON
späterhin,späterhin,ADV
besonders,besonders,ADV
ernsthaft,ernsthaft,ADV
an,an,ADP
dieselbe,dieselber,DET
erinnern,erinnern,VERB
mögen,mögen,AUX
.,--,PUNCT
Lustige,Lustige,ADJ
Ausgelassenheit,Ausgelassenheit,NOUN
und,und,CCONJ
Tollheit,Tollheit,NOUN
einerseits,einerseits,ADV
",",--,PUNCT
ein,ein,DET
paar,paar,DET
sogenannte,sogenannter,ADJ
Freundschaften,Freundschaft,NOUN
und,und,CCONJ
die,der,DET
Studien,Studie,NOUN
anderseits,anderseits,ADV
füllen,füllen,VERB
diese,dieser,DET
Tage,Tag,NOUN
dermaßen,dermaßen,ADV
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
im,in,ADP
Fluge,Flug,NOUN
vorbeiziehen,vorbeiziehen,VERB
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
wohl,wohl,ADV
Kopf,Kopf,NOUN
und,und,CCONJ
Phantasie,Phantasie,NOUN
beschäftigen,beschäftigen,VERB
",",--,PUNCT
aber,aber,CCONJ
das,der,DET
Herz,Herz,NOUN
nur,nur,ADV
sehr,sehr,ADV
selten,selten,ADV
berühren,berühren,VERB
.,--,PUNCT
Denn,denn,CCONJ
",",--,PUNCT
mag,mögen,AUX
man,man,PRON
auch,auch,ADV
sagen,sagen,VERB
und,und,CCONJ
einwenden,einwenden,VERB
",",--,PUNCT
