Token,Lemma,POS
Edmund,Edmund,PROPN
Hoefer,Hoefer,PROPN
Das,der,DET
Wyler,Wyler,ADJ
Schlößchen,Schlößchen,NOUN
Die,der,DET
rothen,roth,ADJ
Nelken,Nelk,NOUN
.,--,PUNCT
Ein,ein,DET
Schrei,Schrei,NOUN
Erzählungen,Erzählung,NOUN
Stuttgart,Stuttgart,PROPN
.,--,PUNCT
Verlag,Verlag,NOUN
von,von,ADP
Gebrüder,Gebrüder,NOUN
Kröner,Kröner,NOUN
.,--,PUNCT
Titelblatt,Titelblatt,NOUN
Das,der,DET
Wyler,Wyler,ADJ
Schlößchen,Schlößchen,NOUN
.,--,PUNCT
1863.,1863.,PUNCT
1.,1.,ADV
Es,es,PRON
ist,sein,AUX
nun,nun,ADV
schon,schon,ADV
über,über,ADP
vierzig,vierzig,NUM
Jahre,Jahr,NOUN
her,her,ADV
",",--,PUNCT
denn,denn,CCONJ
es,es,PRON
war,sein,AUX
gleich,gleich,ADV
nach,nach,ADP
dem,der,DET
großen,groß,ADJ
Kriege,Krieg,NOUN
",",--,PUNCT
in,in,ADP
dem,der,PRON
die,der,DET
Franzosen,Franzose,NOUN
aus,aus,ADP
Deutschland,Deutschland,PROPN
gejagt,jagen,VERB
wurden,werden,AUX
",",--,PUNCT
da,da,SCONJ
sah's,sah's,NOUN
um,um,ADP
die,der,DET
berühmte,berühmt,ADJ
Handels-,Handel,X
und,und,CCONJ
Fabrikstadt,Fabrikstadt,NOUN
bei,bei,ADP
weitem,weit,ADJ
anders,anders,ADV
aus,aus,ADP
",",--,PUNCT
als,als,SCONJ
heutzutage,heutzutage,ADV
.,--,PUNCT
Von,von,ADP
all,all,DET
den,der,DET
Straßen,Straße,NOUN
",",--,PUNCT
die,der,PRON
gegenwärtig,gegenwärtig,ADV
vor,vor,ADP
ihren,ihr,DET
Mauern,Mauer,NOUN
schier,schier,ADV
eine,ein,DET
größere,groß,ADJ
",",--,PUNCT
reichere,reicheren,ADJ
und,und,CCONJ
lebhaftere,lebhaft,ADJ
Stadt,Stadt,NOUN
bilden,bilden,VERB
",",--,PUNCT
als,als,SCONJ
die,der,DET
alte,alt,ADJ
drinnen,drinnen,NOUN
jemals,jemals,ADV
gewesen,sein,AUX
",",--,PUNCT
war,sein,AUX
damals,damals,ADV
wenig,wenig,ADV
die,der,DET
Rede,Rede,NOUN
.,--,PUNCT
Vor,vor,ADP
einigen,einiger,DET
Thoren,Thor,NOUN
gab,geben,VERB
es,es,PRON
zwar,zwar,ADV
schon,schon,ADV
die,der,DET
sogenannten,sogenannter,ADJ
Vorstädte,Vorstädte,NOUN
",",--,PUNCT
meistens,meistens,ADV
aber,aber,ADV
fand,finden,VERB
man,man,PRON
diesseits,diesseits,ADP
der,der,DET
