Token,Lemma,POS
Eduard,Eduard,PROPN
Mörike,Mörike,PROPN
Aus,aus,ADP
dem,der,DET
Gebiete,Gebiet,NOUN
der,der,DET
Seelenkunde,Seelenkund,NOUN
Kurz,kurz,ADV
vor,vor,ADP
den,der,DET
Christfeiertagen,Christfeiertage,NOUN
des,der,DET
Jahres,Jahr,NOUN
1833,1833,NUM
träumte,träumen,VERB
mir,mir,PRON
",",--,PUNCT
ich,ich,PRON
befinde,befinden,VERB
mich,sich,PRON
in,in,ADP
einem,ein,DET
kleinen,klein,ADJ
",",--,PUNCT
völlig,völlig,ADV
leeren,leer,ADJ
Zimmer,Zimmer,NOUN
;,--,PUNCT
die,der,DET
Wände,Wand,NOUN
waren,sein,AUX
weiß,weiß,ADV
getüncht,tünchen,VERB
und,und,CCONJ
kahl,Kahl,NOUN
;,--,PUNCT
nur,nur,ADV
sah,sehen,VERB
ich,ich,PRON
auf,auf,ADP
einer,ein,PRON
derselben,derselbe,DET
einen,ein,DET
Kalender,Kalender,NOUN
in,in,ADP
Form,Form,NOUN
eines,ein,DET
einfachen,einfach,ADJ
Folioblattes,Folioblatt,NOUN
angebracht,anbringen,VERB
.,--,PUNCT
Die,der,DET
Schrift,Schrift,NOUN
war,sein,AUX
allenthalben,allenthalben,ADV
wie,wie,ADP
in,in,ADP
weißen,weiß,ADJ
Nebel,Nebel,NOUN
aufgelöst,auflösen,VERB
und,und,CCONJ
nichts,nichts,PRON
zu,zu,PART
unterscheiden,unterscheiden,VERB
bis,bis,ADP
auf,auf,ADP
eine,ein,DET
Stelle,Stelle,NOUN
",",--,PUNCT
wo,wo,SCONJ
zwei,zwei,NUM
aufeinanderfolgende,aufeinanderfolgend,ADJ
Tage,Tag,NOUN
",",--,PUNCT
der,der,PRON
eine,ein,DET
schwarz,schwarz,ADV
",",--,PUNCT
der,der,DET
andere,anderer,PRON
rot,rot,ADV
gedruckt,gedruckt,VERB
",",--,PUNCT
stark,stark,ADV
hervortraten,hervortraten,VERB
.,--,PUNCT
Der,der,DET
erstere,ersterer,NOUN
war,sein,AUX
deutlich,deutlich,ADV
als,als,ADP
der,der,DET
24.,24.,ADJ
",",--,PUNCT
ohne,ohne,ADP
weitere,weit,ADJ
Bezeichnung,Bezeichnung,NOUN
",",--,PUNCT
der,der,DET
zweite,zweiter,ADJ
weniger,weniger,ADV
bestimmt,bestimmt,ADV
angegeben,angeben,VERB
",",--,PUNCT
doch,doch,CCONJ
zeigte,zeigen,VERB
die,der,DET
Farbe,Farbe,NOUN
offenbar,offenbar,ADV
einen,ein,DET
Sonn-,Sonn,X
oder,oder,CCONJ
Feiertag,Feiertag,NOUN
an,an,ADP
.,--,PUNCT
Ich,ich,PRON
stand,stehen,VERB
dicht,dicht,ADV
vor,vor,ADP
dem,der,DET
Blatt,Blatt,NOUN
und,und,CCONJ
war,sein,AUX
im,in,ADP
Hinsehen,hinsehen,NOUN
auf,auf,ADP
die,der,DET
schwarze,schwarz,ADJ
Zahl,Zahl,NOUN
sogleich,sogleich,ADV
von,von,ADP
Schmerz,Schmerz,NOUN
ergriffen,ergreifen,VERB
",",--,PUNCT
denn,denn,CCONJ
alsbald,alsbald,ADV
wußte,wissen,VERB
ich,ich,PRON
",",--,PUNCT
daß,daß,SCONJ
mir,mir,PRON
jemand,jemand,PRON
an,an,ADP
diesem,dieser,DET
Tage,Tag,NOUN
sterben,sterben,VERB
würde,werden,AUX
.,--,PUNCT
Irgendeine,irgendein,ADJ
bestimmte,bestimmt,ADJ
Person,Person,NOUN
schwebte,schweben,VERB
mir,mir,PRON
nicht,nicht,PART
entfernt,entfernt,ADV
dabei,dabei,ADV
vor,vor,ADP
.,--,PUNCT
Allein,allein,ADV
am,an,ADP
26.,26.,ADJ
Dezember,Dezember,NOUN
erhielt,erhalten,VERB
ich,ich,PRON
ein,ein,DET
Schreiben,Schreiben,NOUN
aus,aus,ADP
Stuttgart,Stuttgart,PROPN
mit,mit,ADP
der,der,DET
Nachricht,Nachricht,NOUN
",",--,PUNCT
daß,daß,SCONJ
mein,mein,DET
Oheim,Oheim,NOUN
D.,D.,NOUN
M.,M.,PROPN
daselbst,daselbst,ADV
am,an,ADP
Vorabend,Vorabend,NOUN
des,der,DET
Christfestes,Christfestes,X
",",--,PUNCT
den,der,DET
24.,24.,ADJ
",",--,PUNCT
auf,auf,ADP
der,der,DET
Straße,Straße,NOUN
von,von,ADP
einem,ein,DET
Hirnschlage,Hirnschlage,NOUN
getroffen,treffen,VERB
und,und,CCONJ
wenige,weniger,DET
Minuten,Minute,NOUN
darauf,darauf,ADV
in,in,ADP
einem,ein,DET
fremden,fremd,ADJ
Haus,Haus,NOUN
gestorben,sterben,VERB
sei,sein,AUX
.,--,PUNCT
Bei,bei,ADP
meinem,mein,DET
mehrjährigen,mehrjährig,ADJ
Aufenthalte,Aufenthalte,NOUN
zu,zu,ADP
M.,M.,PROPN
",",--,PUNCT
den,der,PRON
eine,ein,DET
jüngere,jung,ADJ
Schwester,Schwester,NOUN
mit,mit,ADP
mir,mir,PRON
teilte,teilen,VERB
",",--,PUNCT
lebten,leben,VERB
wir,wir,PRON
mit,mit,ADP
der,der,DET
Familie,Familie,NOUN
S.,S.,NOUN
als,als,ADP
zufällige,zufällig,ADJ
Hausgenossen,Hausgenosse,NOUN
auf,auf,ADP
freundschaftlichem,freundschaftlich,ADJ
Fuße,Fuß,NOUN
;,--,PUNCT
besonders,besonders,ADV
aber,aber,ADV
hatte,haben,AUX
meine,mein,DET
Schwester,Schwester,NOUN
das,der,DET
innigste,innigst,ADJ
Verhältnis,Verhältnis,NOUN
zu,zu,ADP
der,der,DET
Tochter,Tochter,NOUN
.,--,PUNCT
Mir,mir,PRON
war,sein,AUX
an,an,ADP
dem,der,DET
täglichen,täglich,ADJ
Umgang,Umgang,NOUN
der,der,DET
beiden,beide,PRON
vorerst,vorerst,ADV
nur,nur,ADV
ein,ein,DET
sehr,sehr,ADV
bescheidener,bescheiden,ADJ
Anteil,Anteil,NOUN
vergönnt,vergönnen,VERB
",",--,PUNCT
und,und,CCONJ
keines,keiner,PRON
von,von,ADP
uns,uns,PRON
dreien,dreien,VERB
konnte,können,AUX
ahnen,ahnen,VERB
",",--,PUNCT
daß,daß,SCONJ
mir,mir,PRON
sechs,sechs,NUM
Jahre,Jahr,NOUN
später,spät,ADV
in,in,ADP
dieser,dieser,DET
neuen,neu,ADJ
Freundin,Freundin,NOUN
eine,ein,DET
Frau,Frau,NOUN
geschenkt,schenken,VERB
sein,sein,AUX
sollte,sollen,AUX
.,--,PUNCT
Sie,sie,PRON
",",--,PUNCT
mit,mit,ADP
den,der,DET
Ihren,ihr,NOUN
",",--,PUNCT
wohnte,wohnen,VERB
in,in,ADP
dem,der,DET
zweiten,zweiter,ADJ
",",--,PUNCT
wir,wir,PRON
Geschwister,Geschwister,NOUN
im,in,ADP
ersten,erster,ADJ
Stockwerk,Stockwerk,NOUN
.,--,PUNCT
Einst,einst,ADV
in,in,ADP
der,der,DET
Nacht,Nacht,NOUN
–,--,PUNCT
es,es,PRON
mochte,mögen,VERB
eilf,eilf,ADJ
Uhr,Uhr,NOUN
sein,sein,AUX
",",--,PUNCT
ich,ich,PRON
hatte,haben,VERB
schon,schon,ADV
einige,einiger,DET
Zeit,Zeit,NOUN
",",--,PUNCT
und,und,CCONJ
zwar,zwar,ADV
in,in,ADP
vollkommener,vollkommen,ADJ
Ruhe,Ruhe,NOUN
geschlafen,schlafen,VERB
–,--,PUNCT
erweckte,erwecken,VERB
mich,mich,PRON
ein,ein,DET
plötzliches,plötzlich,ADJ
Gefühl,Gefühl,NOUN
",",--,PUNCT
als,als,SCONJ
wenn,wenn,SCONJ
mir,mir,PRON
kalte,kaln,ADJ
",",--,PUNCT
schwere,schwer,ADJ
Tropfen,Tropfen,NOUN
gewaltsam,gewaltsam,ADV
in,in,ADP
das,der,DET
Gesicht,Gesicht,NOUN
gespritzt,spritzen,VERB
würden,werden,AUX
;,--,PUNCT
ich,ich,PRON
glaubte,glauben,VERB
ihren,ihr,DET
Fall,Fall,NOUN
zugleich,zugleich,ADV
auf,auf,ADP
dem,der,DET
Deckbett,Deckbett,NOUN
zu,zu,PART
hören,hören,VERB
.,--,PUNCT
Ich,ich,PRON
fühlte,fühlen,VERB
nach,nach,ADP
der,der,DET
Nässe,Näs,NOUN
auf,auf,ADP
der,der,DET
Haut,Haut,NOUN
",",--,PUNCT
auf,auf,ADP
Kissen,Kissen,NOUN
und,und,CCONJ
Decke,Decke,NOUN
umher,umher,ADV
:,--,PUNCT
da,da,SCONJ
aber,aber,ADV
alles,alle,PRON
durchaus,durchaus,ADV
trocken,trocken,ADV
war,sein,AUX
",",--,PUNCT
beruhigte,beruhigen,VERB
ich,ich,PRON
mich,sich,PRON
mit,mit,ADP
dem,der,DET
Gedanken,Gedanke,NOUN
",",--,PUNCT
es,es,PRON
müsse,müssen,AUX
Einbildung,Einbildung,NOUN
gewesen,sein,AUX
sein,sein,AUX
",",--,PUNCT
