Token,Lemma,POS
Eduard,Eduard,PROPN
Mörike,Mörike,PROPN
Bruchstücke,Bruchstücke,NOUN
eines,ein,DET
Romans,Roman,NOUN
Die,der,DET
letzten,letzter,ADJ
Ferien,Ferien,NOUN
nach,nach,ADP
abgeschlossener,abgeschlossen,ADJ
Studienzeit,Studienzeit,NOUN
haben,haben,VERB
unstreitig,unstreitig,ADV
ebensoviel,ebensoviel,PRON
Wehmütiges,Wehmütige,NOUN
",",--,PUNCT
als,als,SCONJ
sie,sie,PRON
nur,nur,ADV
immer,immer,ADV
Hoffnungsvolles,Hoffnungsvolles,NOUN
haben,haben,VERB
können,können,AUX
.,--,PUNCT
Es,es,PRON
sind,sein,AUX
keine,kein,DET
Ferien,Ferien,NOUN
mehr,mehr,ADV
.,--,PUNCT
Ich,ich,PRON
sah,sehen,VERB
mich,sich,PRON
wie,wie,ADP
den,der,DET
Fisch,Fisch,NOUN
",",--,PUNCT
der,der,PRON
erst,erst,ADV
noch,noch,ADV
wohlbehaglich,wohlbehaglich,ADV
sein,sein,AUX
helles,hell,ADJ
Reich,Reich,NOUN
durchschwamm,durchschwamm,VERB
",",--,PUNCT
mit,mit,ADP
einemmal,einemmal,ADV
ans,an,ADP
Trockene,trockene,NOUN
geworfen,werfen,VERB
",",--,PUNCT
und,und,CCONJ
leider,leider,ADV
fand,finden,VERB
sich,sich,PRON
ein,ein,DET
neues,neu,ADJ
Element,Element,NOUN
",",--,PUNCT
um,um,SCONJ
eilends,eilends,ADV
wieder,wieder,ADV
unterzutauchen,unterzutauch,ADJ
",",--,PUNCT
nicht,nicht,PART
gleich,gleich,ADV
in,in,ADP
der,der,DET
Nähe,Nähe,NOUN
.,--,PUNCT
Als,als,ADP
junger,jung,ADJ
Doktor,Doktor,NOUN
im,in,ADP
Begriff,Begriff,NOUN
",",--,PUNCT
nach,nach,ADP
meiner,mein,DET
Vaterstadt,Vaterstadt,NOUN
zurückzukehren,zurückkehren,VERB
",",--,PUNCT
beschloß,beschließen,VERB
ich,ich,PRON
",",--,PUNCT
vorerst,vorerst,ADV
einen,ein,DET
kleinen,klein,ADJ
Abstecher,Abstecher,NOUN
nach,nach,ADP
dem,der,DET
Gute,gut,NOUN
meines,mein,DET
Oheims,Oheim,NOUN
",",--,PUNCT
des,der,DET
Professors,Professor,PROPN
Killford,Killford,PROPN
",",--,PUNCT
zu,zu,PART
machen,machen,VERB
",",--,PUNCT
der,der,PRON
als,als,ADP
Gelehrter,Gelehrter,NOUN
in,in,ADP
den,der,DET
besten,gut,ADJ
Jahren,Jahr,NOUN
seit,seit,ADP
einiger,einiger,DET
Zeit,Zeit,NOUN
im,in,ADP
Privatstande,Privatstande,NOUN
lebte,leben,VERB
.,--,PUNCT
Ein,ein,DET
vorläufiger,vorläufig,ADJ
Brief,Brief,NOUN
hatte,haben,AUX
mich,mich,PRON
bei,bei,ADP
ihm,ihm,PRON
angesagt,ansagen,VERB
.,--,PUNCT
Der,der,DET
eigene,eigen,ADJ
",",--,PUNCT
jovialische,jovialisch,ADJ
Mann,Mann,NOUN
war,sein,AUX
mir,mir,PRON
immer,immer,ADV
merkwürdig,merkwürdig,ADV
gewesen,sein,AUX
.,--,PUNCT
Er,er,PRON
hatte,haben,AUX
vordem,vordem,ADV
an,an,ADP
der,der,DET
Universität,Universität,NOUN
G.,G.,PROPN
als,als,ADP
ordentlicher,ordentlich,ADJ
Lehrer,Lehrer,NOUN
der,der,DET
klassischen,klassisch,ADJ
Literatur,Literatur,NOUN
gestanden,gestehen,VERB
",",--,PUNCT
in,in,ADP
welcher,welcher,DET
Eigenschaft,Eigenschaft,NOUN
er,er,PRON
weniger,weniger,ADV
durch,durch,ADP
ausgebreitete,ausgebreiteen,VERB
Kenntnisse,Kenntnis,NOUN
als,als,ADP
eine,ein,DET
geschmackvolle,geschmackvoll,ADJ
Behandlung,Behandlung,NOUN
seines,sein,DET
Gegenstandes,Gegenstand,NOUN
Glück,Glück,NOUN
gemacht,machen,VERB
und,und,CCONJ
den,der,DET
Neid,Neid,NOUN
gewisser,gewiß,ADJ
Matadore,Matadore,NOUN
erregt,erregen,VERB
zu,zu,PART
haben,haben,AUX
scheint,scheinen,VERB
.,--,PUNCT
Sein,sein,DET
eigentliches,eigentlich,ADJ
Fach,Fach,NOUN
waren,sein,AUX
die,der,DET
Naturwissenschaften,Naturwissenschaft,NOUN
gewesen,sein,AUX
",",--,PUNCT
wofür,wofür,SCONJ
jedoch,jedoch,ADV
zum,zu,ADP
Unglück,Unglück,NOUN
nirgend,nirgend,ADV
eine,ein,DET
Stelle,Stelle,NOUN
offenstand,offenstinden,VERB
",",--,PUNCT
allein,allein,ADV
der,der,DET
Eigensinn,Eigensinn,NOUN
eines,ein,DET
Ministers,Minister,NOUN
wollte,wollen,AUX
den,der,DET
ehemaligen,ehemalig,ADJ
Hofmeister,Hofmeister,NOUN
seines,sein,DET
Hauses,Haus,NOUN
durch,durch,ADP
einen,ein,DET
Lehrstuhl,Lehrstuhl,NOUN
",",--,PUNCT
welcher,welcher,PRON
es,es,PRON
auch,auch,ADV
wäre,sein,AUX
",",--,PUNCT
in,in,ADP
aller,aller,DET
Eile,Eile,NOUN
ausgezeichnet,auszeichnen,VERB
wissen,wissen,VERB
.,--,PUNCT
Die,der,DET
hämische,hämisch,ADJ
Art,Art,NOUN
seiner,sein,DET
Kollegen,Kollege,NOUN
",",--,PUNCT
verschiedene,verschieden,ADJ
Neckereien,Neckereie,NOUN
verleideten,verleideen,VERB
indes,indes,ADV
dem,der,DET
tätigen,tätig,ADJ
Manne,Manne,NOUN
die,der,DET
aufgedrungene,aufgedrungen,ADJ
Stellung,Stellung,NOUN
ganz,ganz,ADV
",",--,PUNCT
und,und,CCONJ
wie,wie,SCONJ
er,er,PRON
nicht,nicht,PART
ohne,ohne,ADP
Ehrgeiz,Ehrgeiz,NOUN
und,und,CCONJ
Leidenschaft,Leidenschaft,NOUN
war,sein,AUX
",",--,PUNCT
so,so,ADV
nahm,nehmen,VERB
er,er,PRON
kurz,kurz,ADV
vor,vor,ADP
seinem,sein,DET
Abgang,Abgang,NOUN
noch,noch,ADV
Gelegenheit,Gelegenheit,NOUN
",",--,PUNCT
einen,ein,PRON
dieser,dieser,DET
Gelehrten,gelehrter,NOUN
",",--,PUNCT
der,der,PRON
ihn,ihn,PRON
am,am,PART
bittersten,bitter,ADV
gereizt,reizen,VERB
",",--,PUNCT
durch,durch,ADP
eine,ein,DET
scharfsinnige,scharfsinnig,ADJ
und,und,CCONJ
schlagende,schlagend,ADJ
Kritik,Kritik,NOUN
eines,ein,DET
physikalischen,physikalisch,ADJ
Programms,Programm,NOUN
vor,vor,ADP
der,der,DET
ganzen,ganz,ADJ
Akademie,Akademie,NOUN
zu,zu,PART
bestrafen,bestrafen,VERB
.,--,PUNCT
Killford,Killford,PROPN
hatte,haben,AUX
sich,sich,PRON
dabei,dabei,ADV
hinsichtlich,hinsichtlich,ADP
seiner,sein,DET
Wissenschaftlichkeit,Wissenschaftlichkeit,NOUN
von,von,ADP
einer,ein,DET
bisher,bisher,ADV
kaum,kaum,ADV
gekannten,gekannt,ADJ
Seite,Seite,NOUN
auf,auf,ADP
eine,ein,PRON
glänzende,glänzend,ADJ
Weise,Weise,NOUN
gezeigt,zeigen,VERB
.,--,PUNCT
Seine,sein,DET
Verehrer,Verehrer,NOUN
triumphierten,triumphieren,VERB
",",--,PUNCT
aber,aber,CCONJ
leider,leider,ADV
hatte,haben,AUX
er,er,PRON
unter,unter,ADP
der,der,DET
Hand,Hand,NOUN
Anstalt,Anstalt,NOUN
zu,zu,ADP
seiner,sein,DET
Entlassung,Entlassung,NOUN
getroffen,treffen,VERB
.,--,PUNCT
In,in,ADP
einem,ein,DET
bescheidenen,bescheiden,ADJ
Vortrag,Vortrag,NOUN
nahm,nehmen,VERB
er,er,PRON
eines,ein,DET
Tages,Tag,NOUN
Abschied,Abschied,NOUN
von,von,ADP
seinem,sein,DET
Wirkungskreis,Wirkungskreis,NOUN
und,und,CCONJ
hinterließ,hinterlassen,VERB
bei,bei,ADP
allen,aller,DET
Gutgesinnten,Gutgesinnt,NOUN
die,der,DET
schmerzliche,schmerzlich,ADJ
Betrachtung,Betrachtung,NOUN
",",--,PUNCT
wieviel,wieviel,SCONJ
ein,ein,DET
solcher,solcher,DET
Mann,Mann,NOUN
",",--,PUNCT
hätte,haben,AUX
er,er,PRON
seinen,sein,DET
wahren,wahr,ADJ
Platz,Platz,NOUN
einnehmen,einnehmen,VERB
dürfen,dürfen,AUX
",",--,PUNCT
der,der,DET
Akademie,Akademie,NOUN
gewesen,sein,AUX
sein,sein,AUX
würde,werden,AUX
.,--,PUNCT
Ein,ein,DET
bedeutendes,bedeutend,ADJ
Vermögen,Vermögen,NOUN
setzte,setzen,VERB
ihn,ihn,PRON
instand,Instand,PROPN
",",--,PUNCT
mit,mit,ADP
größter,groß,ADJ
Unabhängigkeit,Unabhängigkeit,NOUN
seinem,sein,DET
Studium,Studium,NOUN
zu,zu,PART
