Token,Lemma,POS
Eduard,Eduard,PROPN
Mörike,Mörike,PROPN
Der,der,DET
Schatz,Schatz,NOUN
Novelle,Novelle,NOUN
(,--,PUNCT
1836,1836,NUM
),--,PUNCT
Im,in,ADP
ersten,erster,ADJ
Gasthofe,Gasthofe,NOUN
des,der,DET
Bades,Bad,NOUN
zu,zu,ADP
K,K,PROPN
*,*,PROPN
verweilte,verweiln,VERB
eines,ein,DET
Abends,Abend,NOUN
eine,ein,DET
kleine,klein,ADJ
Gesellschaft,Gesellschaft,NOUN
von,von,ADP
Damen,Dame,NOUN
und,und,CCONJ
Herrn,Herr,NOUN
im,in,ADP
großen,groß,ADJ
Speisesaale,Speisesaale,NOUN
",",--,PUNCT
der,der,PRON
nur,nur,ADV
noch,noch,ADV
sparsam,sparsam,ADV
erleuchtet,erleuchten,VERB
war,sein,AUX
.,--,PUNCT
Der,der,DET
Hofrat,Hofrat,NOUN
Arbogast,Arbogast,PROPN
",",--,PUNCT
ein,ein,DET
munterer,Munterer,NOUN
",",--,PUNCT
kurzweiliger,Kurzweiliger,NOUN
",",--,PUNCT
obgleich,obgleich,SCONJ
etwas,etwas,PRON
eigener,eigen,ADJ
Mann,Mann,NOUN
von,von,ADP
imposanter,imposant,ADJ
Gestalt,Gestalt,NOUN
",",--,PUNCT
schon,schon,ADV
in,in,ADP
den,der,DET
Fünfzigen,Fünfzig,NOUN
",",--,PUNCT
schickte,schicken,VERB
sich,sich,PRON
an,an,ADP
",",--,PUNCT
eine,ein,DET
Geschichte,Geschichte,NOUN
zu,zu,PART
erzählen,erzählen,VERB
.,--,PUNCT
Er,er,PRON
war,sein,AUX
",",--,PUNCT
durch,durch,ADP
rätselhafte,rätselhaft,ADJ
Umstände,Umstand,NOUN
begünstigt,begünstigen,VERB
",",--,PUNCT
vom,von,ADP
Goldschmied,Goldschmied,NOUN
aus,aus,ADP
sehr,sehr,ADV
schnelle,schnellen,ADJ
zur,zu,ADP
Bedienung,Bedienung,NOUN
des,der,DET
damals,damals,ADV
sogenannten,sogenannter,ADJ
königlichen,königlich,ADJ
Schatzmeisteramtes,Schatzmeisteramt,NOUN
in,in,ADP
Achfurth,Achfurth,PROPN
gelangt,gelangen,VERB
",",--,PUNCT
und,und,CCONJ
eine,ein,DET
Zeitlang,Zeitlang,NOUN
gingen,gehen,VERB
im,in,ADP
höhern,höhern,ADJ
Publikum,Publikum,NOUN
seltsame,seltsam,ADJ
Sagen,sagen,NOUN
darüber,darüber,ADV
",",--,PUNCT
indem,indem,SCONJ
man,man,PRON
nicht,nicht,PART
umhin,umhin,ADV
konnte,können,AUX
",",--,PUNCT
die,der,DET
Sache,Sache,NOUN
mit,mit,ADP
einer,ein,DET
",",--,PUNCT
auf,auf,ADP
keinen,kein,DET
Fall,Fall,NOUN
ganz,ganz,ADV
grundlosen,grundlos,ADJ
Gespenstergeschichte,Gespenstergeschicht,NOUN
",",--,PUNCT
welche,welcher,PRON
den,der,DET
Hof,Hof,NOUN
zunächst,zunächst,ADV
anging,anging,VERB
",",--,PUNCT
in,in,ADP
Verbindung,Verbindung,NOUN
zu,zu,PART
bringen,bringen,VERB
.,--,PUNCT
Nun,nun,ADV
wurde,werden,AUX
man,man,PRON
auch,auch,ADV
gegenwärtig,gegenwärtig,ADV
wieder,wieder,ADV
durch,durch,ADP
eine,ein,DET
lustige,lustig,ADJ
Wendung,Wendung,NOUN
",",--,PUNCT
die,der,PRON
das,der,PRON
Gespräch,Gespräch,NOUN
genommen,nehmen,VERB
hatte,haben,AUX
",",--,PUNCT
von,von,ADP
selbst,selbst,ADV
auf,auf,ADP
diesen,dieser,DET
Gegenstand,Gegenstand,NOUN
geführt,führen,VERB
",",--,PUNCT
und,und,CCONJ
da,da,SCONJ
man,man,PRON
dem,der,DET
Hofrat,Hofrat,NOUN
mit,mit,ADP
allerlei,allerlei,DET
Späßen,Späße,NOUN
und,und,CCONJ
Anspielungen,Anspielung,NOUN
stets,stets,ADV
näher,nah,ADV
auf,auf,ADP
den,der,DET
Leib,Leib,NOUN
rückte,rücken,VERB
",",--,PUNCT
versprach,versprechen,VERB
er,er,PRON
der,der,DET
Gesellschaft,Gesellschaft,NOUN
auf,auf,ADP
die,der,DET
Gefahr,Gefahr,NOUN
hin,hin,ADV
Genüge,Genüg,NOUN
zu,zu,PART
tun,tun,VERB
",",--,PUNCT
daß,daß,SCONJ
man,man,PRON
Unglaubliches,unglaubliche,NOUN
zu,zu,PART
hören,hören,VERB
bekommen,bekommen,VERB
und,und,CCONJ
sich,sich,PRON
am,an,ADP
Ende,Ende,NOUN
ganz,ganz,ADV
gewiß,gewiß,ADV
bitter,bitter,ADV
beklagen,beklagen,VERB
würde,werden,AUX
",",--,PUNCT
als,als,SCONJ
wenn,wenn,SCONJ
er,er,PRON
sie,sie,PRON
mit,mit,ADP
einem,ein,DET
bloßen,bloß,ADJ
Kindermärchen,Kindermärchen,NOUN
hätte,haben,AUX
abspeisen,abspeisen,VERB
wollen,wollen,AUX
.,--,PUNCT
»,--,PUNCT
Es,es,PRON
ist,sein,AUX
einerseits,einerseits,ADV
schade,schade,ADV
«,--,PUNCT
",",--,PUNCT
fügte,fügen,VERB
er,er,PRON
bei,bei,ADP
",",--,PUNCT
»,--,PUNCT
daß,daß,SCONJ
meine,mein,DET
Frau,Frau,NOUN
sich,sich,PRON
heute,heute,ADV
so,so,ADV
früh,früh,ADV
zurückgezogen,zurückziehen,VERB
hat,haben,AUX
.,--,PUNCT
Da,da,SCONJ
das,der,PRON
",",--,PUNCT
was,wer,PRON
Sie,sie,PRON
vernehmen,vernehmen,VERB
sollen,sollen,AUX
",",--,PUNCT
ein,ein,DET
Stück,Stück,NOUN
aus,aus,ADP
ihrem,ihr,DET
",",--,PUNCT
wie,wie,ADP
aus,aus,ADP
meinem,mein,DET
Leben,Leben,NOUN
ist,sein,AUX
",",--,PUNCT
so,so,ADV
könnten,können,AUX
wir,wir,PRON
uns,sich,PRON
beide,beide,PRON
füglich,füglich,ADV
in,in,ADP
die,der,DET
Erzählung,Erzählung,NOUN
teilen,teilen,VERB
",",--,PUNCT
Sie,sie,PRON
hätten,haben,AUX
jedenfalls,jedenfalls,ADV
sogleich,sogleich,ADV
die,der,DET
sicherste,sicher,ADJ
Kontrolle,Kontrolle,NOUN
für,für,ADP
meine,mein,DET
Darstellung,Darstellung,NOUN
an,an,ADP
ihr,ihr,PRON
.,--,PUNCT
Auf,auf,ADP
der,der,DET
andern,anderer,ADJ
Seite,Seite,NOUN
gewinnt,gewinnen,VERB
aber,aber,ADV
diese,dieser,DET
vielleicht,vielleicht,ADV
an,an,ADP
Unbefangenheit,Unbefangenheit,NOUN
und,und,CCONJ
historischer,historisch,ADJ
Treue,Treue,NOUN
–,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Nur,nur,ADV
zu,zu,ADP
!,--,PUNCT
nur,nur,ADV
angefangen,anfangen,VERB
!,--,PUNCT
«,--,PUNCT
riefen,rufen,VERB
einige,einiger,DET
Damen,Dame,NOUN
:,--,PUNCT
»,--,PUNCT
Wir,wir,PRON
sind,sein,AUX
nicht,nicht,PART
allzu,allzu,PART
skrupulös,skrupulös,ADV
",",--,PUNCT
und,und,CCONJ
die,der,DET
Kritik,Kritik,NOUN
",",--,PUNCT
wer,wer,PRON
Lust,Lust,NOUN
zu,zu,PART
zweifeln,zweifeln,VERB
hat,haben,AUX
",",--,PUNCT
steht,stehen,VERB
nachher,nachher,ADV
jedem,jeder,PRON
frei,frei,ADV
.,--,PUNCT
«,--,PUNCT
Wohlan,Wohlan,NOUN
!,--,PUNCT
In,in,ADP
Egloffsbronn,Egloffsbronn,PROPN
",",--,PUNCT
einer,einer,PRON
der,der,DET
ältesten,alt,ADJ
Städte,Stadt,NOUN
des,der,DET
Königreichs,Königreich,NOUN
",",--,PUNCT
lebte,leben,VERB
mein,mein,AUX
Vater,Vater,NOUN
",",--,PUNCT
ein,ein,DET
wackerer,wacker,ADJ
Goldschmied,Goldschmied,NOUN
.,--,PUNCT
Ich,ich,PRON
",",--,PUNCT
als,als,SCONJ
der,der,DET
einzige,einzig,ADJ
Sohn,Sohn,NOUN
",",--,PUNCT
sollte,sollen,AUX
dieselbe,dieselber,PRON
Kunst,Kunst,NOUN
dereinst,dereinst,ADV
bei,bei,ADP
ihm,ihm,PRON
erlernen,erlernen,VERB
",",--,PUNCT
allein,allein,ADV
er,er,PRON
starb,sterben,VERB
frühzeitig,frühzeitig,ADV
",",--,PUNCT
und,und,CCONJ
für,für,ADP
das,der,DET
größte,groß,ADJ
Glück,Glück,NOUN
war,sein,AUX
es,es,PRON
daher,daher,ADV
zu,zu,PART
halten,halten,VERB
",",--,PUNCT
daß,daß,SCONJ
mich,mich,PRON
Herr,Herr,NOUN
Vetter,Vetter,NOUN
Christoph,Christoph,PROPN
Orlt,Orlt,PROPN
",",--,PUNCT
der,der,DET
erste,erster,ADJ
Goldarbeiter,Goldarbeiter,NOUN
in,in,ADP
der,der,DET
Hauptstadt,Hauptstadt,NOUN
