Token,Lemma,POS
Eduard,Eduard,PROPN
Mörike,Mörike,PROPN
Traumseele,traumseel,VERB
Zur,zu,ADP
Zeit,Zeit,NOUN
",",--,PUNCT
als,als,SCONJ
ich,ich,PRON
in,in,ADP
Tübingen,Tübingen,PROPN
mit,mit,ADP
Alb,Alb,NOUN
.,--,PUNCT
Rheinwald,Rheinwald,PROPN
viel,viel,ADV
umging,umgehen,VERB
",",--,PUNCT
verbrachten,verbrachn,VERB
wir,wir,PRON
einmal,einmal,ADV
",",--,PUNCT
wie,wie,ADV
öfter,öfter,ADV
",",--,PUNCT
die,der,DET
halbe,halb,ADJ
Nacht,Nacht,NOUN
bei,bei,ADP
einem,ein,DET
starken,stark,ADJ
Tee,Tee,NOUN
auf,auf,ADP
meiner,mein,DET
Stube,Stube,NOUN
(,--,PUNCT
Jerusalem,Jerusalem,PROPN
),--,PUNCT
in,in,ADP
allerlei,Allerlei,DET
",",--,PUNCT
meist,meist,ADV
heitrer,heitr,ADJ
Unterhaltung,Unterhaltung,NOUN
.,--,PUNCT
Eine,ein,DET
Weile,Weile,NOUN
war,sein,AUX
sehr,sehr,ADV
ernsthaft,ernsthaft,ADV
von,von,ADP
unserer,unser,DET
Zukunft,Zukunft,NOUN
die,der,DET
Rede,Rede,NOUN
",",--,PUNCT
die,der,PRON
beiderseits,Beiderseit,NOUN
äußerst,äußerst,ADV
unsicher,unsicher,ADV
",",--,PUNCT
eigentlich,eigentlich,ADV
ziel-,ziel,X
und,und,CCONJ
bodenlos,bodenlos,ADV
vor,vor,ADP
uns,uns,PRON
lag,liegen,VERB
.,--,PUNCT
Wir,wir,PRON
hätten,haben,AUX
herzlich,herzlich,ADV
gern,gern,ADV
gewußt,wissen,VERB
",",--,PUNCT
ob,ob,SCONJ
denn,denn,CCONJ
auch,auch,ADV
irgend,irgend,ADV
etwas,etwas,PRON
aus,aus,ADP
uns,uns,PRON
werde,werden,AUX
",",--,PUNCT
das,der,PRON
den,der,DET
Neigungen,Neigung,NOUN
und,und,CCONJ
Wünschen,Wunsch,NOUN
eines,ein,DET
jeden,jeder,DET
ungefähr,ungefähr,ADV
entspräche,entsprächen,VERB
.,--,PUNCT
Halb,halb,ADV
zum,zu,ADP
Spaß,Spaß,NOUN
",",--,PUNCT
halb,halb,ADV
im,in,ADP
Ernst,Ernst,NOUN
befrug,befragen,VERB
ich,ich,PRON
das,der,PRON
Schicksal,Schicksal,NOUN
um,um,ADP
mich,mich,PRON
",",--,PUNCT
indem,indem,SCONJ
ich,ich,PRON
von,von,ADP
Ludwigs,Ludwigs,PROPN
Bücherständer,Bücherständer,PROPN
",",--,PUNCT
bei,bei,ADP
welchem,welcher,PRON
unser,unser,DET
Tisch,Tisch,NOUN
(,--,PUNCT
am,an,ADP
Fenster,Fenster,NOUN
),--,PUNCT
stand,stehen,VERB
",",--,PUNCT
den,der,DET
nächsten,nächster,ADJ
besten,gut,ADJ
Teil,Teil,NOUN
des,der,DET
deutschen,deutsch,ADJ
Shakespeare,Shakespeare,NOUN
herunternahm,herunternehmen,VERB
",",--,PUNCT
mit,mit,ADP
dem,der,DET
Daumen,Daumen,NOUN
hineingriff,hineingreifen,VERB
und,und,CCONJ
hier,hier,ADV
(,--,PUNCT
ich,ich,PRON
meine,meinen,VERB
",",--,PUNCT
es,es,PRON
war,sein,AUX
die,der,DET
rechte,rechter,ADJ
Seite,Seite,NOUN
",",--,PUNCT
oben,oben,ADV
),--,PUNCT
sogleich,sogleich,ADV
auf,auf,ADP
eine,ein,DET
Stelle,Stelle,NOUN
stieß,stoßen,VERB
",",--,PUNCT
die,der,PRON
wir,wir,PRON
als,als,ADP
bejahende,bejahend,ADJ
Antwort,Antwort,NOUN
nahmen,nehmen,VERB
.,--,PUNCT
Frappant,Frappant,ADV
",",--,PUNCT
gewissermaßen,gewissermaßen,ADV
komisch-frappant,komisch-frappant,ADV
",",--,PUNCT
war,sein,AUX
sie,sie,PRON
dadurch,dadurch,ADV
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
selber,selber,ADV
den,der,DET
Ausdruck,Ausdruck,NOUN
Orakel,Orakel,PROPN
",",--,PUNCT
also,also,ADV
die,der,DET
genaueste,genauest,ADJ
formale,formal,ADJ
Beziehung,Beziehung,NOUN
auf,auf,ADP
meine,mein,DET
Absicht,Absicht,NOUN
enthielt,enthalten,VERB
.,--,PUNCT
Ich,ich,PRON
habe,haben,AUX
in,in,ADP
der,der,DET
Folge,Folge,NOUN
die,der,DET
Sache,Sache,NOUN
kaum,kaum,ADV
jemanden,jemand,PRON
erzählt,erzählen,VERB
",",--,PUNCT
weil,weil,SCONJ
jedermann,jedermann,PRON
sie,sie,PRON
allzu,allzu,PART
unwahrscheinlich,unwahrscheinlich,ADV
finden,finden,VERB
muß,müssen,AUX
und,und,CCONJ
ich,ich,PRON
mich,sich,PRON
nicht,nicht,PART
lächerlich,lächerlich,ADV
machen,machen,VERB
wollte,wollen,AUX
.,--,PUNCT
Auch,auch,ADV
hatte,haben,AUX
ich,ich,PRON
seit,seit,ADP
vielen,vieler,DET
Jahren,Jahr,NOUN
ganz,ganz,ADV
und,und,CCONJ
gar,gar,ADV
vergessen,vergessen,VERB
",",--,PUNCT
wo,wo,SCONJ
die,der,DET
Worte,Wort,NOUN
vorkommen,vorkommen,VERB
.,--,PUNCT
Im,in,ADP
»,--,PUNCT
Troilus,Troilus,X
«,--,PUNCT
fand,finden,VERB
ich,ich,PRON
jedoch,jedoch,ADV
unlängst,unlängst,ADV
zu,zu,ADP
meiner,mein,DET
Überraschung,Überraschung,NOUN
in,in,ADP
den,der,DET
Reden,Rede,NOUN
zwischen,zwischen,ADP
Achill,Achill,PROPN
und,und,CCONJ
dem,der,DET
Hektor,Hektor,NOUN
",",--,PUNCT
Akt,Akt,PROPN
IV,IV,NUM
",",--,PUNCT
Szene,Szene,NOUN
5,5,NUM
folgendes,folgender,ADJ
:,--,PUNCT
(,--,PUNCT
Achill,Achill,PROPN
–,--,PUNCT
–,--,PUNCT
–,--,PUNCT
Antwort,Antwort,NOUN
",",--,PUNCT
ihr,ihr,DET
Götter,Götter,NOUN
!,--,PUNCT
Hektor,Hektor,NOUN
.,--,PUNCT
Mißziemen,Mißziemen,VERB
würd,würd,PROPN
',--,PUNCT
es,es,PRON
heil'gen,heil'egenen,X
Göttern,Götter,NOUN
–,--,PUNCT
Antwort,Antwort,NOUN
zu,zu,PART
geben,geben,VERB
solcher,solcher,DET
Frage,Frage,NOUN
.,--,PUNCT
Sprich,Sprich,VERB
!,--,PUNCT
Glaubst,glaubst,ADV
du,du,PRON
usw.,usw.,ADV
),--,PUNCT
Achill,Achill,PROPN
.,--,PUNCT
Ja,ja,PART
",",--,PUNCT
sag,sag,PROPN
',--,PUNCT
ich,ich,PRON
dir,dir,PRON
.,--,PUNCT
Hektor,Hektor,NOUN
.,--,PUNCT
Und,und,CCONJ
wärst,wärst,VERB
du,du,PRON
",",--,PUNCT
solches,solcher,DET
kündend,kündend,ADV
",",--,PUNCT
ein,ein,DET
Orakel,Orakel,NOUN
",",--,PUNCT
Nicht,nicht,PART
glaubt,glauben,VERB
',--,PUNCT
ich,ich,PRON
dir,dir,PRON
.,--,PUNCT
Das,der,DET
Unterstrichene,unterstrichene,NOUN
",",--,PUNCT
was,wer,PRON
",",--,PUNCT
als,als,ADP
Bescheid,Bescheid,NOUN
auf,auf,ADP
meine,mein,DET
Frage,Frage,NOUN
angesehen,ansehen,VERB
",",--,PUNCT
ganz,ganz,ADV
nach,nach,ADP
Orakelart,Orakelart,X
ironisch,ironisch,ADV
zweideutig,zweideutig,ADV
wäre,sein,AUX
",",--,PUNCT
ist,sein,AUX
ohne,ohne,ADP
Zweifel,Zweifel,NOUN
eben,eben,ADV
die,der,DET
betreffende,betreffend,NOUN
Stelle,Stelle,NOUN
von,von,ADP
jener,jener,DET
Nacht,Nacht,NOUN
.,--,PUNCT
Was,was,PRON
wäre,sein,AUX
nun,nun,ADV
davon,davon,ADV
zu,zu,PART
halten,halten,VERB
?,--,PUNCT
Entweder,entweder,CCONJ
ist,sein,AUX
es,es,PRON
purer,pur,ADV
Zufall,Zufall,NOUN
",",--,PUNCT
oder,oder,CCONJ
kann,können,AUX
ich,ich,PRON
es,es,PRON
nur,nur,ADV
mit,mit,ADP
meiner,mein,DET
alten,alt,ADJ
Hypothese,Hypothese,NOUN
von,von,ADP
einer,ein,DET
doppelten,doppelt,ADJ
Seelentätigkeit,Seelentätigkeit,NOUN
erklären,erklären,VERB
.,--,PUNCT
In,in,ADP
dieser,dieser,DET
Beziehung,Beziehung,NOUN
",",--,PUNCT
als,als,ADP
psychologisches,psychologisch,ADJ
Problem,Problem,NOUN
",",--,PUNCT
hat,haben,AUX
neuerdings,neuerdings,ADV
der,der,DET
Kasus,Kasus,PROPN
ein,ein,DET
wahres,wahr,ADJ
Interesse,Interesse,NOUN
für,für,ADP
mich,mich,PRON
.,--,PUNCT
Im,in,ADP
allgemeinen,allgemein,ADJ
ist,sein,AUX
