Token,Lemma,POS
Eduard,Eduard,PROPN
von,von,ADP
Keyserling,Keyserling,PROPN
Fräulein,Fräulein,NOUN
Rosa,Rosa,PROPN
Herz,Herz,PROPN
Eine,ein,DET
Kleinstadtliebe,Kleinstadtliebe,NOUN
Roman,Roman,NOUN
So,so,ADV
di,di,PROPN
che,che,PROPN
poco,Poco,PROPN
canape,Canape,PROPN
s'allaccia,S'allaccia,PROPN
Un,Un,X
',--,PUNCT
anima,anima,X
gentil,Gentil,PROPN
",",--,PUNCT
quand,Quand,VERB
',--,PUNCT
ella,ella,PROPN
é,é,PROPN
sola,Sola,VERB
E,E,NOUN
non,non,X
é,é,X
chi,chi,X
per,per,ADP
lei,lei,X
di,Di,PROPN
fesa,fesa,PROPN
faccia,Faccia,PROPN
.,--,PUNCT
Petrarca,Petrarca,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
:,--,PUNCT
Vorwort,Vorwort,NOUN
Erstes,erster,ADJ
Buch,Buch,NOUN
:,--,PUNCT
Liebesversuche,liebesversuche,NOUN
Zweites,Zweites,ADJ
Buch,Buch,NOUN
:,--,PUNCT
Leid,Leid,NOUN
Drittes,dritter,ADJ
Buch,Buch,NOUN
:,--,PUNCT
Tiglau,tiglau,ADV
Viertes,Viertes,ADJ
Buch,Buch,NOUN
:,--,PUNCT
Das,der,DET
Kind,Kind,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
