Token,Lemma,POS
Die,der,DET
Maikönigin,Maikönigin,NOUN
Ein,ein,DET
Volksleben,Volksleben,NOUN
am,an,ADP
Rhein,Rhein,PROPN
von,von,ADP
Ernst,Ernst,PROPN
Dronke,Dronke,PROPN
Erstdruck,Erstdruck,NOUN
:,--,PUNCT
Verlag,Verlag,NOUN
Lorck,Lorck,PROPN
Leipzig,Leipzig,PROPN
1846,1846,NUM
1.,1.,ADV
Der,der,DET
Morgen,Morgen,NOUN
im,in,ADP
Walde,Walde,NOUN
.,--,PUNCT
O,O,PROPN
Maienzeit,Maienzeit,NOUN
",",--,PUNCT
o,o,PROPN
du,du,PRON
rosige,rosig,ADJ
Zeit,Zeit,NOUN
",",--,PUNCT
Wo,wo,SCONJ
die,der,DET
Erde,Erde,NOUN
sich,sich,PRON
schmücket,Schmücket,NOUN
in,in,ADP
güldenem,gülden,ADJ
Kleid,Kleid,NOUN
",",--,PUNCT
Es,es,PRON
ruhen,ruhen,VERB
die,der,DET
Berge,Berg,NOUN
",",--,PUNCT
die,der,DET
rauschenden,rauschend,ADJ
Flüsse,Fluß,NOUN
schäumen,schäumen,VERB
",",--,PUNCT
Die,der,DET
perlenden,perlend,ADJ
Blumen,Blume,NOUN
im,in,ADP
Walde,Walde,NOUN
nicken,nicken,VERB
in,in,ADP
Morgenträumen,Morgenträume,NOUN
",",--,PUNCT
Und,und,CCONJ
im,in,ADP
Busche,Busche,NOUN
singet,singet,ADV
mit,mit,ADP
süßem,süß,ADJ
Schall,Schall,NOUN
Von,von,ADP
der,der,DET
Liebe,Liebe,NOUN
Lust,Lust,NOUN
die,der,DET
Nachtigall,Nachtigall,NOUN
.,--,PUNCT
Juchhe,Juchhe,PROPN
!,--,PUNCT
O,O,PROPN
Maienzeit,Maienzeit,NOUN
",",--,PUNCT
o,o,PROPN
du,du,PRON
rosige,rosig,ADJ
Zeit,Zeit,NOUN
",",--,PUNCT
Wie,wie,ADV
wird,werden,AUX
dem,der,DET
Burschen,Burschen,NOUN
das,der,DET
Herz,Herz,NOUN
so,so,ADV
weit,weit,ADV
",",--,PUNCT
Zu,zu,PART
ziehen,ziehen,VERB
",",--,PUNCT
zu,zu,PART
wandern,wandern,VERB
mit,mit,ADP
freien,frei,ADJ
",",--,PUNCT
frischen,frisch,ADJ
Sinnen,Sinn,NOUN
",",--,PUNCT
Wer,wer,PRON
bliebe,bleiben,VERB
da,da,ADV
noch,noch,ADV
länger,lang,ADV
in,in,ADP
den,der,DET
öden,öd,ADJ
Mauern,Mauer,NOUN
drinnen,drinnen,ADV
.,--,PUNCT
O,O,PROPN
du,du,PRON
süßeste,süße,ADJ
Jungfer,Jungfer,NOUN
