Token,Lemma,POS
Ernst,Ernst,PROPN
Eckstein,Eckstein,PROPN
Fürst,Fürst,NOUN
Arno,Arno,PROPN
Baron,Baron,PROPN
Brüggstorm,Brüggstorm,NOUN
",",--,PUNCT
der,der,PRON
Zeremonienmeister,Zeremonienmeister,NOUN
Seiner,Seiner,DET
Durchlaucht,Durchlaucht,NOUN
des,der,DET
regierenden,regierend,ADJ
Fürsten,Fürst,NOUN
Arno,Arno,PROPN
von,von,ADP
Gleiberg,Gleiberg,PROPN
",",--,PUNCT
atmete,atmen,VERB
schwer,schwer,ADV
und,und,CCONJ
tief,tief,ADV
.,--,PUNCT
Er,er,PRON
befand,befinden,VERB
sich,sich,PRON
im,in,ADP
Zustand,Zustand,NOUN
einer,ein,DET
ganz,ganz,ADV
ungewöhnlichen,ungewöhnlich,ADJ
Aufregung,Aufregung,NOUN
.,--,PUNCT
Die,der,DET
Arme,Arm,NOUN
straff,straff,ADV
über,über,ADP
der,der,DET
Brust,Brust,NOUN
gekreuzt,kreuzn,VERB
",",--,PUNCT
die,der,DET
Stirne,Stirne,NOUN
mißmutig,mißmutig,ADV
gerunzelt,runzeln,VERB
und,und,CCONJ
die,der,DET
Nüstern,Nüster,NOUN
gebläht,blähen,VERB
",",--,PUNCT
so,so,ADV
wandelte,wandeln,VERB
er,er,PRON
im,in,ADP
hochroten,hochrot,ADJ
Ecksaal,Ecksaal,NOUN
des,der,DET
Residenzschlosses,Residenzschloß,NOUN
auf,auf,ADP
und,und,CCONJ
nieder,nieder,ADV
",",--,PUNCT
während,während,SCONJ
Fürst,Fürst,NOUN
Arno,Arno,PROPN
drüben,drüben,ADV
im,in,ADP
Arbeitsgemach,Arbeitsgemach,NOUN
den,der,DET
langwierigen,langwierig,ADJ
Vortrag,Vortrag,NOUN
seines,sein,DET
Premierministers,Premierminister,NOUN
entgegennahm,entgegennehmen,VERB
.,--,PUNCT
Baron,Baron,PROPN
Brüggstorm,Brüggstorm,NOUN
hatte,haben,AUX
gestern,gestern,ADV
in,in,ADP
später,spät,ADV
Abendstunde,Abendstunde,NOUN
eine,ein,DET
verblüffende,verblüffend,ADJ
Nachricht,Nachricht,NOUN
empfangen,empfangen,VERB
.,--,PUNCT
Der,der,DET
