Token,Lemma,POS
Ernst,Ernst,PROPN
Wichert,Wichert,PROPN
Der,der,DET
Schaktarp,Schaktarp,PROPN
Es,es,PRON
ist,sein,AUX
ein,ein,DET
gar,gar,ADV
merkwürdiger,merkwürdig,ADJ
Strich,Strich,NOUN
Landes,Land,NOUN
",",--,PUNCT
der,der,PRON
sich,sich,PRON
",",--,PUNCT
entlang,entlang,ADP
dem,der,DET
Kurischen,Kurischen,NOUN
Haff,Haff,PROPN
",",--,PUNCT
zwischen,zwischen,ADP
den,der,DET
Ausflüssen,Ausfluß,NOUN
des,der,DET
mächtigen,mächtig,ADJ
Memelstromes,Memelstrome,NOUN
–,--,PUNCT
bekanntlich,bekanntlich,ADV
in,in,ADP
dem,der,DET
benachbarten,benachbart,ADJ
Rußland,Rußland,PROPN
»,--,PUNCT
Niemen,Nieme,NOUN
«,--,PUNCT
geheißen,heißen,VERB
–,--,PUNCT
dahinzieht,dahinziehen,VERB
.,--,PUNCT
Der,der,DET
Nemonien,Nemonien,NOUN
",",--,PUNCT
die,der,DET
Gilge,Gilg,NOUN
",",--,PUNCT
die,der,DET
Ruß,Ruß,PROPN
sind,sein,AUX
selbst,selbst,ADV
breite,breit,ADJ
Ströme,Strom,NOUN
",",--,PUNCT
und,und,CCONJ
durch,durch,ADP
das,der,DET
Flachland,Flachland,NOUN
zwischen,zwischen,ADP
ihnen,ihnen,PRON
ziehen,ziehen,VERB
sich,sich,PRON
in,in,ADP
großer,groß,ADJ
Zahl,Zahl,NOUN
andere,anderer,ADJ
Wasserläufe,Wasserlauf,NOUN
",",--,PUNCT
teils,teils,ADV
ebenfalls,ebenfalls,ADV
in,in,ADP
das,der,DET
Haff,Haff,NOUN
einmündend,einmündend,ADV
",",--,PUNCT
teils,teils,ADV
jene,jener,PRON
miteinander,miteinander,ADV
verbindend,verbindend,ADV
",",--,PUNCT
teils,teils,ADV
mit,mit,ADP
breitem,breit,ADJ
Anlauf,Anlauf,NOUN
sich,sich,PRON
abzweigend,abzweigend,ADV
und,und,CCONJ
plötzlich,plötzlich,ADV
in,in,ADP
einem,ein,DET
Schilfsee,Schilfsee,NOUN
stagnierend,stagnierend,ADV
.,--,PUNCT
Geradlinige,geradlinig,ADJ
Kanäle,Kanal,NOUN
",",--,PUNCT
von,von,ADP
Menschenhand,Menschenhand,NOUN
zur,zu,ADP
Beseitigung,Beseitigung,NOUN
der,der,DET
Gefahren,Gefahr,NOUN
der,der,DET
Schiffahrt,Schiffahrt,NOUN
auf,auf,ADP
dem,der,DET
oft,oft,ADV
stürmischen,stürmisch,ADJ
Kurischen,kurischen,ADJ
Haff,Haff,NOUN
angelegt,anlegen,VERB
",",--,PUNCT
schneiden,schneiden,VERB
sie,sie,PRON
in,in,ADP
der,der,DET
Richtung,Richtung,NOUN
nach,nach,ADP
Norden,Norden,NOUN
.,--,PUNCT
Wassergräben,Wassergräbe,NOUN
",",--,PUNCT
für,für,ADP
den,der,DET
Sprung,Sprung,NOUN
eines,ein,DET
kräftigen,kräftig,ADJ
Mannes,Mann,NOUN
oft,oft,ADV
nicht,nicht,PART
zu,zu,PART
breit,breit,ADV
",",--,PUNCT
ziehen,ziehen,VERB
sich,sich,PRON
gleich,gleich,ADV
langen,lang,ADJ
Fäden,Fäd,NOUN
eines,ein,DET
Spinnennetzes,Spinnennetz,NOUN
überall,überall,ADV
in,in,ADP
die,der,DET
Wiesen,Wiese,NOUN
und,und,CCONJ
Wälder,Wald,NOUN
hinein,hinein,ADV
.,--,PUNCT
Wer,wer,PRON
von,von,ADP
einem,ein,DET
Ort,Ort,NOUN
zum,zu,ADP
andern,anderer,VERB
will,wollen,AUX
",",--,PUNCT
besteigt,besteigen,VERB
eines,einer,PRON
der,der,DET
langen,lang,ADJ
Boote,Boot,NOUN
mit,mit,ADP
flachem,flach,ADJ
Boden,Boden,NOUN
",",--,PUNCT
die,der,PRON
in,in,ADP
der,der,DET
Nähe,Nähe,NOUN
jedes,jeder,DET
Hauses,Haus,NOUN
angekettet,anketten,VERB
oder,oder,CCONJ
halb,halb,ADV
auf,auf,ADP
Land,Land,NOUN
gezogen,ziehen,VERB
liegen,liegen,VERB
",",--,PUNCT
und,und,CCONJ
die,der,DET
Häuser,Haus,NOUN
selbst,selbst,ADV
stehen,stehen,VERB
vielfach,vielfach,ADV
auf,auf,ADP
frei,frei,ADV
vortretenden,vortretenden,VERB
Pfahlrosten,Pfahlrosten,NOUN
",",--,PUNCT
die,der,PRON
sie,sie,PRON
gegen,gegen,ADP
die,der,DET
Überschwemmung,Überschwemmung,NOUN
und,und,CCONJ
den,der,DET
Eisgang,Eisgang,NOUN
im,in,ADP
Frühjahr,Frühjahr,NOUN
zu,zu,ADP
schützen,schützen,VERB
haben,haben,AUX
.,--,PUNCT
Was,was,PRON
da,da,ADV
von,von,ADP
Baumschmuck,Baumschmuck,PROPN
in,in,ADP
der,der,DET
Nähe,Nähe,NOUN
der,der,DET
Höfe,Hof,NOUN
und,und,CCONJ
entlang,entlang,ADP
den,der,DET
Dämmen,Dämm,NOUN
sichtbar,sichtbar,ADV
wird,werden,AUX
",",--,PUNCT
ist,sein,AUX
ein,ein,DET
Gemisch,Gemisch,NOUN
von,von,ADP
Weiden,Weide,NOUN
",",--,PUNCT
Pappeln,Pappel,NOUN
und,und,CCONJ
Ellern,Eller,NOUN
.,--,PUNCT
Besonders,besonders,ADV
die,der,DET
Weiden,Weide,NOUN
gedeihen,gedeihen,VERB
gut,gut,ADV
und,und,CCONJ
wachsen,wachsen,VERB
rasch,rasch,ADV
zu,zu,ADP
mächtigen,mächtig,ADJ
Bäumen,Baum,NOUN
mit,mit,ADP
zierlich,zierlich,ADV
gestalteten,gestaltet,ADJ
Laubkronen,Laubkron,NOUN
auf,auf,ADP
",",--,PUNCT
zwischen,zwischen,ADP
denen,der,PRON
das,der,DET
zackige,zackig,ADJ
Geäste,Geäste,NOUN
sichtbar,sichtbar,ADV
bleibt,bleiben,VERB
.,--,PUNCT
Auch,auch,ADV
an,an,ADP
Birken,Birke,NOUN
mit,mit,ADP
ihrem,ihr,DET
beweglichen,beweglich,ADJ
Behang,Behang,NOUN
an,an,ADP
den,der,DET
weißen,weiß,ADJ
Zweigen,Zweig,NOUN
mangelt,mangeln,VERB
es,es,PRON
nicht,nicht,PART
.,--,PUNCT
Hinter,hinter,ADP
den,der,DET
Häuschen,Häuschen,NOUN
liegen,liegen,VERB
die,der,DET
Kartoffel-,Kartoffel,X
und,und,CCONJ
Zwiebelgärten,Zwiebelgärte,NOUN
.,--,PUNCT
Tiefe,tief,ADJ
Rinnen,Rinn,NOUN
sondern,sondern,CCONJ
die,der,DET
schwarzen,schwarz,ADJ
Beete,Beet,NOUN
schachbrettartig,schachbrettartig,ADV
voneinander,voneinander,ADV
ab,ab,ADP
",",--,PUNCT
und,und,CCONJ
an,an,ADP
der,der,DET
tiefsten,tief,ADJ
Stelle,Stelle,NOUN
fehlt,fehlen,VERB
nie,nie,ADV
die,der,DET
Schöpfvorrichtung,Schöpfvorrichtung,NOUN
",",--,PUNCT
durch,durch,ADP
welche,welcher,PRON
das,der,PRON
sich,sich,PRON
überflüssig,überflüssig,ADV
ansammelnde,ansammelnd,ADJ
Wasser,Wasser,NOUN
in,in,ADP
die,der,DET
höher,hoch,ADV
gelegenen,gelegen,ADJ
Röhren,Röhr,NOUN
unter,unter,ADP
dem,der,DET
Damme,Damm,NOUN
geworfen,werfen,VERB
wird,werden,AUX
.,--,PUNCT
Weiter,weiter,ADV
zurück,zurück,ADV
ziehen,ziehen,VERB
sich,sich,PRON
meilenweit,meilenweit,ADV
die,der,DET
grünen,grün,ADJ
Wiesen,Wiese,NOUN
oder,oder,CCONJ
die,der,PRON
braunen,braun,ADJ
Moorbrüche,Moorbrüche,NOUN
hin,hin,ADV
",",--,PUNCT
von,von,ADP
denen,der,PRON
noch,noch,ADV
zu,zu,PART
reden,reden,VERB
sein,sein,AUX
wird,werden,AUX
",",--,PUNCT
und,und,CCONJ
in,in,ADP
einiger,einiger,DET
Entfernung,Entfernung,NOUN
",",--,PUNCT
zu,zu,ADP
beiden,beide,DET
Seiten,Seite,NOUN
der,der,DET
Flüsse,Fluß,NOUN
",",--,PUNCT
schließt,schließen,VERB
der,der,DET
Wald,Wald,NOUN
die,der,DET
Aussicht,Aussicht,NOUN
ab,ab,ADP
",",--,PUNCT
oft,oft,ADV
nur,nur,ADV
ein,ein,DET
dichtes,dicht,ADJ
Gestrüpp,Gestrüpp,NOUN
von,von,ADP
Ellern,Eller,NOUN
auf,auf,ADP
Sumpfgrund,Sumpfgrund,PROPN
",",--,PUNCT
nordwärts,nordwärts,ADV
aber,aber,ADV
sich,sich,PRON
ausbreitend,ausbreitend,ADV
zu,zu,ADP
dem,der,DET
großen,groß,ADJ
Ibenhorster,Ibenhorster,ADJ
Forst,Forst,NOUN
",",--,PUNCT
in,in,ADP
dem,der,PRON
noch,noch,ADV
ein,ein,DET
kleiner,klein,ADJ
Stamm,Stamm,NOUN
des,der,DET
Elchwildes,Elchwild,NOUN
haust,hausen,VERB
",",--,PUNCT
das,der,PRON
manchmal,manchmal,ADV
von,von,ADP
vornehmen,vornehm,ADJ
Jägern,Jäger,NOUN
aufgesucht,aufsuchen,VERB
wird,werden,AUX
.,--,PUNCT
Der,der,DET
Grundstock,Grundstock,NOUN
der,der,DET
Bevölkerung,Bevölkerung,NOUN
ist,sein,AUX
lettisch,lettisch,ADV
und,und,CCONJ
litauisch,litauisch,ADV
",",--,PUNCT
aber,aber,CCONJ
seit,seit,ADP
zwei,zwei,NUM
Jahrhunderten,Jahrhundert,NOUN
sind,sein,AUX
auch,auch,ADV
viele,vieler,DET
deutsche,deutsch,ADJ
Kolonisten,Kolonist,NOUN
angesiedelt,ansiedeln,VERB
und,und,CCONJ
als,als,ADP
Ackerbauer,Ackerbauer,NOUN
",",--,PUNCT
Stromschiffer,Stromschiffer,NOUN
",",--,PUNCT
Holzflösser,Holzflösser,NOUN
",",--,PUNCT
Händler,Händler,NOUN
tätig,tätig,ADV
.,--,PUNCT
Man,man,PRON
spricht,sprechen,VERB
beide,beide,PRON
Sprachen,Sprache,NOUN
gleich,gleich,ADV
geläufig,geläufig,ADV
.,--,PUNCT
In,in,ADP
den,der,DET
Schulen,Schule,NOUN
wird,werden,AUX
deutsch,deutsch,ADV
unterrichtet,unterrichten,VERB
",",--,PUNCT
und,und,CCONJ
auch,auch,ADV
die,der,DET
Amtssprache,Amtssprache,NOUN
ist,sein,AUX
deutsch,deutsch,ADV
;,--,PUNCT
aber,aber,CCONJ
Geistliche,geistliche,NOUN
",",--,PUNCT
Schullehrer,Schullehrer,NOUN
",",--,PUNCT
Förster,Förster,NOUN
und,und,CCONJ
Fischmeister,Fischmeister,NOUN
wissen,wissen,VERB
sich,sich,PRON
bald,bald,ADV
auch,auch,ADV
litauisch,litauisch,ADV
mit,mit,ADP
den,der,DET
Leuten,Leute,NOUN
zu,zu,PART
verständigen,verständigen,VERB
",",--,PUNCT
mit,mit,ADP
denen,der,PRON
sie,sie,PRON
täglich,täglich,ADV
zu,zu,PART
verkehren,verkehren,VERB
haben,haben,AUX
.,--,PUNCT
Wer,wer,PRON
dort,dort,ADV
eine,ein,DET
Anstellung,Anstellung,NOUN
gefunden,finden,VERB
hat,haben,AUX
",",--,PUNCT
sitzt,sitzen,VERB
meist,meist,ADV
fest,fest,ADV
bis,bis,ADP
an,an,ADP
sein,sein,DET
Lebensende,Lebensend,NOUN
und,und,CCONJ
sucht,suchen,VERB
sich,sich,PRON
in,in,ADP
seiner,sein,DET
Verlassenheit,Verlassenheit,NOUN
möglichst,möglichst,ADV
behaglich,behaglich,ADV
einzurichten,einrichten,VERB
.,--,PUNCT
Am,an,ADP
Ausfluß,Ausfluß,NOUN
des,der,DET
Gilge-Stromes,Gilge-Strome,NOUN
in,in,ADP
das,der,DET
Haff,Haff,NOUN
liegt,liegen,VERB
das,der,DET
große,groß,ADJ
Fischerdorf,Fischerdorf,NOUN
Gilge,Gilge,NOUN
",",--,PUNCT
lang,lang,ADV
hingestreckt,hingestreckt,VERB
zu,zu,ADP
beiden,beide,DET
Seiten,Seite,NOUN
der,der,DET
Wasserstraße,Wasserstraße,NOUN
.,--,PUNCT
Die,der,DET
Ufer,Ufer,NOUN
sind,sein,AUX
durch,durch,ADP
breite,Breit,NOUN
Aufschüttungen,Aufschüttung,NOUN
von,von,ADP
Kies,Kies,PROPN
und,und,CCONJ
Sand,Sand,NOUN
erhöht,erhöhen,VERB
und,und,CCONJ
gegen,gegen,ADP
den,der,DET
Fluß,Fluß,NOUN
hin,hin,ADV
durch,durch,ADP
Pfahlwerk,Pfahlwerk,NOUN
und,und,CCONJ
Faschinen,Faschin,NOUN
geschützt,schützen,VERB
.,--,PUNCT
Darauf,darauf,ADV
stehen,stehen,VERB
in,in,ADP
langer,lang,ADJ
Reihe,Reihe,NOUN
die,der,DET
Fischerhäuser,Fischerhäuser,NOUN
",",--,PUNCT
meist,meist,ADV
in,in,ADP
alter,alt,ADJ
Weise,Weise,NOUN
von,von,ADP
Holz,Holz,NOUN
gebaut,bauen,VERB
",",--,PUNCT
mit,mit,ADP
dem,der,DET
buntverzierten,buntverziert,ADJ
Giebel,Giebel,NOUN
gegen,gegen,ADP
den,der,DET
Strom,Strom,NOUN
hin,hin,ADV
