Token,Lemma,POS
Ernst,Ernst,PROPN
Willkomm,Willkomm,PROPN
Erzählungen,Erzählung,NOUN
eines,ein,DET
Wattenschiffers,Wattenschiffer,NOUN
Die,der,DET
flachen,flach,ADJ
Küsten,Küste,NOUN
Schleswigs,Schleswig,PROPN
sind,sein,AUX
im,in,ADP
Westen,Westen,NOUN
von,von,ADP
einer,ein,DET
bedeutenden,bedeutend,ADJ
Anzahl,Anzahl,NOUN
Inseln,Insel,NOUN
umgürtet,umgürten,VERB
",",--,PUNCT
welche,welcher,PRON
teils,teils,ADV
breite,breit,ADJ
",",--,PUNCT
teils,teils,ADV
schmale,schmal,ADJ
Meerströme,Meerstrom,NOUN
umfluten,umfluten,VERB
.,--,PUNCT
Zur,zu,ADP
Zeit,Zeit,NOUN
der,der,DET
Ebbe,Ebbe,NOUN
tritt,treten,VERB
die,der,DET
Meerflut,Meerflut,NOUN
viele,vieler,DET
Meilen,Meile,NOUN
weit,weit,ADV
zurück,zurück,ADV
vom,von,ADP
Lande,Land,NOUN
",",--,PUNCT
enthüllt,enthüllen,VERB
den,der,DET
Meeresboden,Meeresboden,NOUN
und,und,CCONJ
legt,legen,VERB
unermeßliche,unermeßlich,ADJ
Strecken,Strecke,NOUN
grauen,grau,ADJ
Erdschlammes,Erdschlamm,NOUN
und,und,CCONJ
weiß,wissen,VERB
glänzender,glänzend,ADJ
Sandfelder,Sandfeld,NOUN
trocken,trocken,ADV
.,--,PUNCT
Diesen,dieser,DET
bei,bei,ADP
jeder,jeder,DET
Tiefebbe,Tiefebbe,NOUN
sich,sich,PRON
zeigenden,zeigend,ADJ
Grund,Grund,NOUN
der,der,DET
Nordsee,Nordsee,PROPN
nennt,nennen,VERB
man,man,PRON
Watten,Watte,NOUN
",",--,PUNCT
die,der,DET
Meeresströme,Meeresströme,NOUN
",",--,PUNCT
die,der,PRON
ihre,ihr,DET
Wogen,Wog,NOUN
um,um,ADP
die,der,DET
erwähnten,erwähnt,ADJ
Inseln,Insel,NOUN
wälzen,wälzen,VERB
",",--,PUNCT
heißen,heiß,VERB
Wattströme,Wattströme,NOUN
",",--,PUNCT
und,und,CCONJ
diejenigen,derjenige,DET
Seefahrer,Seefahrer,NOUN
",",--,PUNCT
welche,welcher,PRON
die,der,DET
schwierigen,schwierig,ADJ
Wasserpfade,Wasserpfade,NOUN
innerhalb,innerhalb,ADP
dieses,dieser,DET
Inselarchipels,Inselarchipel,NOUN
und,und,CCONJ
zwischen,zwischen,ADP
denselben,derselbe,PRON
mit,mit,ADP
leicht,leicht,ADV
gebauten,gebaut,ADJ
",",--,PUNCT
schnell,schnell,ADV
segelnden,segelnd,ADJ
Fahrzeugen,Fahrzeug,NOUN
durchkreuzen,durchkreuzen,VERB
",",--,PUNCT
Wattenschiffer,Wattenschiffer,NOUN
.,--,PUNCT
Von,von,ADP
jeher,jeher,ADV
hat,haben,AUX
es,es,PRON
unter,unter,ADP
den,der,DET
kühnen,kühn,NOUN
",",--,PUNCT
oft,oft,ADV
waghalsigen,waghalsig,ADJ
Seefahrern,Seefahrer,NOUN
der,der,DET
nordischen,nordisch,ADJ
Meere,Meere,NOUN
ausgezeichnete,ausgezeichnet,ADJ
Menschen,Mensch,NOUN
gegeben,geben,VERB
;,--,PUNCT
denn,denn,CCONJ
die,der,DET
Natur,Natur,NOUN
des,der,DET
Meeres,Meer,NOUN
",",--,PUNCT
auf,auf,ADP
dessen,der,DET
Wogen,Woge,NOUN
sie,sie,PRON
den,der,DET
größten,groß,ADJ
Teil,Teil,NOUN
ihres,ihr,DET
Lebens,Leben,NOUN
zubringen,zubringen,VERB
",",--,PUNCT
macht,machen,VERB
umsichtig,umsichtig,ADV
",",--,PUNCT
kaltblütig,kaltblütig,ADV
",",--,PUNCT
stählt,stählen,VERB
die,der,DET
physische,physisch,ADJ
",",--,PUNCT
wie,wie,ADP
geistige,geistig,ADJ
Kraft,Kraft,NOUN
",",--,PUNCT
und,und,CCONJ
verleiht,verleihen,VERB
denen,der,PRON
",",--,PUNCT
welche,welcher,PRON
fast,fast,ADV
ununterbrochen,ununterbrochen,ADV
mit,mit,ADP
den,der,DET
Elementen,Element,NOUN
kämpfen,kämpfen,VERB
müssen,müssen,AUX
und,und,CCONJ
zahllose,zahllos,ADJ
Male,Mal,NOUN
in,in,ADP
Todesgefahr,Todesgefahr,NOUN
schweben,schweben,VERB
",",--,PUNCT
eine,ein,DET
Selbständigkeit,Selbständigkeit,NOUN
",",--,PUNCT
wie,wie,SCONJ
man,man,PRON
sie,sie,PRON
unter,unter,ADP
den,der,DET
Festlandsbewohnern,Festlandsbewohner,NOUN
selten,selten,ADV
in,in,ADP
so,so,ADV
hohem,hoch,ADJ
Grade,Grade,NOUN
und,und,CCONJ
in,in,ADP
so,so,ADV
ausgeprägter,ausgeprägt,ADJ
Schärfe,Schärfe,NOUN
findet,finden,VERB
.,--,PUNCT
Die,der,DET
Küstenstriche,Küstenstriche,NOUN
des,der,DET
Festlandes,Festland,NOUN
in,in,ADP
erwähnter,erwähnt,ADJ
Gegend,Gegend,NOUN
sowohl,sowohl,CCONJ
wie,wie,ADP
die,der,DET
Inseln,Insel,NOUN
–,--,PUNCT
mit,mit,ADP
Ausschluß,Ausschluß,NOUN
des,der,DET
