Token,Lemma,POS
Ernst,Ernst,NOUN
von,von,ADP
Wolzogen,Wolzoge,NOUN
.,--,PUNCT
Die,der,DET
Erbschleicherinnen,Erbschleicherinne,NOUN
Roman,Roman,NOUN
Band,Band,NOUN
1,1,NUM
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
[,[,PROPN
Erklärt,Erklärt,VERB
",",--,PUNCT
warum,warum,SCONJ
die,der,DET
Schwestern,Schwester,NOUN
Mödlinger,Mödlinger,NOUN
aus,aus,ADP
München,München,PROPN
in,in,ADP
Bitterfeld,Bitterfeld,PROPN
zu,zu,PART
weinen,weinen,VERB
anfingen,anfingen,VERB
",",--,PUNCT
und,und,CCONJ
warum,warum,SCONJ
die,der,DET
Frau,Frau,NOUN
Konsul,Konsul,ADV
sich,sich,PRON
vorläufig,vorläufig,ADV
über,über,ADP
die,der,DET
Frau,Frau,NOUN
Geheimrat,Geheimrat,PROPN
nicht,nicht,PART
weiter,weiter,ADV
äußerte,äußern,VERB
.,--,PUNCT
],],NOUN
In,in,ADP
dem,der,DET
Damenabteil,Damenabteil,NOUN
zweiter,zweiter,ADJ
Klasse,Klasse,NOUN
des,der,DET
durchgehenden,durchgehend,ADJ
Wagens,Wagen,NOUN
Ala-Berlin,Ala-Berlin,PROPN
waren,sein,AUX
alle,aller,DET
Vorhänge,Vorhang,NOUN
zugezogen,zugezogen,VERB
und,und,CCONJ
die,der,DET
blauen,blau,ADJ
Lichtschirme,Lichtschirm,NOUN
über,über,ADP
der,der,DET
trübflackernden,trübflackernde,ADJ
Oellampe,Oellampe,NOUN
heruntergeklappt,heruntergeklappen,VERB
.,--,PUNCT
Es,es,PRON
war,sein,AUX
zwischen,zwischen,ADP
fünf,fünf,NUM
und,und,CCONJ
sechs,sechs,NUM
Uhr,Uhr,NOUN
morgens,morgens,ADV
;,--,PUNCT
draußen,draußen,ADV
begann,beginnen,VERB
es,es,PRON
zu,zu,PART
dämmern,dämmern,VERB
",",--,PUNCT
der,der,DET
Regen,Regen,NOUN
klatschte,klatschen,VERB
gegen,gegen,ADP
die,der,DET
Scheiben,Scheibe,NOUN
und,und,CCONJ
trommelte,trommeln,VERB
auf,auf,ADP
dem,der,DET
Dache,Dache,NOUN
des,der,DET
Wagens,Wagen,NOUN
.,--,PUNCT
Auf,auf,ADP
der,der,DET
kürzeren,kurz,ADJ
der,der,DET
beiden,beide,DET
Polsterbänke,Polsterbänk,NOUN
lag,liegen,VERB
eine,ein,DET
sehr,sehr,ADV
dicke,dick,ADJ
ältere,alt,ADJ
Dame,Dame,NOUN
ausgestreckt,ausstrecken,VERB
.,--,PUNCT
Ihre,ihr,DET
Frisur,Frisur,NOUN
hatte,haben,AUX
sich,sich,PRON
aufgelöst,auflösen,VERB
",",--,PUNCT
und,und,CCONJ
zwei,zwei,NUM
dünne,dünn,ADJ
Zöpfchen,Zöpfchen,NOUN
baumelten,baumelen,VERB
über,über,ADP
die,der,DET
Lehne,Lehne,NOUN
hinaus,hinaus,ADV
vor,vor,ADP
der,der,DET
polierten,poliert,ADJ
Tür,Tür,NOUN
des,der,DET
Toilettenkämmerchens,Toilettenkämmerchen,NOUN
auf,auf,ADP
und,und,CCONJ
nieder,nieder,ADV
wie,wie,ADP
zwei,zwei,NUM
ansehnliche,ansehnlich,ADJ
Rattenschwänzchen,Rattenschwänzch,NOUN
.,--,PUNCT
Sie,sie,PRON
hatte,haben,AUX
sich,sich,PRON
die,der,DET
Taille,Taill,NOUN
und,und,CCONJ
das,der,DET
Korsett,Korsett,NOUN
aufgeknöpft,aufgeknöpfen,VERB
",",--,PUNCT
eine,ein,DET
Reisedecke,Reisedecke,NOUN
über,über,ADP
sich,sich,PRON
gebreitet,breiten,VERB
und,und,CCONJ
die,der,DET
Füße,Fuß,NOUN
in,in,ADP
formlosen,formlos,ADJ
schwarzen,schwarz,ADJ
Samtpantoffeln,Samtpantoffel,NOUN
stecken,stecken,VERB
",",--,PUNCT
von,von,ADP
denen,der,PRON
jedoch,jedoch,ADV
der,der,DET
eine,ein,PRON
heruntergefallen,heruntergefallen,VERB
war,sein,AUX
und,und,CCONJ
einen,ein,DET
schwarzen,schwarz,ADJ
Strumpf,Strumpf,NOUN
sehen,sehen,VERB
ließ,lassen,VERB
",",--,PUNCT
aus,aus,ADP
dem,der,PRON
die,der,DET
große,groß,ADJ
Zehe,Zehe,VERB
ziemlich,ziemlich,ADV
weit,weit,ADV
herausschaute,herausschaute,VERB
.,--,PUNCT
Diese,dieser,DET
gute,gut,ADJ
Dame,Dame,NOUN
schnarchte,schnarcht,NOUN
fürchterlich,fürchterlich,ADV
.,--,PUNCT
Sie,sie,PRON
hatte,haben,AUX
den,der,DET
Mund,Mund,NOUN
weit,weit,ADV
offen,offen,ADV
",",--,PUNCT
und,und,CCONJ
ihre,ihr,DET
feisten,feist,ADJ
Hängewangen,Hängewange,NOUN
wackelten,wackelen,VERB
gleichmäßig,gleichmäßig,ADV
im,in,ADP
Takt,Takt,NOUN
",",--,PUNCT
den,der,PRON
der,der,DET
rasselnde,rasselnd,ADJ
Zug,Zug,NOUN
just,just,ADV
angeschlagen,angeschlagen,VERB
hatte,haben,AUX
.,--,PUNCT
Jetzt,jetzt,ADV
gab,geben,VERB
es,es,PRON
einen,ein,DET
kleinen,klein,ADJ
Ruck,Ruck,NOUN
",",--,PUNCT
der,der,DET
Zug,Zug,NOUN
bog,bog,ADP
in,in,ADP
eine,ein,DET
Kurve,Kurve,NOUN
ein,ein,ADV
und,und,CCONJ
schlug,schlagen,VERB
gleichzeitig,gleichzeitig,ADV
einen,ein,DET
andern,anderer,ADJ
Rhythmus,Rhythmus,NOUN
an,an,ADP
",",--,PUNCT
flott,flott,ADV
hüpfende,hüpfend,ADJ
Anapästen,Anapästen,NOUN
nach,nach,ADP
der,der,DET
Melodie,Melodie,NOUN
weiland,weiland,ADV
König,König,NOUN
Ludwigs,Ludwigs,PROPN
:,--,PUNCT
»,--,PUNCT
Wenn,wenn,SCONJ
der,der,DET
Mut,Mut,NOUN
in,in,ADP
der,der,DET
Brust,Brust,NOUN
seine,sein,DET
Spannkraft,Spannkraft,NOUN
übt,üben,VERB
«,--,PUNCT
.,--,PUNCT
Diese,dieser,DET
plötzliche,plötzlich,ADJ
Veränderung,Veränderung,NOUN
schien,scheinen,VERB
die,der,DET
dicke,dick,ADJ
Dame,Dame,NOUN
in,in,ADP
ihrer,ihr,DET
Behaglichkeit,Behaglichkeit,NOUN
zu,zu,PART
stören,stören,VERB
;,--,PUNCT
der,der,DET
Mund,Mund,NOUN
schnappte,schnappen,VERB
zu,zu,ADP
",",--,PUNCT
sie,sie,PRON
warf,werfen,VERB
das,der,DET
Haupt,Haupt,NOUN
mit,mit,ADP
einem,ein,DET
tiefen,tief,ADJ
Seufzer,Seufzer,NOUN
auf,auf,ADP
die,der,DET
andere,anderer,ADJ
Seite,Seite,NOUN
und,und,CCONJ
stieß,stoßen,VERB
mit,mit,ADP
dem,der,DET
linken,linker,ADJ
Fuß,Fuß,NOUN
aus,aus,ADP
.,--,PUNCT
Die,der,DET
unglückliche,unglücklich,ADJ
junge,jung,ADJ
Dame,Dame,NOUN
",",--,PUNCT
welche,welcher,PRON
auf,auf,ADP
demselben,derselbe,DET
Polster,Polster,NOUN
am,an,ADP
Fenster,Fenster,NOUN
die,der,DET
ganze,ganz,ADJ
Nacht,Nacht,NOUN
aufrechtsitzend,aufrechtsitzend,ADV
in,in,ADP
arger,arg,ADJ
Bedrängnis,Bedrängnis,NOUN
hatte,haben,AUX
verbringen,verbringen,VERB
müssen,müssen,AUX
",",--,PUNCT
fuhr,fahren,VERB
",",--,PUNCT
von,von,ADP
dem,der,DET
kräftigen,kräftig,ADJ
Stoß,Stoß,NOUN
in,in,ADP
die,der,DET
rechte,rechter,ADJ
Hüfte,Hüfte,NOUN
getroffen,treffen,VERB
",",--,PUNCT
erschreckt,erschreckt,ADV
zusammen,zusammen,ADV
",",--,PUNCT
rieb,Rieb,PROPN
sich,sich,PRON
die,der,DET
Augen,Auge,NOUN
und,und,CCONJ
blickte,blicken,VERB
verstört,verstört,VERB
umher,umher,ADV
.,--,PUNCT
Ein,ein,DET
trauriger,traurig,ADJ
Blick,Blick,NOUN
streifte,streifen,VERB
ihre,ihr,DET
