Token,Lemma,POS
Ernst,Ernst,PROPN
Freiherr,Freiherr,NOUN
von,von,ADP
Wolzogen,Wolzog,NOUN
Die,der,DET
Gloriahose,Gloriahose,NOUN
und,und,CCONJ
andere,anderer,ADJ
Novellen,Novelle,NOUN
Vorsatzblatt,Vorsatzblatt,ADV
»,--,PUNCT
Wenn,wenn,SCONJ
Bücher,Buch,NOUN
auch,auch,ADV
nicht,nicht,PART
gut,gut,ADV
oder,oder,CCONJ
schlecht,schlecht,ADV
machen,machen,VERB
",",--,PUNCT
besser,gut,ADV
oder,oder,CCONJ
schlechter,schlecht,ADV
machen,machen,VERB
sie,sie,PRON
doch,doch,ADV
!,--,PUNCT
«,--,PUNCT
(,--,PUNCT
Jean,Jean,PROPN
Paul,Paul,PROPN
),--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
Vorwort,Vorwort,NOUN
.,--,PUNCT
Die,der,DET
Gloriahose,Gloriahose,NOUN
.,--,PUNCT
Werthers,Werther,NOUN
Leiden,Leiden,NOUN
in,in,ADP
Sexta,Sexta,NOUN
.,--,PUNCT
Mein,mein,DET
erstes,erster,ADJ
