Token,Lemma,POS
Das,der,DET
Geheimnis,Geheimnis,NOUN
der,der,DET
alten,alt,ADJ
Mamsell,Mamsell,NOUN
.,--,PUNCT
Roman,Roman,NOUN
von,von,ADP
E.,E.,PROPN
Marlitt,Marlitt,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
1.,1.,ADV
»,--,PUNCT
Na,na,INTJ
",",--,PUNCT
jetzt,jetzt,ADV
sag,sag,ADP
mir,mir,PRON
nur,nur,ADV
um,um,ADP
Gotteswillen,Gotteswill,NOUN
",",--,PUNCT
wo,wo,SCONJ
willst,willst,VERB
du,du,PRON
eigentlich,eigentlich,ADV
hin,hin,ADV
",",--,PUNCT
Hellwig,Hellwig,PROPN
?,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Direkt,direkt,ADV
nach,nach,ADP
X.,X.,PROPN
",",--,PUNCT
wenn,wenn,SCONJ
du,du,PRON
erlaubst,erlaubn,VERB
!,--,PUNCT
«,--,PUNCT
klang,klingen,VERB
es,es,PRON
halb,halb,ADV
trotzig,trotzig,NUM
",",--,PUNCT
halb,halb,ADV
spöttisch,spöttisch,ADV
zurück,zurück,ADV
.,--,PUNCT
»,--,PUNCT
Aber,aber,CCONJ
dahin,dahin,ADV
geht,gehen,VERB
es,es,PRON
doch,doch,ADV
in,in,ADP
seinem,sein,DET
ganzen,ganz,ADJ
Leben,Leben,NOUN
nicht,nicht,PART
über,über,ADP
eine,ein,DET
Anhöhe,Anhöhe,NOUN
!,--,PUNCT
.,--,PUNCT
