Token,Lemma,POS
Eugenie,Eugenie,NOUN
Marlitt,Marlitt,NOUN
Goldelse,Goldels,NOUN
E.,E.,PROPN
Marlitt,Marlitt,PROPN
:,--,PUNCT
Goldelse,Goldels,NOUN
1.,1.,ADV
Den,der,DET
ganzen,ganz,ADJ
Tag,Tag,NOUN
über,über,ADP
hatte,haben,AUX
es,es,PRON
geschneit,Geschneit,ADV
",",--,PUNCT
und,und,CCONJ
zwar,zwar,ADV
so,so,ADV
recht,recht,ADV
mit,mit,ADP
Muße,Muße,NOUN
und,und,CCONJ
Gemächlichkeit,Gemächlichkeit,NOUN
",",--,PUNCT
so,so,ADV
daß,daß,SCONJ
die,der,DET
Dächer,Dach,NOUN
und,und,CCONJ
Fenstersimse,Fenstersimse,NOUN
dicke,dicken,VERB
",",--,PUNCT
fleckenlos,fleckenlos,ADV
weiße,weiß,ADJ
Polster,Polster,PROPN
angelegt,anlegen,VERB
hatten,haben,AUX
.,--,PUNCT
Nun,nun,ADV
brach,brechen,VERB
ein,ein,DET
früher,früh,ADJ
Abend,Abend,NOUN
herein,herein,ADV
und,und,CCONJ
mit,mit,ADP
ihm,ihm,PRON
ein,ein,DET
wilder,wild,ADJ
Sturm,Sturm,NOUN
",",--,PUNCT
der,der,PRON
heimtückisch,heimtückisch,ADV
in,in,ADP
die,der,DET
niedertaumelnden,niedertaumelnd,ADJ
Schneeflocken,Schneeflocke,NOUN
fuhr,fahren,VERB
",",--,PUNCT
wie,wie,ADV
ein,ein,DET
Raubtier,Raubtier,NOUN
zwischen,zwischen,ADP
eine,ein,DET
friedliche,friedlich,ADJ
Taubenschar,Taubenschar,NOUN
.,--,PUNCT
Mag,mögen,AUX
auch,auch,ADV
das,der,DET
Wetter,Wetter,NOUN
derart,derart,ADV
sein,sein,AUX
",",--,PUNCT
daß,daß,SCONJ
der,der,DET
gemütliche,gemütlich,ADJ
Kleinstädter,Kleinstädter,NOUN
nicht,nicht,PART
einmal,einmal,ADV
seinen,sein,DET
Hund,Hund,NOUN
",",--,PUNCT
geschweige,geschweige,CCONJ
denn,denn,ADV
seine,sein,DET
eigenen,eigen,ADJ
",",--,PUNCT
edlen,edl,ADJ
Gliedmaßen,Gliedmaße,NOUN
außerhalb,außerhalb,ADP
der,der,DET
vier,vier,NUM
Wände,Wand,NOUN
wissen,wissen,VERB
will,wollen,AUX
",",--,PUNCT
in,in,ADP
der,der,DET
großen,groß,ADJ
Hauptstadt,Hauptstadt,NOUN
B.,B.,NOUN
merkt,merken,VERB
man,man,PRON
abends,abends,ADV
zwischen,zwischen,ADP
sechs,sechs,NUM
und,und,CCONJ
sieben,sieben,NUM
Uhr,Uhr,NOUN
keinen,kein,DET
auffallenden,auffallend,ADJ
Unterschied,Unterschied,NOUN
hinsichtlich,hinsichtlich,ADP
der,der,DET
Straßenfrequenz,Straßenfrequenz,NOUN
.,--,PUNCT
Die,der,DET
Gasflammen,Gasflamme,NOUN
ersetzen,ersetzen,VERB
die,der,DET
Himmelslichter,Himmelslichter,NOUN
",",--,PUNCT
die,der,PRON
nicht,nicht,PART
kommen,kommen,VERB
wollen,wollen,AUX
;,--,PUNCT
um,um,SCONJ
die,der,DET
Ecken,Ecke,NOUN
jagen,jagen,VERB
die,der,DET
Equipagen,Equipag,NOUN
in,in,ADP
so,so,ADV
wütender,wütend,ADJ
Eile,Eile,NOUN
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
Fußgänger,Fußgänger,NOUN
nur,nur,ADV
durch,durch,ADP
einen,ein,DET
kühnen,kühn,ADJ
Sprung,Sprung,NOUN
an,an,ADP
die,der,DET
Häuser,Haus,NOUN
Leben,Leben,NOUN
und,und,CCONJ
Glieder,Glied,NOUN
retten,retten,VERB
;,--,PUNCT
dafür,dafür,ADV
folgt,folgen,VERB
ein,ein,DET
Schwall,Schwall,NOUN
kräftiger,kräftig,ADJ
Flüche,Fluch,NOUN
dem,der,DET
pelzverbrämten,pelzverbrämt,ADJ
Kutscher,Kutscher,NOUN
und,und,CCONJ
dem,der,DET
eleganten,elegant,ADJ
Wagen,Wagen,NOUN
",",--,PUNCT
hinter,hinter,ADP
dessen,der,PRON
festgeschlossenen,festgeschlossen,ADJ
Scheiben,Scheibe,NOUN
reizende,reizend,ADJ
Damen,Dame,NOUN
ihr,ihr,DET
blumengeschmücktes,blumengeschmücktes,ADJ
Köpfchen,Köpfchen,NOUN
mühsam,mühsam,ADV
über,über,ADP
die,der,DET
ungeheuren,ungeheuer,ADJ
Wogen,Woge,NOUN
des,der,DET
umfangreichen,umfangreich,ADJ
Gazekleides,Gazekleide,NOUN
heben,heben,VERB
und,und,CCONJ
keine,kein,DET
Ahnung,Ahnung,NOUN
davon,davon,ADV
haben,haben,VERB
",",--,PUNCT
daß,daß,SCONJ
in,in,ADP
diesem,dieser,DET
Augenblicke,Augenblick,NOUN
Feuer,Feuer,NOUN
und,und,CCONJ
Schwefel,Schwefel,NOUN
auf,auf,ADP
ihre,ihr,DET
duftenden,duftend,ADJ
Locken,Lock,NOUN
herabgewünscht,herabgewünscht,VERB
werden,werden,AUX
.,--,PUNCT
Wohlfrisierte,wohlfrisierte,NOUN
Wachsköpfe,Wachsköpf,NOUN
",",--,PUNCT
inmitten,inmitten,ADP
schauderhafter,schauderhaft,ADJ
schwarzer,Schwarzer,NOUN
und,und,CCONJ
blonder,blond,ADJ
Skalps,Skalps,NOUN
",",--,PUNCT
still,still,ADV
und,und,CCONJ
aufmerksam,aufmerksam,ADV
arbeitende,arbeitend,ADJ
Uhrmacher,Uhrmacher,NOUN
",",--,PUNCT
lächelnde,lächelnd,ADJ
Kommisgesichter,Kommisgesichter,NOUN
hinter,hinter,ADP
bauschenden,bauschenden,VERB
Stoffen,Stoff,NOUN
und,und,CCONJ
verführerischen,verführerisch,ADJ
Mantillen,Mantillen,NOUN
",",--,PUNCT
und,und,CCONJ
alte,alt,ADJ
verkümmerte,verkümmert,ADJ
Boukett-,Boukett,X
und,und,CCONJ
Kranzwinderinnen,Kranzwinderinn,NOUN
zwischen,zwischen,ADP
hold,Hold,PROPN
blühenden,blühend,ADJ
",",--,PUNCT
frischen,frisch,ADJ
Blumen,Blume,NOUN
stehen,stehen,VERB
und,und,CCONJ
bewegen,bewegen,VERB
sich,sich,PRON
in,in,ADP
beneidenswerter,beneidenswert,ADJ
Sicherheit,Sicherheit,NOUN
und,und,CCONJ
wohldurchwärmter,wohldurchwärmt,ADJ
Atmosphäre,Atmosphäre,NOUN
hinter,hinter,ADP
den,der,DET
Schaufenstern,Schaufenster,NOUN
",",--,PUNCT
die,der,PRON
ein,ein,DET
blendendes,blendend,ADJ
Licht,Licht,NOUN
auf,auf,ADP
die,der,DET
schlüpfrigen,schlüpfrig,ADJ
Trottoirs,Trottoir,NOUN
und,und,CCONJ
den,der,DET
vorbeiflutenden,vorbeiflutend,ADJ
Menschenstrom,Menschenstrom,NOUN
werfen,werfen,VERB
",",--,PUNCT
wobei,wobei,SCONJ
blaurote,blaurot,ADJ
Nasenspitzen,Nasenspitz,NOUN
",",--,PUNCT
thränende,thränenden,VERB
Augen,Auge,NOUN
und,und,CCONJ
verzweifelte,verzweifeln,VERB
Kopf-,Kopf,X
und,und,CCONJ
Armbewegungen,Armbewegunge,NOUN
an,an,ADP
allen,aller,DET
alten,alt,ADJ
und,und,CCONJ
jungen,jung,NOUN
Vorübereilenden,Vorübereilend,NOUN
sichtbar,sichtbar,ADV
werden,werden,AUX
.,--,PUNCT
Doch,doch,CCONJ
halt,halt,ADV
–,--,PUNCT
nicht,nicht,PART
an,an,ADP
allen,alle,PRON
!,--,PUNCT
Da,da,ADV
tritt,treten,VERB
eben,eben,ADV
aus,aus,ADP
einem,ein,DET
Seitengäßchen,Seitengäßchen,NOUN
in,in,ADP
eine,einer,PRON
der,der,DET
Hauptstraßen,Hauptstraße,NOUN
mit,mit,ADP
leichtem,leicht,ADJ
",",--,PUNCT
elastischem,elastisch,ADJ
Schritte,Schritt,NOUN
eine,ein,DET
weibliche,weiblich,ADJ
Gestalt,Gestalt,NOUN
.,--,PUNCT
Das,der,PRON
enge,eng,ADJ
",",--,PUNCT
verwachsene,verwachsen,ADJ
Mäntelchen,Mäntelch,NOUN
schließt,schließen,VERB
sich,sich,PRON
fest,fest,ADV
an,an,ADP
die,der,DET
schlanken,schlank,ADJ
Glieder,Glied,NOUN
",",--,PUNCT
und,und,CCONJ
der,der,DET
alte,alt,ADJ
",",--,PUNCT
zerzauste,zerzaust,ADJ
Muff,Muff,NOUN
wird,werden,AUX
dicht,dicht,ADV
an,an,ADP
die,der,DET
Brust,Brust,NOUN
gedrückt,drücken,VERB
",",--,PUNCT
wo,wo,SCONJ
er,er,PRON
die,der,DET
Enden,Ende,NOUN
eines,ein,DET
herabhängenden,herabhängend,ADJ
Schleiers,Schleier,NOUN
festhält,festhalten,VERB
;,--,PUNCT
unter,unter,ADP
diesem,dieser,DET
alten,alt,ADJ
schwarzen,schwarz,ADJ
Gewebe,Geweb,NOUN
lachen,lachen,VERB
zwei,zwei,NUM
Mädchenaugen,Mädchenaug,NOUN
im,in,ADP
Sonnenglanze,Sonnenglanze,NOUN
frischer,frisch,ADJ
Jugend,Jugend,NOUN
;,--,PUNCT
sie,sie,PRON
blicken,blicken,VERB
fröhlich,fröhlich,ADV
in,in,ADP
das,der,DET
Schneegetümmel,Schneegetümmel,NOUN
",",--,PUNCT
haften,haften,VERB
innig,Innig,PROPN
an,an,ADP
den,der,DET
halbgeöffneten,halbgeöffnet,ADJ
Centifolien,Centifoli,NOUN
und,und,CCONJ
den,der,DET
dunklen,dunkel,ADJ
Veilchen,Veilchen,NOUN
hinter,hinter,ADP
den,der,DET
Glasscheiben,glasscheibe,PROPN
und,und,CCONJ
verbergen,verbergen,VERB
sich,sich,PRON
nur,nur,ADV
dann,dann,ADV
unter,unter,ADP
den,der,DET
langen,lang,ADJ
Wimpern,Wimper,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
sich,sich,PRON
heimtückische,heimtückisch,ADJ
Eissplitter,Eissplitter,NOUN
unter,unter,ADP
die,der,DET
Schneeflocken,Schneeflocke,NOUN
mischen,mischen,VERB
.,--,PUNCT
Wer,wer,PRON
einmal,einmal,ADV
gehört,gehören,VERB
hat,haben,AUX
",",--,PUNCT
wie,wie,ADP
kindliche,kindlich,ADJ
Hände,Hand,NOUN
",",--,PUNCT
oder,oder,CCONJ
auch,auch,ADV
Hände,Hand,NOUN
",",--,PUNCT
die,der,PRON
zu,zu,ADP
einem,ein,DET
völlig,völlig,ADV
ausgewachsenen,ausgewachsen,ADJ
Körper,Körper,NOUN
und,und,CCONJ
Kopfe,Kopf,NOUN
gehören,gehören,VERB
",",--,PUNCT
auf,auf,ADP
dem,der,DET
Klavier,Klavier,NOUN
eine,ein,DET
wohlbekannte,wohlbekannt,VERB
Melodie,Melodie,NOUN
zuversichtlich,zuversichtlich,ADV
beginnen,beginnen,VERB
",",--,PUNCT
gleich,gleich,ADV
darauf,darauf,ADV
mittels,mittels,ADP
einer,ein,DET
Dissonanz,Dissonanz,NOUN
den,der,DET
musikalischen,musikalisch,ADJ
Faden,Fade,NOUN
zerreißen,zerreißen,VERB
",",--,PUNCT
mit,mit,ADP
falschem,falsch,ADJ
Fingersatze,Fingersatze,NOUN
in,in,ADP
alle,aller,PRON
möglichen,möglich,ADJ
Tonarten,Tonart,NOUN
",",--,PUNCT
nur,nur,ADV
nicht,nicht,PART
in,in,ADP
die,der,DET
angegebene,angegeben,ADJ
",",--,PUNCT
greifen,greifen,VERB
",",--,PUNCT
wobei,wobei,SCONJ
der,der,DET
Lehrer,Lehrer,NOUN
den,der,DET
hochgehobenen,hochgehobenen,VERB
",",--,PUNCT
takttretenden,takttretend,ADJ
Fuß,Fuß,NOUN
verzweiflungsvoll,verzweiflungsvoll,ADV
sinken,sinken,VERB
läßt,lassen,VERB
",",--,PUNCT
bis,bis,SCONJ
endlich,endlich,ADV
die,der,DET
Melodie,Melodie,NOUN
langatmend,langatmend,ADV
und,und,CCONJ
lebensmüde,lebensmüde,ADV
wieder,wieder,ADV
anhebt,anheben,VERB
",",--,PUNCT
um,um,SCONJ
im,in,ADP
nächsten,nächster,ADJ
Augenblicke,Augenblick,NOUN
durch,durch,ADP
einige,einiger,DET
leichte,leicht,ADJ
Takte,Takt,NOUN
wie,wie,ADP
über,über,ADP
eine,ein,DET
weite,weit,ADJ
Ebene,Ebene,NOUN
dahinzurasen,dahinzurasen,VERB
–,--,PUNCT
wessen,wessen,DET
Ohrennerven,Ohrennerve,PROPN
einmal,einmal,ADV
auf,auf,ADP
dieser,dieser,DET
Folter,Folter,NOUN
gelegen,liegen,VERB
haben,haben,AUX
",",--,PUNCT
der,der,PRON
wird,werden,AUX
begreifen,begreifen,VERB
",",--,PUNCT
daß,daß,SCONJ
das,der,PRON
junge,jung,ADJ
Mädchen,Mädchen,NOUN
",",--,PUNCT
welches,welcher,PRON
soeben,soeben,ADV
zwei,zwei,NUM
Unterrichtsstunden,Unterrichtsstunde,NOUN
in,in,ADP
einem,ein,DET
Institute,Institut,NOUN
beendet,beenden,VERB
hat,haben,AUX
",",--,PUNCT
dem,der,DET
Sturmwinde,Sturmwinde,NOUN
freudig,freudig,ADV
die,der,DET
heiße,heiß,ADJ
Wange,Wange,NOUN
bietet,bieten,VERB
",",--,PUNCT
einem,ein,DET
wackeren,wack,ADJ
Gesellen,Geselle,NOUN
von,von,ADP
System,System,NOUN
und,und,CCONJ
konsequenter,konsequent,ADJ
Durchführung,Durchführung,NOUN
",",--,PUNCT
dessen,der,DET
mächtiges,mächtig,ADJ
Brausen,Brausen,NOUN
ja,ja,ADV
in,in,ADP
Orgel,Orgel,PROPN
und,und,CCONJ
Aeolsharfe,Aeolsharfe,NOUN
zur,zu,ADP
wundersamen,wundersam,ADJ
Melodie,Melodie,NOUN
wird,werden,AUX
.,--,PUNCT
So,so,ADV
eilt,eilen,VERB
das,der,DET
junge,jung,ADJ
Mädchen,Mädchen,NOUN
flüchtig,flüchtig,ADV
und,und,CCONJ
schwebend,schwebend,ADV
durch,durch,ADP
Schneefall,Schneefall,NOUN
und,und,CCONJ
andringenden,andringend,ADJ
Menschenstrom,Menschenstrom,NOUN
",",--,PUNCT
und,und,CCONJ
ich,ich,PRON
zweifle,zweifeln,VERB
keinen,kein,DET
Augenblick,Augenblick,NOUN
",",--,PUNCT
sie,sie,PRON
würde,werden,AUX
auf,auf,ADP
den,der,DET
schwimmenden,schwimmend,ADJ
Quadersteinen,Quaderstein,NOUN
des,der,DET
Trottoirs,Trottoir,NOUN
",",--,PUNCT
umbraust,umbraust,ADV
vom,von,ADP
Sturme,Sturme,NOUN
",",--,PUNCT
nicht,nicht,PART
anders,anders,ADV
als,als,ADP
auf,auf,ADP
dem,der,DET
Parkett,Parkett,NOUN
eines,ein,DET
Salons,Salon,NOUN
auch,auch,ADV
",",--,PUNCT
dem,der,DET
Leser,Leser,NOUN
unter,unter,ADP
holdseligem,holdselig,ADJ
Lächeln,lächeln,NOUN
die,der,DET
graziöseste,graziöse,ADJ
Verbeugung,Verbeugung,NOUN
machen,machen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
ich,ich,PRON
sie,sie,PRON
ihm,ihm,PRON
vorstellen,vorstellen,VERB
wollte,wollen,AUX
als,als,ADP
Fräulein,Fräulein,NOUN
Elisabeth,Elisabeth,PROPN
Ferber,Ferber,PROPN
.,--,PUNCT
Diese,dieser,DET
Vorstellung,Vorstellung,NOUN
kann,können,AUX
nun,nun,ADV
freilich,freilich,ADV
nicht,nicht,PART
stattfinden,stattfinden,VERB
",",--,PUNCT
und,und,CCONJ
das,der,PRON
ist,sein,AUX
mir,mir,PRON
