Token,Lemma,POS
Eugenie,Eugenie,NOUN
Marlitt,Marlitt,NOUN
Im,in,ADP
Schillingshof,Schillingshof,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
1.,1.,ADV
Der,der,DET
»,--,PUNCT
Schillingshof,Schillingshof,NOUN
«,--,PUNCT
hieß,heißen,VERB
es,es,PRON
",",--,PUNCT
das,der,DET
herrliche,herrlich,ADJ
",",--,PUNCT
alte,alt,ADJ
Haus,Haus,NOUN
",",--,PUNCT
nahe,nahe,ADP
der,der,PRON
Benediktinerkirche,Benediktinerkirche,NOUN
;,--,PUNCT
im,in,ADP
Volksmund,Volksmund,NOUN
aber,aber,ADV
war,sein,AUX
und,und,CCONJ
blieb,bleiben,VERB
es,es,PRON
»,--,PUNCT
das,der,DET
Säulenhaus,Säulenhaus,NOUN
«,--,PUNCT
",",--,PUNCT
ob,ob,SCONJ
auch,auch,ADV
die,der,DET
Neuzeit,Neuzeit,NOUN
ganze,ganz,ADJ
Straßenfronten,Straßenfronte,NOUN
mit,mit,ADP
Säulen,Säule,NOUN
und,und,CCONJ
Säulchen,Säulch,NOUN
schmückte,schmücken,VERB
und,und,CCONJ
so,so,ADV
eigentlich,eigentlich,ADV
die,der,DET
Auszeichnung,Auszeichnung,NOUN
aufhob,aufhieben,VERB
.,--,PUNCT
Ein,ein,DET
Benediktinermönch,Benediktinermönch,NOUN
hatte,haben,AUX
das,der,DET
Haus,Haus,NOUN
gebaut,bauen,VERB
.,--,PUNCT
In,in,ADP
jenen,jener,DET
Zeiten,Zeit,NOUN
",",--,PUNCT
wo,wo,SCONJ
die,der,DET
Beherbergung,Beherbergung,NOUN
von,von,ADP
Reisenden,reisend,NOUN
noch,noch,ADV
kein,kein,DET
städtisches,städtisch,ADJ
Gewerbe,Gewerbe,NOUN
war,sein,AUX
",",--,PUNCT
nahmen,nehmen,VERB
sich,sich,PRON
die,der,DET
Klöster,Kloster,NOUN
und,und,CCONJ
Ritterburgen,Ritterburg,NOUN
der,der,DET
durchziehenden,durchziehend,ADJ
Fremden,fremde,NOUN
an,an,ADP
.,--,PUNCT
Mancher,mancher,DET
Klosterorden,Klosterorde,NOUN
errichtete,errichten,VERB
zu,zu,ADP
diesem,dieser,DET
Zweck,Zweck,NOUN
ein,ein,DET
Hospiz,hospiz,NOUN
auf,auf,ADP
seinem,sein,DET
Grund,Grund,NOUN
und,und,CCONJ
Boden,Boden,NOUN
–,--,PUNCT
so,so,ADV
war,sein,AUX
das,der,DET
Säulenhaus,Säulenhaus,NOUN
entstanden,entstehen,VERB
.,--,PUNCT
–,--,PUNCT
Das,der,DET
Kloster,Kloster,NOUN
war,sein,AUX
ein,ein,DET
sehr,sehr,ADV
reiches,reich,ADJ
",",--,PUNCT
und,und,CCONJ
Bruder,Bruder,NOUN
Ambrosius,Ambrosius,PROPN
",",--,PUNCT
der,der,DET
Baumeister,Baumeister,NOUN
und,und,CCONJ
Bildhauer,Bildhauer,NOUN
",",--,PUNCT
war,sein,AUX
schönheitstrunken,schönheitstrunken,NOUN
von,von,ADP
Italien,Italien,PROPN
heraufgekommen,heraufgekommen,VERB
;,--,PUNCT
zudem,zudem,ADV
galt,gelten,VERB
es,es,PRON
",",--,PUNCT
ein,ein,DET
standeswürdiges,standeswürdig,ADJ
Unterkommen,Unterkommen,NOUN
zu,zu,PART
schaffen,schaffen,VERB
für,für,ADP
gefürstete,gefürstet,ADJ
Häupter,Häupter,NOUN
und,und,CCONJ
hochgräfliche,hochgräflich,ADJ
Herren,Herr,NOUN
",",--,PUNCT
die,der,PRON
mit,mit,ADP
Ehegemahl,Ehegemahl,NOUN
und,und,CCONJ
Gefolge,Gefolge,NOUN
oft,oft,ADV
des,der,DET
Weges,Weg,NOUN
daherzogen,daherzogen,VERB
und,und,CCONJ
gern,gern,ADV
an,an,ADP
das,der,DET
Klostertor,Klostertor,NOUN
klopften,klopfen,VERB
–,--,PUNCT
dies,dieser,PRON
alles,alle,PRON
machte,machen,VERB
",",--,PUNCT
daß,daß,SCONJ
sich,sich,PRON
neben,neben,ADP
dem,der,DET
plumpen,plump,ADJ
Giebelbau,Giebelbau,NOUN
des,der,DET
Bruderhauses,Bruderhauses,NOUN
jene,jener,DET
köstliche,köstlich,ADJ
Fassade,Fassade,NOUN
erhob,erheben,VERB
",",--,PUNCT
die,der,PRON
auf,auf,ADP
einem,ein,DET
hallenartigen,hallenartigen,VERB
",",--,PUNCT
weitgeschwungenen,weitgeschwungen,VERB
Säulengang,Säulengang,NOUN
ein,ein,DET
Obergeschoß,Obergeschoß,NOUN
mit,mit,ADP
halbrundbogigen,Halbrundbogig,NOUN
Fenstern,Fenster,NOUN
trug,tragen,VERB
",",--,PUNCT
und,und,CCONJ
in,in,ADP
jeder,jeder,DET
Bogenfüllung,Bogenfüllung,NOUN
",",--,PUNCT
auf,auf,ADP
Konsolen,Konsole,NOUN
und,und,CCONJ
Friesen,Friese,NOUN
",",--,PUNCT
und,und,CCONJ
auf,auf,ADP
den,der,DET
Pfosten,Pfoste,NOUN
der,der,DET
mächtigen,mächtig,ADJ
Rundbogentür,Rundbogentür,NOUN
",",--,PUNCT
innerhalb,innerhalb,ADP
der,der,DET
offenen,offen,ADJ
Halle,Halle,NOUN
",",--,PUNCT
den,der,PRON
bewunderungswürdigen,bewunderungswürdig,ADJ
Schmus,Schmus,NOUN
einer,ein,DET
ganzen,ganz,ADJ
steinernen,steinern,ADJ
Vegetation,Vegetation,NOUN
zeigte,zeigen,VERB
.,--,PUNCT
Während,während,SCONJ
der,der,DET
Oberbau,Oberbau,NOUN
zu,zu,ADP
beiden,beide,DET
Seiten,Seite,NOUN
zurücktrat,zurücktrat,VERB
",",--,PUNCT
lief,laufen,VERB
das,der,DET
Erdgeschoß,Erdgeschoß,NOUN
mit,mit,ADP
feinem,fein,ADJ
Säulengang,Säulengang,NOUN
um,um,ADP
je,je,ADV
drei,drei,NUM
Fenster,Fenster,NOUN
flügelartig,flügelartig,ADV
weiter,weiter,ADV
;,--,PUNCT
so,so,ADV
stieß,stoßen,VERB
nur,nur,ADV
dieses,dieser,DET
untere,unterer,ADJ
Stockwerk,Stockwerk,NOUN
hart,hart,ADV
an,an,ADP
die,der,DET
südliche,südlich,ADJ
Klosterwand,Klosterwand,NOUN
und,und,CCONJ
bildete,bilden,VERB
",",--,PUNCT
durch,durch,ADP
Steinbrüstungen,Steinbrüstung,NOUN
gekrönt,krönen,VERB
",",--,PUNCT
zwei,zwei,NUM
luftige,luftig,ADJ
Seitenterrassen,Seitenterrasse,NOUN
",",--,PUNCT
auf,auf,ADP
die,der,PRON
verschiedene,verschieden,ADJ
Türen,Tür,NOUN
des,der,DET
Obergeschosses,Obergeschosses,PROPN
mündeten,mündeten,VERB
.,--,PUNCT
Was,was,PRON
dieser,dieser,DET
Fremdling,Fremdling,NOUN
auf,auf,ADP
deutschem,deutsch,ADJ
Boden,Boden,NOUN
in,in,ADP
jenen,jener,DET
versunkenen,versunken,ADJ
Zeiten,Zeit,NOUN
erlebt,erleben,VERB
und,und,CCONJ
gesehen,sehen,VERB
",",--,PUNCT
davon,davon,ADV
wußte,wissen,VERB
das,der,DET
neunzehnte,neunzehnt,ADJ
Jahrhundert,Jahrhundert,NOUN
nur,nur,ADV
wenig,wenig,PRON
.,--,PUNCT
Damals,damals,ADV
hatte,haben,AUX
das,der,PRON
Benediktinerkloster,Benediktinerkloster,NOUN
außerhalb,außerhalb,ADP
der,der,DET
Stadt,Stadt,NOUN
",",--,PUNCT
im,in,ADP
freien,frei,ADJ
Felde,Feld,NOUN
gelegen,liegen,VERB
;,--,PUNCT
nur,nur,ADV
einige,einiger,PRON
Lehmhütten,Lehmhütte,NOUN
hatten,haben,AUX
sich,sich,PRON
wie,wie,SCONJ
versprengt,versprengt,ADV
am,an,ADP
gegenüberliegenden,gegenüberliegend,ADJ
Saum,Saum,NOUN
der,der,DET
Heerstraße,Heerstraße,NOUN
in,in,ADP
das,der,DET
Strauchwerk,Strauchwerk,NOUN
geduckt,ducken,VERB
und,und,CCONJ
kaum,kaum,ADV
die,der,DET
Holzladen,Holzlade,NOUN
ihrer,ihr,DET
Fensterlöcher,Fensterlöcher,NOUN
gelüftet,lüften,VERB
",",--,PUNCT
wenn,wenn,SCONJ
abends,abends,ADV
Pferdegetrappel,Pferdegetrappel,PROPN
und,und,CCONJ
herrische,herrisch,ADJ
Stimmen,Stimme,NOUN
vor,vor,ADP
der,der,DET
gewaltigen,Gewaltig,ADJ
",",--,PUNCT
die,der,PRON
Klostergebäude,Klostergebäude,PROPN
umschließenden,umschließend,ADJ
Mauer,Mauer,NOUN
laut,laut,ADV
geworden,werden,AUX
waren,sein,AUX
.,--,PUNCT
Der,der,DET
grell,grell,ADV
auftauchende,auftauchend,ADJ
Flammenschein,Flammenschein,NOUN
der,der,DET
Pechfackeln,Pechfackel,NOUN
im,in,ADP
Hofraum,Hofraum,NOUN
",",--,PUNCT
der,der,DET
höllische,höllisch,ADJ
Lärm,Lärm,NOUN
",",--,PUNCT
den,der,PRON
die,der,DET
tobenden,tobend,ADJ
Klosterhunde,Klosterhund,NOUN
und,und,CCONJ
die,der,DET
Reisigen,Reisig,NOUN
mit,mit,ADP
ihren,ihr,DET
wiehernden,wiehernd,NOUN
und,und,CCONJ
stampfenden,stampfend,ADJ
Rossen,Rosse,NOUN
verursachten,verursachten,VERB
",",--,PUNCT
erlosch,erlosch,ADV
nach,nach,ADP
kurzem,kurz,ADJ
wie,wie,ADP
ein,ein,DET
toller,toll,ADJ
Spuk,Spuk,NOUN
",",--,PUNCT
und,und,CCONJ
die,der,DET
Hüttenbewohner,Hüttenbewohner,NOUN
krochen,kroch,VERB
neidisch,neidisch,ADV
in,in,ADP
ihre,ihr,DET
Höhlen,Höhle,NOUN
zurück,zurück,ADV
;,--,PUNCT
denn,denn,CCONJ
so,so,ADV
viel,viel,PRON
wußten,wissen,VERB
sie,sie,PRON
",",--,PUNCT
daß,daß,SCONJ
das,der,DET
Kloster,Kloster,NOUN
einen,ein,DET
herrlichen,herrlich,ADJ
Wein,Wein,NOUN
schenkte,schenken,VERB
und,und,CCONJ
seine,sein,DET
Schlote,Schlot,NOUN
Tag,Tag,NOUN
und,und,CCONJ
Nacht,Nacht,NOUN
dampften,dampften,VERB
...,--,PUNCT
Drin,Drin,ADV
aber,aber,ADV
",",--,PUNCT
hinter,hinter,ADP
den,der,DET
teppichverhangenen,teppichverhangen,ADJ
Fenstern,Fenster,NOUN
der,der,DET
weiten,weit,ADJ
Säle,Säle,NOUN
flimmerte,flimmeren,VERB
das,der,DET
Licht,Licht,NOUN
dicker,dick,ADJ
Wachskerzen,Wachskerz,NOUN
von,von,ADP
den,der,DET
eisernen,eisern,ADJ
Reifen,Reifen,NOUN
der,der,DET
Deckenleuchter,deckenleuchter,NOUN
",",--,PUNCT
und,und,CCONJ
die,der,DET
hochgeborenen,hochgeboren,ADJ
Herren,Herr,NOUN
und,und,CCONJ
Frauen,Frau,NOUN
",",--,PUNCT
der,der,PRON
beengenden,beengenden,NOUN
und,und,CCONJ
verhüllenden,verhüllend,ADJ
Reitertracht,Reitertracht,NOUN
ledig,ledig,ADV
",",--,PUNCT
sammelten,sammeln,VERB
sich,sich,PRON
um,um,ADP
die,der,DET
langen,lang,ADJ
",",--,PUNCT
mit,mit,ADP
dem,der,PRON
fürstlich,fürstlich,ADV
reichen,reich,ADJ
Silbergeschirr,Silbergeschirr,NOUN
des,der,DET
Abtes,Abt,NOUN
beladenen,beladen,ADJ
Eichentische,Eichentisch,NOUN
.,--,PUNCT
Da,da,ADV
kreisten,kreisen,VERB
die,der,DET
Becher,Becher,NOUN
oft,oft,ADV
bis,bis,ADP
weit,weit,ADV
über,über,ADP
Mitternacht,Mitternacht,NOUN
",",--,PUNCT
die,der,DET
Würfel,Würfel,NOUN
klirrten,klirren,VERB
",",--,PUNCT
und,und,CCONJ
die,der,PRON
fahrenden,fahrend,ADJ
Spielleute,Spielleute,NOUN
",",--,PUNCT
denen,der,PRON
drüben,drüben,ADV
im,in,ADP
Bruderhause,Bruderhause,NOUN
zur,zu,ADP
nächtlichen,nächtlich,ADJ
Rast,Rast,PROPN
Stroh,Stroh,PROPN
auf,auf,ADP
die,der,DET
Steinfliesen,Steinfliese,NOUN
geschüttet,schütten,VERB
morden,morden,VERB
war,sein,AUX
",",--,PUNCT
durften,dürfen,AUX
kommen,kommen,VERB
und,und,CCONJ
aufspielen,aufspielen,VERB
",",--,PUNCT
solange,solange,SCONJ
die,der,DET
müden,müd,ADJ
Finger,Finger,NOUN
und,und,CCONJ
Kehlen,Kehle,NOUN
aushielten,aushieln,VERB
.,--,PUNCT
Sie,sie,PRON
kamen,kommen,VERB
oft,oft,ADV
von,von,ADP
verschiedenen,verschieden,ADJ
Seiten,Seite,NOUN
her,her,ADV
",",--,PUNCT
die,der,DET
großen,groß,ADJ
und,und,CCONJ
mächtigen,mächtig,ADJ
Herren,Herr,NOUN
",",--,PUNCT
um,um,SCONJ
in,in,ADP
dem,der,DET
durch,durch,ADP
Klosterschutz,Klosterschutz,NOUN
gefeiten,gefeit,ADJ
Säulenhause,Säulenhause,NOUN
geheime,geheim,ADJ
Vereinbarungen,Vereinbarung,NOUN
zu,zu,ADP
treffen,treffen,VERB
:,--,PUNCT
manche,mancher,DET
wichtige,wichtig,ADJ
Urkunde,Urkunde,NOUN
aus,aus,ADP
jenen,jener,DET
Zeiten,Zeit,NOUN
bezeichnet,bezeichnen,VERB
das,der,PRON
Benediktinerkloster,Benediktinerkloster,NOUN
als,als,ADP
den,der,DET
Ort,Ort,NOUN
ihres,ihr,DET
Ursprunges,Ursprung,NOUN
.,--,PUNCT
Und,und,CCONJ
die,der,DET
Herren,Herr,NOUN
Benediktiner,Benediktiner,PROPN
hatten,haben,AUX
sich,sich,PRON
nicht,nicht,PART
schlecht,schlecht,ADV
dabei,dabei,ADV
gestanden,gestehen,VERB
.,--,PUNCT
Sie,sie,PRON
waren,sein,AUX
stets,stets,ADV
",",--,PUNCT
ohne,ohne,SCONJ
im,in,ADP
Säulenhaus,Säulenhaus,NOUN
gegenwärtig,gegenwärtig,ADV
zu,zu,PART
sein,sein,AUX
",",--,PUNCT
lediglich,lediglich,ADV
vermöge,vermögen,VERB
ihres,ihr,DET
Scharfsinnes,Scharfsinn,NOUN
",",--,PUNCT
ihrer,ihr,DET
feinen,fein,ADJ
Kombinationsgabe,Kombinationsgabe,NOUN
",",--,PUNCT
den,der,DET
geheimen,geheim,ADJ
Verhandlungen,Verhandlung,NOUN
ihrer,ihr,DET
Gäste,Gast,NOUN
gefolgt,folgen,VERB
