Token,Lemma,POS
E.,E.,PROPN
Marlitt,Marlitt,PROPN
Thüringer,Thüringer,ADJ
Erzählungen,Erzählung,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
Amtmanns,Amtmann,PROPN
Magd,Magd,NOUN
Die,der,DET
zwölf,zwölf,NUM
Apostel,Apostel,NOUN
Blaubart,Blaubart,PROPN
Schulmeisters,Schulmeister,NOUN
Marie,Marie,NOUN
Eugenie,Eugenie,NOUN
John-Marlitt,John-Marlitt,NOUN
–,--,PUNCT
ihr,ihr,DET
Leben,Leben,NOUN
und,und,CCONJ
ihre,ihr,DET
Werke,Werk,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Amtmanns,Amtmann,PROPN
Magd,Magd,NOUN
.,--,PUNCT
1.,1.,ADV
Die,der,DET
alte,alt,ADJ
Frau,Frau,NOUN
Oberforstmeisterin,Oberforstmeisterin,PROPN
war,sein,AUX
schon,schon,ADV
seit,seit,ADP
länger,lang,ADV
als,als,ADP
einem,ein,DET
Jahr,Jahr,NOUN
verstorben,verstorben,VERB
.,--,PUNCT
Ein,ein,DET
Jahr,Jahr,NOUN
ist,sein,AUX
für,für,ADP
die,der,DET
Toten,tote,NOUN
",",--,PUNCT
die,der,PRON
bekanntlich,bekanntlich,ADV
schnell,schnell,ADV
vergessen,vergessen,VERB
werden,werden,AUX
",",--,PUNCT
eine,ein,DET
lange,lang,ADJ
Zeit,Zeit,NOUN
",",--,PUNCT
und,und,CCONJ
die,der,DET
alte,alt,ADJ
Dame,Dame,NOUN
im,in,ADP
Hirschwinkel,Hirschwinkel,NOUN
hatte,haben,AUX
nach,nach,ADP
landläufigem,landläufig,ADJ
Ausdruck,Ausdruck,NOUN
keinerlei,keinerlei,DET
»,--,PUNCT
Freundschaft,Freundschaft,NOUN
«,--,PUNCT
hinterlassen,hinterlassen,VERB
–,--,PUNCT
es,es,PRON
war,sein,AUX
um,um,ADP
ihretwillen,ihretwillen,ADV
weit,weit,ADV
und,und,CCONJ
breit,breit,ADV
auch,auch,ADV
nicht,nicht,PART
das,der,DET
kleinste,klein,ADJ
