Token,Lemma,POS
F.,F.,PROPN
W.,W.,PROPN
Hackländer,Hackländer,PROPN
Der,der,DET
Augenblick,Augenblick,NOUN
des,der,DET
Glücks,Glück,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
beginnt,beginnen,VERB
langweilig,langweilig,ADV
.,--,PUNCT
Hat,haben,AUX
der,der,DET
geneigte,geneigt,ADJ
und,und,CCONJ
vielgeliebte,vielgeliebt,ADJ
Leser,Leser,NOUN
schon,schon,ADV
früher,früh,ADV
erfahren,erfahren,VERB
",",--,PUNCT
was,wer,PRON
Langeweile,Langeweile,NOUN
ist,sein,AUX
?,--,PUNCT
Es,es,PRON
sollte,sollen,AUX
uns,uns,PRON
freuen,freuen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
dem,der,PRON
so,so,ADV
wäre,sein,AUX
",",--,PUNCT
aber,aber,CCONJ
außerordentlich,außerordentlich,ADV
schmerzen,Schmerz,VERB
",",--,PUNCT
wenn,wenn,SCONJ
er,er,PRON
die,der,DET
Bekanntschaft,Bekanntschaft,NOUN
dieses,dieser,DET
fünften,fünfter,ADJ
Elementes,Element,NOUN
",",--,PUNCT
wie,wie,SCONJ
jemand,jemand,PRON
die,der,DET
Langeweile,Langeweile,NOUN
genannt,nennen,VERB
",",--,PUNCT
erst,erst,ADV
durch,durch,ADP
uns,uns,PRON
machen,machen,VERB
sollte,sollen,AUX
.,--,PUNCT
Wenn,wenn,SCONJ
aber,aber,ADV
auch,auch,ADV
der,der,DET
geneigte,geneigt,ADJ
Leser,Leser,NOUN
weiß,wissen,VERB
",",--,PUNCT
was,was,PRON
Langeweile,Langeweile,NOUN
ist,sein,AUX
",",--,PUNCT
so,so,ADV
hat,haben,AUX
er,er,PRON
sich,sich,PRON
doch,doch,ADV
vielleicht,vielleicht,ADV
noch,noch,ADV
nie,nie,ADV
die,der,DET
Mühe,Mühe,NOUN
gegeben,geben,VERB
",",--,PUNCT
dieselbe,derselbe,PRON
gründlich,gründlich,ADV
zu,zu,PART
studieren,studieren,VERB
und,und,CCONJ
in,in,ADP
ihren,ihr,DET
Einzelheiten,Einzelheit,NOUN
kennen,kennen,VERB
zu,zu,PART
lernen,lernen,VERB
.,--,PUNCT
O,O,PROPN
",",--,PUNCT
es,es,PRON
gibt,geben,VERB
unendlich,unendlich,ADV
viele,vieler,DET
Abarten,Abart,NOUN
von,von,ADP
Langerweile,Langerweil,PROPN
!,--,PUNCT
So,so,ADV
haben,haben,AUX
wir,wir,PRON
