Token,Lemma,POS
Friedrich,Friedrich,PROPN
Wilhelm,Wilhelm,PROPN
Hackländer,Hackländer,PROPN
Eugen,Eugen,PROPN
Stillfried,Stillfried,PROPN
Erster,erst,ADJ
Band,Band,NOUN
1855,1855,NUM
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Der,der,DET
geneigte,geneigt,ADJ
Leser,Leser,NOUN
sieht,sehen,VERB
alte,alt,ADJ
Dinge,Ding,NOUN
vielleicht,vielleicht,ADV
auf,auf,ADP
eine,ein,DET
neue,neu,ADJ
Art,Art,NOUN
.,--,PUNCT
Er,er,PRON
macht,machen,VERB
bei,bei,ADP
Tagesanbruch,Tagesanbruch,NOUN
die,der,DET
Bekanntschaft,Bekanntschaft,NOUN
einer,ein,DET
würdigen,würdig,ADJ
Mutter,Mutter,NOUN
und,und,CCONJ
wohnt,wohnen,VERB
einem,einer,PRON
Zwiegespräch,Zwiegespräch,NOUN
bei,bei,ADP
",",--,PUNCT
welches,welcher,PRON
dieselbe,derselbe,PRON
mit,mit,ADP
ihrem,ihr,DET
Sohne,Sohne,NOUN
hält,halten,VERB
.,--,PUNCT
Wenn,wenn,SCONJ
man,man,PRON
in,in,ADP
einer,ein,DET
großen,groß,ADJ
Stadt,Stadt,NOUN
lebt,leben,VERB
und,und,CCONJ
spät,spät,ADV
in,in,ADP
der,der,DET
Nacht,Nacht,NOUN
oder,oder,CCONJ
",",--,PUNCT
noch,noch,ADV
besser,gut,ADV
",",--,PUNCT
früh,früh,ADV
gegen,gegen,ADP
Morgen,Morgen,NOUN
von,von,ADP
einer,ein,DET
durchschwärmten,durchschwärmt,ADJ
Soirée,Soirée,PROPN
",",--,PUNCT
einem,ein,DET
lange,lange,ADV
dauernden,dauernd,ADJ
Souper,Souper,PROPN
oder,oder,CCONJ
einem,ein,DET
ermüdenden,ermüdend,ADJ
Balle,Balle,NOUN
träge,träge,ADV
und,und,CCONJ
matt,matt,ADV
nach,nach,ADP
Hause,Haus,NOUN
schleicht,schleichen,VERB
",",--,PUNCT
so,so,ADV
bemerkt,bemerken,VERB
man,man,PRON
",",--,PUNCT
daß,daß,SCONJ
jetzt,jetzt,ADV
",",--,PUNCT
wo,wo,SCONJ
sich,sich,PRON
fast,fast,ADV
Alles,alle,PRON
zur,zu,ADP
Ruhe,Ruhe,NOUN
begeben,begeben,VERB
hat,haben,AUX
",",--,PUNCT
ein,ein,DET
eigenthümliches,eigenthümlich,ADJ
",",--,PUNCT
sonderbar,sonderbar,ADV
schattenhaftes,schattenhaft,ADJ
Getreibe,Getreib,NOUN
hie,hie,ADV
und,und,CCONJ
da,da,ADV
