Token,Lemma,POS
Friedrich,Friedrich,PROPN
Wilhelm,Wilhelm,PROPN
Hackländer,Hackländer,PROPN
Eugen,Eugen,PROPN
Stillfried,Stillfried,PROPN
–,--,PUNCT
Dritter,dritt,ADJ
Band,Band,NOUN
Titelblatt,Titelblatt,NOUN
Einundvierzigstes,einundvierzigster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Erzählt,erzählen,VERB
von,von,ADP
einer,ein,DET
Entdeckungsreise,Entdeckungsreise,NOUN
",",--,PUNCT
die,der,PRON
zu,zu,ADP
einem,ein,DET
gewünschten,gewünscht,ADJ
Resultate,Resultat,NOUN
zu,zu,ADP
führen,führen,VERB
scheint,scheinen,VERB
.,--,PUNCT
Dieses,dieser,DET
Essen,essen,NOUN
ging,gehen,VERB
nun,nun,ADV
vorüber,vorüber,ADV
",",--,PUNCT
wie,wie,ADP
manches,mancher,DET
andere,anderer,ADJ
Festessen,festessen,NOUN
",",--,PUNCT
nur,nur,ADV
mit,mit,ADP
dem,der,DET
Unterschiede,Unterschied,NOUN
",",--,PUNCT
daß,daß,SCONJ
hier,hier,ADV
keine,kein,DET
Reden,Rede,NOUN
gehalten,halten,VERB
",",--,PUNCT
vielmehr,vielmehr,ADV
nur,nur,ADV
den,der,DET
Schüsseln,Schüssel,NOUN
zugesprochen,zusprechen,VERB
wurde,werden,AUX
.,--,PUNCT
Herr,Herr,NOUN
Holder,Holder,NOUN
saß,sitzen,VERB
neben,neben,ADP
den,der,DET
Kindern,Kind,NOUN
des,der,DET
Direktors,Direktor,NOUN
",",--,PUNCT
finster,finst,ADJ
und,und,CCONJ
in,in,ADP
sich,sich,PRON
gekehrt,kehren,VERB
",",--,PUNCT
und,und,CCONJ
warf,werfen,VERB
zuweilen,zuweilen,ADV
einen,ein,DET
mißtrauischen,mißtrauisch,ADJ
Blick,Blick,NOUN
auf,auf,ADP
die,der,DET
neuen,neu,ADJ
Kollegen,Kollege,NOUN
",",--,PUNCT
wogegen,wogegen,SCONJ
der,der,DET
würdige,würdig,ADJ
Herr,Herr,NOUN
Trommler,Trommler,NOUN
sein,sein,DET
Möglichstes,Möglichstes,NOUN
that,that,VERB
",",--,PUNCT
um,um,SCONJ
dieselben,derselbe,PRON
",",--,PUNCT
die,der,PRON
an,an,ADP
seiner,sein,DET
Seite,Seite,NOUN
saßen,sitzen,VERB
",",--,PUNCT
auf's,auf's,ADJ
Beste,gute,NOUN
zu,zu,PART
unterhalten,unterhalten,VERB
.,--,PUNCT
Von,von,ADP
dem,der,DET
Herrn,Herr,NOUN
Hannibal,Hannibal,PROPN
können,können,AUX
wir,wir,PRON
nicht,nicht,PART
verschweigen,verschweigen,VERB
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
–,--,PUNCT
wahrscheinlich,wahrscheinlich,ADV
unbewußt,unbewußt,ADV
–,--,PUNCT
an,an,ADP
der,der,DET
Seite,Seite,NOUN
der,der,DET
Schwägerin,Schwägerin,NOUN
des,der,DET
Schauspieldirektors,Schauspieldirektor,NOUN
(,--,PUNCT
sie,sie,PRON
hieß,heißen,VERB
Thusnelde,Thusnelde,PROPN
),--,PUNCT
niedergesessen,niedersessen,VERB
war,sein,AUX
und,und,CCONJ
sich,sich,PRON
dort,dort,ADV
sehr,sehr,ADV
wohl,wohl,ADV
zu,zu,PART
befinden,befinden,VERB
schien,scheinen,VERB
;,--,PUNCT
wenigstens,wenigstens,ADV
war,sein,AUX
ihm,ihm,PRON
dieser,dieser,DET
zweite,zweiter,ADJ
Akt,Akt,NOUN
seines,sein,DET
neu,neu,ADV
begonnenen,begonnen,ADJ
Künstlerdrama's,Künstlerdrama's,NOUN
nicht,nicht,PART
minder,minder,ADV
angenehm,angenehm,ADV
",",--,PUNCT
als,als,SCONJ
