Token,Lemma,POS
Friedrich,Friedrich,PROPN
Wilhelm,Wilhelm,PROPN
Hackländer,Hackländer,PROPN
Feuerwerker,Feuerwerker,NOUN
Wortmann,Wortmann,PROPN
und,und,CCONJ
andere,anderer,ADJ
Soldatengeschichten,Soldatengeschicht,NOUN
Feuerwerker,Feuerwerker,NOUN
Wortmann,Wortmann,PROPN
1.,1.,ADV
Daß,daß,SCONJ
ich,ich,PRON
geboren,gebären,VERB
wurde,werden,AUX
",",--,PUNCT
wird,werden,AUX
mir,mir,PRON
der,der,DET
geneigte,geneigt,ADJ
Leser,Leser,NOUN
hoffentlich,hoffentlich,ADV
auf's,auf's,ADJ
Wort,Wort,NOUN
glauben,glauben,VERB
;,--,PUNCT
ich,ich,PRON
kann,können,AUX
für,für,ADP
mein,mein,DET
Dasein,Dasein,NOUN
die,der,DET
besten,gut,ADJ
Beweise,Beweis,NOUN
beibringen,beibringen,VERB
",",--,PUNCT
und,und,CCONJ
lasse,lassen,VERB
mir,mir,PRON
kein,kein,DET
Haar,Haar,NOUN
von,von,ADP
meiner,mein,DET
Existenz,Existenz,NOUN
wegdisputiren,wegdisputiren,VERB
.,--,PUNCT
Wenn,wenn,SCONJ
bei,bei,ADP
meiner,mein,DET
Geburt,Geburt,NOUN
auch,auch,ADV
keine,kein,DET
Zeichen,Zeichen,NOUN
und,und,CCONJ
Wunder,Wunder,NOUN
geschahen,geschahen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
dieselbe,derselbe,PRON
weder,weder,CCONJ
durch,durch,ADP
Glockengeläute,Glockengeläute,NOUN
",",--,PUNCT
Kanonendonner,Kanonendonner,NOUN
",",--,PUNCT
Illuminationen,Illuminatione,NOUN
noch,noch,CCONJ
sonstige,sonstig,ADJ
Festlichkeiten,Festlichkeit,NOUN
und,und,CCONJ
Gratulationen,Gratulation,NOUN
gefeiert,feiern,VERB
wurde,werden,AUX
",",--,PUNCT
so,so,ADV
war,sein,AUX
sie,sie,PRON
doch,doch,ADV
von,von,ADP
Ereignissen,Ereignis,NOUN
begleitet,begleiten,VERB
",",--,PUNCT
welche,welcher,PRON
ziemlich,ziemlich,ADV
bemerkenswerth,Bemerkenswerth,PROPN
waren,sein,AUX
für,für,ADP
das,der,DET
Haupt,Haupt,NOUN
der,der,DET
Familie,Familie,NOUN
.,--,PUNCT
Diese,dieser,DET
Würde,Würde,NOUN
behauptete,behaupten,VERB
damals,damals,ADV
mein,mein,DET
Vater,Vater,NOUN
",",--,PUNCT
Friedrich,Friedrich,PROPN
Wilhelm,Wilhelm,PROPN
Wortmann,Wortmann,PROPN
",",--,PUNCT
oder,oder,CCONJ
wie,wie,SCONJ
er,er,PRON
in,in,ADP
der,der,DET
Brigadeliste,Brigadeliste,NOUN
hieß,heißen,VERB
",",--,PUNCT
Wortmann,Wortmann,PROPN
III.,III.,PROPN
Doch,doch,CCONJ
braucht,brauchen,VERB
man,man,PRON
deßhalb,deßhalb,ADV
nicht,nicht,PART
an,an,ADP
eine,ein,DET
fürstliche,fürstlich,ADJ
Abkunft,Abkunft,NOUN
zu,zu,ADP
glauben,glauben,VERB
;,--,PUNCT
mein,mein,DET
Vater,Vater,NOUN
hieß,heißen,VERB
einfach,einfach,ADV
Wortmann,Wortmann,PROPN
III.,III.,PROPN
",",--,PUNCT
weil,weil,SCONJ
es,es,PRON
einen,ein,DET
Unteroffizier,Unteroffizier,NOUN
Wortmann,Wortmann,PROPN
I.,I.,PROPN
und,und,CCONJ
II.,II.,PROPN
gab,geben,VERB
.,--,PUNCT
Mein,mein,DET
Vater,Vater,NOUN
war,sein,AUX
Unteroffizier,Unteroffizier,NOUN
in,in,ADP
der,der,DET
6.,6.,ADJ
Fußkompagnie,Fußkompagnie,NOUN
der,der,DET
