Token,Lemma,POS
Friedrich,Friedrich,PROPN
Wilhelm,Wilhelm,PROPN
Hackländer,Hackländer,PROPN
Namenlose,namenlos,ADJ
Geschichten,Geschichte,NOUN
Zweiter,zweiter,ADJ
Band,Band,NOUN
1855.,1855.,X
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Einundzwanzigstes,Einundzwanzigstes,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Unter,unter,ADP
dem,der,DET
Stadtgraben,Stadtgrabe,NOUN
.,--,PUNCT
Das,der,DET
Haus,Haus,NOUN
",",--,PUNCT
in,in,ADP
welchem,welcher,PRON
die,der,DET
Jungfer,Jungfer,ADJ
Kiliane,Kiliane,PROPN
wohnte,wohnen,VERB
",",--,PUNCT
war,sein,AUX
",",--,PUNCT
wie,wie,ADP
überhaupt,überhaupt,ADV
die,der,DET
meisten,meister,PRON
",",--,PUNCT
die,der,PRON
",",--,PUNCT
von,von,ADP
der,der,DET
Stadt,Stadt,NOUN
aus,aus,ADP
gerechnet,rechnen,VERB
",",--,PUNCT
diesseits,diesseits,ADP
des,der,DET
alten,alt,ADJ
Grabens,Graben,NOUN
standen,stehen,VERB
",",--,PUNCT
uralt,uralt,NOUN
und,und,CCONJ
zählte,zählen,VERB
noch,noch,ADV
mehr,mehr,DET
Lebensjahre,Lebensjahre,NOUN
",",--,PUNCT
als,als,SCONJ
das,der,DET
Kloster,Kloster,NOUN
selbst,selbst,ADV
.,--,PUNCT
Es,es,PRON
war,sein,AUX
versehen,versehen,VERB
mit,mit,ADP
jenem,jener,DET
hohen,hoch,ADJ
und,und,CCONJ
spitzen,spitz,ADJ
Giebeldache,Giebeldache,NOUN
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
die,der,DET
Alten,alte,NOUN
so,so,ADV
gern,gern,ADV
auf,auf,ADP
ihre,ihr,DET
Häuser,Haus,NOUN
setzten,setzen,VERB
",",--,PUNCT
mit,mit,ADP
mehreren,mehrere,DET
Etagen,Etage,NOUN
",",--,PUNCT
Böden,Boden,NOUN
und,und,CCONJ
Kammern,Kammer,NOUN
;,--,PUNCT
dasselbe,dasselbe,PRON
hielt,halten,VERB
das,der,DET
Haus,Haus,NOUN
warm,warm,ADV
",",--,PUNCT
schützte,schützen,VERB
es,es,PRON
vor,vor,ADP
allen,aller,DET
Winterstürmen,Winterstürm,NOUN
und,und,CCONJ
es,es,PRON
stund,stund,ADV
darunter,darunter,ADV
da,da,ADV
",",--,PUNCT
wie,wie,SCONJ
mit,mit,ADP
einer,ein,DET
riesenhaften,riesenhaft,ADJ
und,und,CCONJ
warmen,warm,ADJ
Schlafmütze,Schlafmütze,NOUN
versehen,versehen,VERB
.,--,PUNCT
