Token,Lemma,POS
Friedrich,Friedrich,PROPN
Wilhelm,Wilhelm,PROPN
Hackländer,Hackländer,PROPN
Vier,vier,NUM
Könige,König,NOUN
/,--,PUNCT
Bilder,Bild,NOUN
aus,aus,ADP
dem,der,DET
Soldatenleben,Soldatenleben,NOUN
Stuttgart,Stuttgart,PROPN
",",--,PUNCT
Verlag,Verlag,NOUN
von,von,ADP
Adolph,Adolph,PROPN
Krabbe,Krabbe,PROPN
.,--,PUNCT
1841.,1841.,PUNCT
Mit,mit,ADP
Federzeichnungen,Federzeichnung,NOUN
von,von,ADP
Theodor,Theodor,PROPN
Hoffmann,Hoffmann,PROPN
.,--,PUNCT
Stuttgart,Stuttgart,PROPN
.,--,PUNCT
Verlag,Verlag,NOUN
von,von,ADP
Adolph,Adolph,PROPN
Krabbe,Krabbe,PROPN
.,--,PUNCT
1841.,1841.,PUNCT
Gedruckt,drucken,VERB
bei,bei,ADP
K.,K.,PROPN
F.,F.,PROPN
Hering,Hering,PROPN
&,&,CCONJ
Comp,Comp,PROPN
.,--,PUNCT
Titelblatt,Titelblatt,NOUN
Illustraion,Illustraion,NOUN
:,--,PUNCT
Theodor,Theodor,PROPN
Hoffmann,Hoffmann,PROPN
Vier,vier,NUM
Könige,König,NOUN
Arabesken,Arabesk,NOUN
1.,1.,ADV
Ein,ein,DET
Sommernachtstraum,Sommernachtstraum,NOUN
Es,es,PRON
war,sein,AUX
einmal,einmal,ADV
in,in,ADP
einer,ein,DET
Nacht,Nacht,NOUN
",",--,PUNCT
da,da,ADV
träumte,träumen,VERB
mir,mir,PRON
von,von,ADP
kühn,kühn,ADV
gewölbten,gewölbt,ADJ
Hallen,Halle,NOUN
",",--,PUNCT
von,von,ADP
großen,groß,ADJ
schattigen,schattig,ADJ
Sälen,Säl,NOUN
",",--,PUNCT
mit,mit,ADP
buntem,bunt,ADJ
Marmor,Marmor,NOUN
gepflastert,pflastern,VERB
",",--,PUNCT
gothischen,gothischen,VERB
Bogenfenstern,Bogenfenstern,NOUN
",",--,PUNCT
welche,welcher,PRON
den,der,DET
Anblick,Anblick,NOUN
auf,auf,ADP
eine,ein,DET
himmlische,himmlisch,ADJ
Gegend,Gegend,NOUN
gewährten,gewähren,VERB
",",--,PUNCT
und,und,CCONJ
deren,der,PRON
herrliche,herrlich,ADJ
Glasmalereien,Glasmalereium,NOUN
die,der,DET
sinkende,sinkend,ADJ
Abendsonne,Abendsonn,NOUN
gegen,gegen,ADP
die,der,DET
Wand,Wand,NOUN
wiederstrahlte,wiederstrahln,VERB
;,--,PUNCT
eine,ein,DET
wundervolle,wundervoll,ADJ
Tapete,Tapete,NOUN
.,--,PUNCT
Ach,ach,INTJ
",",--,PUNCT
und,und,CCONJ
mir,mir,PRON
träumte,träumen,VERB
von,von,ADP
losem,los,ADJ
Epheu,Epheu,NOUN
",",--,PUNCT
welches,welcher,PRON
gegen,gegen,ADP
die,der,DET
bunten,bunt,ADJ
Fenster,Fenster,NOUN
leise,leise,ADV
",",--,PUNCT
leise,leise,ADV
anschlug,anschlug,ADV
",",--,PUNCT
und,und,CCONJ
dabei,dabei,ADV
lispelte,lispelen,VERB
mir,mir,PRON
ein,ein,DET
sanfter,sanft,ADJ
Wind,Wind,NOUN
wohlbekannte,wohlbekannen,VERB
süße,süß,ADJ
Namen,Name,NOUN
und,und,CCONJ
brachte,bringen,VERB
mir,mir,PRON
mit,mit,ADP
leiser,leise,ADJ
Stimme,Stimme,NOUN
Botschaften,Botschaft,NOUN
von,von,ADP
einem,ein,DET
kleinen,klein,ADJ
Platze,Platz,NOUN
",",--,PUNCT
auf,auf,ADP
welchem,welcher,PRON
viele,vieler,DET
weiße,weiß,ADJ
Kreuze,Kreuze,NOUN
standen,stehen,VERB
.,--,PUNCT
